SHIR FPGA 4096 no dequant,SHIR FPGA 8192 no dequant,SHIR FPGA 16384 no dequant,SHIR FPGA 32768 no dequant,SHIR FPGA 65536 no dequant,SHIR FPGA 131072 no dequant,SHIR FPGA 262144 no dequant
9450726,16143813,33559768,67997090,129434380,294689475,609420755
9384494,16179767,33619983,66083786,129382882,295817895,609383365
9234549,16115899,33574928,66043729,129310825,295783438,610085442
8939710,16139345,33616071,66098936,129482926,295707410,609054638
9090036,16158374,33605025,65965782,129288980,295610475,674629284
9123684,16145471,33638550,66076864,129475834,295702849,617818424
9121791,16097361,33535993,66026978,129407384,296120201,611636526
9346836,16144972,33625867,66038128,129374299,295801173,610820000
9559355,16097972,33571624,70591280,129268995,295890711,611371919
9424878,16128228,33541769,66119278,129574372,295955448,613779703
9482338,16115849,33585215,66041741,129506757,296090911,625822507
9808624,16079660,33719601,66029288,129450823,295707828,614755389
9448953,16024953,33528992,66031493,128895956,297246934,638045334
10885684,16054377,33652163,66086112,129624071,295630856,632829106
9024332,16067618,33513954,66112007,128774707,294495343,635306813
9331672,16022527,33547091,66025880,128937319,294974785,633622262
9715503,16074409,33540802,66038104,128864524,295297530,633192861
9540060,16129329,33553862,66056607,129009405,295800910,633389671
9477855,15975448,33570560,66055130,128954482,295901955,632345473
9307362,15991790,33670628,66093496,128688645,294948287,640367380
9397056,15993463,33592953,66011348,128811234,294887047,629924393
9365314,16001988,33565948,66130646,128875479,295093678,646226802
9243778,16087759,33579468,66104120,128937239,294201533,625850142
