SHIR FPGA 4096 no dequant,SHIR FPGA 8192 no dequant,SHIR FPGA 16384 no dequant,SHIR FPGA 32768 no dequant,SHIR FPGA 65536 no dequant,SHIR FPGA 131072 no dequant,SHIR FPGA 262144 no dequant
9356422,16077630,33645138,66176253,129927746,291960114,622485729
9422040,16064321,33606313,66073153,129994946,291857417,622736887
9444286,16023960,33621964,66154806,130322859,293179423,677965477
9439451,16065974,33619510,66088700,130543685,293913518,615846589
9430667,15954008,33571241,66076533,130276458,292541511,617539448
13076436,16055077,33560184,66129361,130446828,293809628,616205098
9295529,16082207,33635142,65981593,129590733,294137087,631868839
9209206,16069729,33620644,66110441,129596466,294089101,634022294
9905389,16043135,33596104,66120868,129548008,294417916,631703851
9378875,16036490,33614948,65933116,129664540,294082192,629315166
9403036,16053272,33604795,66121897,129614058,293982705,693666112
9364810,16079477,33453548,65906563,129607351,293936360,631138097
9408268,16071534,33702792,66114460,129544520,294167622,633204436
9402938,16066169,33627861,66131724,129565166,294058951,631038037
13183251,16069179,33575637,66130305,129557743,294672648,633046489
9357644,15982142,33522324,66115525,129699991,293981634,634928796
9449451,16038566,33640126,66104827,129645155,294163613,633028583
9419942,16045166,33535341,66107373,129487147,293935208,631504045
9351383,16151615,33589492,66198035,129488644,293891852,722411146
9295859,16079527,33575496,66089278,129656579,293948185,631497734
9378665,16053081,33547578,66084440,129530681,297185573,634378085
9344120,16067059,33635106,66061973,129635395,295600083,660365961
9294973,16092712,33691421,66017550,129458806,294145527,642446242
9373473,16075492,33575096,65990446,129586396,294154459,632220994
9430742,16053790,33540430,65938738,129611087,294122098,633916443
9394607,16087433,33544605,65986577,129634640,294546598,636656192
9272209,16075812,33582266,65975290,129551769,294441122,634634646
9401765,15978826,33616530,66181668,129619001,294079561,631289045
9526037,16046303,33680632,66150023,129548785,294049486,634044442
9436523,16026448,33642636,66185366,130086448,293825287,663765888
9336207,16091238,33521245,66102675,129464919,294012039,633683573
9220744,16065644,33682270,66120832,129846536,294223272,659923189
9268574,15952019,33631205,66196012,129611373,294403090,635282581
9361464,16097542,33564580,66153541,129636978,294064973,633604498
9335567,15990977,33535596,66159018,129579422,294048365,669476316
9329178,16028839,33597983,66128622,129665038,294093472,635835006
9438047,15996118,33665131,66176679,129546269,294174908,671321287
9421191,16062683,33575338,66051972,132388838,294110759,689920080
9308218,16074353,33647003,66057677,129565491,294145425,635793441
9335053,16075421,33657408,66307569,129699701,294103348,633200396
9395246,16048680,33533490,66075054,129575668,294395901,660888940
9224867,15969920,33523180,66048713,129786491,293965552,664888035
