SHIR FPGA 16,SHIR FPGA 32,SHIR FPGA 64,SHIR FPGA 128,SHIR FPGA 256,SHIR FPGA 512,SHIR FPGA 1024,SHIR FPGA 2048,SHIR FPGA 4096,SHIR FPGA 8192,SHIR FPGA 16384,SHIR FPGA 32768,SHIR FPGA 65536,SHIR FPGA 131072,SHIR FPGA 262144
332855,327169,403932,503443,794801,1250705,2243812,4620541,8941455,19227883,33483906,72128833,137928309,326858561,753567490
321792,328703,415271,500958,762093,1254282,2300054,4649483,10128078,16916641,33335408,72259914,138447350,328719617,751228089
321872,329810,400284,520493,779754,1256595,2294329,4626514,8875005,17053324,33378564,72283558,138207238,328133068,753957093
344964,341275,392148,503565,770809,1274950,2330228,4578723,8933369,19077008,33369890,72493276,137830653,328650664,751297155
323421,331469,395343,505876,777134,1255608,2331200,4956868,8815461,16992069,33308676,72388519,137602202,326991511,751279291
322155,328797,379707,509425,747386,1276519,2316139,4615528,8916755,17053876,33364924,72376916,138183060,328505305,751989854
349768,334537,391598,531632,753058,1250806,2334502,4699548,10259108,17010542,33397509,72384886,138041591,326783176,751598627
316908,332331,379738,519668,744378,1332424,2295395,4608805,8897818,16968972,33320784,72465866,138127716,328542034,751097474
322344,330778,382355,504789,750792,1326891,2312141,4690994,8840987,19355827,33386820,72440419,138118949,326639904,751665795
335128,327990,380118,521749,745415,1332732,2301036,5142001,8798082,16856827,34439273,70269384,137880944,328462928,731900886
310697,329886,381208,519338,744398,1318838,2324359,4597795,8898156,17056914,33405217,70310989,137576099,326841476,755402037
312093,326796,383452,517536,750214,1312922,2276896,4626961,8831621,16896944,33436125,70457103,138344660,328500797,751871925
315630,338252,381467,507183,759846,1288666,2337885,4589354,8909881,17070882,33625100,70532669,138071579,328393077,750835584
308579,329301,385771,516390,773072,1306289,2862607,4577584,10017910,16980246,33295187,70367568,138295243,328381593,750575738
312014,329968,393458,518288,776972,1312026,2318753,5212550,8874344,17053635,33451951,70554340,138055198,327816958,752039285
317955,331809,380577,507522,754187,1306738,2269743,4711742,8857089,16969844,33319253,70431172,137647212,328417974,752095677
312745,373439,377809,521391,786035,1310470,2329007,4692746,8766073,17072771,33517267,71030997,137875024,330118019,750854986
325815,327704,377673,516496,759937,1279038,2260989,4497080,8674971,19187003,33387745,71008948,138246481,328366135,752068311
309392,330495,382202,529361,746095,1283955,2289176,4506627,8525584,16949550,33311857,70970773,138039706,327512508,752330186
313900,330419,387980,501649,747780,1275903,2322149,4859782,8729627,17009713,33367895,70897238,138133482,328343212,752210036
317690,328262,386295,506153,774579,1273502,2629224,4432904,8656937,19313341,33386063,70827350,138003730,326497432,751484046
309196,341615,383834,503879,764676,1275482,2423589,4472513,8484917,16966504,33304603,71414807,137631238,328397882,751407135
311554,328490,391902,516519,776885,1356921,2368164,4395723,8362120,17108042,33446128,70735664,138169867,326670202,750996624
322181,329959,381382,520627,775820,1284556,2347052,4409473,8211977,16948398,33477542,71068538,138377129,334989028,754393942
317293,330159,373443,502961,780327,1260781,2353641,5229583,8397335,17054923,33499572,71262586,138201572,326252090,752765113
313172,336053,382618,503496,741669,1265457,2338096,4658000,8325455,16963374,33331275,73030609,137752178,328522212,730637996
323078,336778,370171,513745,745400,1201934,2289881,4628522,8794370,17033308,33403138,71173267,137470005,326502251,754888142
313928,329673,380175,520220,768454,1188655,2335653,4485997,8567545,16931491,34223712,72440625,137604999,328447436,761735037
305623,325712,370906,503269,770008,1195298,2332139,4511027,8472521,17066756,33352506,72718541,137993899,326835460,765088024
306399,307970,370883,505570,756077,1193336,2325987,4891038,8586913,16953542,33454189,73999606,137578294,328758584,763645004
308261,280048,367664,517211,763152,1211124,2282768,4475290,8504404,17029206,33347332,72927612,137564115,326806725,765184555
316649,285486,369540,515703,758831,1207615,2340991,4541441,8818416,16951316,33346316,73350113,138203009,328234316,765920733
304439,299960,370047,518456,758740,1195904,2340070,4529875,9539471,16925363,33467091,73125605,138323055,326642961,764912802
304831,278102,374176,504216,760615,1198539,2480763,4580225,8727156,16969094,33429327,73322775,137810315,328061322,765816309
318857,274934,370413,517375,776678,1248567,2320825,4814884,8737906,17059376,33421357,73320938,138301682,326832345,766699395
305488,294869,376131,522359,754207,1247284,2350116,4447656,8528839,16917058,33462045,73140840,137965728,328328769,765230370
339876,259083,376503,508266,778929,1248151,2330145,4507354,8540904,16954708,33438132,72824954,137990221,326377045,764969819
322044,284575,382372,518620,764599,1254153,2333733,4412454,8611019,16960063,33462360,73461211,138037186,328152549,765231722
305315,275932,387354,529094,758632,1277340,2308455,4415780,8831660,16982519,33412972,72899529,137576043,327010131,765100617
314851,276977,373500,514324,746920,1294707,2321643,4787061,8782694,16982267,33550844,72866740,137628061,328263520,765891409
302859,273439,382162,508037,779081,1276970,2321689,4387478,8711682,17005546,33475354,72968752,137504394,327082058,765421205
314816,274240,381163,501119,776671,1294622,2351381,4413271,8505285,16902797,33521998,73340311,137538876,328018971,765669066
300512,278582,376747,517524,796944,1271965,3547220,4368894,8398668,17017402,33456078,72981012,138018302,326799834,768376801
305705,285134,383413,515265,762522,1283013,2375179,4421236,8463487,16869547,33463363,72685082,138262176,328441723,765436776
305030,276893,390821,504331,790786,1272758,2318104,4824119,8617226,17217443,33466140,73320771,137877859,326466573,765670707
296912,293913,373899,502175,772332,1285083,2330706,4643504,8919789,19049260,33466305,72827105,137737151,327642494,751772392
299686,276049,385349,519155,780342,1300996,2294978,4723556,8855314,16992644,33467571,70409741,137047180,326569575,753044576
294940,275453,370700,519199,764827,1267616,2310053,4611550,8907616,16938703,33464288,70403856,137735852,326390910,772029282
316549,297349,373900,511779,745154,1273936,2304920,4637809,8916751,18953896,35949332,70070359,137835535,327012256,763433573
306450,279181,388844,501387,758380,1291752,2319178,4986721,8914260,16896282,33524825,70508377,138343219,326520506,766797746
296169,260291,369467,506768,780451,1356044,2295168,4575171,8873262,17056450,33395182,71336753,137729493,326828239,768444776
293219,284824,372692,513949,768399,1272727,2315823,4610884,8773301,16843310,33426970,70658012,137297867,326883843,767218592
303501,278630,368239,511138,778626,1263668,2320821,4549035,8889325,17060206,33478888,70466015,140230717,327761452,764469783
298820,276710,370564,501503,747474,1282518,2354482,4576551,8874818,16825966,33502340,70242027,138484803,327088551,767440219
308373,284081,375195,520007,770613,1277414,2317341,4924923,10175446,17099448,33440121,70093386,138608237,326846431,765587049
293192,259416,373232,537040,766688,1276981,2282640,4566934,8844913,16937027,33447651,70382817,138572645,326203485,771131405
294358,291655,376255,537040,761973,1271876,2324262,4598501,8917626,17002521,33451569,70395458,138797168,326498698,764366012
304000,312001,370926,518911,746332,1287096,2313624,4566363,8914429,16912410,33526291,70048161,138685479,327099414,767129379
303410,282625,372988,521008,781534,1369595,2315780,8365183,8868041,17079864,33562498,70215306,139902583,326483114,801108086
309374,269733,382249,522139,753870,1271746,2280870,4941994,8859260,16960328,33512434,70305207,137503617,326771949,768185770
296409,272815,364382,515150,748866,1301425,2318269,4550515,8865437,17049776,33485578,70310084,138978194,326272850,764830319
312102,277021,363223,503454,772165,1285276,2289148,4577107,8845782,16954716,33558411,70534744,140660109,326641449,766860606
300170,286638,372558,530067,752570,1298016,2341241,4528254,8893367,17071702,33450384,72843838,138989334,326698322,762411961
299172,273964,414107,518141,779685,1325274,2275037,4557883,10335002,18901785,33531403,72208278,138916950,326999679,778473203
302086,291188,396647,521088,751518,1256431,2331983,4906200,8809098,16954929,33522798,73005374,139013702,326508499,766616738
289106,274233,394553,527823,774262,1252120,2337299,4673286,8823035,17092367,33569586,72285125,140275401,326452598,769568385
290278,280506,399490,512537,759575,1253936,2339014,4656508,8853880,16840883,33505284,72955860,138946699,326903588,825796690
292785,293286,393946,505867,754213,4920465,2345260,4553464,8738504,17014944,33447659,72224079,138794096,326648525,768832835
