FP32 inductor 16,FP32 inductor 32,FP32 inductor 64,FP32 inductor 128,FP32 inductor 256,FP32 inductor 512,FP32 inductor 1024,FP32 inductor 2048,FP32 inductor 4096,FP32 inductor 8192,FP32 inductor 16384,FP32 inductor 32768,FP32 inductor 65536,FP32 inductor 131072,FP32 inductor 262144
530048,618965,774383,809556,874110,1186473,1633637,5121720,12998343,25638877,45626110,179493828,148427815,272479483,513188476
517287,614795,779023,772878,871163,1190814,1642361,6065711,12444860,25315923,45686785,162717092,155233869,273876724,514909891
501611,614029,775787,789963,812214,1238113,1753544,5081409,12483728,25656226,45542327,172029915,148972088,289296018,506711826
505265,625873,759718,716430,888266,1207788,1638540,6572474,9502036,25415896,45665615,170743772,147932388,291926314,515291155
514412,617788,771108,683884,879311,1151548,1756823,5660842,9564608,25608541,45461164,171221231,145265064,272154589,513433483
515283,611140,746141,714603,906252,1281976,1651499,6166717,9213243,25295673,45685377,159946729,149186154,280376000,512552428
501872,617577,735451,714810,883911,1289596,1643335,5134826,10337043,25562366,45591242,173205079,151773243,278403464,529802140
505365,607353,712804,709954,889407,1180527,1686492,6173224,11410871,24430467,42893549,170215879,146274741,280659871,551275428
503194,618308,771347,726778,995407,1180463,1758491,7453011,9662211,26611677,45672533,160706185,147450131,278494618,508312715
515364,617895,732769,724603,1050411,1159996,1671393,8052514,9564196,25274534,45572593,157585995,147453928,273856271,506597161
516149,623178,745102,689746,932116,1179888,1654254,6457974,9619634,25829824,45661409,169438792,145545650,270370406,499107980
504851,631770,773203,716781,974309,1186055,1632952,7454070,9561776,25258726,45540052,168453144,148620156,264339250,497118201
635579,622736,772107,700128,955756,1204074,1778834,5934152,9630329,25843370,45552553,169724437,150838119,282231558,508981840
638546,645631,772502,739933,1000448,1190357,1645123,6791423,10230482,25184204,45712530,167392333,157508395,262216824,495116406
655915,608857,764926,723243,955839,1168642,1783075,5734006,11530650,25800701,45910539,168048906,146841430,280304050,476618841
619630,649647,760847,750201,921472,1177912,1644452,6588691,13885756,25199866,46256834,153227860,147017538,262998353,503161110
644011,620003,791504,710364,929903,1288343,1665333,5286686,13568084,25596489,45555588,156505680,150669215,275789886,485091200
633284,644086,751442,721816,919235,1368053,1641216,6290366,10740468,25334402,46302689,154033175,152357290,271519921,522157399
648675,618242,780921,709802,880116,1159951,1830288,5106310,12716195,25718908,45695953,148130457,148159540,253606330,513668134
638652,647528,727017,722352,959744,1167343,1677238,6278371,11246331,25383450,46303284,168382496,150208656,271627052,511170446
638350,620218,729853,710284,1000246,1155024,1650763,5113214,11024259,25551354,45727280,169746603,147414636,265694899,514526147
633262,639552,724199,722303,964407,1356906,1644736,6085031,15074181,24990479,45693567,147992408,153173587,275650181,486990904
645834,609534,711454,702144,913763,1106716,1669371,5105442,12143146,24442258,45860413,154160483,147313110,275862917,503166379
610951,628289,751988,722527,885266,1041439,1647318,5908710,12179342,26049769,46050113,146150457,147218151,283167292,482211991
639696,623167,711202,707903,888349,1081964,1846976,4953759,13802496,25415544,45724893,168443668,145874098,274469210,488261364
610846,637257,735634,718303,884507,1144707,1639464,5894155,11689561,24925033,46233945,166499855,155921544,262563381,494024912
636665,620622,720377,697383,857358,1193200,1801250,5033736,11515281,25378257,45970151,168067227,148791190,271753833,491213976
629458,639292,719484,715271,925293,1205610,1638216,6519025,10267726,24335063,46244182,170563443,147892295,260927740,514133922
629282,632896,739683,722918,891568,1139422,1780046,5380530,10754940,26427426,45709124,167391511,149282028,274927594,491671471
450460,644736,729520,728309,944426,1091457,1633520,6026276,10006715,24996784,45678884,147238399,148797631,270314754,529853525
451672,615067,741940,717333,939993,1105501,1763545,5006133,9457918,25443778,45602215,153468028,145129251,270004034,505652131
444435,614544,741006,725438,887218,1111106,1653668,5923280,9026360,24980255,46198082,165545679,151772441,280218047,518266960
439174,614677,786712,801234,894866,1193471,1638584,5029859,11241807,25514191,45741398,166705416,145250349,267352006,503912051
441554,637178,768057,755108,875920,1082049,1660059,6428683,13365830,23767560,46178278,146028105,147760991,270875518,511750042
445278,621986,773299,716389,967547,1152277,1659414,5289796,9850617,25400992,45722005,146614456,154390145,262709757,525516239
435647,613995,789691,723115,1029850,1100536,1714067,6344546,9514461,25103610,46214976,165405089,153350884,275182096,510616919
434417,620582,792965,700325,919132,1142736,1744971,7197986,8998192,25485218,45703622,147476154,144863447,259937611,515400828
443291,626314,773006,717063,943319,1056227,1706411,7795695,9193693,25043442,46069799,165874191,149497098,281427491,518215303
437242,615526,781485,716704,927414,1087729,1794921,6189745,9386919,25531449,45636709,168385570,144356729,264552322,505489432
439069,595800,769766,727756,917124,1138102,1701403,7089313,10203848,25130602,46158089,165612935,152783897,270870252,504050761
445758,607939,777324,698733,901780,1353696,1722544,5654304,11016193,25317143,45817753,166914321,144802176,278991926,510974131
434725,611186,755629,749581,899056,1066480,1640025,6594593,9637878,25075385,46039856,165849357,143584202,274881346,503082329
437066,607638,758015,717753,871253,1132675,1794181,5383030,9455492,25444127,45671594,168047908,144522692,270989215,488156638
447524,604436,763703,737446,927111,1052776,1634642,8866297,9434478,25172821,46076304,167719137,147102067,268648467,504404602
441548,603068,757955,710764,917684,1088560,1650483,7131804,9514747,24416330,45704864,167815551,145501188,261256780,481959485
441264,630339,756089,731972,934518,1045390,1732838,7541542,11029763,25979052,46084369,165982490,152996288,272316774,477736798
453995,613120,778437,706715,922393,1096000,1639926,6190290,9748892,25369427,45640002,170170383,162879093,271052439,494014551
445373,595476,756287,718911,898659,1096268,1691741,7001200,10842726,25127272,46219868,164951034,155803945,263491406,482783914
490098,606294,769116,689864,897170,1112000,1841593,5775426,9784115,25506362,45679125,168531609,176610214,268371674,493814553
439274,614661,748984,737622,1017049,1266576,1663278,6491564,10123781,24446755,46400435,154989068,164459130,266346764,478019631
449090,579774,770398,663762,944074,1107862,1759273,5312616,9470740,26224683,45590757,172864323,155068501,270871295,465174999
437314,599828,762055,638788,957566,1187122,1722074,6303742,9902350,25122160,46369694,168860630,150727115,269530974,507691572
436622,603271,758289,629228,924512,1175680,1752967,5168954,11107028,24572898,45670868,151758824,146632448,277736634,480689426
455545,610026,796677,647344,986973,1063228,1635754,6315318,9735000,25983486,47219878,154810640,146547252,262797471,479077423
446146,605357,709609,622788,928840,1101165,1741393,7660402,14278641,25441104,46406128,169424764,149004587,278898928,512410926
439786,604065,688998,652757,910519,1078495,1683398,8127732,11430276,24347200,47123387,168014091,148626415,265414104,490271592
446313,606269,698310,630082,925263,1088605,1656576,6510829,14937101,26382198,46410952,168202206,152909408,261449010,534085824
445113,590140,681841,639130,904882,1062487,1653775,7515240,13995536,25307969,47222137,169007930,142656289,276262361,474631412
454784,612744,681470,636582,878459,1105467,1685661,6101319,15028956,25477286,46356826,159065636,145393392,272639495,488320378
458734,619006,694685,649202,938240,1048891,1732539,6868342,14079138,25106571,47283878,169222221,149338833,279432996,491356742
452544,611440,698740,624815,947032,1102501,1696826,5575566,14945531,25355355,46448842,169955482,147833363,270230226,517752708
443616,617884,700609,642199,856599,1065686,1682874,6392466,14024936,25175786,47030602,167291373,142351830,238035688,504013565
437253,614763,698199,626691,875172,1176111,1787902,5232074,14819645,25342992,46413552,169104190,148370558,272076117,511778307
449616,617347,711628,651383,878343,1081612,1646643,6184802,14094453,25189979,47210011,170735813,142090668,269152342,479254894
441492,601846,705275,636850,849704,1090608,1662216,5017699,14422937,25459984,46456852,166184292,138164761,265956613,481232679
438926,643010,688403,651682,931358,1073826,1635002,6212630,11690333,25039858,47161398,150366873,142955577,264664882,495830964
453992,622516,700707,634501,952050,1112902,1639961,5245580,11232235,25273384,46507776,167290352,144028769,274824739,513288186
442945,624951,694745,649541,885713,1318138,1630431,6315357,12946872,25069412,47217874,145639969,146074488,276710329,496678293
448892,615002,698860,658460,869176,1073497,1648152,5126355,12608612,25517095,46409553,150778406,150807549,272758583,489015417
462104,620156,695929,671402,867861,1067413,1767280,6107142,10841070,25084479,47142685,169668075,148639077,269847832,478979519
450225,610544,694477,678478,853652,1120680,1678494,5067504,10409197,25377135,46435574,155941440,145406542,284702633,495766116
444618,669419,707277,735989,920183,1209610,1648851,6064860,10814494,25262229,47297688,151834103,155022285,281302882,474123411
438808,638732,684814,724049,880656,1096427,1702825,5139178,10032110,25326554,46502050,168256614,145648826,279082064,519124946
439031,638856,705506,740965,866000,1321461,1689108,6086485,12737146,25094341,47111622,168480608,144943329,265140938,508590971
430073,629660,706387,715387,874422,1277937,1632061,5173999,11042821,24565196,46586899,165740609,145597192,275960640,496483414
448659,634444,688205,741087,888228,1437166,1652432,6064688,10415563,25977037,46975671,165813006,146894332,260125669,476756868
432247,611868,699356,722990,852420,1178739,1647921,7219702,14586668,25685568,46325279,152461420,147379704,269469711,489753597
429172,618366,708251,739586,951556,1174802,1756704,7865908,13739790,25178783,47082913,150701144,145499750,283266795,485128955
439458,615279,694741,711180,890052,1346094,1814615,7870573,13126993,25588961,46430435,155499737,144852323,269997486,480560138
438399,621900,703450,735160,865716,1106981,1710556,8017378,10233504,25313461,47116130,158452050,143191222,276067725,472314638
428096,617091,710640,722870,864819,1327330,1657380,6640582,10924175,25806700,46293659,138965627,153479464,282429761,483313332
456637,650608,713561,736471,861056,1228727,1615411,7202190,10737408,25293083,47283284,157883653,143459672,277728448,493602230
448635,620349,804896,718510,829986,1362237,1653447,5911391,11039269,25649740,46558006,162033515,152031683,283838555,493122620
444243,670141,731288,736808,903136,1189392,1674778,6759364,10016827,24728032,46929998,159381172,149832026,277935341,480939425
430777,671632,731331,719437,875879,1328824,1649998,5721707,9476825,26481610,46373861,165076241,147651827,278875231,486292976
442804,661035,726349,730150,854737,1403972,1638981,6518150,9240363,25456467,47153284,133221644,147311200,273363510,480784641
426191,674218,736216,725735,865010,1353607,1680908,5478925,9990038,25678302,46433394,137240126,159217532,275053195,464869101
447243,677888,729978,732664,869948,1384298,1704595,6436780,10989810,25259999,47244173,133327123,151090011,278048341,470535096
445899,674954,730432,717405,847450,1318453,1703786,5406116,9780816,25642666,46226545,133556840,148837368,269479821,461203863
476924,683450,728402,749975,929256,1266315,1687570,7012635,11125119,25355477,47278744,135524661,147060490,269437277,463880949
441103,680452,722764,729501,882788,1328403,1685749,5423728,9303195,25683894,46290397,135093267,141435768,266397755,477805735
426611,674394,722151,730006,850952,1255935,1699536,6434145,11213821,25315670,47055043,142313488,146209544,279417144,481774921
424141,667189,732376,718889,869623,1403871,1765549,8529694,10496740,24568194,43715699,147154847,147485123,266760584,485956721
437318,666328,716783,733697,865223,1374551,1659399,8904677,11155738,26362743,47140482,132930665,149084804,276043347,507538579
