x86 inductor 16,x86 inductor 32,x86 inductor 64,x86 inductor 128,x86 inductor 256,x86 inductor 512,x86 inductor 1024,x86 inductor 2048,x86 inductor 4096,x86 inductor 8192,x86 inductor 16384,x86 inductor 32768,x86 inductor 65536,x86 inductor 131072,x86 inductor 262144
508499,573828,937597,631932,910408,1092011,1912970,3708830,13035566,27281834,52995692,121178985,165565387,289595440,683601725
515745,577580,952700,618380,875921,1121767,1884193,3675837,10783566,27464217,52855304,86783242,166775695,292492519,729652822
525132,577232,928357,617047,880708,1100637,1894860,3739778,14009219,26716481,53198327,119551391,167709842,304291568,723024499
518604,572417,952803,623530,881882,1105788,1926549,4496869,13062394,30185644,52851464,122883214,154007458,294224956,792687233
514381,577107,954679,600111,884603,1100936,1883030,3739763,10820584,27772871,53377574,124470661,171083807,291835166,734850384
504329,568742,972526,618249,880847,1119852,1882424,4245273,13780748,27388108,52960939,125170052,171644963,286621549,689426789
515508,569247,951807,625670,888716,1110328,1889213,3925657,12180397,27243849,53233835,122176100,166042335,298385250,736792394
518503,563548,948263,625494,878676,1216556,1898795,3823738,13757903,26727380,52858442,124267317,161543258,280185207,771336637
512810,566741,976289,631694,888449,1182755,1876441,7170882,12126310,29726328,53024106,123535748,170280177,287903601,712297607
503823,565544,944617,639539,858712,1119325,1924790,6649451,13605627,28037367,52945645,124481468,101121212,303464290,740823919
506615,564593,963233,637032,881517,1107079,1916262,6340317,13939930,27063245,52859388,123329094,170584914,290114738,589554073
516032,563716,952852,668872,882838,1093904,1915497,5604075,12207566,27308095,53243790,123721668,167556842,304602700,736235613
520588,564248,935346,661838,857766,1144700,1912786,5168974,13792486,27236631,53016123,122477069,163117967,302290312,691560696
500731,563526,957806,619909,876925,1096890,1900310,4767537,12159237,25774504,53130248,123932508,168158286,303982296,769418844
508545,560279,949999,631614,873900,1103122,1876518,4452558,14357318,27335680,53277276,123887858,158642898,297833533,770707270
507458,561245,920650,651505,860504,1103145,1840241,4722586,12294322,27577146,53106764,123717300,166895716,291114414,684163187
521887,563952,943664,640321,882679,1099142,1865265,4058511,10677343,27276763,53328616,122562414,172088376,296949487,754144875
515476,565815,953408,620778,875083,1095886,1855338,3902487,10642074,27429363,52931566,123700293,156725179,299325730,727785084
503960,567682,961212,605651,864932,1093119,1859986,3726523,16141284,27254399,52923714,122729612,158626556,295864609,742384099
502186,566484,963739,623653,873600,1102768,1880651,3737560,12235897,27473626,53112218,124079555,152126947,304466520,680471498
524847,567393,916138,639644,881051,1086949,1879858,4094856,13742775,27260887,53077949,122866400,159471101,297240067,744335843
521608,562061,962219,624054,874478,1090740,1874995,3539188,14041311,27477057,53182732,123686232,154069979,287936479,681258029
514096,563231,971626,618295,878331,1118607,1876961,3597107,12186160,26764554,52905612,122084968,160174631,295454201,624924440
531205,569580,966067,646369,855368,1097344,1856774,3516842,10288698,29674044,53126214,124902257,159912882,293101191,731862338
583618,575374,949154,631554,862511,1106585,1894136,3531973,13998979,27971796,53547924,118412004,153922823,302075080,717575921
517010,572581,961634,598865,858242,1094898,1845991,3529475,12999318,27761030,53158931,118145228,161266067,291611439,752518080
506673,574377,1156167,620143,853532,1095273,3367058,3688851,10826750,27147317,52975116,118583833,166345549,274379893,770971251
498348,625179,1233975,634039,869143,1114598,3205647,4466399,9686287,26915201,52823460,118093220,174836061,270278731,742371305
518140,574150,2065833,637762,865449,1089802,3001382,3654899,9510615,29488721,53270838,119103116,156019035,296670820,666863869
514404,574538,1866617,622507,881574,1095332,2868406,3649018,10566379,27992588,52929877,117931907,169785045,292531782,724081492
505255,574015,1842256,618037,876395,1100749,2772026,3643337,14026173,27267729,53148662,120586988,141095040,293732211,855900610
500337,577237,1842963,628118,893254,1103342,2643614,3659102,12332042,27473592,53025367,117115639,166480632,297529029,698511583
509380,574635,1768993,631580,860722,1095526,2513662,3635859,14930996,26704459,53317124,117939410,168640907,271127589,741367734
507813,570540,1724943,655547,877745,1098595,2371597,3679687,12319898,30189140,52408709,118400906,175549420,299122421,776067916
519465,575778,1744878,632258,878218,1096611,2318000,4447010,13467102,27393367,53135765,117428764,169154306,268846811,656062706
501764,578052,1726842,628048,972581,1263274,2263914,3636144,11545384,27347896,52768241,118610548,168426263,266473510,695569006
511451,572754,1605771,632707,959766,1189567,2192158,3660061,16385115,27365366,52999686,118259008,158237460,272337130,653474643
531292,575302,1636127,612601,898569,1182287,2108204,3637867,11586557,27441151,53164892,118123055,161905582,292349116,735977737
564344,574022,1602199,623193,890733,1116016,2270889,3640500,13938538,27172546,53122674,117138625,153750577,302815631,764432066
503886,569782,1621852,630252,912005,1135365,2189190,3629261,13143400,27632944,53230648,120799046,167276156,308943642,778464412
517605,574690,1571211,620206,890345,1097653,2226983,3711502,10919758,27285852,53162570,119599857,160534535,274079171,748717722
511645,570949,1546071,608002,898564,1113278,2075935,4441812,16304725,26956262,53125413,121224771,176728357,259387032,670935833
502684,569187,1556788,619748,898535,1095531,1991436,3721971,11549365,29476242,53017464,120247792,169360396,279747430,699125418
501583,568812,1587465,630411,889237,1119599,1915669,7541098,14509842,39624113,52953717,119787947,155880613,298056893,688486443
509740,560657,1484754,652260,881066,1109482,1933881,6672676,12715850,27046196,53183098,123940701,170869552,299518735,722544999
518629,560891,1482905,644462,876545,1098349,1930009,5967795,10917069,27635149,52777584,119989988,169753171,290042736,667787609
517039,564755,1474455,618487,895757,1098789,1975924,5373141,16184739,26614254,53157281,121775101,176146472,302044900,751204189
500579,558405,1450068,692223,879558,1099759,1969565,5098105,12213292,29535969,53070963,121933238,171341207,288138003,747624657
501305,565614,1429945,692920,872483,1103808,1935565,4886883,10442964,27600049,53180424,121728344,162645449,297686360,734327264
510665,563103,1399513,731898,863423,1097713,1929723,4709789,14704900,27590298,53136943,119390990,160746457,301953600,639081472
520049,560868,1399631,686484,880946,1160762,1924106,5188973,12327006,27558053,53518021,119898740,159768758,301427099,707722826
509453,561049,1400009,652979,880030,1187602,1958355,7226687,13129394,26720470,52950367,125268251,153393222,293373628,792618959
503550,564756,1418897,677354,947677,1197548,1964079,6577576,13720267,29271140,53301196,119735205,168797043,277680815,757257568
499883,563248,1349171,664595,959231,1157675,1943864,6727524,13864032,27856634,53170836,122254673,177376979,292178427,683847034
525843,563005,1344297,669793,979328,1123672,1978275,5880130,14920206,27176735,54358001,119712920,155096404,278836803,672218515
513228,563317,1349549,653337,965106,1172287,1929457,5387097,12191472,27390159,53534532,122392533,161867442,298539501,604353931
504117,569235,1313291,664630,951835,1235070,1981426,5063913,10777248,27032170,54020931,120190474,168891454,270881715,677453783
503260,563702,1332732,658784,951578,1238477,1969193,4915100,13806563,27351654,52863619,122436231,158342222,279712224,650329897
505779,562928,1287978,659581,949081,1176132,1963789,5169673,14487689,27247844,53169737,120856152,162640987,294728301,640046779
512308,561057,1281111,673915,959794,1178052,1950131,4481605,10839027,27339303,53122934,118908821,165764791,290229933,685723875
