SHIR FPGA 4096,SHIR FPGA 8192,SHIR FPGA 16384,SHIR FPGA 32768
8094872,16710213,33853787,62553705
8112825,16161667,33916085,62691570
8131927,16141296,33692171,62697430
9583301,16125949,33778099,62706752
8601405,16136710,35009561,62591087
8221448,16656029,33935452,64444120
8034486,16341127,33416114,63964703
8253233,16221322,33688007,62590486
8170614,16137785,33727583,62629605
8008136,16209887,33869393,64574792
7964592,16122091,33885490,63840881
7984716,16267629,33562449,62690522
8002134,16083591,33953691,65630736
8247262,16156308,34322978,64364567
8051514,16173037,33748793,66766077
8053912,16203882,33767643,66781606
8070989,16086271,33778821,65268596
7937940,16031197,33835330,66694238
8758331,16028538,33881336,63878142
8005872,15960367,33858847,62661829
8280556,15957342,33859955,70515919
8218440,23979982,33733907,68799895
8150085,16033571,33768980,65577405
8091641,16155392,33739169,66064555
8036975,16120233,33795533,70142163
8008931,16155408,33911798,67189785
8041106,16129080,33688261,67235273
8029079,16071818,33774865,62579499
7925692,16072241,33857567,63040798
7872395,16109568,33924663,65841079
7793394,16214470,33766948,66471928
7828409,16194274,37079175,64393403
7899055,16446509,33883620,85818389
8110487,16151861,33728058,84400916
7999835,18426049,33747839,62402930
7929695,16151382,33751766,62449733
7901786,16166373,33757711,67432078
7877893,16189232,33775312,67624524
8196636,16161719,33851331,65226003
8130627,16057292,33646019,64225569
18586138,16148730,33774117,62602555
16434736,16142933,33917814,63481374
8419325,16135675,33779999,62808269
8334713,17076289,33766542,62336083
8445626,16205773,33730549,62576044
8410565,16065439,33747544,62710918
8388215,16081246,33798791,62658232
8395798,16023331,33896010,62956585
8402793,16134852,33677780,62709289
8390880,16153144,33941532,62726167
12389807,16081239,33870701,62762819
25732421,16080027,33865583,62850611
8188727,16067111,33730131,74888787
8420604,16140677,33926238,62897902
8319761,16083306,33734953,65024970
8224732,15994475,33679891,62852916
8220071,16061410,33919502,62722829
8143655,16152328,33720601,62775829
8122876,16127876,33793121,62602351
8130099,15949045,34238717,64759781
8120459,16095136,34340308,65785692
8051587,16221015,33918421,66367250
8027981,16071805,34172338,66100306
8323933,16030825,33989590,65914750
8198066,16068673,33892387,65930332
8164493,16175085,33947267,65687528
8075587,16205619,33837424,65820606
8097573,17489920,35047761,66215801
8061559,16107912,34029007,65855855
8094970,16116695,33955616,66147249
16042164,16108924,33891824,69140526
8204685,16093440,34039068,66251871
8209497,16096520,34013963,65953787
10703081,18120697,38514892,67921264
8078594,16144729,33899163,66205330
