x86 inductor 4096 no dequant,x86 inductor 8192 no dequant,x86 inductor 16384 no dequant,x86 inductor 32768 no dequant,x86 inductor 65536 no dequant,x86 inductor 131072 no dequant,x86 inductor 262144 no dequant
19147485,33359360,49707579,88693654,158737920,275742272,677223809
16607713,27480274,49885683,88869718,149824852,290566656,724199058
16590458,27386055,49682858,89042305,162215738,263675348,672290166
14700672,27408032,49654186,88890992,149679333,261335369,679264632
13164317,27697219,49724122,90446473,165443512,286701719,682851561
16408443,27321574,49943318,88687011,144662984,286575931,614431017
16533895,27278550,49787769,88926600,166149547,281880979,673434183
16466546,27628372,49911756,88776436,148857993,306115888,627967340
16558653,27387194,49754662,89012539,160417852,290037946,703217162
16597407,27465441,49746430,88780971,163339805,288764752,665535243
14688700,28295755,49633408,88811544,162960416,290740731,669641169
13154587,27384447,49538395,88644710,163897214,288449791,637959233
15506907,27250539,49733424,90327307,163246676,271694781,668645862
13025369,27432570,49736840,88936867,160569797,283218296,628412377
16307733,27479628,49740025,88509327,152422466,291581361,699363160
16420623,27763752,49750335,89897252,159876831,284686763,567183308
15398411,27314776,49691859,88561383,167735777,284878177,650766258
16227741,27516262,49706530,90329450,165510475,289694786,692259666
16359556,27380516,49735654,91236365,164375304,304144124,627478894
17197052,27237673,49835432,88624755,163346434,285419723,701204572
16529230,27363255,49972828,89125425,160162341,283183848,655805178
13919040,27328190,50066620,88549863,168448413,290309784,713313025
12699428,27405819,49704334,88811351,152626052,288093365,623362100
16301472,27440561,49862700,88568250,168261333,291602279,675739110
14605733,27256885,49796156,88639198,160270465,278004883,652617831
13202726,31532415,49741857,88956893,163900418,291197320,713593161
11659319,27502590,49776273,88533709,165602429,297250648,743270776
16272219,27443409,49636193,88447430,158227277,292088107,683647634
16397172,27404462,49961053,88641464,164539358,283552572,663521801
16436746,27335003,49701223,88602161,159688382,282667094,828168380
16448524,27235628,49953463,88539800,160986007,290797115,661954384
14076753,27353963,49695806,88496504,154684204,278008757,617025347
12718461,26721214,49574366,88571909,162716484,266956541,854449685
16416183,27389440,49681401,88930202,150961166,276153382,539660195
14667569,27168489,49669892,88769300,159064140,282389745,614371752
15504391,27691602,49711175,88522022,164825121,292336449,672197472
13713266,27459457,49664075,88727576,166313551,277269240,623100591
16413362,27740647,49935368,88575619,163523158,289208846,671676235
14576343,27525073,49660912,88500172,164267138,292395517,648237083
16385470,27721160,49719142,88878224,164124988,293451907,640753594
16534455,27743099,49591631,88638887,159070984,270045259,648924930
16518771,27490108,50279236,88517745,161420225,285406778,532154129
14613751,27542782,49945913,88549393,166884256,294831699,578869930
13277457,27562540,50379372,88658062,166480072,285479964,591101936
16383118,29663053,49844944,89051949,169192659,282306917,593612141
16443941,27535201,49915501,88553534,159101243,269478472,622162554
16461057,27466100,49900939,88473226,165123699,285532020,668879809
13957481,27408654,49730934,88621576,161158678,268211487,688265941
12741170,27615567,49382318,88648227,158305274,292251350,680488360
16338660,27388480,49713957,88690365,165173010,279231678,687385148
16339937,27266444,49903532,88887789,163925058,283130290,713936262
16479367,27365524,49786123,88765227,161906106,262276538,677932199
16480162,27482657,49842160,88890440,163605762,279748747,648262858
17619503,32396185,49627320,88616906,156583296,289699948,729509704
16503509,27550237,49920347,88392685,161908023,260286901,630185928
16529160,27419151,49818983,88868209,163664880,273847853,694390092
16539343,27502947,49920804,88591548,159634549,289752984,624282053
14757459,27474311,49661720,88547514,161238051,270695008,539830502
13207713,27592870,49725920,88559221,166541738,289605235,638808185
11745582,27519765,49677237,88795715,156101672,238565144,626880547
16414077,27442251,49914928,88763011,164253124,283027630,637420550
16424069,27403802,49707293,88402041,165592045,288997801,602169558
16573835,27431995,49871587,88188548,162192946,272891087,680880550
16561347,27610756,49879172,88487863,165302860,290024367,715177563
16468237,27806868,49735909,88911502,158740374,295951600,699164567
16565447,27282222,49718653,88684321,163549103,274991321,569652020
13993877,27194622,49734591,88557936,160889879,293495840,674388572
12691596,27325905,49832646,91293689,150178868,280304777,671889268
16544515,27348234,49702523,88800094,162938834,292448088,620344298
14108587,27215413,49724397,88986169,149967687,295542257,851578521
12843830,27269645,49812919,88624893,162637527,299194490,622050458
16467398,27249223,49814107,88733353,150247075,286444774,722492184
16459635,27298827,49571018,88734321,163922433,295661886,541801224
