FP32 FX b16,FP32 FX b32,FP32 FX b64,FP32 FX b128,FP32 FX b256,FP32 FX b512,FP32 FX b1024,FP32 FX b2048,FP32 FX b4096
22401,76984,82302,97969,133671,183674,279509,343487,833193
23120,75942,82141,98813,138577,173090,281448,342970,846157
22369,77323,82336,99708,137769,164733,279541,352028,848085
22787,77242,92066,97181,128672,175439,277355,359584,822868
22298,76055,83521,102337,126662,164785,279920,361232,860530
21639,76229,82808,98627,132315,163383,281765,345433,837877
21940,76212,81682,98395,132980,163860,285356,360641,839224
23123,75716,82607,100203,136203,166110,279773,344037,813932
22965,75862,82370,99208,128750,175704,288993,333957,826351
22349,75961,82504,98816,133098,164863,290490,342763,852444
23218,76756,85062,98748,127682,163100,288675,388456,852435
22751,75915,82544,100003,127421,172961,294912,363459,721878
22996,77581,82582,97560,125036,163366,290365,522940,839104
23513,76309,83964,97589,126831,173245,286735,354846,864974
22604,76701,81983,100658,126575,166787,281398,366195,833345
22175,76026,81530,99728,130931,164103,281300,345965,844639
21924,75876,83219,99026,128012,174584,277924,343675,801770
22027,76759,82219,97738,126795,164196,286588,356407,784839
23076,75352,82536,101676,130502,164851,287653,370428,859486
22252,76359,81935,98320,126285,169251,283189,343573,857663
22566,76084,81824,100046,126016,165303,289567,339587,849403
23579,76486,82139,102008,130718,164620,1034335,350678,869263
23628,81242,83121,99575,137194,165215,1641373,352335,858886
23105,77564,81395,100335,132058,164635,1353701,355417,856582
22487,77374,82350,101340,136304,164318,521435,353923,845100
23799,76650,82061,97835,137603,165633,304019,362169,865472
23919,76124,81746,98751,130793,174815,284698,373030,862812
23217,76989,82183,99516,124810,165613,283479,358878,854901
22780,76483,82635,100146,129223,172800,282247,341785,825649
24104,76988,82358,96757,125655,165500,280797,563955,868472
23262,76377,81902,98397,128561,175435,280892,371146,843771
23719,76634,82281,103213,130444,174926,285403,354477,923652
23132,76206,82071,99496,128042,164384,288314,367628,779467
22953,77623,84617,97961,129908,174634,280473,354748,867577
22221,76694,84109,104134,127089,174352,290600,351761,861062
22535,76366,82701,98799,128852,167710,286480,336194,863020
21762,76132,82763,98992,134704,166461,279286,343356,872688
22422,76202,82185,97662,135528,174167,279887,362018,797333
23140,76381,82674,104634,129163,165057,285032,372236,835228
22698,77677,81988,100546,133434,171999,288871,365308,725664
23103,77560,85276,100748,129000,164747,285691,348794,786131
23198,76133,82902,101396,135846,165934,278872,351412,813552
22622,76232,82310,98020,125263,165431,289057,358612,830807
22456,77564,82619,97286,128246,165267,292695,553750,844109
22697,76439,83325,97926,128032,175479,281707,381976,836673
23112,77634,82525,100932,129067,166041,293100,370419,845642
22829,76287,82707,98775,126242,172287,280208,346070,771230
22540,77014,84332,102081,135502,165886,277638,347123,857754
29480,76609,82240,100586,139015,165243,277970,353422,861450
23007,76177,81863,97399,138815,174085,276731,354878,824216
22712,76753,81685,97703,133039,165533,283980,365409,859301
22541,76901,82849,100891,138078,165575,277934,332427,868010
23150,75891,83159,99594,134547,169166,282830,340216,851629
22714,76583,83306,98736,128854,170545,280754,344045,870971
24811,78783,82863,99579,133454,166024,283797,345574,834840
23370,78078,82668,101186,132809,166408,279934,345277,898839
23046,77521,81414,99874,140572,176446,287516,339872,854664
23219,76498,81795,98401,140326,164240,279052,339737,855543
23393,76296,82047,103827,128774,176214,276811,334191,848491
22444,76611,83103,97596,129666,168852,284023,351038,844613
23028,76025,82938,96667,133547,162699,288053,342641,832742
22038,76961,82659,98681,129341,175533,284666,574914,865909
21473,76793,82642,102114,127767,165147,282328,379886,863814
22938,76549,82361,99385,128087,164967,285157,363221,865627
22235,77939,83219,101354,127560,169615,276468,352349,857681
22213,76366,83491,101937,131738,166574,283808,355196,869817
23781,76564,82016,99670,133867,164756,278086,364552,829384
23323,76404,83281,101142,130913,166623,283272,362909,805614
23480,76302,81951,105228,130356,376127,287544,339400,856140
23294,76547,82391,98261,128346,177035,283897,354856,859346
23360,77816,82642,99005,125920,177510,278834,346880,861877
24066,76765,84184,98240,132044,171753,292973,358956,850981
22778,77412,83369,97976,130672,174352,277817,346630,892156
22634,76884,82283,99700,139422,166931,287199,378726,839261
22509,77652,81555,96819,137768,168759,281648,362074,889839
23070,77039,81934,102727,141418,164090,282970,366846,863063
22481,77094,81504,99611,136416,175519,277895,559909,849802
22117,77224,89987,102019,137731,175032,288065,376871,862099
23080,76711,83271,106326,142462,165660,285079,355386,880394
22315,76122,83324,100511,124495,177294,287046,399514,849413
23241,76082,81670,98377,133451,167558,290149,358108,858621
22611,77461,81902,101074,126298,166219,288230,351052,880970
22427,77247,81989,99838,130942,165987,272476,340676,887008
23197,76915,81889,106188,142595,164769,276636,342683,848740
22363,76162,83696,99130,137098,166240,288425,351893,923920
24036,77665,82478,102199,140604,166165,280977,364980,864121
22729,76913,81850,104294,137506,167097,402291,376778,827604
23617,77114,82379,97906,129308,164792,529943,368522,866644
23021,77404,81724,95998,129422,171664,401179,363721,866355
22376,76267,81947,101528,130335,168231,329482,357464,864751
23414,76510,83462,98632,130426,166720,291156,360504,899877
22207,76963,82398,99432,139492,175575,249914,527223,868928
23040,76636,82432,101834,127650,165801,227355,349936,842936
