SHIR inductor b16,SHIR inductor b32,SHIR inductor b64,SHIR inductor b128,SHIR inductor b256,SHIR inductor b512,SHIR inductor b1024,SHIR inductor b2048,SHIR inductor b4096
46615,141385,76468,95176,204201,268106,319267,636478,1970363
46964,139577,79792,93700,195451,270608,324397,617225,1483999
45549,139338,76444,95222,198827,269171,325922,610746,1400670
47285,140226,75136,94358,202973,270492,370904,655405,2099260
46295,138871,75544,94522,203355,272870,374363,621569,1428958
45915,137749,82412,95782,207440,267714,333664,669992,1547819
46604,138790,75636,94281,199242,277271,325460,637763,2043315
47009,139915,76556,92456,209511,269932,324618,623801,1548845
47466,139119,77746,93878,198020,285260,315989,616466,1525706
46610,143059,75058,91565,200199,272814,325772,604923,2003695
47592,140502,81470,93280,201149,273061,324680,725026,1518277
47241,139989,79346,93417,201343,270474,308633,672921,1428083
46655,139199,77522,94160,199797,267328,325853,896510,1968188
48017,138940,77085,94079,202316,268860,317709,633575,1294089
48244,138960,78534,98644,201848,271375,356948,619555,1499067
47151,139642,75284,95359,205764,269548,375102,695450,2082726
56225,139322,76269,92906,199985,288147,344333,641775,1501316
47718,142560,82847,93472,200283,269689,333622,606997,1494226
47226,142470,77732,93434,211972,271381,335924,623993,2042178
46709,140032,78671,93958,201975,266669,323236,603189,1435053
45749,139767,77194,118054,197705,266179,321097,633969,1573748
45303,139233,82533,127265,199226,268219,322308,687569,1924864
45771,138665,76342,122001,202011,269055,325282,653218,1449661
46436,139371,75634,102312,202814,273472,312413,722005,1566050
44682,139319,76708,101697,200408,270685,321092,691563,1835661
44987,139601,77598,94248,209703,266879,328016,632929,1433454
44895,138433,75394,94970,203879,270737,353551,699157,1418391
45316,148386,78261,92317,201927,268471,351976,664672,1840157
44447,140895,77524,95582,201836,289196,323668,624910,1481305
45559,139453,76868,97351,199723,290800,320155,728011,1526895
46887,138945,77683,95542,201209,273453,323141,663466,2092083
47094,138516,150634,96837,195867,276962,341996,632383,1407338
45663,139160,77042,96310,199078,271947,319211,669342,1517579
45584,138596,78424,90693,196124,269394,320256,631550,1926989
44862,138514,76022,92442,199465,270301,319933,623184,1507494
45639,138485,74027,94507,209291,270727,313896,815373,1399668
45661,142125,85588,100777,202746,264561,317123,695199,1995140
45847,142316,78125,96162,202250,267345,329007,641976,1471794
49416,141580,77580,96438,202547,274419,352427,612401,1516875
45783,140184,77435,94720,201662,267571,351833,611157,1954256
46386,141273,78379,96109,199914,278722,321496,632061,1387446
46493,139700,76264,93838,200454,271861,323056,620045,1454873
