x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096
51690,74765,71330,86632,189411,222753,475818,412091,1338630
50790,139051,69627,83258,189530,229606,419551,392575,1180955
51212,75380,73520,80594,192031,234381,417995,389905,931760
50989,70125,72729,82475,188227,261932,373178,412416,951139
51644,65121,79054,82840,188675,234948,370727,390807,1151449
51740,62152,73407,81601,190589,234680,411846,400944,949964
51687,62300,71896,83602,187721,228628,422913,427424,913722
59264,60678,72587,83207,192098,231475,387150,407684,972788
53297,59698,72422,84109,188200,232285,384658,431086,974839
51164,59286,71646,112912,188812,232491,379480,408339,939175
52247,61846,71959,119548,200247,227049,455082,686460,956135
50723,60120,92338,97757,191830,244441,401450,423468,944423
51733,70851,107950,84872,190205,228762,381524,416789,1172433
51367,63929,110954,83519,186747,240937,333627,392564,1363862
51171,61664,90875,81514,188620,231552,373518,403386,1429367
51233,70260,79593,83721,185965,229458,406469,457052,1058592
52739,62286,76257,83372,187126,232210,350743,413929,853200
53208,61772,74195,83610,189612,229731,388928,396894,908897
52872,61071,76510,82934,188804,228741,400990,393026,891713
56171,61878,77003,86110,188710,227782,365909,401532,973804
57184,62691,72910,85485,188116,226448,391207,442197,941795
54565,61389,73304,82665,191156,235491,410106,407425,926556
52851,61548,71474,98844,188759,229991,432638,427624,908208
51770,59330,71089,90536,200489,231343,368828,436874,953095
52032,60173,71972,83402,184640,224693,373811,414109,1035249
52102,60300,72100,86166,198137,350864,388733,396173,1007841
51949,59572,82681,83885,187858,226627,389995,395189,839298
52113,63262,86011,82400,189306,226363,400457,386692,851717
52287,60581,78085,80772,188678,237061,354205,403221,988410
52012,59780,72972,87124,188231,228537,448614,429148,876268
51418,59599,73294,86386,191433,232963,393362,508230,947336
51236,61919,72335,90093,189072,234041,356761,386379,909577
69542,61253,72608,84715,188007,235341,394945,444670,1184673
55907,60840,71019,81441,190232,234526,368535,625121,921660
55489,61658,71798,82163,189065,237290,553993,462735,930001
54311,61069,72671,82651,188707,231216,360914,389213,1128591
56372,63764,72030,82036,196082,225540,275490,419997,913794
54605,60981,72437,81913,192601,228674,241666,382527,894612
52513,59363,99723,81372,188587,237320,226604,463669,1062063
53179,59899,83827,85061,187367,239546,240684,430300,897294
54412,65376,129623,84471,192224,233049,220952,450031,949617
57758,65109,85749,84221,187399,240949,217122,415732,868103
53150,67556,76265,89498,186611,236270,290905,409961,914351
52926,63578,73549,84312,188307,239143,232461,450538,881868
52063,61996,73174,83462,186365,228781,226237,414035,943351
