x86 FX b16,x86 FX b32,x86 FX b64,x86 FX b128,x86 FX b256,x86 FX b512,x86 FX b1024,x86 FX b2048,x86 FX b4096
1429078,1430075,1488698,1543056,1641640,1807410,1207366,4828508,4933105
1406515,1440446,1480313,1540785,1673490,1789571,1259102,5804750,9608587
1414025,1524102,1480277,1547473,1776094,1779521,1214705,8755145,8334327
1400775,1454581,1484764,1537376,1653347,1791374,1220540,10320226,4656360
1413505,1433363,1492850,1526020,1658540,1787831,1284490,6770682,9663080
1415787,1437518,1486326,1546814,1656460,1801127,1250905,3824108,8448106
1409713,1452600,1486874,1538819,1645757,1786182,1339124,6567456,9355446
1415828,1444582,1484464,1641265,1644248,1890621,1289357,6706796,43494079
1414204,1456198,1486484,1540427,1640191,1795132,1311293,2927353,9945696
1406295,1447365,1579483,1539500,1649619,1818152,1287186,6753469,4200940
1531026,1451946,1497491,1522079,1650887,1799365,1210091,6844413,10380981
1413255,1442960,1490555,1535329,1685966,1818116,1273305,3863548,8254818
1416923,1456668,1492224,1543986,1644223,1792764,1222383,5459549,4755264
1403867,1445693,1483449,1547360,1652180,1797686,1219534,11883730,9677871
1409099,1553007,1493025,1539438,1640879,1904030,1217493,5313765,7961141
1412751,1447811,1478482,1643275,1634363,1784143,1235009,25585674,5152269
1406558,1444094,1488206,1537994,1650358,1796878,1263705,8623854,9730664
1414189,1456043,1475159,1543445,1655764,1793718,1200923,4017160,8416230
1412770,1440821,1497078,1545758,1763701,1803275,1246469,6842840,5034644
1408544,1450764,1588546,1539068,1708452,1799756,1240895,6907771,9474784
1422996,1443162,1499592,1532485,1660459,1802331,1192443,3947903,8540504
1407861,1450742,1475797,1546766,1659877,1802828,1196533,6689515,4466614
1520827,1440866,1493078,1546274,1655050,1807117,1183502,6823106,10066274
1414639,1439262,1474529,1655067,1643323,1793837,1240755,4007797,21208352
1409310,1444798,1505046,1546964,1657641,1795667,1225518,6888423,6062240
1407969,1548258,1483922,1539562,1651527,1787309,1278718,7041395,10458037
1411463,1456171,1500231,1534343,1647923,1811738,1295914,3160431,10476018
1425179,1443795,1483086,1544122,1638991,1797275,1218906,7045040,6043625
1422591,1458965,1492320,1547328,1651127,1803104,1203850,6635494,34972729
1422368,1443134,1585079,1532320,1649589,1799602,1234742,3961788,8236486
1431824,1459529,1478240,1651769,1646167,1797269,1208122,6699214,4593006
1419364,1441120,1475860,1550228,1639315,1819117,1202012,6571332,9574365
1438299,1439678,1484901,1517707,1660399,1797306,1202693,4016648,8572471
1426444,1443479,1475433,1612970,1659734,1805812,1245403,12093063,4837859
1541208,1449418,1476839,1535632,1655815,1789760,1187572,20836897,9601131
1420321,1451922,1487547,1541026,1665469,1849451,1208356,5007834,8666455
1413725,1444337,1484305,1540527,1660271,1808408,1256555,6660591,4710080
1429387,1460758,1482846,1530632,1654895,1807111,1251581,5416165,9549220
1424284,1446763,1486802,1646537,1640126,1792647,1201954,3247414,8470721
1435974,1450207,1489217,1542991,1635990,1799732,1208571,7480081,4857096
1420973,1437166,1592445,1531573,1697701,1826647,1192657,10038725,9644287
1417854,1438000,1496254,1536937,1643908,1814185,1181735,4448517,8357233
1415103,1446933,1487636,1542410,1641532,1866040,1227015,6535943,4900770
1409135,1435214,1487012,1535102,1648873,1813978,1207942,5504317,9480336
1429977,1454659,1477931,1539096,1648985,1788701,1219830,2796206,8694129
1406494,1443019,1497390,1547043,1768726,1801337,1225129,4907980,4685269
1413701,1451591,1483034,1649171,1653864,1799166,1224590,4518890,10322893
1444194,1440361,1489068,1539368,1655262,1794663,1202329,2668956,8423762
