x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144,x86 inductor b524288,x86 inductor b1048576
184614,268984,203870,298718,260158,252924,342680,517973,776477,1168793,2001357,3667840,7625780,12810439,26887042,50832372,104033099
181654,263921,207146,297021,265353,254369,344838,543170,773385,1163980,2023528,3656053,8007273,13051582,26886593,54777724,106209071
183583,265291,204674,285597,255344,271026,381483,957973,1085010,1311159,2047554,3609403,8045522,12919922,27735588,50506158,102187199
181824,265875,214191,291210,250938,269919,412887,541150,666466,1132448,2101280,3646362,7845332,13018744,26682484,50969842,103492679
191920,275797,206959,279844,246265,272005,328115,515281,723098,1290770,2072656,3822004,7679145,13014887,27125901,50545075,102403694
183834,266190,265966,276779,257221,288642,403741,556743,1012868,1315992,2057249,3621735,9362300,12868965,26729160,50615705,103207479
191081,267133,207427,288064,250334,267410,427058,544264,658132,1240855,1982963,3761442,7987729,12919948,28411773,50860414,100633567
182397,275918,212834,283202,263918,267659,398099,555898,656731,1069783,2110902,3664633,7870922,12882618,27110659,51326497,103001299
180438,263696,204270,293147,273425,276268,387956,509718,1134182,1082275,1971917,3604099,8086695,12883020,27138448,50957254,95042017
192444,265091,208748,294391,265485,263857,333625,735933,782695,1308533,2151754,3614197,7895245,12873148,28399491,50268041,95066039
177403,263964,215785,287799,269978,283558,422375,590568,768568,1164896,2066988,3682072,7881713,13007935,27190187,50127335,99989854
178600,279675,203784,285726,263774,270876,448421,547944,1039647,1113994,2089587,3494957,7960941,12934345,27020185,51378574,95872691
178413,263792,212745,292279,255473,263834,426970,542652,692672,1305898,2048526,3681580,7930327,12911716,28836104,50726925,97069866
185661,266566,203928,290701,266423,284673,391124,549143,703302,1216285,2129955,3598456,7894858,13001353,27262397,50029036,95714047
177186,287523,223370,278088,249547,299291,393053,516141,1043284,1074656,2138520,3573197,7875359,12890802,27351802,50538584,96977136
184307,255479,204369,284941,257001,277453,383387,536394,654921,1069137,2050099,3607414,7886948,12957540,27031406,50670883,95950150
179292,259106,203559,279678,248796,292928,404080,536821,901724,1260683,1990389,3653437,7821036,12844203,27508816,50445434,100921961
177129,258128,213512,299933,240235,254965,385166,520519,1121382,1197387,2001576,3747228,7898909,13030021,27154381,52925500,108356147
177750,250946,203594,282989,230926,292796,391627,508798,720720,1070871,2130792,3450878,7869736,12812064,27247580,50432046,100610387
175274,251499,202868,287988,271645,294200,393656,534316,674735,1318815,2055117,3735299,7913132,12950714,27604729,51101294,100090776
178827,258853,206986,280703,268120,271976,445052,560194,1302593,1129305,2155974,3708377,7785879,12857955,27334138,55590522,100676662
176888,249153,206979,284186,269997,284862,387632,532045,745516,1105898,2227282,3631731,7858379,12859744,26978245,50435808,102339506
184821,250850,205962,286326,253106,297599,406270,581567,991304,1548692,2102103,3577257,7898672,12904422,27072640,53168848,98661622
177524,253150,204960,291178,246062,268078,397121,575446,798636,1189100,2209047,3630169,7861962,12905793,30138280,50688340,98622726
176306,250417,214528,288250,260809,256363,434073,509618,803724,1238000,2091942,3638374,7918074,12833330,27277549,53483473,114635843
178144,252126,205424,278839,253219,262390,405549,554025,1109740,2209596,2084975,3695136,8006190,12870030,26628184,51290554,99255898
176284,254002,203801,300598,241701,277027,416074,519776,678320,1190516,2083874,3647816,7791715,12986945,26991596,52383870,98600133
179454,261528,205189,280644,244484,271793,427037,529968,729872,1166913,2187931,3652932,8058960,13025007,27486605,54319109,97917918
177444,259727,204157,286205,246931,281913,427719,537590,1011434,2224070,1965753,3609294,7965192,12810667,26754514,50115931,103168211
185113,254332,204772,291835,268961,276030,399345,508904,636753,1164995,2151204,3660869,7873632,14260980,26730386,52755004,98363397
177157,264389,206497,281711,249400,268393,411301,527779,810060,1073144,2123317,3602175,7912590,14090287,26513361,50243168,99665541
177412,242046,215439,280291,271072,274450,402516,514949,1121318,2285856,2074625,3508542,7935328,14134718,27600973,51593222,105266808
177762,241190,203184,287152,257023,254236,424435,736427,739063,1179894,1994239,3339148,8018864,14260302,26617636,51792380,100626869
177283,241376,205203,279830,250369,282346,379768,593311,704244,1138342,2153171,3676785,7853490,14220509,26295815,52218833,103426961
173908,242131,205329,283845,267191,279734,396578,513921,980501,1070435,2131624,4376297,7895278,14154705,28377538,50498609,105736583
172417,243696,203019,287545,257718,268150,377521,504190,697873,1360345,2115035,4453650,7871205,14335476,26196875,51451293,101712532
180735,241371,204769,299869,262438,270931,423584,481800,695094,1259337,2113000,3693070,8047956,14300751,26634053,51464468,104590532
171959,241328,204664,286555,263760,253579,388007,520540,948319,1105167,2221309,3613328,7816495,14282294,26246044,50029859,99887219
171817,250660,215027,281929,255412,290990,345540,515608,686698,1307829,2139041,3600405,7803181,14282498,27548531,50143075,100481247
172882,238452,205025,279293,246495,273435,388894,525389,810130,1174075,2089926,3633318,7819727,14224896,26193235,49992604,98940306
171768,239875,205609,282648,261836,272038,388257,522286,742183,1083549,2098400,4653610,7801591,14219472,26885663,50294950,100739349
172077,250608,215471,289575,266211,271514,417842,524559,639070,1351867,2061672,3537544,7892475,14348003,26411191,50662491,99478935
172394,238870,205141,280756,272766,292218,380987,525461,632129,2225613,2125666,3629416,7788839,14054271,27887552,49826391,100967075
181399,240444,203225,278734,251296,279176,385806,540572,644960,1197935,2089305,3646053,7819953,14166629,26226000,50695879,100217767
171406,250241,203884,281552,257858,272441,416415,531920,597341,1175987,2082089,3549478,8019465,14171435,26460719,50724090,100862760
171788,240850,214894,287955,265372,257523,393444,510220,577529,1338625,2113543,3570764,7895256,14166961,26916503,50310507,101846529
173827,243584,211428,277416,251654,285336,380504,542265,833470,1147094,2156672,3565872,7778325,14436689,24581794,49902795,101469597
170106,239769,205373,279312,255591,258983,426110,522844,727643,1118070,2071197,3466481,7839200,14182326,26149658,50936647,100700814
173970,247884,216526,277543,240615,267440,342660,538405,651837,1334648,2111023,3713258,8003189,14109147,26962574,50640329,101616221
171681,243392,204698,291338,246874,270760,395189,537296,698774,1177338,2062801,3677960,7817371,14363422,26127207,51216486,101335706
180429,230398,207034,287020,267526,291492,346508,533832,654412,998698,6464777,3618152,7998318,14112301,33616724,51361041,102050157
172887,232987,204563,280967,270924,284717,410308,480213,614029,1285204,2157589,3611460,7903580,14147020,26102119,50765203,100674003
172562,240764,214204,280262,263382,278771,424425,499722,628054,1153388,2075593,3612027,7780103,14328579,26319498,52202497,101108163
174139,231790,205590,277848,259194,282935,394805,511834,812366,1059409,2104784,3690940,7881536,14108341,29625876,50974889,100328089
173770,233384,205573,289299,263227,289377,346454,504971,1096265,1291283,1841295,3636818,7899187,14278944,25921577,52118877,100613770
173779,232207,214112,277523,235989,279206,390164,705324,695195,2046594,1998743,3646215,7814250,14262550,26250682,55744346,108841800
