b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
12834,14114,28465,33604,21371,30146,28006,44218,86489,188443,1009461,2076991,2800021,5367495,19392464,20100244,37682749
12912,13083,30786,23842,19359,22575,27913,42448,102723,182966,1030744,1424776,2747330,5361782,20260489,19524143,37930486
12672,13545,26266,24931,24680,24326,32548,43656,89325,199364,1047494,1458342,2705006,5387073,19649988,19603313,37630014
13032,14088,25872,24764,24357,23989,26288,39358,124490,177512,1049966,1609526,2769568,5361637,20669992,19476331,37719648
12884,12717,25320,24588,22506,23706,26081,42318,98850,194473,1020774,1641588,2693234,5352247,20662105,19565290,37607148
12452,12758,26241,25482,22891,22895,25911,44774,114234,188566,1296719,1430083,2731951,5410055,21428131,19515471,37748904
12475,13157,36048,25840,23480,21637,32862,65911,90869,185809,1041290,1649184,2717560,5385815,19611794,19565046,37765166
22731,12785,26148,23653,23574,28012,27267,47158,106690,175146,1052458,889342,2725873,5364172,21381155,19612363,37565382
12756,12688,22738,29205,24045,21498,27631,45731,91717,187210,1071403,806411,2708795,5443837,19459463,19664919,37742537
12999,12830,23474,23803,23891,22343,26859,45403,109544,193690,1046438,846348,2778830,5355516,21160750,19608847,37611744
13171,13216,21275,24498,22110,25628,32762,48914,91620,185019,1331851,834402,2745286,5418545,19503031,19622142,37802245
12559,12599,23605,25223,22391,23553,26677,44766,94409,178459,1038116,820511,2741501,5396585,22521708,19581211,37894926
13152,13182,24758,23522,20952,22152,24213,51282,93499,176058,1059226,833553,2693799,5434251,19414557,19593825,37760420
12928,12182,23747,24364,27526,23478,24993,51009,106402,177789,1300202,835754,2796154,5391346,21053719,19698275,37776511
12867,12444,22994,24065,23166,21304,25354,54533,94485,190403,1047404,824438,2680144,5396461,19594456,19811002,37596249
12693,12615,22303,22340,23181,20984,25059,39985,93607,182149,1302440,818364,2773394,5384648,21803221,20125274,37556494
12228,13153,21523,22466,23936,24867,25443,41453,112175,180645,1046918,832969,2671600,5409072,19460809,19549942,37589913
11896,12216,22546,23866,22020,22339,27576,43414,85672,179095,1020162,831217,2801542,5415263,20362703,19565321,37915611
12158,13246,21130,23508,22007,23743,26044,43994,88561,176926,1031109,814092,2791368,5335529,19663676,19577156,37728770
12161,12527,23512,25592,25690,22139,26208,49282,103398,181768,1303501,811431,2817596,5390206,20451567,19567438,37992666
11771,12516,21396,21542,22096,29014,26237,44548,91323,170441,1054333,818433,2670195,5381315,19894063,19624789,38175563
11862,12588,24195,21740,29500,20856,25597,42122,111888,182963,1051093,892582,2831336,5390563,20225634,19608110,38064285
11818,12885,30943,23916,23826,25082,26616,63200,86543,181389,1301898,809600,2710117,5335421,19802322,19641408,38211446
12250,12509,21601,21402,23982,22200,26554,50676,97780,184891,1075982,825552,2857733,5356070,20631242,19636276,38181572
11878,13128,22301,22937,20916,23308,27650,50899,114916,178361,1030733,1944913,2682563,5377373,19933482,19435623,38379999
12160,12315,22074,23023,23943,22659,25574,42166,103635,188925,1051548,1660265,2795744,5332921,20520106,19491228,38143869
12083,12724,24441,31285,24412,21344,26082,43817,100943,187698,1142219,1653481,2701013,5384539,19836130,19523872,38237810
11890,12629,28057,21355,27313,23835,26595,45536,92883,173850,1054961,1425640,2817980,5369340,19373310,19516754,38277458
11969,11936,25248,24085,24231,23225,45204,60566,86940,178206,1069013,1659006,2692166,5336806,22805515,19528757,37842663
12142,12375,22261,22900,24173,22107,25251,46532,88076,188059,1309387,2177881,2805412,5353141,23664816,19511761,37757849
11902,12828,23181,23099,23689,22336,25207,48348,88357,175649,1039757,1663048,2781505,5353441,25449862,19556266,37956721
12004,12121,21867,21026,23035,21854,25633,44920,107689,195586,1287375,1683314,2899152,5314825,25541652,19595020,37998303
12211,11794,23222,23725,40303,20587,27567,42799,96240,200795,1023574,1183233,2635046,5351687,25495643,19550182,37905778
12039,12013,20802,22631,22310,21298,26060,46788,92927,180943,1060149,1662586,2786373,5382290,27388884,19587860,37917846
20581,12175,23346,22514,19846,22394,27062,44665,91130,187713,1049271,1673019,2661060,5323524,25830822,19537383,37592944
11372,11562,22092,22983,21386,21151,40016,41432,96734,198950,1044081,1435721,2757225,5410471,26084261,19597459,37649191
11912,11967,23577,22028,20364,22222,26029,48105,85278,178435,1024478,1669508,2704662,5357716,26884529,19568607,37525196
11604,11919,22422,23121,21434,28681,24757,44930,101262,195329,1066818,2799759,2765160,5395008,27908518,19551005,37366795
11422,12169,23322,22094,20222,25285,26469,39785,108120,190375,1048947,1654654,2745286,5392916,27809606,19622594,37897736
11826,11686,23123,23314,19911,23070,24957,38933,86747,194786,1055181,1656527,2767662,5438794,27748084,19406736,37572657
11882,11429,23609,21907,19822,22970,25330,39702,122957,185416,1081456,1661272,2829699,5384146,27143703,19627034,37423522
11690,11800,23004,21014,18695,20681,25029,40794,82224,191615,1320872,2446045,2811211,5367283,27986754,19721184,37488625
11587,12045,21917,21835,21256,22179,54208,64050,86446,179589,1043728,1665169,2807102,5364806,27191417,19627351,37427260
11643,11763,23147,21692,19127,22722,35528,53197,104393,192096,1056460,1442590,2806209,5371493,27301408,19473539,37365277
11779,12081,19138,20591,19783,21244,32081,47567,91754,181425,1075436,1659886,2726825,5422831,27244799,19439287,37181732
11700,11813,22272,31317,20979,25940,28246,57497,89485,188681,1306213,1661806,2872145,5375690,28211375,19510489,37333924
11761,11814,22597,22043,19587,21403,27941,47319,85180,177161,1053980,1410160,2676674,5368459,28506021,19347938,37445004
11797,11774,22882,22772,20806,24005,29775,49000,86618,190749,1039961,1676414,2902872,5305864,27997590,19260884,37275379
11437,11868,22635,21403,19431,21615,26467,44758,84295,200240,1320358,1684753,2660615,5375130,27360551,19333269,37485034
11742,11888,26642,22458,19671,21879,41854,43915,117613,192599,1077738,1417978,2760597,5397264,46815859,19246812,37505744
11461,12337,21184,23197,19782,21057,28358,42158,97099,198880,1044467,1436609,2737109,5305458,27591541,19376286,37568514
11546,12059,22151,23204,28740,22173,30783,40675,95018,182025,1077867,2873182,2817428,5299097,28130012,19545942,37874184
11172,11233,21112,21910,20230,22103,29808,54974,101865,189722,1057568,1664422,2771776,5219941,27883578,19502436,37056889
11404,11717,23061,29540,20323,21610,37236,44612,108668,188249,1274138,1424946,2759491,5221216,28347430,19443383,37138216
11125,11320,22064,28122,21919,21747,27606,40499,86179,180843,1024574,1694816,2712871,5225873,28311437,19465091,37664010
11158,10948,21909,21755,25441,22215,29866,42141,102187,189947,1019538,1157859,2791504,5210641,28066976,19419741,36942228
11218,11154,21903,21791,25161,23094,28766,48425,93308,200125,1036912,916612,2729766,5236096,27868658,19420547,37890604
11210,11169,21416,21872,23974,23178,30102,46905,89142,185719,1097419,877315,2793979,5248157,28581363,19394696,37342630
10969,11340,22634,20206,24175,23200,28167,44585,90980,182973,1068572,880251,2742770,5227258,27358010,19528230,37417313
12257,11338,21909,21925,23893,23438,31035,63904,87318,173487,1034127,836912,2760995,5290425,26194732,19480979,37236664
11146,21309,28232,21858,31903,21222,30881,48968,93548,189666,1010129,866175,2756516,5246537,28677915,19557593,37426929
11436,11462,30795,20464,25307,22353,28590,45228,94261,195454,1071912,829380,2833738,5237474,29438766,19490391,37317765
11081,11553,22056,20118,24397,23028,29429,44939,101254,170830,1062809,839302,2698489,5268830,27365421,19487498,37268029
11340,16593,23106,21279,25076,22249,31719,52839,99164,191506,1050773,874951,2755979,5243856,27091427,19493939,37787270
10862,12718,22999,21147,23776,21410,29608,40005,85309,180416,1064869,840884,2739671,5280500,28826578,19362577,37556525
11218,12286,20917,20405,22640,20916,25405,42685,85380,189159,1065360,827803,2772971,5315166,29219842,23280143,37203513
11490,11804,20849,19453,22671,20660,25834,43142,89993,188428,1067923,843517,2723753,5260461,28198460,19357857,37294380
11056,12614,22649,20235,26750,20735,26011,50188,91108,177492,1053488,815268,2759472,5241216,27924845,19882759,37036194
11936,11619,32959,22252,23074,21799,44091,42406,99032,174487,1035808,852648,2739487,5260830,28809813,19376968,37099543
10669,15736,19465,20615,24040,27396,37310,43814,106555,175275,1512185,1456121,2764016,5237239,29389536,19390966,37095403
11019,12120,25617,19887,23779,23333,25351,52821,88670,176339,1183786,1403439,2671735,5263133,28410497,19334441,37033636
10498,18847,21622,21017,30649,22377,25956,42961,87712,197425,1486649,1642987,2832027,5236124,27967429,19281342,36825727
10625,11720,20966,20535,24932,22226,24287,45276,86483,189690,1173316,1722983,2723575,5239868,28168591,19414919,37203001
10972,11012,21299,19975,23396,23587,25310,42474,109282,180624,1145762,1680521,2763108,5286819,29132893,19269064,37878097
10946,10934,21852,20935,23529,21579,25031,40343,109192,185319,1501943,1401500,2668602,5319717,28291357,19293337,37064507
10600,11312,23671,24580,23166,22962,26283,38114,85820,184278,1187880,1466717,2781262,5237034,29045224,19048718,37025308
10514,10789,21208,24261,23785,23755,26438,42936,110066,183188,1115855,2241650,2671520,5253620,28815351,19266708,37099241
11539,10880,23781,24738,25476,20712,25104,40952,88817,198188,1198168,1654132,2841882,5287545,29624539,19261849,36945376
10902,10913,23609,24974,25784,21722,25285,63324,95128,182474,1140269,1672920,2720091,5278193,29292312,19227132,37050597
10982,11150,23453,23679,24453,23759,25383,50779,101401,173647,1386171,1687062,2857142,5255121,29270395,19179150,36845503
10550,10884,20247,22978,24516,23572,30425,50813,94565,188560,1153321,2698535,2735612,5286831,28976718,19203421,36983617
10458,10597,21310,23561,24287,21379,23958,41797,88551,188045,1166447,1641491,2824510,5225719,29114601,19201050,37105891
