SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192,SHIR FPGA b16384,SHIR FPGA b32768,SHIR FPGA b65536,SHIR FPGA b131072,SHIR FPGA b262144,SHIR FPGA b524288,SHIR FPGA b1048576
192265,204212,234245,283901,312640,389196,853303,1109798,2125026,3915696,9735235,16388940,31338471,74901283,163714373,226397556,429227615
191800,202372,226156,274649,306545,372407,747235,1100620,3484323,3857975,9649751,17283959,31272084,74699641,176829197,225350005,441869190
200303,211437,242484,273700,299318,358677,739136,1115207,2084805,3928429,9765524,17107255,30547916,74740606,168702565,226238928,437791252
189533,204110,226009,275657,305540,364028,728817,1078437,2051873,3857370,9735221,15277920,30920893,74836408,163332419,224470063,445505795
190420,204885,225760,283158,296187,358579,731706,1112631,1999160,4065955,9695943,15632616,30676086,74844292,167718613,227275697,438472776
201063,200447,225410,275152,304458,358765,715236,1068225,2110822,5690384,9830302,15262837,30656411,75172809,162280010,224546414,443299479
190294,202961,245960,277686,291621,388615,718485,1075862,2173429,3884952,9701412,16097758,30595742,74735282,194458396,226161557,434337264
186637,207855,244451,278671,328790,356803,736571,1109497,3375927,3996716,9688645,17282885,30349637,74805460,162412870,224959458,433606931
189872,203414,223680,273326,299291,357835,728535,1413098,2114752,5710183,9946601,17098593,30494397,76116974,181935815,226039376,444730555
188271,209354,224987,278413,301975,365616,725126,1175714,2048327,3831265,9691394,16749747,30543136,74975633,164751175,224397836,440568277
189000,206861,231090,274703,293694,381752,732548,1114418,2003307,4046430,9652637,16796616,30559716,74870522,183385697,226432876,446395209
191814,213670,227360,276951,302362,362431,747151,1065347,1985371,5642052,9633556,16601405,31008388,81122720,166347143,240481963,437453609
185727,204189,230447,272369,305037,379585,721646,1066144,2089754,3877426,9669583,16765489,30710167,75023964,188087869,226123604,443553944
193296,216766,223936,273081,299023,365838,738511,1120076,2144100,3950709,10739804,17321172,30399757,77023915,173297329,225069154,425693739
189295,204302,232705,275754,300698,360883,727143,1106704,2106338,5647565,9614563,17106771,30525106,74752963,173760134,225288357,444289072
188644,211223,235692,276655,305067,370871,739999,1083155,2017803,3942148,9613463,16780005,30474377,76147027,175324002,224349591,434489325
199259,206279,227368,273227,302113,366898,731819,1100300,2018639,4002125,9596338,16849333,30433551,76342196,166040536,226253271,446432998
191916,209601,227860,276652,315568,362031,755446,1080294,1956369,5648319,9641244,16872666,30467304,76139801,170576889,224280254,444121723
189174,204252,242613,273980,4381374,365391,747097,1113391,2154140,3868475,9909491,17376999,31186154,76507445,168786751,226535062,430878752
199091,206822,226602,272447,461865,5954771,736913,1099363,2090652,3997028,9690982,16686325,31488165,76354012,173559336,225074310,440446259
188469,214481,229528,272943,320823,386370,734268,1085713,2069181,3953272,9702610,17137763,31273091,76421590,168578201,226294807,440261798
186690,207345,224053,274830,333163,376655,739307,1102491,2017027,3965142,9907986,16838852,31274864,76640803,170954488,224757213,435387876
188963,208884,225479,269751,315140,365278,768355,1088778,1998999,5766631,9889472,17316615,31257148,76682294,168347439,226444567,443940873
187745,207916,237336,269345,311263,378234,762211,1087427,2027858,3848366,9692998,16744614,31376752,76623462,170873083,224740505,429570483
186276,201951,223256,278332,307020,372705,728054,1087894,2109427,4003071,9834626,17222831,32460230,76602351,168782979,226791431,440638219
228703,206604,232403,268757,311310,389240,735662,1112274,2149213,5717595,9753383,17054899,31231293,76778490,185193859,224515021,449209670
191617,203751,239081,268104,301475,361266,723677,1087402,2034914,3838344,9592095,17663883,31237419,76628858,182110498,226415244,439234086
194215,203764,251550,267681,322089,360221,746922,1133002,1993523,4019382,9772428,15992493,31371765,76621143,195865108,224358914,443332947
187006,203394,240155,269209,301379,392378,915531,1392229,1969461,5797313,9712385,14093345,31262764,76616571,168986578,226324040,423370252
