b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
30803,18143,14685,16600,18900,13625,12837,16307,26643,30276,38090,51691,42852,39992,35137,42527,85521
19774,17980,14803,17154,13421,13303,12555,17125,63474,29875,35521,33768,45524,38678,36097,51085,58305
19628,18074,14881,17420,14135,12548,16495,16188,27434,31297,38892,35590,43113,70210,34441,39538,445088
20253,18977,15334,16677,13183,12358,12896,16554,27419,32067,37258,36048,45423,41048,35289,45422,43091
19476,18139,15153,16494,13395,13497,12640,17338,31966,31307,37128,35192,46250,35698,35155,54857,43394
19539,18492,15204,16437,13543,13287,12570,16003,33951,32750,36062,34635,46916,37553,35414,41951,45563
19947,17989,15159,17012,13548,13654,12625,15181,31576,30280,35201,37027,45439,35241,36771,62867,48151
19703,17931,14938,16973,13267,16339,12662,16310,29944,32073,35308,35192,90626,36508,35087,39935,88468
19408,17381,14714,16520,13461,12346,15556,16555,30767,30558,48437,34884,50217,38409,35229,48343,49504
19954,17906,14884,16452,12873,12660,34929,30521,28880,31833,35294,35912,46123,36959,33328,40718,51798
19680,17469,14987,16599,13479,13944,22089,44675,31839,32980,33869,35201,51623,36711,36175,48314,43173
18726,18041,14936,16178,14247,12474,15917,17284,28899,31928,36054,35156,43431,37423,33677,83956,41229
19083,17534,14745,15956,12934,14224,14447,15447,27386,29830,38884,34986,44531,39405,36127,40325,40371
19104,17687,14749,15906,13137,13001,14490,16551,28006,31011,37498,34190,44295,39299,46445,46364,46899
19686,18123,14568,16043,13214,13536,14355,16634,26780,34736,36166,34863,44238,36067,34286,37176,43837
18877,18073,14659,16311,13068,12532,13827,16734,32008,33952,36132,35376,46779,36411,34119,42509,48942
18676,18244,14277,16105,12892,12866,14088,16911,31904,31372,47268,34773,44490,35600,35484,37205,86008
19442,17732,14961,15609,12856,12510,14505,15205,28716,32095,34988,35360,43560,43109,42232,41232,48511
18695,18356,14603,15944,12364,12381,14242,16084,29068,30861,35701,34954,45639,40482,36861,73249,60685
18317,17582,14618,15597,12844,12516,14351,30977,29245,33715,35759,36044,43833,38439,34930,41612,51513
18308,17953,14572,15153,19826,12208,14406,18390,39527,31299,37160,33017,44302,36584,36944,80543,53830
17999,17230,14499,15516,12530,13455,14539,16809,27314,31852,38054,34144,43809,35476,34302,37468,72358
18021,17271,14705,15773,16510,15906,41331,17557,30140,34508,35203,34303,49044,38255,34588,43312,39207
18211,16904,14429,15749,16922,12416,15022,16252,29098,31996,36098,37025,45130,37415,34238,34896,52566
17892,17268,14628,15619,17358,12925,15100,17551,29766,30690,36125,36966,44147,36273,35598,40582,42906
53059,17285,14596,15380,17359,12790,15603,16363,35615,31790,36998,33835,42394,37914,34973,35787,49412
18309,17895,14793,15371,17611,13515,17632,38464,27695,33917,35031,38990,44544,37354,34808,48325,86548
19382,17492,14593,15226,17648,12672,15684,20792,26855,36251,34628,35505,44432,36901,35234,90849,49168
18710,17168,14426,15293,18035,13838,15410,18335,27094,31534,34794,35969,44152,37430,34964,41259,59026
