SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096
195763,243165,299744,355245,480967,736317,1337399,2352497,4420188
211372,236425,294810,352843,473837,741468,1306510,2331149,7816409
198455,249945,293173,351127,477111,728787,1342168,2343587,4569815
200460,247516,290936,348257,477554,719854,1309934,2315593,5367085
211483,247533,297283,358027,484285,727151,1332448,2375115,4523137
199912,237042,292441,356509,475547,733208,18233472,2344225,4434291
209388,243482,304087,357877,481380,724014,1398125,2359103,4808200
199718,233523,294404,349598,476712,715629,1340519,2353658,4540515
202498,239089,295428,364388,473575,712206,1342760,2359784,4448621
212345,238859,293665,355251,480574,722563,1386654,14845173,4401689
201833,243298,297847,350831,481122,714363,1342538,2368589,4425071
200011,235785,295555,354758,491674,718706,1366008,2550539,4447381
201515,239460,295623,369831,495345,722470,1302158,2433007,4427281
199140,238019,293703,353020,486805,713297,1354895,2418791,4679678
204471,237881,293732,350162,482064,717895,1400058,2391142,4528963
201530,249680,300378,361143,479025,723887,1378652,8779120,4501066
200277,247316,295924,356242,480020,738171,1311307,2469032,4448972
208622,235331,295128,362938,478187,711521,17495020,2349382,7890318
203820,239050,298036,371904,488487,722787,1337472,2344283,4421366
199072,243355,294568,351783,483523,713147,1375670,2392493,4783930
202278,234256,299397,354300,480908,729716,1345993,2346320,4509642
198531,247012,297678,353301,502223,742552,1410730,2358491,4497848
206074,242860,292557,351046,500296,712709,1359538,2373577,5083972
204481,247516,295823,358789,476277,711926,1549462,2363457,4515646
200789,235130,304183,354530,478709,739118,22031816,2557523,4402855
212213,245626,311739,352059,479733,731448,1233200,2377252,4689108
199471,234002,296638,351277,488762,722703,1241998,2363717,4515365
202020,236401,295198,356246,476673,720652,1290598,2349037,4501032
198665,238581,297662,351394,480199,715503,1279581,2365803,4509150
201796,239104,303813,350247,498794,718416,1302609,2353628,4410330
211511,237237,292277,351344,478832,722174,1286279,2551228,4505601
201158,247538,296992,353825,479254,732775,1294409,2459341,4468608
196748,246352,295908,353520,3642758,735431,1278759,2384388,4791623
210096,236525,305793,358991,495477,734964,1293215,25864275,4537821
201047,240869,295861,360996,497355,715208,1288749,2387383,4468331
204959,236414,291275,366244,488754,735650,27130972,2400414,4451337
198865,234475,295774,350407,477347,726228,1336878,2428720,4386058
200269,232525,294012,352230,478258,712191,1348205,2398845,4701207
209350,243962,307146,351892,500022,742012,1305741,2412379,4524695
201588,233673,294001,352261,475841,18850201,1341934,19186853,4434009
198644,242808,303522,346397,479908,726633,1324155,2423847,4420874
208994,235358,292525,352119,490044,713957,1331576,2412228,4390553
200580,246347,297571,348702,478754,738692,1384276,2443814,4379414
198535,239337,296746,369139,484994,720844,1407801,2408338,4378061
203919,241321,297628,355906,478445,716662,1388704,2414027,4728938
203517,236005,291365,359421,486562,718417,1367005,24285111,4507406
206644,240504,294942,354450,501793,715409,1389445,2411225,4466076
199786,235796,301167,355008,479505,722276,1410286,2438220,5351126
202786,244281,292209,359117,479813,722779,1403284,2413076,4454211
207712,236194,294089,362618,481764,721399,1433376,2592493,4424604
197406,237889,300094,360713,479696,718088,1405985,19145425,4681095
201817,235332,295297,359062,475968,726989,1374954,2430276,4500382
202329,240392,303253,349958,496854,726784,1374865,2438185,4437593
198571,240081,291820,350648,484395,741521,1391775,2402961,4415416
198680,237518,293618,350266,497729,737898,1400637,2417841,4432924
203930,250933,294496,351255,495693,719214,1402717,2412259,4447379
199378,239494,301759,352617,474777,719362,1366630,17000056,6513591
207284,242225,305107,351604,475300,720137,1369345,2399261,4517526
197585,250073,293771,352168,497508,729016,1383740,2390659,4421207
202067,252509,294543,347777,487149,724786,1383129,2386374,4404460
200952,240285,290299,348598,474843,721400,1382808,2379982,5236542
200445,245494,305734,349015,486996,720307,1393540,2388287,4492808
198776,239028,288524,357258,471908,738740,1385723,16090507,4435956
200697,237828,291702,349104,478303,725116,1376298,2560467,4633888
201715,239089,293443,346338,482178,729925,1388312,2667223,4487441
203291,241410,302533,350599,486547,740193,1380660,2692257,4437743
202745,238035,297367,379685,503835,730479,1381690,2586517,4429292
197187,237830,294970,359201,477999,722910,1367918,2534298,4435448
204770,233978,292151,351981,484840,719303,20465441,2431992,4659555
198635,239374,293953,352695,496303,737694,1391297,2422150,5406713
201779,237251,295530,350016,475612,716243,1385149,2575175,4534523
201085,239477,293669,351366,475825,719789,1382849,2563802,4436551
194970,234645,295064,350109,477490,720361,1382997,2484632,7556615
207753,233264,293513,349198,483580,713366,1404745,2522165,4466985
201663,245528,301659,350700,477983,720997,1382710,2457131,4426617
197842,247897,300855,367663,483081,720231,1378166,2412377,4647754
203065,2566258,292658,351410,469792,713213,1390719,2456012,4532664
197306,248202,294956,356045,476285,739115,1377959,2403198,4433698
199304,240608,295331,351663,472896,741902,21614226,2414142,4602881
202741,246203,319685,348965,485363,709891,1336499,2451353,4458369
198049,236723,292767,355723,505601,20449114,1350947,2422130,4433500
203282,246282,290298,359107,478785,722513,1320964,2469011,4628345
200581,233142,293615,3489317,480208,726456,1342719,2380083,4517432
202441,244728,306431,348841,477068,733359,1295757,2379270,4481721
206409,241158,293156,347272,3425568,719425,1296547,2392022,5300106
199253,255229,289577,348158,475599,716205,1379369,2614854,4468996
197857,238607,295851,351430,482196,723610,1382329,2463636,4403674
201738,240075,3643996,353569,474469,719974,1319595,2428462,5424743
207911,237406,291094,349724,475885,723572,1365484,2413682,4572776
208744,242037,295339,351826,470938,723678,1368013,2428508,4438973
203758,237606,298154,348310,478673,736163,1365821,2408691,4421189
198432,239969,292261,350852,482918,742858,1341174,2389208,4407244
203353,238712,295299,361580,476346,737841,1348161,2411295,6084535
198001,242131,297181,352890,482623,721062,1379784,2403185,4461883
202166,235474,302943,349088,479677,726322,1363761,2395582,4677599
200469,239624,292536,358508,476667,748580,1372121,2369478,4508825
200254,234973,294938,354085,479428,732447,1353451,2373198,4463459
199945,236743,295635,361617,467953,746482,1353350,2386295,4417443
202582,242583,291781,350739,477103,749863,1343719,2369083,4389870
198888,240446,304090,353177,474754,742315,1375301,9884711,4664662
218849,243184,294469,345432,487222,718359,1579539,2396827,4507365
202337,237593,296093,352206,472266,717699,1375054,2388260,4450093
196343,247627,296058,348225,486460,722837,5614473,2595262,4542857
202444,237638,305168,348218,475394,711158,1336027,2469735,4449030
199082,254866,302292,349034,478359,711675,1387779,2410430,4437013
209959,235492,295399,349992,497074,746734,1322460,2397802,4423408
200621,237528,291387,355749,471788,715311,1377556,2408554,4705021
200741,237214,294666,346213,499619,734930,1374040,2392112,4502137
201658,246205,310225,348432,492237,724718,1362877,2358742,4497168
197996,243646,294588,356232,482264,712078,1631226,2391919,4464868
199614,240451,298312,350046,483815,714039,1601922,2414871,5210503
203420,241113,298095,348379,478671,731573,1564021,2366536,4464123
201228,243207,305094,347601,493364,729501,4701095,2375909,4629470
207227,238812,296634,358428,482754,710422,1505857,2389837,4574086
202819,237231,291147,355499,477207,22871053,1481823,2376416,4477286
196423,239306,295999,360122,489711,736546,1442439,2400542,4489800
208392,237330,293484,351305,470131,715427,1452703,2375726,4403790
199633,242702,300064,351841,478423,734587,1425998,2390665,5174337
200273,241383,293376,352963,478236,718177,1426897,2384323,4788661
199910,248759,299930,349931,475215,719760,1412844,2393312,4566679
198464,238895,295667,345111,476208,718395,1426451,2395570,4472962
201750,258863,293555,355043,482533,730526,1416276,2597456,4474638
200967,244578,300910,346715,488021,736170,1407542,2456378,4423021
198232,239213,290264,349446,479488,734164,1412904,2442230,4410770
2646433,240142,296628,348163,482660,713477,1409919,2416967,4442033
202833,241939,296601,365337,475627,708861,1390858,2394862,4639471
201555,239292,301379,350481,480031,748733,1382877,6435832,4621328
200318,239911,290763,354560,484046,750869,1404800,2396690,4461464
207879,234686,294726,357080,482718,715004,1393818,2388484,4431817
201580,239428,295965,355736,483062,719716,1414706,2394465,4416707
196801,242001,290672,358043,478857,740024,1385287,2368972,5340862
202870,242871,300001,349504,472860,731010,1363276,2379652,4608963
199791,247013,296936,349273,478940,726098,1411840,2397687,4428769
198687,237578,292938,346418,480290,713899,1348541,2390384,4460633
205886,241325,297303,353024,475316,732731,1367646,2382379,4409979
196565,237204,301194,348028,489654,720070,1344155,2367446,14891539
208724,251804,304635,340221,474090,723661,1380262,2397352,4470658
198321,244909,295778,351992,3189181,718879,1371376,2389699,4688031
202792,247264,304264,357258,473231,744172,1365372,2399947,4522131
202088,237825,292765,353037,485067,722272,1354766,2374049,4428582
198350,235122,307339,349760,489357,715185,1361719,2600038,4423539
197582,235004,295299,348863,476531,727771,1368843,2445317,4408584
200840,245940,303582,360917,489270,740080,1378288,2425678,4416939
198370,239103,296319,352597,486902,24209528,1383053,2401406,4660171
204350,240834,295567,371418,477251,749601,1381734,2389612,4535800
199454,238256,291913,354896,476119,730514,1358981,2386620,4480877
203458,240021,295150,345880,486622,732890,1384318,2394263,4436350
204237,239091,297153,349182,484285,730341,1346619,2406399,4415964
199416,241050,292074,344234,473795,737351,1383810,2384778,4378295
204630,243554,301560,349173,482502,734146,1374975,2399080,4799773
205617,237705,298180,346279,477414,747418,1370933,2381756,4596623
200897,240251,291490,352272,479842,737901,1360651,2397948,4453495
212445,235295,294139,347920,493950,756871,1401328,2380194,4413159
201089,240215,317589,348965,482694,744561,1345292,2371334,4425168
200398,237733,296774,345557,508201,733955,1365452,2419706,4469771
205311,252977,294449,349576,482949,719596,1358990,2404216,5147160
200993,240872,295882,351531,476188,737854,1362911,2596111,4679888
204301,247621,295920,362589,476507,720531,1420106,2478982,4535593
206923,237687,310357,349567,474614,726692,1393895,2442548,4455529
200132,233722,304798,349045,474687,739249,1383447,2420594,4440071
210399,238521,311803,353887,478234,731503,1382466,2411532,5169658
201709,240526,290642,361839,496677,726684,1363374,2381531,4649794
203192,238388,290735,360083,478550,728847,1375864,2365138,4545382
203968,241112,301870,349103,477332,715842,1377292,2386872,5318710
200310,236615,300367,348915,473766,725781,1376370,2390472,4502771
203745,241416,348146,343543,473208,742884,1423747,2397785,4446626
202209,236637,298908,349218,476233,739662,1445586,2391832,10773899
201634,238696,309783,354653,476908,727685,1423148,2367097,4455267
206623,238268,292368,343897,488065,724766,1421878,2375270,4660332
201037,240325,296982,351170,477541,736329,1389153,2408431,4493435
202581,243886,303854,348170,485772,738265,1417351,2367516,4469786
204256,236409,308678,351077,476033,724682,1404116,2379290,4415615
202026,245530,288978,355538,478381,732010,1419082,2395380,4395799
198632,238101,289172,347363,476645,718463,1423212,2374696,4379703
199216,245336,299194,1679178,486294,743465,3476158,2383661,4631132
201434,233090,289880,348943,488308,725290,1438513,2387386,4492578
211805,245032,292794,350683,478894,719207,1432539,4987497,4440104
199111,237017,293376,362904,481963,723981,1593713,2584223,4388658
201333,244988,292994,350705,479179,728208,1485319,2482672,4464848
205835,244865,294677,348173,479034,736438,1447753,2455763,4398168
201371,243854,290843,362866,469752,722481,1442612,2402338,28170894
201616,237060,286916,352530,482585,722506,1403054,2410800,4535329
201342,236489,306683,346838,482819,735967,1441977,2415671,4467573
200007,237414,297840,353434,481311,719970,1429453,2456259,4472999
206572,244837,301849,351263,473859,719829,1442907,2433993,4421769
199881,235222,294367,353508,492765,717235,1417567,2389219,4399443
200702,237389,306322,354288,484288,719628,1446586,2386919,4437829
204933,237890,336572,353767,475651,727712,1418211,2374758,4717536
200348,234744,310929,360834,489150,722650,1424743,2376752,5399374
203524,245402,311508,347478,491066,714866,1411643,2372875,4501040
202959,238224,303496,345687,3727595,725432,1416804,2351401,4516869
198638,242313,304014,366683,496580,714248,1455833,2387184,5180376
206694,241748,312690,348105,498824,726078,1418202,2347256,4684557
198005,246365,299374,349457,477712,726753,1436174,2540890,4518941
199894,238694,314370,351312,483189,713316,1401332,2455727,4478628
199552,250075,300670,348374,479830,725483,18371556,2417846,24113118
199232,234779,300920,347455,477275,719687,1441678,2426610,4459669
200202,244253,305366,349603,488256,731943,1414053,2397760,4405332
204759,238239,301927,355876,486830,733046,1406407,2398175,4488115
201158,240637,299045,354064,479842,722559,1412580,2372406,4777649
203986,238472,310499,344421,483721,713574,1412917,2357971,4481453
