FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096,FP32 eager b8192,FP32 eager b16384,FP32 eager b32768,FP32 eager b65536,FP32 eager b131072,FP32 eager b262144,FP32 eager b524288,FP32 eager b1048576
29343,35914,58338,70435,104402,104389,291862,307668,495694,1014042,1766343,3585123,7951729,14793215,22651112,46190152,116304768
29749,37142,60135,69393,102919,127168,277820,385534,445974,987753,1770829,3577135,7961629,14905424,22580977,45040198,87081585
30123,36228,58258,68658,121182,136971,321168,363425,491641,934295,1782604,3569814,7970277,14890580,31019147,45125791,87637093
29293,35949,59420,69368,117869,128455,319504,354086,635859,845692,1799288,3556926,7945100,14852636,31130549,44701733,89727503
28868,36587,58894,71519,85922,124702,325110,342637,561463,957485,1778077,3552767,7974849,14794952,35741694,45133467,90628948
28742,36990,59297,69631,94347,114081,217251,343249,478556,1029117,1826124,3542963,7969638,13620584,32073283,45354263,90128195
29593,36374,60406,71237,84271,120763,238059,348919,511557,906628,1764537,3558640,7880619,13558045,30895677,44730020,90756591
35153,35844,59648,69754,82122,121205,247182,376000,455860,1010133,1774561,3588630,7951293,13625992,32121289,44751316,112495955
29385,35670,59699,71176,89858,109585,242349,343957,453273,973058,1764595,3573114,7946358,13563385,30965856,45597578,113585264
29653,36897,60674,70089,88110,107632,331039,334841,640787,993612,1777531,3566436,7909439,13562992,32020509,59382394,118084621
28925,37004,61806,69609,91372,119677,308617,454323,571729,1010702,1815970,3576135,7921480,13512285,30943809,59875570,118491573
29717,36296,62100,70312,94167,120315,250669,262469,521924,925192,1843600,3605330,7973596,13600454,32081101,59458526,119574439
33425,36482,59329,77735,87344,119650,362902,240169,476947,941743,1763872,3544697,7912732,13604824,30984199,61519906,118397279
29929,37231,60323,69883,85255,108136,272569,279339,461020,983971,1818520,3553988,7970082,13666885,32048915,61667755,119141606
30225,36142,57843,70915,94257,102253,298137,289146,460135,985274,1816988,3552203,7930525,13627165,30941313,60978168,88338361
28943,36077,60874,82384,84477,105552,229972,304785,612794,952744,1830676,3593660,7974927,13636627,32013782,61903193,88907902
29758,35772,60273,70682,83709,108418,334318,352175,559883,934457,1788336,3597058,7893219,13614254,31004630,42993551,89701261
29185,37187,59463,64971,87026,121787,409563,363979,505626,947607,1784584,3561739,7998117,13636600,32013927,43657875,92244380
29099,35974,65556,72116,84963,109853,164181,348015,495819,960045,1728263,3581258,7964959,13672412,30891430,43007664,92509448
29620,35951,59361,71009,83333,104545,151709,348843,445407,976265,1793982,3589462,7922337,13630728,32044843,45131630,92275786
35818,36472,60908,76113,82317,107843,144989,344222,447863,942833,1775581,3549269,7986865,13598712,34436624,45273027,93176642
29350,41985,59009,98891,101338,118950,145462,348483,608007,977074,1812259,3523716,7971071,13637090,32083588,44706069,92283485
29218,35911,59697,68896,82757,109831,143682,339730,593162,943774,1797684,3538188,7923285,13593635,30918267,45248084,92357428
28176,35822,59083,65691,82133,130917,147361,338297,529961,955797,1800414,3574355,7969315,13578985,32050264,44851119,92141565
30154,35619,60111,71750,94729,108732,147121,358108,476430,1043152,1778728,3561141,7945881,13559410,21766884,59629313,92368660
30897,41468,58565,81079,83443,108504,148181,347247,473091,977598,1834832,3549253,7922713,13588286,24234794,60282508,95132423
30197,36902,67425,75882,83712,108305,140687,315364,495317,972508,1741820,3580281,7924003,13595940,23708216,41984066,90993891
30963,35911,59470,69420,83938,106583,141135,365628,638399,983257,1816264,3541627,7968009,13614633,23740471,42241113,91384150
30520,35671,59228,68604,86578,109681,152211,340681,594658,918173,1748326,3544446,7911224,13709993,23665708,61765577,91272442
30368,35439,61246,70428,86294,106630,142327,442579,539646,944491,1803450,3547084,7985064,13656453,23669521,62022058,91378004
30187,37075,60044,68500,85047,125519,153541,341649,537592,978050,1787920,3598096,7977452,13794226,23713717,61646820,114714916
30301,35943,60240,69345,85790,107812,149627,300833,529439,959510,1815990,3558224,7987550,13560661,23712860,62061492,114341206
30167,36822,62710,68180,83341,108402,169113,342655,645279,985225,1818030,3572715,7936291,13598838,23782521,61941923,115392259
31167,35950,59835,69526,81030,119778,146000,384380,568581,980170,1827904,3609174,7967247,13631316,23745804,61904270,86675055
29767,37402,58117,78221,80363,110445,161493,359234,525061,970383,1793875,3574882,7975099,13626929,23715567,61546131,88442596
29269,36249,59332,70054,82327,107277,162997,348734,491489,961667,1784272,3545388,7884024,13588241,23873101,43106519,119829911
29780,36318,59120,74902,82502,106399,173564,333591,500663,978952,1718950,3544151,7949579,13622128,23834582,43803641,120458072
29060,36652,59673,76450,79448,106193,163159,374399,472892,912259,1747757,3527623,7963760,13548701,23785655,45158728,118387766
29009,37176,58098,97810,82686,110565,166412,337098,600684,822524,1751962,3527757,7951648,13630835,23750236,44684504,121752667
35270,36899,61242,69886,81170,105712,173225,369206,551967,892876,1704069,3549471,7954743,13462780,23905237,45082929,120998449
29979,36676,60076,78543,81381,107713,172982,338214,498266,972190,1726998,3524187,7969402,13640452,23730660,44989502,121170445
29705,36057,63045,70339,81131,106268,208465,358916,486753,855328,1724462,3552802,7903872,13627859,40388830,44695154,120514180
30496,37052,58780,74575,89187,125829,204545,361097,449763,864752,1693473,3550321,7918845,13573720,23712977,45293612,121553459
29321,37388,60974,69531,83221,109360,249268,429023,448281,946329,1729680,3527339,7947522,13552602,23982348,45376995,121317236
29123,36552,68795,78931,95509,106622,265688,304730,611354,822654,1730491,3563418,7964363,13588467,40500387,44797351,87811336
28878,36531,60134,73480,103088,116287,264592,294596,579917,972054,1707633,3556349,7936203,13623475,33395033,45108335,87534531
30408,38988,60117,68938,97898,110488,206819,285385,511298,906790,1700378,3536069,7976642,13638398,23748789,59680559,91661205
28880,38465,59766,82763,97288,114531,331914,283769,520576,843745,1742845,3575577,7951928,13536274,27758763,59360537,90716333
29047,37781,59664,69592,96305,136359,278290,315938,463653,970680,1739897,3525319,7940985,13595939,30721426,61385351,91028485
28994,38760,59495,69081,99026,105364,247865,283597,478827,896386,1686695,3526413,7981429,13522710,33397111,60877795,90820360
28926,38739,60204,63528,100264,108987,219998,324382,561139,991956,1729001,3475146,7919351,13606971,23681360,61174363,91145299
28871,38036,58811,78281,102910,109277,238377,363289,551435,922184,1717536,3580443,7978109,13915306,23683628,61472237,90998555
35368,36038,59953,70064,119677,108506,214865,310021,498828,846264,1726998,3550800,7960603,13544572,39922199,61112927,91676332
30005,36239,60399,78019,100831,118597,287339,360733,486113,961214,1717410,2771230,7947266,13639005,41173804,60121187,90821593
29261,37343,59418,69872,98353,109792,327478,322398,449445,873382,1696854,2724023,7892342,13574768,31084578,61003219,91313949
