b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
71242,77211,82306,76769,98472,97052,298497,370040,635641,1284090,4247682,5562528,12408920,22012432,76271768,76514390,135127348
71225,78886,74641,75537,93906,97409,302146,340065,667261,1357259,4340852,5467652,12570959,22047112,83751468,76004844,135069953
57700,82352,85817,77561,93681,109002,1712966,364017,1978614,1320425,4291344,6198191,12351032,22933828,87386257,76151643,135285322
58067,78324,88112,74197,91777,127093,338578,343236,712497,1325064,4392879,6780285,13362743,22103784,85646106,75899374,135011052
56698,87065,72777,76032,92212,105639,309816,377263,634509,1327630,4277548,7006161,12376745,22972799,79206748,76186613,135673706
53617,75642,73044,73993,91781,106651,289486,405858,618684,1301729,4477148,6867705,12440236,23023581,92150630,76017094,135226824
53816,76998,84225,74114,96053,106800,286223,373384,659212,1329866,4417793,6975280,12319116,22096307,97844067,75903658,138296802
55074,67625,83423,71765,95058,108665,306192,382437,686401,1464809,4304724,6848149,12486795,23036601,77197781,75506533,136335401
55952,75010,72659,85793,94709,111169,363022,351268,757713,2966785,4459559,7005356,12357040,23040373,78230250,75405934,138401893
63635,67732,93898,83355,90645,106380,277911,378192,1896667,1262045,4469490,6628529,12542267,23012511,86936194,75714687,138908252
67468,67497,83454,83780,95099,113039,291170,367803,656453,1339829,4273003,6915591,12454314,23067174,77149687,75773757,137076799
56968,67860,75426,76043,92456,107332,316155,380740,645569,1291041,4347507,7188906,12566987,22971665,77172994,75691374,135137298
55750,65722,93219,90533,93038,107158,296147,346059,708138,1310573,4348127,6791537,12400836,23978562,77541357,75843648,134419190
55675,66193,75955,81174,94080,97623,284148,416079,697593,1249226,4338666,6530151,12448551,22062826,78328102,76323347,134525851
59459,69699,77871,81383,92430,94326,307049,454414,718614,1302670,4317714,6725873,12460212,22047360,77957998,76328684,134202817
55997,70077,79575,83357,92280,104784,277191,394737,685374,1282797,4352193,7260315,12430570,22098678,77362524,75628426,134912256
56194,65836,76495,83844,70961,95094,312527,371374,1944402,1342343,4358771,6674922,12411289,22130820,78371096,75932788,137623904
55742,66480,76250,83788,73696,100153,327132,363429,737243,1295354,4332863,5498056,12345951,22124110,84451294,75756809,136653950
58245,66568,83095,81266,72805,118013,318845,347689,714023,1339923,4347229,5782513,12340763,22050004,78993922,75713057,137289844
77611,54935,67951,89615,74100,97952,326430,342621,712465,1283633,4351158,5477611,12533566,22062026,88536309,75359620,136155861
56446,56429,77509,92671,71990,96313,288199,392367,693357,1352181,4321271,5530861,12428238,22141480,75972232,75379624,135461792
62206,55790,81475,79870,73216,95109,273114,355331,697970,1312015,4373496,5456894,12549299,22130972,79033518,75341195,136399249
55949,54941,78647,82877,72605,95370,307127,363441,639843,1413193,4345045,5491893,12482005,22085355,78141674,75162441,136595989
70429,53754,67398,80475,74289,177946,273870,374871,718764,3085050,4281280,5478734,12612107,22120198,77239692,77585312,135234096
61213,64314,90970,82438,74073,109030,303300,399757,767232,1337290,4338594,6069105,12450207,22175320,77551077,76036287,138109152
61136,55805,81253,82568,73418,108785,299985,364958,718488,1420215,4354022,6729002,12527115,22163464,82135307,75836055,137413748
66093,56027,71644,84992,74221,109784,286161,358875,687436,3076343,4283014,6113316,12720786,22105699,81782917,75880147,138009264
57496,58326,79210,83517,74101,109001,289912,371194,1821246,1371901,4388928,5486966,12586694,22251126,101324474,77191627,135897100
61346,56004,69570,79340,86813,107448,283074,354003,644713,1397870,4389054,5503415,12762751,22162893,92815645,77061278,135748553
59295,62008,72810,78502,82454,106209,302454,350715,658353,1371652,4270091,5503331,12612823,22232810,80501057,76866817,136812936
59495,62148,69582,81857,74204,119590,286011,443469,1902825,1418852,4418175,5493626,12423000,22226409,84169170,76964085,137601971
58767,54075,70955,90871,72543,110118,286194,340620,714953,2986094,4359903,5860967,12533174,22171038,86469840,76838296,136564242
60111,56600,75796,80905,77011,106464,264464,343696,716925,1299454,4458050,6537021,12757148,20228512,79219717,76953897,136771118
59844,55744,79673,85060,73864,109002,290809,332947,1781950,1307490,4382703,7349572,12693433,20182953,79785830,76564089,136809067
59368,56109,76778,82502,73779,107285,289458,357073,621101,1329151,4244789,6843159,12708527,22795480,79765171,76958318,137034687
60260,54827,74499,83508,72434,105166,397212,352340,621284,1432709,4405339,6897598,12309273,22090635,79111861,76612770,136472940
58459,55867,73795,77053,76111,126753,278668,355167,732341,2997953,4254927,7293906,12644736,22757092,79326053,76467556,134595555
59272,56807,75934,85231,90184,115533,358035,371771,759513,1315022,4384409,7267117,10694605,22787375,82542241,76524766,136958832
58660,57997,84451,85198,84469,122940,325183,341009,730181,1351700,4472623,6862676,12684469,22767785,85893128,76404065,137482548
71391,55061,68405,79120,80758,125739,309192,346741,728066,1390794,4322328,7226636,11073070,22753375,78994140,76681256,139417451
59569,57411,69868,77640,79687,120528,339532,335222,1762370,1341153,4282319,6927267,12597118,22764014,78969607,76513100,135337111
