SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512
188775,202587,222717,3291278,298997,372511
192243,212923,230679,253314,320587,362210
190514,203570,223134,250165,318250,365991
195671,211822,232994,250213,298064,8752662
192850,207446,243866,250020,306783,375252
188466,208823,231364,252234,296483,378846
199259,205608,230006,251337,310473,366909
191174,204746,228085,251602,296302,392863
191084,214639,224003,248840,301651,365832
192751,204464,230941,261952,316744,381846
188625,215131,228987,255907,328034,364406
189609,202550,234656,255908,307016,392306
195082,204631,235072,256185,307976,381362
188728,205378,229739,253361,299158,363651
198454,201969,231867,269516,302659,370701
191022,201374,221659,255170,307137,364824
189459,210980,222639,259230,305981,363594
197224,218963,228997,257724,300152,373385
190936,202219,223170,270322,303836,364563
191662,201140,223476,256256,297750,361340
192373,205054,230240,249527,308623,359723
191823,200988,228874,250166,294690,367024
188220,206206,247415,251826,321151,384153
195853,202504,228381,249818,294732,440182
192268,213810,234085,250712,303323,424195
209675,200800,229803,248801,300395,427393
207632,202576,224790,249678,303059,422985
188289,203938,229866,249340,295912,423382
195420,204786,235812,246580,301648,425237
191242,206141,234647,247194,306550,424393
189316,205683,242809,248705,309905,434069
193063,207049,228356,250182,296220,379624
192509,200358,229601,250797,305474,371378
196763,205672,225187,250205,291653,360860
192570,206497,228263,250797,313048,363691
189386,203088,226283,250687,294294,371470
206153,205022,222520,250834,303705,385084
190583,202054,238397,249892,298108,360614
193683,209026,244907,258777,312608,387612
192441,202155,223881,254138,303613,360454
191861,216059,228078,257272,309553,360133
190671,207827,229005,259988,297142,359532
192763,203615,224879,252247,306371,394762
190127,202906,240062,257639,300833,434636
192141,202138,224280,249998,300985,437602
191686,210444,230779,247729,297971,11278457
189742,205439,235383,249496,308866,372387
287604,212758,227151,251136,325614,362973
251748,205314,230664,247556,304325,367158
220273,204619,224238,248753,297303,369024
213539,207487,224882,259612,303881,362016
219642,205864,224751,249022,299158,359237
212184,203707,227411,247891,312962,364112
6388911,201491,226379,264696,319796,370722
245472,215030,244269,265566,310578,362890
232041,203543,224674,250248,297256,358212
213233,202184,10106853,249692,307047,361945
193757,205577,238579,249927,324314,367729
196357,207833,226905,248706,310859,360405
190846,205601,236903,248000,299390,359944
202585,205724,227588,250231,300622,389529
192910,217629,229535,249833,316855,435706
194447,209405,234610,251079,313469,434973
202639,211986,225039,249882,297288,429160
193023,206091,224535,270317,304981,422745
190624,203768,226589,249310,296859,425242
193822,206428,228075,248819,327820,425162
188425,202983,230512,252551,306877,420135
192589,215951,223376,252034,298678,424966
191211,204010,223291,251733,297651,362932
192859,209921,226044,257213,14135035,381813
190704,204726,224187,254174,318817,360477
195305,202560,228140,257641,307926,360210
189929,207671,222147,257426,317118,360120
204124,204641,228333,248690,316087,360368
192228,207038,232052,254439,301892,360958
191081,204115,229766,249334,307333,364798
195489,216106,222007,246892,298225,384775
207394,203221,233157,254289,299849,359505
216704,200420,222307,249849,297133,365436
193993,205543,228989,250395,316911,402515
188446,200711,228201,249802,300806,426348
203937,207023,247819,251870,325882,424376
191647,204574,252358,247962,294081,367811
190941,214512,224095,249442,307955,379159
192256,202659,222449,263767,311580,360615
191131,203389,231678,266429,314743,360022
189186,224366,223989,248689,293294,386253
193421,219531,223154,246148,302340,359377
191185,201453,224580,253052,318578,357246
201684,200179,222262,250702,315073,363880
189546,202234,231865,249775,296269,10713784
190762,201294,231636,247467,306594,396923
203154,211694,231810,246106,312904,391606
191040,207873,221517,250809,320875,375807
191295,200418,222322,249676,295381,378777
195165,204157,234579,246158,301021,364122
195748,206417,228139,263090,297363,382294
201224,220285,228308,262662,306216,370600
192518,217529,230769,249958,295784,390833
193310,214330,223323,249749,308348,379673
202200,203302,226564,3363118,295746,367005
192173,211788,224350,267002,310746,363828
192062,203821,220888,247558,313219,388427
211630,203712,231750,249843,301252,376459
205799,204908,224254,252051,302258,360891
