b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
48533,50187,51758,48662,37262,42543,50270,76209,137209,187243,268967,344093,684621,998695,1671042,2889867,5579028
48506,51164,55122,50027,38269,41232,48634,70717,119026,190207,256721,348623,680614,1001566,1707930,3027887,5157394
48091,50583,36755,50108,38063,41043,47337,73004,119789,184562,272571,338403,670980,984628,1691626,3013537,5528518
48697,53363,41958,50497,37076,58229,137642,85639,114094,183652,273338,333480,686795,992377,1679405,2922833,5263501
51397,52653,41629,49705,39195,42351,50628,70719,125293,201093,257584,346554,674976,1025681,1708297,2982229,5818518
48525,51288,39378,50571,38623,40786,51567,84349,122784,188739,258059,337483,710381,1014134,1684390,3055051,5631008
49310,49046,41454,48013,37711,43029,49200,70467,132581,191165,268573,349339,667565,1037370,1682979,3004276,5774505
49491,50646,37893,48013,45640,41296,48679,68448,129197,203436,256311,345886,684740,976179,1682239,2888814,5447666
46106,51878,39635,47646,39687,39795,47513,70767,121896,197163,267073,336874,675508,967808,1674406,2947940,5641649
47640,50667,39858,47238,37082,46031,49466,75701,130007,213423,263376,333780,765103,1019414,4975747,3059610,5520026
46015,50312,38094,48234,40477,41850,58740,77957,119612,201753,263061,345198,697506,990617,1709898,2960928,5706381
45918,50701,37622,47826,65944,50798,49647,71766,121231,190404,279124,341933,694737,1006971,1697303,3055091,5628319
48717,49822,37103,51782,44698,40563,49061,69654,139379,187554,271218,345463,700718,966479,1678965,2874079,5463664
47064,49609,42910,44757,40209,41727,49774,69558,128825,186052,257301,337723,680737,971638,1770396,3065587,5699209
46937,50819,35888,45924,37532,42607,47772,80594,129014,188329,262226,341000,711770,991164,1678663,2888468,5802182
46156,48339,39563,47256,40375,48968,47556,85948,125377,186490,268961,345764,693846,987942,1680152,3001343,5805220
46661,61170,37862,45862,41832,44673,49056,81432,113163,181108,270480,345316,713953,981027,1715399,2906960,5574870
46046,50296,39592,47108,38989,42202,47889,73999,112444,189746,260408,356709,687984,969718,1663719,4208255,5595719
46004,48815,39396,46261,44241,43938,48626,72579,137314,191915,259073,343385,711908,947682,1704112,3100079,5717777
46269,48261,39202,48459,40172,41743,56501,70440,127765,188077,266016,354440,685971,951066,1689917,2956059,5727455
46040,48640,37343,45724,49382,43750,49187,69357,115756,178569,264940,337062,703424,970184,1702618,2968355,5846829
47515,56761,40029,46682,40476,40439,50402,82696,113491,188855,259337,346299,700780,978918,1649846,2858888,5939124
47768,47581,38414,43202,39980,40481,48786,71748,121673,191889,262648,355518,721715,981955,1669007,2943142,5724369
47655,47767,41604,44008,40067,39901,49047,74436,119079,184963,283619,345430,694396,953542,1683393,4384091,5731001
46746,56090,39704,43545,39745,40217,62397,73924,143681,216128,283489,348354,723223,948408,1704797,2974092,5600125
45946,47834,41067,43500,41487,46841,62717,70704,132081,186113,261309,354482,701253,969285,14983200,2954254,5619466
45726,46811,48316,43728,40237,46200,50269,88180,119275,191677,268229,367091,668900,982428,1684185,2833684,6083599
46872,48857,41280,65909,37937,47998,49559,71738,121431,194208,280310,349909,686000,966756,1673435,2933696,5504784
47054,51284,42248,43150,36872,42119,58471,70206,111560,191227,271019,346352,716900,981343,1713113,2989591,5693828
45184,49192,40581,43336,36337,40201,49928,69574,107411,193113,252122,356563,705357,967914,1706997,3119241,5536697
55328,49603,41806,43733,34607,43692,48730,71088,136146,191512,266396,353412,681746,944139,1814668,3107919,5506650
45486,47271,39358,45566,35841,43557,49184,71563,134178,196765,281236,344991,706246,971441,1700786,2982923,5666402
45917,47874,39598,43871,35246,43498,46710,76373,123127,200338,267306,342728,728039,991399,1761435,2983490,5499303
46641,47900,37576,45019,35291,46330,49052,71298,119103,196377,260745,345998,855682,976191,1821794,2817333,6807442
44110,48702,39202,43287,36366,41423,48616,67673,110683,198992,273424,352292,728542,945160,1711435,3043231,5439125
55331,48283,38193,41374,34625,40611,75404,86235,117016,194631,272325,351356,695647,963704,1732253,3021062,5554975
44484,48927,39570,42150,36347,43243,63273,88042,133296,192060,267121,345675,701314,960001,1716386,3010604,5522172
45363,47340,40017,41955,35723,39381,59524,72854,122423,187683,260219,350131,723705,944569,1758547,2835235,5526560
44329,46796,39542,43154,34412,47102,57653,73195,116422,200130,259834,338820,727827,943732,1703460,2895318,5531336
45611,48230,37760,43781,43120,41007,55676,71344,112724,190090,272596,353083,745144,975201,1749882,2912713,5696935
50165,48489,36427,42648,36552,44020,65469,70550,111612,208244,260935,348824,704494,976728,1734357,3152671,5399720
44941,47967,39895,42444,34216,41174,57489,71537,112372,193017,271364,357298,690139,980510,1731575,2987926,5564514
44362,46151,38962,43266,35178,41368,63215,73252,139641,192326,271588,341921,704952,957109,1700386,2860932,5687236
44196,46728,36951,42402,34671,40907,56945,67767,121085,188045,267847,343417,704120,974289,1812688,2909086,5406936
41851,45861,37867,39730,35135,40927,54668,68824,123675,191222,267312,349200,683579,1005544,1745534,3407183,5675347
44680,43629,40331,41193,34854,41082,56987,87110,126318,196242,261400,348801,690241,961837,1921862,3075673,5533998
42315,44416,39044,41877,35816,42674,54395,74119,121337,212967,256829,369378,680825,970942,1879593,2953817,5337030
44975,45467,37735,41349,33735,45767,55287,84694,114195,195171,262973,354429,687400,950739,1821841,2888558,7248098
43650,46753,37941,49704,45085,44137,58605,72635,144674,199619,263007,349462,700690,953602,1839478,2880520,5472560
44758,42942,40355,42803,46936,41638,58890,86649,127402,186591,273173,339031,706442,975315,1756098,2889959,5448737
43939,44959,37973,40355,49584,43081,54825,76015,116361,195621,278972,338863,681646,947169,17022167,2951104,5364315
42547,47824,39206,43511,63318,40410,53257,87994,117916,186241,269691,338581,685924,967024,1807420,3030708,5623789
59414,46714,35968,41625,51149,42785,61053,86358,107892,210252,261382,332296,693189,964967,1755055,2922731,6713272
44725,43996,37983,40644,53180,43206,60629,81726,108417,198815,275989,315802,733688,992266,1705603,2929567,5289434
44185,46106,35833,43569,53280,44057,66979,71850,104607,187260,269389,340226,676789,959703,1741514,2993099,5509862
42379,46720,39211,38310,48145,42774,67187,68433,135935,193007,255970,339354,666131,990607,11663222,2921278,5510452
43560,54258,37240,40719,43402,43423,57006,71942,123737,198542,266980,352599,694451,959996,1711119,3019388,5708061
43803,48467,37426,41862,42694,40149,50031,69837,120154,188487,270999,341809,697509,1200581,1742668,2893503,5566754
42740,48816,39237,39190,44998,43509,57457,69607,111451,194380,266473,331915,669820,958291,1699127,4171172,5401319
53429,48642,38301,40675,46985,40952,49577,72954,111091,198672,273555,349347,692829,990105,1735317,3020304,5549405
44935,49781,39324,47020,53334,55153,49300,76395,121198,196380,263441,345467,678421,976999,1698418,2868664,5454034
43180,49290,38653,39541,44271,43814,48299,69382,130377,185396,257091,341198,689648,950433,16749624,2824395,5445712
52462,48380,41628,41820,46065,42516,73390,68026,132676,180562,266921,352130,705168,977044,1771618,2835709,5438474
44275,49353,40250,39224,53703,44421,51712,68642,121603,184792,288420,340819,736731,972863,1690585,3024969,5616029
41154,48481,39421,40877,55182,41409,50283,77548,118221,183106,269367,388914,716414,974703,1729935,2828888,5530750
42700,53286,38941,40279,46977,42594,60580,68052,129785,185521,268562,355755,729835,927913,1803555,3041763,5677189
43509,50983,37994,39263,45970,44408,48065,69272,137531,186131,266416,361490,664984,1012871,1701438,2749858,5442150
42295,44356,38061,40227,44640,42441,59259,68384,127845,196147,278806,358656,675708,949366,1737924,2897842,5563334
41224,42900,38843,45339,44932,42597,47505,69361,114744,191787,284779,361080,711255,950559,1709129,2763866,5111941
42017,41461,37612,46905,46998,45887,47560,68328,126961,185194,274643,346376,699668,953091,11065181,2714732,5505703
41666,43077,39214,43345,53330,38844,66220,69252,120076,194137,267624,352199,680590,987173,1814715,2947935,5156500
42436,42055,37907,41580,46561,40666,49104,89522,112496,185467,267872,345175,697357,968179,1857894,2835735,5648015
41561,41524,37126,47516,54751,45838,47593,91520,138217,186771,288264,340581,707825,1041466,1877570,2832199,5482139
43602,42631,39067,44647,45655,43747,64377,71420,123813,190404,270468,336848,684490,952953,1736547,2876833,5560460
43576,43376,41297,46117,54936,40720,52675,70393,117358,180552,269591,349610,704883,936077,1692845,3014119,5367441
44865,45254,38778,49794,51474,43248,50436,73259,121235,189105,266233,344498,663690,963312,1708472,2957390,5592752
47833,42700,37430,43278,35611,41949,56331,69536,148780,184969,275022,356742,677529,947524,1707760,2880623,5742331
45488,44568,33421,44312,34239,40970,51706,69882,119266,186273,270151,334689,675533,969282,1667818,3003037,5681207
43275,43242,40190,43154,40762,40344,66730,75970,142774,190242,271778,335765,695384,978120,1708012,2914944,5701118
42535,36003,35169,50860,34511,40243,49477,69089,135133,182090,265926,367622,775999,967894,1704235,2957237,5470730
42819,35706,36958,43934,35546,40297,58573,70744,114788,188062,283375,341212,689515,973155,1688707,2920990,5624775
41018,35422,37120,43520,35228,39952,50368,78055,115379,182453,274302,331983,696551,967458,1692686,2803431,5493432
41535,36924,35599,44327,33337,40430,50139,72011,113947,194141,278427,352582,691461,973525,1691635,2737708,5407281
43570,35702,36175,51106,35533,52537,48642,76502,108097,219786,287807,348267,678429,968395,1737901,2922772,5549794
44278,43729,36884,48925,34306,42250,48288,72432,136578,187097,278069,345857,711228,993404,1743894,3000235,5419793
42378,37930,35812,43948,34783,43425,57799,81816,136013,197311,272314,346391,702898,945867,1690388,2873501,5438720
44807,36716,36330,42639,34559,43891,49960,70697,120675,197379,287923,337708,768164,960430,16492016,3343706,5492458
43879,43061,40986,45955,33715,43427,49601,69927,122441,197674,267469,337061,710450,969641,1666453,3013684,5524571
57149,36802,38174,48131,36407,50134,48023,71807,119840,185612,280801,352521,760580,977678,6596549,2898144,5542286
43651,34699,33364,49430,38758,41214,49951,78900,115339,184784,284505,346114,699407,974973,1711091,2994296,5551502
42828,35197,36793,46142,34207,44750,47502,111409,143733,188890,290230,330431,702938,944148,1714742,2939687,5470642
42816,34713,35594,40899,34134,42418,55028,78303,120314,203894,274167,354308,721721,947097,2183794,2942000,5587485
43527,36464,36664,48580,34480,40469,60335,71377,118149,201804,287617,345906,693695,996696,24675771,4503609,5623411
44936,35889,37806,47649,33983,43836,48205,71889,120476,194339,270505,345696,756881,954953,1770593,3059062,5617560
42976,37265,41347,42074,33219,44992,54463,68956,119498,185291,270196,358266,710165,942472,1711187,2912731,5842832
44094,42822,40776,50198,34886,41517,47757,68204,106333,189382,269390,349055,665962,965075,1817658,2940475,5449683
43890,35874,36091,42681,35369,47846,50970,93156,153829,208865,280229,354120,677720,955439,1796171,3010111,5091971
43273,34545,36989,47145,42289,52082,50814,68879,125472,190824,284504,346005,687127,967785,1715312,2951590,5573742
42540,36935,40215,40267,40808,50097,50074,69423,117087,192976,270139,346762,694569,978488,1756019,2842575,5427791
45262,38659,37625,41883,36964,47323,48815,66511,118709,190057,286422,343009,714516,954782,1793129,3008559,5237837
44127,35229,35397,38907,36910,49336,48577,69856,124905,197072,280715,360350,692454,977254,1736882,2874310,5348986
40579,35203,36930,41284,40126,51424,48520,70923,121085,190246,272441,351867,672198,983565,1705310,2955005,7143547
41920,33366,36295,39781,36099,47485,48122,67380,135863,189863,281575,361467,687823,950354,1746925,2849368,5155522
36445,36112,36012,38542,37708,44053,51252,69465,127267,190682,264613,343923,695046,965390,1678704,2958868,5490067
35118,34725,36437,39907,42928,39518,61908,71371,120139,200868,278442,351923,722621,970609,1744275,3049154,5240989
35322,40786,38560,38276,41613,40350,49960,69010,123279,193467,264350,349996,687474,962054,1681051,2954828,5276368
35916,35618,37707,40063,38037,41699,50596,96089,118859,187533,275084,353957,694777,939375,1694070,3061635,5500682
34706,42360,37582,38120,40244,41278,47129,76324,123702,186549,264956,350225,676381,942014,1652394,2960412,5304801
43418,35306,36155,40536,40369,42576,55776,71077,145127,211012,285479,359077,716563,1021573,1695340,3400938,5467451
35849,34412,35673,46856,41844,43228,56158,69067,126122,186061,284677,351164,728329,960054,1733229,2764973,5200078
35309,35726,35861,43131,39680,41947,54009,76506,136043,183448,275939,353730,715530,959047,1716466,2994097,5339668
