b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
18740,18958,18383,19820,18733,17860,18055,27726,26963,25329,28978,27969,31300,27416,25815,31015,30548
19078,18822,18106,19091,19280,18056,17871,22369,27285,25876,29221,25638,31483,41885,26190,30354,33045
19067,18871,18003,18667,18893,17823,17811,20374,25483,26496,27599,26567,31759,27899,27442,31201,34615
18938,18930,18130,18806,19157,17946,17590,19324,23998,26020,27556,26593,30789,28201,27311,39307,31693
18984,18849,18154,19045,19109,18233,17731,19923,26793,26748,28870,26988,30085,27796,26286,31732,31985
19157,18864,17847,18567,17949,17879,17872,19449,27847,26044,28602,27140,45554,27788,27273,45466,53036
28953,18674,17883,18763,17853,17739,17613,19084,26705,25755,28597,27341,30089,29233,25906,34980,31596
19495,18882,18077,18855,17827,17681,17828,19397,28457,26551,28234,27307,31929,27587,26948,30745,420239
19156,18195,17769,19235,17780,18074,17686,18943,26031,26002,28410,27069,33500,29368,27649,28948,51148
19159,17873,18163,18786,17746,17811,17701,19130,25110,25987,29699,26907,31217,28285,27767,30703,31650
19191,17945,18236,18617,17704,17917,17791,19663,24911,26629,28899,27055,37169,28475,27828,29397,35143
18871,17926,17944,18733,17731,17860,17727,19340,24602,25434,27234,27388,30055,27944,28299,32674,34016
19257,18008,17892,18877,17950,18924,18283,21804,23912,28215,28107,27212,31684,28383,26156,46121,32018
19079,17675,18062,19057,17689,17959,18315,20231,26657,27096,28231,26249,31198,28528,25980,31793,52861
19056,17994,17996,18758,17833,18323,18531,19494,25947,26866,28370,26872,30897,28151,26813,30136,31362
19053,17714,18015,18747,17810,18258,19906,19044,27231,28148,28521,27546,33500,28157,26048,29662,33469
19059,17713,18296,18807,17761,18137,18453,18462,27646,27686,28174,27781,28496,31124,26958,31330,41466
19185,17796,17937,18869,18188,17626,18015,18250,26442,26457,29360,27208,33341,28259,27117,29967,33608
19014,17807,17914,18745,18313,17758,17832,19378,26200,28350,28814,27854,28637,36874,26470,32260,28538
18921,17506,17864,18785,17736,18222,17797,27389,28440,26811,28595,27553,41580,26980,26835,45458,33536
19147,17837,17886,18886,17846,17790,18435,21641,26373,41991,27982,29079,30682,27685,65830,31340,49751
19001,17847,17785,18864,17767,17819,17616,18934,25583,30288,27449,27779,31278,34041,28307,299148,32875
19109,17868,17992,18916,17872,18162,17673,19046,26736,27318,28097,27371,42918,31684,25800,35257,32910
19060,17721,17937,18625,17907,18142,17612,18408,26176,28242,28099,27039,34579,29687,30495,31865,56233
18748,17882,17772,18739,17795,17929,17884,18678,25879,25376,29395,27092,31768,28196,26558,30969,31346
19031,18072,17761,18306,17755,18367,17981,19100,27724,27079,28953,26376,45968,28000,25923,31125,33408
19220,17844,17930,19375,18477,18544,17724,21666,25154,27208,28812,27460,30951,28385,26318,30540,31716
19255,17759,18144,18022,18802,18493,18032,18481,26096,26707,29253,26723,31588,29638,26729,31701,33682
18928,17788,17772,18245,18100,18696,17710,18242,26619,26076,28517,27809,31510,28029,27836,46266,32422
19039,17897,17901,18173,18126,18573,17530,19787,27497,27339,29284,27065,30189,28048,27462,31703,32995
22636,17873,17803,18616,18658,18572,17750,19825,27287,26518,30108,26424,31022,29968,34219,43708,63104
18798,17684,17812,17973,18035,18421,17792,18961,28107,25816,29610,25935,56297,27714,25749,36465,32420
26419,17623,17696,18084,18037,18195,17955,19241,25587,26945,28444,27660,29999,28468,27564,31028,36253
27393,17847,18101,18055,19478,17851,18004,19557,27442,25368,28505,26793,32273,28210,26011,29602,31177
17866,17668,18065,18254,18796,17811,17751,19647,28110,27354,28000,26569,30720,29109,26902,30759,32293
17897,17781,17811,18324,18388,18013,17709,27604,25447,25735,29756,26700,30950,27879,27941,29586,53018
18198,17532,18385,18332,18407,17870,18093,21532,25630,25411,29560,27654,32803,28026,25991,31232,32565
17994,17669,17849,18429,18654,17712,18566,19449,27957,26444,28810,27229,44003,28199,26683,29591,32622
18000,17792,17965,18110,18704,18290,18466,18717,25966,34430,28315,27890,35425,27610,26592,31210,55035
17888,17766,17756,18218,18463,18030,18401,18660,25957,26326,28449,37519,30850,27856,270304,31750,31485
17818,17860,18214,18284,18508,18176,19290,19080,24736,26225,29454,28255,31345,27867,26681,31133,33360
17726,17671,17882,18227,18430,17632,27801,18591,26530,28218,29095,27807,31566,27197,26247,31899,53304
17890,24979,18106,18281,18227,17820,20674,18155,27533,26211,29579,26155,30980,27734,26277,29192,29975
17865,17884,17861,18378,18905,17899,19236,18693,26802,25986,28490,26569,31983,28678,27228,32103,33118
18085,17772,18072,18185,17872,17726,18555,18272,25074,26419,28462,27966,45913,43468,27637,47087,33267
17673,17627,18131,18104,17477,18301,18450,18670,24956,26109,28673,27673,31951,27779,26932,32008,31754
17607,17561,17798,18214,17658,18825,18252,18615,24337,26336,29409,27248,32075,29178,25868,38552,34286
