SHIR inductor b16,SHIR inductor b32,SHIR inductor b64,SHIR inductor b128,SHIR inductor b256,SHIR inductor b512,SHIR inductor b1024,SHIR inductor b2048,SHIR inductor b4096
510949,1042731,1468373,3106731,3064421,1021345,1860738,3603243,8950017
510158,1040273,1479682,2740021,3069494,1023194,1940673,3630079,7866553
497430,1033420,1460771,2765376,3083106,1020662,2014658,3601912,7586868
505281,1031424,1468992,2760597,3071381,1027825,2123303,3493295,7815312
507013,1024544,1453287,2735202,3079675,1388681,1963885,3308517,12157166
493900,1026553,1457958,2779132,3077457,1039163,1976052,3327574,10717418
499838,1036867,1467433,2768568,3077301,1022545,2134224,3318877,8894513
508317,1054271,1497365,2747581,3063568,1025912,2048969,3342064,8530192
498895,1025987,1503140,2737951,3070321,1023621,2007114,3654406,8058728
499529,1039849,1484381,2756063,3075950,1029360,1844415,5415661,8012264
507093,1067674,1500872,2707040,3068423,1029121,2127451,5418447,8699265
494266,1065355,1493158,2762845,3084005,1019941,2075304,5017366,8145893
492677,1036359,1493848,2753227,3074345,1020259,2048638,4400869,12937400
504335,1039550,1489978,2755596,3071473,1022537,1943153,5011303,11095197
497771,1026658,1485347,2732453,3054155,1009207,2156336,5036678,9676733
498684,1024810,1484404,2749536,3073707,1040185,2027498,4392010,8486241
506349,1069907,1488840,2747171,3067190,1029311,1873140,4131455,8243835
507012,1077352,1499979,2842344,3046317,1029755,2146448,4074229,7293426
496314,1054698,1612765,2751906,3059305,1017089,1841922,3866530,6967400
500436,1052452,1701917,2798653,3084698,1026074,1974074,3719194,6902690
508492,1052509,2527681,2777376,3044608,1087730,2113939,3647199,11765946
501573,1059123,2671517,2843319,3058487,1020354,2143283,3753751,10185329
510414,1037042,2605416,2788275,3043825,1050410,2007434,3521740,9440485
504094,1049524,2511803,2814283,3057377,1040501,3021568,3351840,8725319
508444,1038446,2457198,2810181,3049726,1821143,2943274,3400287,7747170
512215,1039590,2453627,2803150,3052352,1594782,2636505,3430043,7519319
505461,1045516,2424643,2808253,3063463,1574647,2502651,3408236,7402928
494301,1006867,2307874,2804156,3071522,2495850,2393208,3472343,9542086
499103,1024899,2338435,2801484,3072160,1493589,2439827,3492137,8789214
516499,1103156,2339988,2836009,3065957,1434672,2296603,3295239,8506233
499346,1051536,2261917,2760696,3083708,1407232,2192500,3296088,8320634
503159,1052277,2207272,2786326,4420468,1421251,2182741,3402908,8351398
498147,1048233,2200403,2795799,3204827,1358354,2112091,6093947,8072917
492396,1079274,2217331,2820796,3083545,1357658,2043910,5462181,7673091
489728,1024113,2135596,2811434,3056104,1333147,1996054,5238303,7586931
498932,1061103,2151039,2817317,3072610,1324905,2005776,5072102,12182465
481833,1033846,2128997,2927468,3073202,1305203,1946617,4707712,11785868
493357,1046260,2124874,3071174,3071261,1278948,1919471,4426580,10214066
505380,1091145,2049043,3090233,3086583,1267189,1885998,4138521,9388685
500627,1041028,2047707,3158906,3060838,1241171,1936011,3982023,8209572
496915,1063689,2044510,3101516,3058621,1253189,1923524,4882156,8350952
502211,1023420,2043156,3013467,3077765,1187501,2108556,4222278,7854996
509233,1050430,1987466,2999958,3097346,1215428,2128397,4150532,7320834
