FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
249366,232639,480352,568407,618481,780556,1349898,2020844,6593979
269234,228542,498031,605022,643761,770627,1348102,1981631,4734099
222484,228438,470395,599584,611980,781410,1345660,1928722,4354800
234619,231371,463325,560731,609228,762088,1356216,2786166,5237942
236652,232534,446445,578196,646581,779747,1292587,2345616,8324659
232257,229942,478972,575338,638939,792357,1400656,4135026,4819332
233851,231480,468405,567392,596381,787574,1394280,2344224,4292236
220790,230739,499993,596875,616896,777399,1357654,2286038,3682614
249573,235891,441640,593971,602619,793631,1323980,2257703,4264153
243931,232456,456014,561860,602657,793962,1419513,2186775,5501010
230003,229895,463986,585817,614268,788772,1356254,2175108,8292166
218167,231334,469159,595788,605136,787038,1428628,2138500,4787721
229623,234367,477639,576861,600756,758430,1419172,2114628,4628968
257296,229616,452788,589271,625619,787686,1270466,2098018,3857679
212860,233126,461464,608275,630363,786381,1333700,2103094,4362861
219879,230908,476953,564222,608727,766881,1373689,2073618,4054855
238868,228946,464899,580913,632839,798239,1344234,2059295,3868322
239762,228178,469778,598664,620839,769150,1294158,2075797,3875004
230720,232803,467854,564017,618676,790111,1377342,2399762,3667321
235560,233369,478494,603065,628398,780075,1328402,2347630,3702609
234625,231796,468980,589770,612459,790268,1389739,2323443,4197858
255380,231780,459686,567383,611774,785596,1254048,2279366,4137897
219009,231762,452023,588200,628202,772402,1308299,2194749,3917571
229466,228220,458331,602758,621363,774154,1328829,2086564,4509688
237219,242596,469155,574803,608570,782621,1390267,3053913,5835259
249281,227236,452566,604308,638554,787559,1368360,3167475,5110763
240569,240127,499444,603014,607647,760071,1404971,2305577,8643644
218384,229223,458057,566590,619517,776679,1416901,1966357,5056048
255005,234735,452850,577147,623037,774330,1509771,1912136,3901172
240816,225078,465917,593302,625458,789915,1441737,2038258,6087631
231600,240067,494029,582102,611177,781357,1366810,1900526,3722765
218033,227687,458338,596886,630696,801286,1328722,2695217,4156137
237958,235242,487201,592505,623358,786525,1298877,2305890,3984837
256818,229589,492643,569575,617735,773611,1301261,2979511,3874970
216277,248819,466458,581835,646227,789239,1272000,3461290,5937979
388799,232098,448048,595573,616761,773963,1287333,2421701,3803706
340261,240424,446368,566672,613551,799071,1297779,2116183,3707332
293994,231844,475249,601500,624175,794253,1244345,2086841,4224445
304696,240045,469705,573424,618719,787628,1319990,2101237,4129063
275261,229239,478581,582431,612365,787317,1391527,2074226,6035063
288221,238850,447765,597166,626941,785014,1290135,3236157,3704625
290732,231776,453817,598920,620782,777210,1331147,2028030,3374136
284182,231441,445228,574034,603486,782274,1244813,3150838,3544285
286142,232691,477349,583694,629156,793780,1283733,2226721,4259305
294616,241589,466837,570820,615714,762066,1278581,2037988,6101488
305703,231835,463539,574882,596966,786842,1398519,1905172,3886779
283852,238612,479626,595499,629991,805792,1414647,1954348,3725836
271145,234637,456523,587462,607140,779893,1328885,1920752,3677512
297729,239954,447844,588244,597870,781052,1355138,1997002,3635737
322973,229121,448216,585802,620546,788425,1419034,2254101,6598974
272051,236873,492962,579129,608545,769977,1341021,2337754,3949864
281831,232419,473893,553246,601367,771718,1297495,3219065,3698971
302913,243747,461438,578232,613421,767757,1295037,3830963,3710578
285312,233226,499015,581771,606856,783947,1270611,2200212,3698697
279029,229135,457651,571831,602590,767687,1372394,2104106,5921122
263754,231055,459809,595977,609183,775064,1277348,2150595,4161871
281351,230237,464665,590097,612151,791426,1307197,2088298,5462122
247054,231038,468010,575281,609513,781140,1386738,2112255,4109111
232045,231876,470063,603016,654584,784582,1308592,2043638,3527231
220091,233089,502793,588267,612877,779100,1316753,2020323,3713948
252061,235364,443206,598545,605977,786398,1329980,1999418,4200689
274926,234639,468860,599043,627783,779459,1307402,2024017,4036112
228466,231193,454307,575082,623538,764000,1384276,2016745,3946522
226367,232503,473601,588836,611509,802407,1365894,3630418,6239038
250219,236981,483616,584388,613418,783786,1304498,2439936,5664706
232503,229541,462617,573798,651754,785230,1329291,2286714,5748011
231983,231502,464658,580449,623207,792622,1337978,3945099,5121057
223378,230357,473032,598453,625157,790492,1299032,3345004,6184996
244513,233204,443526,591322,625354,773726,1330514,2140523,5385574
249003,230854,467250,569810,622059,765918,1275510,3782252,6082332
226106,224609,480658,575184,646262,791688,1260178,2139074,5296596
230413,234721,488046,588215,620520,773309,1296189,2053848,5965007
240437,231812,446379,594866,615011,776004,1282220,2096765,4257750
264763,234258,463762,585100,607131,779450,1319859,2031496,6123946
245978,232561,456399,574323,616966,785211,1336500,2057063,6109157
222012,234159,462086,568542,601515,767328,1256457,2023108,5296333
234923,237308,453354,582807,618970,794531,1274138,2348414,5087343
289068,231955,466290,590910,622146,783986,1323309,2338962,5676098
218733,228599,507192,579204,601873,769611,1361639,2204641,5883038
224093,231176,466059,597892,637342,786806,1381857,2225613,8188281
255224,226455,468302,566660,626688,782745,1338115,2257703,6257944
242581,240461,463198,577713,612878,790094,1381630,2360464,6157072
247308,234583,472401,600598,631066,777357,1278147,2972999,5200370
222834,242520,472145,589704,616616,785502,1343147,2083819,7803626
252459,230786,472345,580682,601002,768835,1370903,3675370,6572516
263709,241847,450601,605214,616372,787423,1312873,2144575,6126869
227390,236706,452068,581967,601521,790691,1277650,2095607,3909741
224119,233068,460712,578438,591175,764661,1311214,2046686,3883678
238602,233651,470213,585385,616570,771115,1331062,2018462,4910759
243262,239348,462993,584513,601056,777223,1684868,2049021,6478771
