SHIR FX b16,SHIR FX b32,SHIR FX b64,SHIR FX b128,SHIR FX b256,SHIR FX b512,SHIR FX b1024,SHIR FX b2048,SHIR FX b4096
427705,468230,573327,554803,636132,684405,928501,4358342,6224320
432297,457486,562807,575732,599288,712029,984187,4312520,9753801
407532,466233,559061,541131,621399,689165,972874,4689617,5770331
436147,473362,550951,552153,612843,766926,929629,4257892,9253209
438751,481380,550536,568559,601551,688647,942979,4551074,5800181
422901,454965,560388,556571,600904,703533,974262,4790684,8724335
415736,466618,540259,568736,634231,765056,962910,4408459,5511051
399680,464570,546718,570213,626825,709998,914712,4496399,9878595
442409,466710,557798,542802,605517,715046,961815,5223129,6149451
431278,459829,539287,545262,631699,709393,941404,4627769,6492452
431553,473920,579875,574057,613049,742348,966357,5125577,9578271
441492,484624,573719,543252,637925,709418,977739,4888337,5754481
428364,476465,558528,570731,652599,1038515,943848,4357433,4515445
428721,458429,566062,566774,636142,775793,961660,4316062,6313853
436089,475264,556380,541039,637322,775988,973135,4329334,4748511
428975,465097,541060,565316,636212,781136,968861,4340761,5940675
428110,464973,561051,562918,617866,723183,992741,4402412,9089671
435999,471245,568168,552478,610254,764444,947461,4377765,5702040
435932,455598,552343,551395,648974,710892,967079,6978654,5092967
434852,464448,557523,564227,626209,783441,965751,2565642,5883477
434039,450666,549686,562300,623451,737940,996392,5584070,6190238
393654,473409,571481,563278,630232,720609,970180,7221481,4868579
406949,462682,561644,564360,637333,737691,995090,4105045,4526148
436533,467003,568138,560232,636411,738334,975611,4548929,8770576
435369,470557,561345,547354,654331,716148,950101,4601291,6159551
442199,465147,557797,580949,616498,753833,971918,4799220,9031864
435080,462274,566048,563092,639460,697483,975744,4144535,5675520
432804,464563,550818,552594,652936,729206,958175,5047337,8899511
436081,469986,550970,572915,627978,742001,928128,4348867,5876398
428270,463792,557770,552801,648623,713638,978955,4306096,8832120
433991,460328,544676,552215,620121,687728,942198,4379313,4701402
433934,466610,548512,557971,616719,725655,929569,4338705,9053329
428903,455946,563069,538145,639190,687040,985685,4324024,5845796
424187,462528,542332,571431,637322,737474,918263,4351979,8690420
436009,466120,550944,573725,595264,718642,911306,4014484,5767800
427591,461288,563883,559200,617370,705681,1014411,4031365,8756782
479892,459033,541246,554610,635926,698191,952000,4292637,6380621
415815,474474,567671,566182,602028,707225,940820,4123833,9757259
429476,485412,563286,534152,643814,687993,1030346,4106316,4773270
427571,465616,547453,572367,651935,701566,955149,4263679,8947974
447824,468004,559083,560905,598300,689803,966085,4133203,5791080
396437,463872,557565,552334,611127,752016,977724,4088031,9068030
396149,451366,544848,571819,619258,718695,1224527,4891645,6206273
372173,480791,554448,557636,618783,704502,928686,4261134,9794041
383799,466230,566456,563332,637598,711513,907437,4298307,6995168
381583,463641,550008,568602,606652,690553,1466046,4504456,10096447
377164,469752,542554,547362,617646,689306,2384055,4477400,6342334
383910,463185,564920,554767,654746,758967,1359200,4389707,9582391
382693,462708,546463,565875,641742,694373,902440,4423733,6365420
382380,453529,567061,558621,617950,739904,852701,4323565,9464841
378217,436059,549469,559899,625706,709828,865930,4429164,6064102
376227,467698,538607,562298,631567,697211,860784,4541878,8935372
386081,442575,553935,552026,623035,723690,849550,4344777,5785049
374013,459085,569530,551609,641914,710396,866027,4432707,5714597
382268,466241,548675,554572,646224,709508,848377,4572295,6824789
374675,457411,538526,570084,621473,785023,853281,4226038,10031054
386901,428530,562739,562739,618776,681750,862257,4462305,4697087
368750,470282,541623,551247,667323,700418,1476761,4475169,9079045
380006,466150,549991,580876,620713,735045,2118550,4905531,5819226
381524,458793,574950,566345,611570,698162,1259860,5134035,8891129
378846,461197,541840,566287,635450,694031,853597,4373225,6317551
378379,470452,567397,559892,605205,735354,838668,5103639,9650298
379535,480893,564436,546038,630513,711666,863775,4291415,6016641
377611,457267,565254,565909,654043,751487,850136,4449182,9190518
379583,460202,553554,580550,634347,694776,841295,4455039,5784835
383964,464820,579188,540914,609677,772023,884405,4321821,8836329
375646,468809,544975,570876,640129,706228,966892,4235033,5020852
376649,461463,545813,565817,623107,713427,954044,4387523,9461247
386044,460171,551657,542502,619402,721916,943469,4059920,7836822
376771,465145,553945,558117,622108,701419,931820,4203605,4651593
387980,466290,542661,567496,612204,742491,982488,4389905,4510808
374450,461020,582372,562555,638806,718643,947340,4037191,8636615
386386,461802,559997,573789,631070,681551,920859,4293944,4920221
376072,477868,561193,570638,597597,702320,939946,4291089,9236759
379183,473371,580399,556802,639344,737600,969039,4214176,5903822
389690,454080,549873,566470,657297,728344,881367,4325462,8918346
378473,461713,550709,567309,636393,684355,869127,4979107,5698670
389945,460094,577471,546943,613764,733812,930308,4652320,8971134
377888,464091,582784,569970,604622,664129,863599,4541882,5935372
387761,453982,554326,566901,605382,707049,917594,4617141,6953393
378222,460408,577288,545712,611644,744369,922097,4442884,10313523
382990,467938,571245,559420,639956,694338,963970,4454361,6323457
380014,458183,583247,569868,597600,704103,982824,4408952,8886743
384959,458241,577379,562565,613888,697624,969382,4829270,5562118
390043,468325,547392,554777,630286,689649,904305,4769688,4473366
381555,469939,543369,575308,602021,752341,973691,4794129,6184356
385588,459268,590705,546820,610452,678083,998271,4687751,10985087
381313,471989,555577,536612,648377,734815,924615,4785439,7398502
376367,507828,554669,573354,601468,702186,955533,4860732,10565299
382090,528799,570098,538170,640024,751194,1003028,4332138,6583826
378374,548002,552856,533963,652768,727280,973284,4917098,12000519
395848,537934,557970,576210,632192,719253,928409,5823626,7572181
376441,527928,573215,554538,616692,700858,947743,4979458,5712591
392884,492534,580501,552353,637976,700385,977335,5586577,4734639
379690,471802,567379,567939,610729,722750,924778,4520273,9305037
390154,462378,596366,542224,646747,712415,976564,5347592,6004385
380586,459981,554260,564587,661936,686367,980073,4367531,9990267
379812,463697,557076,561672,599207,791545,994023,4503158,6128728
384872,473740,577724,561468,632910,697827,958282,5126115,6287838
380230,475200,557385,557314,651020,748810,930799,4547261,9462120
391197,467020,561921,566714,628416,710609,959416,4874606,5742446
373978,458921,588521,537567,648326,740936,974002,4865832,8903705
389689,472216,558318,562912,670371,694758,919499,4283857,5010098
378088,460589,551718,559368,625839,761793,964266,4495477,9214736
380203,464665,561473,546128,641597,705181,1005904,4663673,5866808
382786,455083,539907,562630,646246,743300,943758,3994490,9025254
373786,470992,549729,565425,620818,730885,974748,4355238,7339489
385827,461698,557246,556352,647362,717496,985927,4491671,8883048
369265,458441,553341,563708,650119,736430,942563,4051125,6039963
385540,461000,538252,558311,595595,727575,958361,4250287,4740968
378553,472910,581099,562686,612985,703926,992339,5117031,6017483
380115,451130,585822,555937,625516,732962,1474213,4486318,9251577
374954,466570,545416,566868,625052,728635,2188759,4713318,5824610
382012,466587,574712,548120,623062,908427,1447727,4808429,4553500
388656,465431,569897,542001,647955,729704,1019416,4419605,4964994
379593,478150,542939,576578,605215,719172,976733,4373103,9338323
380601,474929,585358,560219,644683,704674,994706,4636261,5867768
376932,470693,545448,564221,620292,739288,963797,4086913,4660167
382247,472879,548041,570862,618418,725441,957799,4644509,5706846
376474,471069,587993,558303,643270,735931,1376146,4468082,4478319
374280,470311,566147,554601,646048,729850,975140,4009753,6260836
389630,460080,560752,568976,623697,721293,909684,4337398,4731791
373673,467573,568191,559147,619464,704294,962636,4308396,3131457
385367,470661,568287,556253,640727,739972,938619,4166079,9698066
378563,456509,541399,557253,632689,740159,901083,4295101,5837320
384705,465562,575907,557380,635298,717640,922195,4295129,3064833
378496,471337,548794,575794,627160,737165,886777,4735492,5651216
383252,472086,528265,564174,594720,717280,882723,5138241,4720710
375199,455968,590305,555265,650412,717724,879828,4439337,9272062
381489,460437,545846,559115,612438,724834,1508002,5091114,5965681
389234,469992,564613,560708,635127,725558,2193264,4377371,9019597
380155,458671,584631,542985,620605,707417,1263163,4443152,5859307
386465,460626,545325,553496,635709,679796,900463,4561975,9705582
373694,472896,554555,552172,616823,726343,852167,4310376,6026833
389823,471196,567247,546464,622567,725205,906027,4234715,6447381
380650,461374,538366,572455,659836,717700,889655,4534165,9103124
379871,455900,551706,552741,631464,718547,897369,4208087,5757279
392132,471564,567873,544495,613759,771486,882633,4309139,5668000
379403,464678,534221,575808,639809,718083,1528356,4331496,6295503
390759,462530,567554,556219,648849,732018,2289124,4191665,5918783
382174,466832,562833,556917,613088,730809,1420501,4371256,7456226
391870,474510,552557,567864,634788,716795,976414,4504944,6384827
377466,432440,552414,557814,607737,740985,1015738,4102160,6388949
382915,473774,570334,558083,637625,721030,1038431,4348615,9636205
385342,458582,538043,546428,646454,689589,956484,4894557,5659630
381705,467953,552468,561367,618015,731475,973330,4591656,10998469
387360,462622,567594,556856,631007,834468,1002785,4579519,7094618
378002,461596,542243,554888,634073,741426,953046,4505636,10163667
386078,449796,563655,558951,633461,817849,964056,4265889,5861639
374839,486051,561673,565814,609017,746208,968663,4418662,9139974
378339,478898,572798,545533,649754,810169,955890,4476992,5824194
386673,459853,535537,566589,631572,742174,956199,4318404,3861901
381160,458286,557419,541876,619927,745604,928274,4281972,10471322
385071,460484,550585,543732,646592,754777,980335,4460647,4644150
379899,464319,569309,576571,636511,691010,1017816,4226802,9051010
384489,462705,589679,545051,639808,720518,1010393,4297686,5880124
379006,461434,553093,552201,645041,725395,1034535,4276747,8629364
375126,471464,551486,578433,580939,734030,963663,4256118,4940793
378771,467138,572519,546961,628422,694249,1030839,4375847,9449895
372603,462796,558767,568586,648961,702108,972410,4594678,5855779
379214,464155,556162,578418,627954,739348,975421,5130534,8852836
373780,470638,566521,558258,635986,700520,982538,5617563,10769280
383264,461190,535551,562820,640203,727711,950116,4774562,9930364
375235,459765,547032,574812,626803,692237,945564,5345553,6028625
385618,466130,560924,551425,640852,717426,1014015,4667902,6267691
372272,474045,554382,568433,617337,707090,969809,4502442,9598310
372350,467899,550174,553746,623489,684229,973806,4621619,7469626
386047,459591,569380,567316,627763,703559,1014576,4638769,3213509
379270,471707,549984,549023,631899,686568,986115,4727855,13517500
382469,472849,563128,565857,638715,713326,989344,4725979,6089048
374492,461284,570314,539297,615397,687220,1000689,4491317,9411051
388428,457258,548950,558688,650445,685068,981146,4622129,5745841
375223,461848,558918,560936,598687,757107,956561,4767542,4823332
384486,461480,563716,564011,609527,689061,982589,4375092,5050693
372237,458188,560976,543414,633475,703514,1014972,4438388,10593915
377824,458429,560403,554341,622924,703661,957916,4457479,6181028
387413,464342,563273,560508,627318,695612,1015134,4064262,4605413
375986,461072,544386,544325,644118,728213,954776,4340062,4488597
387293,451464,581114,577121,634234,702474,1008547,4995177,3106186
381747,466395,583733,559949,616916,698694,975137,4317585,9211731
388027,465261,550850,565925,647120,732917,954602,4536370,6286193
