b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
42790,40819,40265,35858,36635,39435,48373,67086,149429
49171,40786,40926,35051,37747,49139,47962,64219,115702
40935,42104,40630,36082,35627,39690,48652,62973,108219
41840,40475,39129,46113,36543,39908,50528,63474,111686
41824,42629,39852,36927,38144,42797,50211,63956,99660
42570,43295,37919,35998,37858,39458,50367,82943,109727
39576,41302,40996,37218,35273,40615,48609,74921,137035
42675,39999,39259,36543,34149,40750,49555,68212,131585
40238,42620,40703,34631,36725,43041,47487,65306,123731
43673,40933,40733,36862,35041,39817,49570,62266,103424
40759,40527,38147,37455,33291,39434,49528,65147,107099
40809,40034,37390,37889,35644,39708,50312,63941,104594
41224,39345,39072,36373,38131,42241,47220,64233,134516
41942,40231,37333,36029,35080,37985,49943,67448,127301
41097,39581,39129,36186,36504,41002,58576,63856,115750
41742,39617,37658,35892,36434,39764,48890,64597,113957
40473,39522,36881,34528,37951,41396,48848,68657,104134
54542,38900,41671,36405,35745,41186,48549,63057,99196
40345,40090,38611,34678,36608,37997,50265,62699,137095
42184,41111,38818,36570,35488,55288,48089,63091,123953
39341,39933,40589,43743,34648,42808,48553,62845,108201
42565,40621,36054,35499,35587,45033,48947,63658,102547
39948,40051,35541,35289,36458,40153,49591,63801,101989
41942,39937,35862,35323,36152,40671,48830,62171,101708
41570,40383,38479,35722,34473,40414,51912,84410,148059
41073,39099,36892,35154,35553,42350,49276,71869,121331
40309,40225,38367,35213,36319,42393,49443,68222,108243
39544,40069,39525,33963,35072,39811,58302,65800,109355
39736,40311,36157,34935,36457,42164,49080,64545,115835
39730,39466,37206,35450,36387,40302,49446,65502,109135
39237,38827,36784,34331,36891,40958,47754,64742,139564
40259,38764,37174,34501,35312,38461,50307,64007,118657
39070,38249,37544,37754,34696,39416,50616,62172,107471
43536,39092,37037,35578,34939,43497,50031,71214,112799
39765,40122,37558,35222,35704,42300,50794,62094,102624
40338,40154,40162,35434,35962,39603,48256,63639,113261
40559,39787,37914,35239,34818,39310,47469,61892,131546
40344,40060,37482,36300,38087,41332,49959,62684,130221
40103,37904,36162,34939,37378,38438,48433,63752,127443
38682,40208,37472,33250,37002,40984,50352,63781,116828
38666,39301,36798,34976,37343,38849,48026,85107,112295
39320,38849,36971,36016,35321,41161,48791,71690,104102
39081,39583,35482,34359,34605,42016,50926,67377,137812
39608,40688,35597,34882,36110,42774,47282,66118,116362
38895,40096,37217,36659,35059,40627,48618,66181,108241
39701,39781,32757,36856,36618,40614,49305,63986,113437
38810,38734,37474,43863,33960,48071,67520,65104,99429
39286,37407,36843,36059,37170,39695,56972,67995,95749
38323,38955,37975,36309,37665,41720,50823,65138,134666
40541,46131,35820,36916,33453,40340,50175,63995,118107
39992,40835,34871,34027,35579,40228,51563,63496,107976
40294,38770,36099,33821,35974,42204,51583,63604,104219
39282,38271,36307,34118,36126,39504,53507,64289,106716
40846,37294,38282,37217,36067,42113,51653,63013,102008
39792,39567,38482,34550,33766,39281,50497,62716,150673
49405,38398,42232,34862,34115,38853,51505,62992,120284
39324,39738,34717,34424,38996,40712,51445,63015,108817
37557,36933,34611,36396,33907,45129,50502,62902,103918
38797,40386,37418,32712,33760,45071,50080,64811,107714
39044,39513,36794,33645,35667,39258,50699,61499,96829
38534,39197,37499,35850,37441,40709,51431,85967,114363
39124,39260,36398,42126,41245,42675,49611,83128,137603
41516,37777,35540,35456,36028,43578,51770,66728,116089
38864,38435,36427,36031,35393,38616,50200,65136,117705
40950,37805,35481,34195,37886,40247,48049,62505,102084
39691,39239,34784,35918,37007,41049,49764,62649,101410
38142,37513,32810,34351,36975,41377,49334,64143,114701
40718,36323,34565,33133,36365,41527,50354,63353,141458
39997,38409,37389,35377,34912,39434,49502,69115,115566
38277,36812,33839,34907,36322,48235,49630,63303,118198
39272,36225,34249,34510,38622,40457,51445,65038,124206
38847,37453,35249,34604,37147,40488,50410,62685,121646
41629,36196,35205,33252,35903,40880,50319,64044,128387
38677,36420,34867,34743,35533,38629,49957,62406,128633
39584,37175,36581,32454,35915,40492,51698,61871,113901
36960,38215,41839,34607,36358,42878,48883,63007,111978
36857,38378,35653,33272,39243,38635,50015,61686,116802
39110,37183,36270,33904,36150,39982,48676,82134,107222
40394,37976,31652,33526,38116,43055,49156,71382,130564
38772,37361,38622,33447,39071,41603,50899,65604,134700
38166,36535,36079,33825,39429,39015,48670,63689,113793
38136,36406,36538,35142,36415,41015,49013,63763,104833
