FP32 inductor b16,FP32 inductor b32,FP32 inductor b64,FP32 inductor b128,FP32 inductor b256,FP32 inductor b512,FP32 inductor b1024,FP32 inductor b2048,FP32 inductor b4096
75461,77354,154427,110717,134926,173301,227757,406563,545367
70204,75945,152335,112711,140714,179652,217530,432010,535704
69086,75588,158518,122258,155805,162299,219495,400833,546196
69146,75626,150071,113505,153438,170767,210667,407610,510438
68776,75667,151775,114578,140990,175384,213778,408953,709937
75374,75006,151536,109490,142374,170351,210157,437844,672687
68923,83117,150798,110460,134175,163124,198388,401159,554303
68526,75188,149921,114464,155089,181094,193510,410226,547467
67911,74107,152437,109934,142682,173894,212949,392828,512697
68483,74911,132685,108422,142883,176279,206851,386106,527751
70219,76243,109570,114560,152679,179034,202070,394096,690683
68259,74303,108933,109510,144482,161780,209697,416983,647020
68100,75964,109868,117532,154480,177292,192918,379122,610223
68410,75651,108415,111672,142200,173328,208856,420152,616931
68439,74939,116897,115585,152229,178084,192247,379571,617478
70573,74200,109929,112243,142091,159828,213633,534204,674905
68850,75674,109254,114964,162108,168303,213017,441353,602505
69216,74798,109060,124539,135667,174314,206524,388779,575101
69270,74383,108975,119527,157820,172654,240955,414046,620606
68189,80117,108916,116505,141022,180754,200700,378524,612565
70670,75380,112883,108910,145108,161493,263993,380763,567375
68638,75052,110180,111294,139907,161219,209504,422420,647254
69530,75019,111009,116590,144134,172632,274929,413292,727750
67982,76681,109861,115468,161132,170449,266700,396543,635289
74944,76038,107029,110596,162110,181074,189980,394118,582568
68990,75614,116228,117251,136797,174961,318724,411376,513890
86142,76866,109711,114267,139046,159756,189786,409842,508239
71883,75586,110133,116035,154469,173982,268983,389688,562744
72294,75266,109839,111695,134327,171989,292753,403027,674221
74504,82885,109110,112067,145332,178722,303498,403546,636899
72116,75487,109704,128008,139855,179947,309149,416027,617795
71783,76543,109580,128221,127399,162083,309248,385118,552665
68059,75139,107327,126865,141495,170830,336493,448498,506750
67725,76881,109485,121806,135633,174724,310867,385239,539192
70241,75969,108601,121599,137778,178178,318477,392123,542067
67333,75854,110275,143542,160577,172774,306553,410307,842473
68168,77768,118347,119407,141996,171816,318854,525277,639585
68190,76081,110744,111450,155553,181101,306545,435273,541430
74343,74343,110087,115541,144554,173783,280303,402648,548954
68465,77490,108123,114673,143787,165991,327073,411186,613462
68170,75740,107802,116587,141913,170340,279993,400549,565676
67797,76143,111273,110387,156125,173319,306719,396351,695521
67572,82951,107338,111451,141266,178419,308668,389863,612577
69553,75727,106437,117033,143063,176546,315917,425824,629830
68184,75465,106558,118830,151384,155245,305324,403719,607952
68854,75496,106572,112175,143154,171603,290836,389867,638653
68727,76176,115940,113363,144782,170902,310308,380517,735025
68022,75098,116438,113747,141538,171758,310724,384678,644524
69665,75141,105342,120094,149297,168859,286643,412616,586324
68342,77510,107375,112122,149659,176104,311737,391142,528787
68669,75294,107929,111956,142038,182822,294839,380383,516549
68907,73991,105898,115837,141493,171398,294559,375168,541941
68192,77926,113544,193315,135851,172762,300294,390911,519591
69645,76529,106157,125013,142875,159743,267672,390997,742490
69413,75542,108603,132547,142474,177638,302187,528832,663595
67767,74554,107315,116916,154670,173024,319600,432320,579523
68193,77039,105273,108972,143037,172790,297456,417238,619545
72800,76104,105397,116720,142983,173617,317979,384369,611890
69561,76440,104955,118085,153369,174944,304765,388647,580882
68098,76232,106077,117168,143176,182160,310611,418449,686061
67919,74727,113505,111787,137753,169692,325357,397711,642056
68464,75963,107115,112643,142974,174015,296005,416954,599769
74936,76941,108099,120373,142075,170080,338477,415111,587572
68616,75895,107863,114127,153226,180043,285379,394091,528016
68245,75088,105382,113027,141486,162757,271579,419658,524541
67700,82953,116379,116232,143251,172548,310049,422614,485174
69304,75831,105177,111840,401761,171678,358775,417981,663971
71088,75223,106707,114904,177155,176188,312023,391527,604100
68895,74826,107228,131239,177935,172289,250823,424082,624845
68509,76765,106121,110111,170682,174429,273421,392494,563946
68161,75735,105416,119594,163935,176682,283839,401792,549746
68694,75129,107484,111590,154990,160179,283233,400939,535917
69614,76598,107084,116652,172811,175505,290410,540572,710962
68075,76653,115293,105059,142072,172368,272861,431394,649502
68489,75567,105319,117059,140310,172748,454480,397813,554106
68106,77069,105320,111927,140704,171728,227483,377832,528968
67765,75340,106464,116890,156039,169204,221418,409590,607991
69614,74756,105985,120830,160641,174231,216174,393656,743770
68672,74909,108532,112117,137898,173362,208272,440773,623974
67479,75601,105453,116616,144077,172615,214056,389053,569266
67501,75650,105904,118610,163037,154071,215450,449335,561988
68603,76250,106989,112868,147170,180693,201993,458445,530890
69782,76845,107137,117568,148542,173691,200425,435422,542006
69166,76001,107649,116200,147202,172649,198171,429692,479185
68945,75904,105731,116349,155837,165995,192822,505898,719158
68411,76653,106294,125918,152872,179744,190942,549962,659551
75007,75945,117059,126595,156577,171633,196834,514916,602225
68472,75931,103938,131449,168241,157887,210198,453428,545356
68294,81986,107670,126801,155560,170502,217778,463072,507478
67355,76511,106109,109243,147438,173175,201592,450489,531845
68015,75243,106559,119050,152746,172087,186910,440473,700945
71421,75195,106260,111969,174869,171733,184970,435880,651441
68489,76574,106574,116552,160761,173128,200994,445809,593468
68966,75018,105815,118150,153952,171728,197373,523453,558318
67551,75143,113690,117994,155218,181852,212734,437664,529762
67902,75624,106573,117926,171286,171885,244198,405320,551916
69319,74876,107653,116891,149265,169141,307928,400865,543996
67658,75972,106006,111459,155040,172562,240801,396353,699387
67704,83850,107001,115248,164717,180056,328732,410790,633301
67539,76311,111127,110090,159045,174658,305774,386111,618713
67805,75834,107042,131572,142112,176021,296724,382962,569910
68923,75426,107292,106044,158098,172336,260264,403651,541511
68829,76318,106870,117952,142042,175465,279085,395560,532319
67568,76196,107334,125474,164314,154388,288881,395389,682863
68675,75836,120067,132535,140944,174155,269932,404828,620396
68119,77130,106877,110686,154237,173468,277483,422004,555155
69303,75760,107072,128821,140134,179609,279623,410637,538978
68028,75274,116153,123601,140168,172498,312409,407819,517209
68364,76895,106294,127949,163101,173151,280604,369570,699666
69104,74830,105600,126037,162279,169252,307105,399544,645061
73228,75032,109005,139872,142718,178696,280879,453754,558227
68903,80573,107961,115626,143999,173008,313387,499431,547885
67805,75868,106478,112558,153440,168716,300475,358162,526777
68211,74920,105378,111686,149204,172946,322097,345629,526259
67929,75813,109500,112369,153753,147223,305104,352003,543581
74301,77339,115246,112569,153694,171223,308056,410600,703546
68890,77004,104234,117900,156092,177811,306896,404116,666154
67804,76887,109836,117372,161849,173378,307858,432541,634758
68132,76523,106449,114634,136473,169304,308511,402515,577364
67694,76769,107567,109956,147055,157557,305872,408081,595003
69818,75815,117986,115216,144271,170658,279401,406190,599586
68445,78092,108218,111930,141873,173123,285136,388824,706262
68333,76118,112432,119328,143826,174976,293730,406025,632091
68880,75914,128024,117564,150989,180577,300643,395805,550710
68519,81873,114076,112262,151066,177212,310864,396032,527607
69742,76164,107120,102971,146722,170109,318751,384456,584874
68141,75068,106689,117332,133735,174195,315591,378083,483965
67511,74681,106313,112352,139182,175678,298293,407074,528849
67893,75250,106122,120388,137113,172351,280971,392541,777816
68051,74782,108912,116745,147806,171230,306513,491389,637390
68982,74505,107968,112003,130455,175081,322526,420924,581261
68787,76310,108080,110925,130196,182681,317594,369393,618921
67451,75307,106384,116603,127476,161842,305322,389134,565352
68211,74329,107549,120590,128718,178305,299915,399990,618369
68247,80862,106557,117755,128766,173886,310231,388171,804263
69254,75398,106035,114753,126515,172837,301182,381538,648690
68254,75146,117693,118954,127216,158996,312899,379281,590214
69292,75633,106874,117175,134456,175956,304212,383554,536697
69110,76668,106748,118304,131912,169499,309442,381158,523583
74479,75347,106440,119734,129750,160454,307875,386122,738456
68478,74348,106808,112924,134062,165819,273783,378764,638702
68085,75597,105810,119214,134544,157869,270505,383431,541999
67982,75376,107725,113263,130398,171812,259516,373872,528003
68408,74773,107594,117120,133302,170267,304952,378175,512182
70298,76071,113334,121533,142041,172125,308007,392002,518783
68348,75856,106699,120185,131568,163453,321427,405955,518539
68379,75380,105311,134920,132926,160010,293798,386283,759585
68310,75134,105750,117178,133608,180986,286282,368622,660773
69636,75995,105598,117936,149889,170965,285846,367816,673418
70622,75320,107180,112295,138076,178110,307177,376053,677079
68956,74444,106361,112177,145189,177533,249061,496519,643168
68681,75498,106051,121016,153874,179817,412201,466659,628985
67852,74914,114170,119217,138816,172560,234165,369378,694047
68124,74984,105165,115056,133090,168600,210251,406973,630052
69912,76461,106796,113403,143494,173097,205064,388699,560372
68895,75724,106499,113535,142628,178215,207507,367121,559989
68370,76847,106182,113321,139371,172498,215946,416084,538955
68481,82857,105419,117216,134359,183684,218687,402607,542258
68428,76447,105805,119429,132023,171919,222573,374242,518014
69677,74815,106507,112516,136089,176742,206328,392675,700506
69217,75260,106026,117726,141605,171423,190586,403832,630993
69415,76060,107344,116755,135913,169162,205329,400155,567313
68490,75840,108461,118089,132805,169939,194856,383211,543038
74400,75391,108615,113138,135734,173616,193241,413627,621989
68328,77593,108064,112576,134001,160911,210906,382410,577866
69228,75519,106226,110581,135940,171441,201728,399291,659199
68322,75971,107567,111696,132876,181856,201326,383102,609860
67625,82202,108054,112935,143542,176461,214001,388054,514762
70655,75102,108396,119456,154646,170047,213890,525364,504417
67937,76091,109021,126161,140444,171426,213959,411273,546328
68446,76313,112923,120080,143254,169529,210437,370000,710594
68029,76253,107014,124546,147809,176667,205153,352885,648367
67906,75492,106693,112181,157615,145562,261021,374939,567844
70281,77117,116944,112797,145562,175046,205145,399312,546193
67574,76658,106084,111484,144522,176087,216017,370524,499678
67348,76262,107121,138883,144390,173866,196085,398746,497549
67539,74619,106592,112805,144400,172426,248435,366297,533756
67368,77692,106350,116269,146936,170593,330769,392028,696433
70199,75545,107580,112084,163938,175027,297279,387555,781156
68922,76252,109006,118708,146581,171976,278553,381629,645346
67952,81406,107499,122253,143321,180423,277440,396128,587767
68531,76811,112920,117748,144621,179072,281066,395823,546149
68509,76112,107199,112978,154260,145650,275202,432124,564327
70189,76034,105636,117020,138471,175486,318263,387525,699738
67963,76419,107428,111098,138094,171024,297503,369652,608379
67660,76291,105704,109901,144856,171559,277455,380658,618143
68202,75425,117436,117626,146193,173782,283205,521578,569304
74214,76186,105251,118509,146291,174030,305760,402883,618111
69372,75990,106466,111022,143576,159613,308360,332897,558346
69877,76359,106354,115595,140203,175506,282147,344107,852299
69224,77375,107206,119124,144865,171284,273253,381228,729560
68074,75135,108070,118556,142707,172638,330009,364716,630981
70164,74707,107498,128386,139139,172741,287142,371177,593830
68758,76618,106504,119375,138741,184101,322312,456220,562114
68445,77340,110733,135449,144333,171987,305584,427701,541799
67910,74702,107439,114470,172445,169815,311204,421589,547827
67527,75163,106847,118805,136576,170709,323758,413029,685043
69897,77419,107611,117220,138471,171738,372573,405548,617674
68025,75914,105340,114131,142164,172372,334238,412246,610467
68055,74870,108423,120876,145641,174186,254273,405157,544325
67625,76406,106435,113111,141629,174049,297734,416449,524130
67619,75752,107361,121980,164322,155618,320937,408891,745185
69605,75882,106345,117499,156641,168162,295692,406490,686848
68387,82171,106758,112410,143905,172393,336684,427447,612356
68141,75408,105595,117717,139181,174036,311872,400996,548714
68236,74620,105489,117323,155469,176744,335742,407768,547528
67602,75642,106550,118194,146385,175275,347061,383220,544156
68757,77040,115224,114339,145710,174580,341884,522648,525418
67725,75344,104609,118752,145547,169254,329579,460376,707704
68104,75824,106119,111149,144848,170695,333312,426878,658573
68103,76605,104495,116762,145550,171128,358137,425716,571051
72778,75364,105118,110986,162488,182310,330269,394374,530789
69516,75651,106533,117834,148347,171274,319520,404984,535650
68126,82730,105914,113646,147882,172196,314356,388776,545301
68553,74849,107367,119767,146665,170790,317757,413651,672616
68764,75724,105783,115676,147087,168048,375080,396546,653965
74463,75190,106638,125362,167258,175255,318023,418180,625682
67723,76580,106045,122498,147222,176758,338733,417979,580166
67745,75561,104938,120834,147275,171026,346779,438077,564319
67995,76163,105156,112472,145750,184957,325896,392867,532678
68340,75978,121378,114808,147586,168889,335044,390609,525010
70734,74978,111741,116852,176198,173126,329771,419185,700476
68657,75522,106377,116823,134301,170699,297420,406548,623893
69194,77326,106448,111755,148185,176059,295065,379953,590995
68514,75721,106696,117763,143221,154645,298763,410256,579302
68912,76215,106258,121242,148858,172550,303813,503249,507713
69595,81546,107296,113044,141432,177021,293498,513794,527399
68007,75378,106657,112559,168693,158965,311988,353554,825378
69173,74620,113186,112345,143231,161806,434538,419131,618417
68719,75030,106957,117946,144909,156485,224871,413741,545883
67963,76569,103793,113220,147271,173041,231615,412034,596332
69624,75624,105123,111579,146161,170963,204192,423738,577694
68171,75281,105882,117219,148705,170937,211562,410679,821411
68519,76908,107120,125580,139963,166830,201829,450389,629734
68712,75371,105812,117838,138197,172487,199362,415680,565596
75093,75148,105971,118634,139376,172991,202383,387267,615196
69905,81099,104176,130614,148271,170855,200558,422270,562058
68182,75374,106658,117356,154516,158274,202251,412363,545167
68070,76106,106959,118048,145525,175060,199996,415439,528065
68009,75996,104809,127635,144935,159765,193867,420128,707307
75307,76986,103953,126970,140498,172950,200237,386564,646425
68579,75362,113644,132379,146124,175304,195835,381172,568462
67633,75642,105167,112059,160444,171055,254850,385491,571062
68783,76564,106798,117525,144843,169391,262323,511000,535638
67989,75601,107710,117160,147013,174903,229249,446313,519553
70942,76079,106575,117201,138019,159383,247244,494757,717763
68430,78170,107319,115077,145865,174092,277182,434514,661420
67498,76246,106553,117346,140685,170933,203188,368124,563761
68134,76330,106224,114831,145247,182702,280489,387227,572218
68324,82934,108906,118435,146975,147996,253806,370000,539380
70149,77079,107201,117096,144491,156285,221286,379854,551508
69413,75361,107204,113468,146848,170344,270987,385400,520307
67949,75325,106151,118244,147295,170108,213881,389228,677466
68420,77413,105147,116858,153802,183659,315532,391466,633849
69030,75926,112385,117061,148382,175813,308353,396491,604292
70467,75535,105790,115949,145895,160388,275923,382464,613496
69042,77245,106402,111850,148682,171257,309531,382192,506215
67771,76331,106206,117396,148377,171110,295766,368476,582663
67805,76185,106148,111319,144237,182675,293575,374653,711169
73707,82401,106465,112114,143212,170158,308259,421037,683137
70272,75853,104998,121514,134297,160510,338151,396908,548536
68415,76630,108305,118740,159317,173886,343987,374171,528490
68770,76560,113812,109689,157588,155874,406618,393129,537798
68163,77323,106116,118623,147576,161035,335971,393737,695294
76081,75276,105806,116759,145517,178049,344082,511465,684975
69416,76566,108178,117850,148726,172392,329705,416673,564261
68901,77101,106024,123770,152706,167397,304718,404694,548059
68805,75315,107279,127312,144749,186555,317877,392589,517969
68589,74648,105390,126117,157050,174302,313923,401719,551642
70424,76739,105906,131596,140313,174656,308813,388598,523338
68242,75242,106606,121576,137341,171199,311017,388180,689776
68541,75758,104801,119523,137246,183545,271497,410744,648243
68392,81597,107645,120493,146364,167267,311818,427903,591553
69573,76838,106411,122059,143507,173057,274891,402748,547352
70454,75693,106576,120532,147515,172576,336687,404173,520931
68723,74898,114749,119361,146441,179465,306099,408964,530392
69205,75573,106338,113692,142319,176796,360954,385250,740817
68187,75436,106317,117348,144934,160355,311630,412420,658807
68631,74740,106374,114138,145465,168563,347264,392651,593950
69553,76913,107770,111111,145842,173642,309573,386023,560128
67688,76075,105994,113085,145681,174133,323429,393320,573641
68187,76366,106912,118245,145618,172856,305106,384050,521014
68251,82210,105363,120864,145602,173055,306190,528417,538204
72693,75299,112200,116588,130454,173498,324201,384770,687604
69020,74412,107295,117422,139881,161814,358664,375640,687611
68966,76276,107548,110851,140776,178825,314635,475219,627842
68440,76733,106890,110412,147741,154831,307015,422153,558211
67347,75393,107333,106137,147039,170103,287977,385816,537924
75543,75483,116711,114112,137311,173138,281850,395948,529041
69410,76280,106410,112413,140445,171472,322678,372390,749386
68052,76227,106451,112044,139264,172937,279978,392458,651068
66989,75540,106540,116843,145953,153928,345790,406921,588316
67985,76657,106367,113521,146159,164583,284683,400384,559196
70775,75852,107851,115205,163897,172236,284823,389888,504879
67768,75397,107258,113182,143878,176801,322958,385686,721178
67967,80487,105971,123087,138581,174468,271103,398136,613835
68187,75940,114246,139591,140078,159636,319454,397212,537113
67895,76105,109048,134579,144419,172288,273976,402741,544816
69738,75725,107387,113781,139367,184300,266642,394054,527808
67617,77247,107427,112174,160503,175358,327721,396559,524337
68341,75179,106242,113931,143003,168045,281911,511773,521023
68269,75106,107375,118435,147316,160388,270323,384683,744466
68947,75136,108353,113754,140873,170723,275830,403015,614943
70213,75469,106953,114629,138456,175896,270704,352480,614256
69259,75086,104273,122418,144468,172507,357012,402167,532431
68891,82205,107371,118480,146283,172396,403022,385565,519707
69579,76001,106343,110185,145839,170354,216257,403309,498557
73558,75981,106121,118897,148577,174245,203055,398559,664878
71184,75193,108599,111380,144662,171819,193387,398811,648919
68874,76342,115814,111061,147858,173530,198270,409767,597952
70291,75692,106495,111177,144963,169901,200729,367796,591416
69166,75343,106274,108684,147479,170349,195812,388411,620637
75226,76747,107324,110754,147206,158399,184688,414664,591821
68948,75569,107555,118514,146545,172328,203492,392574,655043
68776,76097,105827,118381,147078,158461,266921,409426,678339
68278,77025,106036,119805,143037,172319,196610,398768,656043
68190,74926,108181,117791,138575,192683,191270,399334,595392
70384,74468,105621,113198,145419,174311,197002,378599,565099
68734,80229,105140,113130,145165,173660,182707,371250,531767
68574,75551,108431,113276,140455,171816,207638,393212,528624
68165,75316,108447,118660,145507,176786,211188,391878,717526
68231,74859,106674,114688,147847,170501,290292,626517,673532
71778,76368,114709,130698,157429,159831,187702,402386,548111
70368,75329,106563,126919,144678,176283,279948,386194,525986
68999,75645,107037,132470,144809,163782,261969,407634,592401
68788,76864,107394,113281,167822,195721,260855,370817,698019
69278,75472,106242,114048,144782,172164,262730,390166,652344
70241,74798,107169,117840,156953,173006,305466,394968,568338
68910,81034,107021,117786,148468,176407,285152,388047,550482
69062,76040,106592,111335,145604,177891,295711,403470,506207
69483,75025,106426,118554,131845,169912,293651,403216,530884
74738,75286,104486,118182,133543,174258,287105,394975,493209
69832,76338,107321,118931,141695,169641,288044,381547,811556
70027,75921,107182,118446,147196,181133,314895,372215,646833
68882,75122,106020,118051,145044,175145,316082,376064,546904
68744,76865,116258,113292,146392,155016,261472,388818,565406
70721,74563,104670,117406,136276,171525,299035,370488,535446
70190,75358,108132,119692,140557,190779,282298,395174,517982
69709,76327,107026,110950,153276,174937,311020,402863,710306
68655,74611,104985,112947,135688,172897,319682,523115,699203
70181,75108,107702,115325,146662,176461,318246,424245,600972
70922,75147,105396,105405,139853,178255,314396,377497,533561
69481,75786,108074,117768,143942,170827,309882,430006,517980
68801,74733,112817,114662,158675,168746,301829,384806,512551
68356,75199,106822,119735,145987,160689,302056,401563,526663
70157,76638,106086,119750,136940,170491,305354,392825,738486
71457,76330,107611,118981,145348,173791,324143,429201,663319
69967,75916,107295,115005,145930,171962,290202,398957,586187
69132,77703,115354,115002,153286,172876,321905,365573,554804
73954,75507,104146,126950,146767,181621,310440,377896,536764
76107,74750,105998,133697,146674,176127,336596,382798,520551
70648,80703,105202,119511,147410,176791,277728,381549,717314
70059,75892,105012,117187,145295,172886,292219,394963,645038
68890,76734,105323,118861,145344,172186,255482,399661,565562
69041,75706,105261,117481,146357,178589,289198,388271,565586
