b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
8738,9619,17963,20152,20315,19820,24753,44664,63918
8948,9508,16578,19979,19120,19628,25089,47540,54783
8886,9109,21577,21447,20296,19133,24544,42028,63393
8940,10422,21884,21307,18460,20784,24201,58228,81042
8703,9728,17195,20405,21774,21055,24503,49072,76792
8628,9510,20035,19729,21569,18530,23365,48996,56964
8660,10200,26612,20012,20093,22203,23527,44237,68706
8549,9497,17457,19914,19332,19507,23102,40729,51948
8501,9539,22715,19795,19780,18578,24156,67669,53340
8730,10069,29305,19747,21980,19032,24225,45507,79388
8499,9928,24076,20556,18817,19779,23547,55993,87876
8724,9458,22536,20816,22150,20649,24484,46025,63967
8511,9493,19324,21270,26976,19131,22925,47720,56366
8609,9835,21540,21845,20202,19858,22139,48435,53947
8647,9554,18356,21177,21079,20966,22744,49898,56817
8649,9700,23468,18871,20401,19977,23380,43271,52926
8646,9993,22265,20683,20785,22795,24212,45453,68692
8859,9644,17967,20182,22395,21259,23446,53971,69132
8896,9896,21785,20599,20738,18394,32096,41599,62067
9103,9270,17587,21937,19566,20066,22689,44761,85457
8440,9668,18966,21151,21265,21413,22013,43925,60500
8537,10121,18507,18930,24054,21196,22247,37590,60806
8456,9503,21099,20978,21540,19627,21926,46709,90113
8664,9632,24089,21042,19891,19150,25857,67884,71559
8789,9757,21829,19994,19469,20159,22101,50326,55054
8658,10036,20491,19121,23136,18572,23951,56412,62663
8389,10175,19717,31418,20566,18074,22201,53741,50588
8420,10053,17454,24311,21472,20658,24173,47736,75295
8858,9668,17335,24742,23206,21224,27493,54444,65291
8533,9750,18576,22834,23097,20564,23653,69135,81532
8710,9863,19045,23580,20854,28052,27341,56106,65711
8246,10459,22603,20265,21004,19603,22844,56751,58270
8302,9605,18545,21751,18662,20149,24870,51015,72838
8307,10281,18149,20033,20342,20150,24607,52006,75310
8391,9564,17963,19831,21112,20128,30649,48551,62341
8270,10062,17341,19842,20018,20609,30423,47868,57900
8206,9170,16983,19592,22705,20945,28511,47942,51732
8307,9292,22055,20386,20387,20440,24490,44989,55584
8368,9204,21050,24586,21670,19502,24081,42897,55974
8409,9135,29185,27276,21111,19488,31284,62654,66472
8343,9044,21930,19544,21717,21420,29411,57740,80118
8559,9477,17007,20229,20820,20994,26854,59009,68275
