x86 fx b16,x86 fx b32,x86 fx b64,x86 fx b128,x86 fx b256,x86 fx b512,x86 fx b1024,x86 fx b2048,x86 fx b4096
955714,1111395,1148330,1144209,1293908,1307635,1574419,3529518,10303041
957320,1106231,1151762,1150475,1254641,1353525,1536148,5685332,6256599
960463,1122633,1140699,1154615,1292690,1310830,1513472,4436137,6516206
964280,1125367,1148056,1159858,1279263,1331507,1582578,5279424,5137305
962393,1121036,1139689,1153853,1254468,1335641,1533132,4140614,4872250
958846,1133950,1145185,1161355,1258603,1297710,1559576,5926998,6111199
953680,1126332,1159551,1162272,1301577,1336722,1553958,4820786,6649322
948453,1134325,1134184,1162266,1278696,1338225,1547155,3302185,6541433
953321,1118513,1151305,1180309,1291588,1316306,1538275,2662745,6107280
957512,1120511,1129411,1166391,1260626,1313011,1594536,5843039,6145345
957265,1122146,1160227,1192060,1281095,1347136,1653683,4627129,6060829
953746,1128167,1159673,1144917,1258182,1316065,1634569,5594937,7652922
964793,1133505,1170580,1175057,1299351,1313119,1660593,4621118,9837432
952291,1121544,1159911,1156620,1268738,1351340,1595692,5419812,6499755
958274,1119880,1164689,1148623,1250195,1304983,1593609,4531087,9657902
959796,1126481,1144090,1161852,1266335,1292463,1634634,5549703,6390044
959178,1120132,1165222,1167540,1286061,1352965,1601378,4560496,9827783
957193,1130556,1138827,1172917,1277843,1310557,1570989,5312766,5384430
954108,1125026,1152482,1161230,1277077,1299986,1656627,4573291,9871644
954563,1123377,1135662,1154747,1250277,1340442,1624721,5199409,6304012
961980,1124015,1161696,1178394,1289243,1317857,1574771,4125203,9356548
961462,1125735,1142065,1153504,1282300,1302017,1667135,5895311,6287425
961391,1117788,1151286,1165429,1269345,1328075,1599433,4985991,3757613
953420,1118678,1152771,1160678,1255096,1322349,1563809,5570697,10275283
955120,1102756,1147577,1181535,1270926,1291233,1635578,5059920,6602650
938256,1123153,1151951,1160210,1272986,1331246,1583787,5463734,9508274
959293,1122447,1154333,1185213,1287836,1317348,1546810,4796795,6165575
953528,1127373,1144164,1166589,1253998,1305874,1610154,5429452,5015744
962731,1118924,1154017,1177898,1252761,1344381,1611797,4633405,5010016
957055,1129260,1152496,1151347,1266875,1312257,1588457,5393876,5440636
957101,1112279,1156983,1179332,1274507,1339230,1618152,4616019,5184349
955383,1126789,1147078,1168969,1276177,1345435,1594582,5337600,5318492
957140,1131189,1156010,1180627,1272915,1332020,1584161,4601484,5089694
950462,1125865,1149396,1160710,1274316,1322282,1634680,4411171,9528187
979057,1126204,1143103,1176614,1264563,1324308,1602785,3510136,6330829
1024970,1131253,1161381,1167899,1283483,1299674,1573718,2990043,10295642
988052,1127838,1141745,1172750,1297561,1302341,1623321,4532031,6354280
955526,1138539,1159071,1153615,1252664,1333896,1602317,5499954,6837693
958181,1127817,1138342,1182668,1284669,1312940,1603655,4116146,9877103
956811,1124090,1145778,1159638,1281898,1310352,1638728,6156391,5938722
959377,1122640,1155863,1164877,1296781,1337962,1587433,3754479,9075872
958299,1131923,1163686,1166073,1280694,1306101,1580883,5841102,6629556
957915,1125024,1144948,1184032,1255366,1328706,1645290,8150789,9798334
954300,1127602,1149717,1154476,1251475,1335202,1602598,5390695,6544449
956905,1126973,1146992,1179139,1294704,1327849,1602977,4858991,9869466
960760,1129338,1139740,1155787,1278955,1309695,1643565,4581766,6360992
959120,1132023,1146569,1185431,1299411,1339468,1581987,4567608,9465840
954271,1125591,1153879,1150581,1279190,1307832,1597340,4543963,6624981
957338,1109745,1149350,1179618,1298385,1312643,1695037,4971636,9829901
943113,1105964,1152215,1151330,1262086,1349561,1609300,4600278,6313966
978036,1125309,1144747,1177533,1301571,1337534,1585573,4548009,5163472
1004979,1124236,1161197,1165287,1274055,1308634,1647918,2708447,6235290
957708,1126004,1144698,1174084,1267994,1338540,1589650,5697252,6034334
954155,1131715,1144573,1152179,1252415,1316686,1597281,4484450,7313044
1055303,1133554,1149765,1175056,1281557,1313985,1652997,6130114,10542425
1105107,1118445,1138195,1159860,1247223,1333207,1627695,5027013,5218497
1097717,1123257,1147578,1175925,1289354,1329737,1567516,5134318,9313880
1091601,1127629,1150163,1159749,1272073,1310596,1645144,4721326,6398573
1093253,1126367,1132266,1167907,1295137,1343649,1825782,4636168,9336446
1093810,1123636,1151267,1164120,1245529,1321861,1597425,5498459,6500096
1091528,1106076,1144661,1164551,1277708,1315082,1597753,4652211,9766919
1092194,1128140,1149933,1151836,1266380,1334693,1571169,4934634,6375912
1100067,1129420,1151100,1165999,1290283,1311167,1546946,4606580,9267217
1089807,1132389,1149042,1157310,1265239,1309793,1597679,4595067,6149049
1088683,1127731,1139756,1170359,1305496,1333055,1567959,4634347,9649220
1086174,1128074,1138914,1171864,1284533,1313979,1533905,3546406,6510668
