SHIR FPGA (buffered jit-copy) b16,SHIR FPGA (buffered jit-copy) b32,SHIR FPGA (buffered jit-copy) b64,SHIR FPGA (buffered jit-copy) b128,SHIR FPGA (buffered jit-copy) b256,SHIR FPGA (buffered jit-copy) b512,SHIR FPGA (buffered jit-copy) b1024,SHIR FPGA (buffered jit-copy) b2048,SHIR FPGA (buffered jit-copy) b4096
189237,214895,269483,295229,383532,541418,968804,1752324,4207028
195674,217880,264507,302188,393295,567678,974694,1720439,3215741
187370,220284,271609,299453,374002,558601,1009524,1746762,3223638
191173,213305,262393,295427,373597,563541,958328,1723581,3942346
195544,222626,260641,303644,375845,541324,972154,1752234,3127817
187322,212353,263780,295949,379492,548594,962311,1745270,3161704
187663,214682,271061,301799,376680,546909,985744,1894309,4196884
198044,213463,268545,295565,375998,563068,974859,1705067,3184814
188505,212668,278990,296556,397584,542145,923617,1641351,3165740
188824,213038,264676,312441,373369,545921,962631,1656738,4028316
197649,213068,267424,295984,401304,543254,951517,1696867,3235297
208056,214746,269786,300495,383696,549602,943881,1722748,3264083
202956,212556,265962,297164,376896,559551,1005604,1707800,4128780
201267,222017,271976,294687,377679,542295,1195684,1715063,3111157
188285,220864,273476,298767,381344,541473,896134,1717238,3126641
188041,219686,265286,299030,377046,544312,884571,1708400,4007015
187148,213151,265285,302813,396994,548286,856159,1742619,3155780
190060,214687,272602,296032,374777,544049,852401,1735690,3180367
185673,217694,266712,300090,372311,558302,840908,1684361,4347685
189072,213625,267251,296317,399118,546082,842962,1724032,3180871
187114,216865,271744,294181,399177,543885,873940,1712719,3187702
190380,213716,271676,297333,397160,572394,864807,1710204,4073366
190621,219297,270761,301673,380723,538459,840111,1714234,3139945
189227,210510,274159,296896,375568,538737,844296,1731540,3206774
191214,224441,276125,298540,386425,537304,830776,1700537,4296176
188076,218052,267806,296664,379178,571516,846254,1963996,3163558
188230,213339,281932,297493,374328,558758,835356,1692182,3196774
189208,216845,261287,299881,391625,542943,847652,1659920,4031076
189300,232387,270451,298780,375455,574724,828839,1639169,3107099
185951,229108,277773,300086,377152,541791,837668,1714660,3155844
191014,214495,263916,300259,376095,540753,824851,1731946,4195489
189394,216207,267135,298630,395742,544557,843236,1763868,3191208
186250,216362,276983,298290,371369,541637,830033,1725172,3189167
186898,221725,264034,299971,388198,542608,842419,1700367,4005890
193279,216214,269510,298933,381217,542154,855486,1771911,3223413
188929,227196,276914,299133,378197,573031,856050,1705272,3194656
187894,216133,263589,295965,371544,557111,901159,1769622,4023033
187319,211609,266823,298510,384820,542834,867856,1726260,3301449
187090,215370,272251,320161,382131,546604,897221,1748402,3210953
185939,213431,265966,298586,375548,543609,953034,1738878,3245375
