SHIR FPGA (buffered jit-copy) b16,SHIR FPGA (buffered jit-copy) b32,SHIR FPGA (buffered jit-copy) b64,SHIR FPGA (buffered jit-copy) b128,SHIR FPGA (buffered jit-copy) b256,SHIR FPGA (buffered jit-copy) b512,SHIR FPGA (buffered jit-copy) b1024,SHIR FPGA (buffered jit-copy) b2048,SHIR FPGA (buffered jit-copy) b4096
194027,216052,264237,302709,373201,545647,985483,1766249,3299682
190694,222772,265758,298656,373546,544408,970989,1708080,4449691
189312,216957,262151,315685,381022,564004,1010503,1726095,3220781
195948,217571,261568,301637,375358,545514,994945,1737756,3404651
188242,218007,276808,297428,372047,552519,946577,1725051,4062774
188803,213580,265375,298236,374714,584974,992753,1748319,3229917
197573,214299,262320,301617,383353,545639,1010081,1757522,3068590
189292,218065,273902,296200,374342,569946,989319,1757076,3302520
188321,214038,272428,297701,374852,573532,980239,1747415,3228822
195748,218523,266348,299052,375711,566302,962388,1734805,3142698
187888,223413,289548,295184,372917,568508,967182,2008795,3108788
189063,212365,281962,298561,377342,566198,1009703,1816084,3249921
195744,221023,268787,300118,375931,567081,990399,1734786,3413180
188781,213963,274575,297582,372399,560859,983831,1748373,3259311
186555,211702,264932,300594,378743,561732,965766,1765635,3261732
194526,215786,263525,299095,372957,549027,924848,1728079,4302108
191089,212073,269896,298927,393410,549871,924526,1723559,3128705
189027,215982,264725,299334,376978,542356,985501,1734548,3188268
195674,213351,264756,300660,385288,546930,934685,1708702,4098921
190772,227327,263517,300583,373591,541411,996461,1719297,3359003
188298,219917,266085,298211,392895,546098,977484,1725188,3298115
201478,223220,264691,299052,390208,577924,966740,1706224,4375218
189585,218875,273686,320549,380507,544438,983238,1744286,3241466
191005,217756,264132,303966,378037,541032,977699,1749425,3186488
199522,214965,265078,301919,376197,541613,911642,1716862,4023951
189870,216007,270701,299292,373797,585095,965928,1724781,3442172
187921,220288,267644,310813,382149,551471,936251,1978206,3273385
195461,216198,288067,316778,383336,545257,911233,1768227,3141802
192431,221855,281042,307784,392575,552790,989817,1723154,3152842
186615,221229,267548,307122,395318,545544,1004020,1713731,4054583
198850,214529,265714,304567,370960,558902,984531,1653831,3090082
193955,216075,273152,301943,374968,564060,1004929,1749122,3360751
187287,211818,264866,305072,375433,539631,988294,1705743,3258634
195826,210722,264585,307352,388705,549249,1019735,1733564,3205240
186782,234507,268623,298375,372648,542313,994843,1744175,4269451
185010,233497,262379,300207,379478,553171,977899,1723280,3238485
195095,217479,266318,299366,371658,542166,1027037,1720928,3234251
189880,217835,267057,299588,372351,545359,988857,1790312,4197471
190267,213886,263573,297430,377570,544966,990351,1777972,3294030
189702,222619,267198,296621,374231,545622,1000474,1779518,3296763
187838,211356,263977,300235,372408,555823,1165701,1751779,3190074
186674,227205,262585,298348,376521,545940,879059,1805165,3195550
199043,216338,264459,301681,370757,559229,838652,1760179,4157934
189474,213540,270351,303301,376273,569081,845020,1721972,3320808
189513,216887,263842,307670,375944,563615,824678,1779414,3363836
189583,215141,267867,295978,372949,541396,831637,1735139,4441486
187529,216209,269814,318863,379846,542149,820948,1925746,3204537
188827,217006,265619,303758,376284,546323,829782,1769321,3196151
195122,217036,266832,305473,373906,544595,827316,1697134,4140679
191363,214559,276796,300126,372394,544186,840831,1688206,3113387
188109,226437,273324,307175,399784,576807,817947,1723928,3306368
193869,213796,270035,294125,375682,549650,823437,1731459,4486410
189847,224620,275850,293494,371191,544085,839197,1702077,3260955
185342,215905,268078,299566,373312,572879,852491,1723358,3213407
197002,213662,267784,302346,382639,562964,853735,1704135,4089765
187355,216012,262860,298661,373342,575386,849987,1702561,3196315
184995,229357,261291,294767,372850,561028,839213,1716628,3219809
194418,233051,262954,299508,376104,566976,849419,1762954,4384341
187611,216580,264029,302122,397466,549202,840532,1727131,3212778
189961,216101,262122,299408,377019,550109,848805,1721139,3198629
192830,213691,262664,305331,368285,543968,840179,1795588,4130003
189180,224494,261213,306219,375285,560602,853358,1708165,3209284
187131,213496,262387,306512,378542,559304,843692,1717842,3510836
194398,223759,266898,300246,377457,537435,851114,1936973,4504192
189422,213168,260961,302005,369977,599342,845391,1728247,3276033
190795,215721,266058,306583,392376,542474,1005942,1684334,3198989
189968,216864,268728,308568,373871,577112,911932,1667165,4154691
193797,217068,285179,309458,383566,543383,829780,1692327,3209755
187618,214883,277000,303496,371947,551120,1002725,1762112,3198184
189018,217460,273110,305700,389644,559909,967249,1717959,4500824
