b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
57010,67065,70030,68634,74592,90658,254255,366690,572003
54667,65072,70615,68505,73968,100425,294587,422884,625140
56838,72737,68612,67811,77822,91042,234154,367328,615569
56435,68371,68360,67415,85462,90325,279734,375250,661907
57611,67188,77581,68241,83002,95479,232072,327037,562517
58282,65257,66710,67852,73319,87352,243320,388674,589480
57002,65353,68063,68530,72435,92823,256232,362698,558670
56620,65003,67999,82066,82455,101429,276723,358205,538546
58024,64412,64735,87182,83555,103931,275477,361817,653089
57967,65857,66226,66552,73226,88754,260542,354612,591912
56446,64519,70347,65653,75406,93357,300724,378722,552704
58320,63863,65699,67203,73491,87806,263587,343793,593471
57680,66006,67633,66955,73512,93864,280293,359486,560869
56654,70288,67019,65775,85704,92252,251581,374700,532181
54952,64415,65835,65763,71582,91289,240541,350634,622482
56404,65152,69107,64084,72922,87972,279913,361407,1478437
58695,64101,69864,66889,72464,94112,285404,350187,563427
58988,64558,68892,73516,73587,89254,291003,354712,549638
55353,65156,69435,66636,75703,93488,280937,416985,543285
54554,63929,68149,74735,75896,88873,258159,334801,572047
56700,64850,68282,65702,74022,90993,249498,333012,634242
55875,65583,65254,67176,79226,87011,246986,343440,560902
53850,64708,68060,65904,72742,90587,279948,411868,560729
54219,66161,67076,65786,84857,88654,256179,375447,573871
57881,62590,66218,65483,73816,102420,253373,363305,583749
54351,64281,65380,64023,72825,87980,295291,347701,531500
54580,75588,68413,66831,74506,102861,307408,361280,612119
55960,62598,65391,64268,83353,97375,271353,404857,573048
55034,63421,67099,64212,83165,93446,251288,435330,555571
54589,61975,73605,67655,75963,93462,279375,355407,557778
54709,63412,66341,68154,73207,90779,274804,351653,556859
54449,65696,66763,66122,80077,99060,243822,392886,528726
54411,62566,64962,68976,74994,103040,290287,354988,611226
54811,63002,64068,66269,74904,93077,293336,368624,573899
53837,63085,66000,62621,84232,90791,284051,368257,579132
54371,64694,67669,64629,75538,98487,281613,363276,528540
54917,63799,66744,64304,73417,90156,283905,387962,573086
54131,63408,63716,66093,73845,92593,296459,418481,588503
55581,62949,76469,63687,74257,89673,284344,322124,616118
57366,62890,65588,65620,84292,90598,282352,328901,575975
56120,63508,64139,72276,79555,89788,289930,308694,542777
51996,64083,66844,61659,75032,96147,286265,360055,558789
53791,60698,65803,65192,71912,103303,254895,372507,549666
53009,61923,65279,64349,73616,92664,324508,357046,548860
51447,61720,65468,66258,74421,106789,173377,354511,647291
55500,62353,64843,66122,72693,94130,161893,382433,595931
59991,61831,65120,65008,73948,90517,156298,367003,576903
52679,62597,66785,65961,82905,91821,148347,362091,598551
52818,63332,63067,65019,74630,108642,151585,374363,560775
54733,59665,62533,64654,79591,94874,150184,346128,572799
53893,61657,65347,65384,74199,88356,159448,387739,629954
52710,67419,64004,65919,72487,93759,149063,367301,596425
52363,62055,62214,67375,74867,88150,147486,355514,554540
52187,60466,63434,66471,85467,101628,152480,354619,539942
53035,62609,64945,64734,73220,90466,154918,329253,586574
54524,63062,62536,64593,72920,90918,148240,399335,578599
53386,61082,63869,67777,73586,98844,303674,423652,642697
53809,61167,61710,65080,72247,99160,289156,319085,597433
52873,60769,62001,66020,79164,103112,219820,304539,536551
52361,66003,61546,64509,85581,101699,279378,308539,529859
51865,60512,65346,66034,74472,92694,262711,376253,539455
52489,59573,62597,62964,73818,96610,294695,354074,560162
55352,59434,63562,66408,74114,104817,248834,362726,628425
54899,59652,65889,63907,72377,103767,253802,360045,550074
54158,61029,61755,64092,74900,93262,259040,367722,581886
60714,60275,64146,64202,73733,108107,294988,356748,561737
54391,59614,70842,65592,73374,102646,261878,354222,546589
51099,59417,68299,63543,74108,90140,290661,356816,586725
51797,57910,63177,65406,73848,95897,186251,371209,580023
51256,60130,62161,65215,73693,90890,247503,364591,624465
51703,67868,62211,64427,84757,94768,270547,367822,594586
51697,59885,61527,66811,81299,90344,252529,371447,538155
51819,60007,62840,65693,73646,92714,265748,452236,528032
49792,60501,62086,62660,74814,102472,259620,312653,572830
51495,60580,60757,67395,74676,87099,235361,340132,560629
53155,64230,60157,65637,81152,93553,279083,337314,660141
49936,63027,65331,66305,73866,90140,286568,348983,598235
50406,61665,61309,67778,74955,91620,256943,361474,597759
59962,59477,62024,64270,74802,98211,305772,380647,1466020
49690,58957,59079,64285,73335,91698,257300,341567,573526
49101,58727,61049,64015,74159,92638,281970,377954,676799
52398,58063,69418,62590,74745,93974,287527,366325,1503098
51067,58066,62168,70587,75386,101569,267492,372017,543753
51418,59115,61864,72094,74812,93346,262710,358249,536280
52531,58207,61239,70872,75118,92423,298154,364267,1413198
51377,57738,60549,67268,75986,92099,302582,382062,555566
50837,66069,67437,66050,75497,90583,282449,358327,622256
50580,62539,68579,68724,75733,92159,293590,374336,954649
49799,58477,61850,71885,74301,91451,269404,373200,589490
57703,60148,60228,63493,73740,89841,270994,349578,576158
50195,58511,59989,63309,75148,91375,308779,400939,589611
49996,59560,60746,62616,75849,102122,297622,363921,592198
48706,58468,67233,62068,73268,107713,303188,464857,1485087
50303,67984,60229,63957,74030,94937,304426,371418,573421
50896,59008,61914,64056,74050,93946,307135,357614,637703
50526,65193,60974,63398,74141,90640,297195,355924,922084
48862,58095,59194,62571,86194,104225,293750,427564,567940
49382,56499,57594,64201,73132,104193,306445,360517,644943
56021,60020,71303,64588,74370,88769,313181,368485,1530099
51128,57452,70903,62853,85287,96151,323706,348304,567566
49653,58246,77740,64157,74617,89636,310672,361503,660208
49682,56568,62441,64386,82882,91776,275609,374061,947680
49669,65670,60131,64396,74687,91207,317532,368585,564383
49703,57378,68086,62538,73936,91974,331753,373821,580490
49971,57213,59342,64741,74852,99608,310441,396922,1450248
50218,57431,66382,61926,74707,99378,324069,364454,590706
49800,55542,74925,62591,75812,100886,284844,369036,620507
50061,56061,62050,61127,73155,94054,311008,374542,956078
51037,69588,61105,64430,73298,99914,326264,371773,553513
49086,56863,63406,62809,91953,95064,288184,447137,606588
49329,57212,59706,65069,74816,90390,294153,324733,1023728
50013,56720,60021,65040,72812,94058,290443,281279,601297
51332,67956,62455,60583,73661,96648,290452,329688,583465
48187,65912,64008,63065,73553,94117,254822,374929,574756
49223,57919,65000,60923,72084,99600,295628,365522,529356
48828,55900,61467,63146,72943,92043,281395,377580,569842
56412,56182,68562,65508,73429,95250,261401,387468,585875
49227,56816,60688,64119,73133,87043,312773,377595,564479
48744,57996,61654,63860,72269,94206,337953,407674,594974
56670,56866,58014,62601,72433,91820,243124,369918,588055
48048,55084,59734,65415,72053,93481,346137,372280,614766
47788,56696,61505,64167,73570,87822,175905,388421,546675
49258,56701,62938,63737,79473,92784,152551,391733,645556
51060,56627,62150,64327,73038,90332,149919,403829,580769
49288,63012,60693,65690,73403,110133,152601,377263,614490
46905,55021,57909,66861,71824,106768,148984,397911,900802
49035,62948,60199,63624,72888,103577,156543,454413,614798
50477,55543,58904,64449,73139,92552,163637,456589,635768
47911,55755,61570,64852,72363,93830,148108,432127,1413797
51754,55141,61231,65216,73291,88740,257548,411475,605763
48969,57445,63305,64411,73540,93714,158037,418959,603925
49049,54232,59053,64570,94841,84542,206687,416164,912232
50125,56632,60289,71116,75672,103196,201417,377788,624626
49653,55147,58258,64202,73503,91919,198296,381070,587149
48102,58133,60697,65135,74074,103455,234697,371615,1562051
49054,54793,66591,64407,73630,87617,187476,385845,573118
49745,56437,60484,64812,73359,91637,199066,394518,591266
47858,62980,61287,63098,73918,97177,198953,365932,1409756
55503,56491,62056,62121,74799,90584,228968,367613,569562
48629,61266,67080,64998,83202,93654,214775,401208,576082
48659,53580,66623,66675,81003,102344,316663,365747,1424205
47033,53968,60628,63186,74822,91384,263144,396401,608152
48248,55271,62468,68479,79743,103550,219159,387081,589249
46593,56536,63753,70045,83780,91694,219015,398704,575928
46740,54004,59512,64758,89509,97325,245453,372969,574983
47359,52873,64577,65329,73345,92264,231993,377644,522549
45992,56396,65145,64958,72659,111834,248624,378219,541931
47942,55456,59753,65970,84340,94155,214983,450155,628427
48959,54290,59152,63614,82518,103373,280689,344828,558009
48156,52800,62759,70563,81744,91907,175021,365127,567337
48239,54359,61711,67208,73458,98236,252019,373870,537757
54483,54298,56772,66762,74659,93148,253047,352099,529744
47687,53332,59281,67464,85977,92314,273159,367353,651092
46523,56011,59273,64756,71892,102845,274381,373089,574924
48454,53342,58967,64557,73766,102169,248156,380366,587513
49109,55650,69151,66149,74143,96869,294008,399180,553701
49710,54224,57856,65421,71719,89657,318402,374522,521949
48088,61374,59517,64488,74136,91739,298276,376149,517405
48247,54452,58354,64764,72850,87373,284628,390768,607508
50457,53974,58724,61750,84243,94282,309688,380060,1507239
48931,54187,58011,64006,71841,88459,289416,386630,536599
47701,55335,58198,63480,83295,104120,296035,411600,546776
46338,51994,58231,63315,72584,89833,304115,368199,521942
48303,52494,65920,63199,74777,106560,338169,423839,553983
45668,53720,74437,63397,73301,85195,299082,337952,635676
46961,53047,58693,63294,73660,94784,321797,332728,564391
47182,52933,60757,61747,73464,91509,279828,340026,552682
47400,53122,67414,62829,73307,92970,279011,343486,556762
45440,54641,57575,62999,74618,86253,324238,371427,600042
46778,61591,58835,61604,84639,92149,283403,378783,539911
47480,60902,68531,63291,73529,89964,311099,379163,698729
52385,53237,65392,62611,73713,92032,269857,356595,616959
45930,62489,62620,65143,73099,88478,283205,362142,572245
46922,54232,57300,62028,74899,89396,286959,374702,557901
47435,61830,57072,64555,83593,101327,279406,367503,590499
52630,52938,58195,62806,73325,92633,267824,358934,572449
48587,54728,64589,61590,74778,88329,275074,345537,620265
47730,54309,58001,62619,73013,92861,272409,371569,1466363
48107,53797,57179,63526,73814,92542,296687,373453,570020
45851,56076,67504,72608,74242,106214,299302,382968,614720
46428,54873,58448,79475,73878,92724,324727,346755,1305394
46408,53918,58044,65048,74855,94240,292340,375369,604309
45705,53559,56046,65766,73229,86589,291528,356442,663775
46527,56748,58710,65353,75601,97820,294198,408296,1503518
48300,59857,55829,71622,75494,316208,283661,391215,611018
46360,53016,58943,66013,72811,108578,270192,350665,549285
45689,50618,60919,69217,73372,102255,305512,315856,574981
