SHIR FPGA (unbuffered) b16,SHIR FPGA (unbuffered) b32,SHIR FPGA (unbuffered) b64,SHIR FPGA (unbuffered) b128,SHIR FPGA (unbuffered) b256,SHIR FPGA (unbuffered) b512,SHIR FPGA (unbuffered) b1024,SHIR FPGA (unbuffered) b2048,SHIR FPGA (unbuffered) b4096
262406,372076,552412,910544,1701052,3180640,5955886,11457803,24299994
271980,378087,556803,915959,1701555,3174186,5964221,11475738,24207358
263308,371602,554953,904177,1717078,3188508,5958724,11494637,24619127
283926,373001,555894,903517,1714332,3172002,5926318,11485560,24426294
282061,373292,551354,901718,1697140,3196252,5992706,11477982,24325485
263298,366918,550261,906245,1699630,3194338,5962454,11443367,24510539
273725,377974,550194,906212,1716796,3179215,5961776,11435739,24389936
263339,370018,548287,908437,1699142,3180234,5984704,11430459,24436234
262613,370233,551673,907852,1711678,3169258,5916462,11489765,24662097
266257,370891,554981,904587,1703868,3157572,5964683,11519311,24427486
263227,371688,557717,901656,1706927,3170895,5972956,11502515,24417514
270663,377926,552081,903203,1699845,3174883,5964340,11432555,24326886
263421,371220,552087,901256,1698596,3191073,5978023,11606779,24548177
263101,374218,556896,899726,1702252,3183271,5952956,11455950,25625497
265979,371995,553744,906175,1720522,3185397,5961658,11470920,24523259
264233,370812,553375,903790,1697075,3182376,5980551,11520680,24531781
267718,381303,547729,899083,1696415,3180964,5979229,11460198,24323691
265869,371901,552952,901593,1697665,3186369,5988269,11489640,24404203
267078,373650,553435,2771449,1722115,3162416,5969673,11471853,24319521
267500,374818,548008,1849961,1708775,3170990,5905460,11501691,24477466
263999,371517,551128,1169784,1709066,3180295,6006563,11529381,24732757
266875,380370,559697,1067348,1711071,3179596,5723116,11491745,24488485
262378,369499,558484,1039718,1723762,3165095,5718914,11464471,24472349
279711,372044,561462,1090415,1699550,3170392,5696394,11458347,24417921
265728,386763,558625,982385,1699968,3164549,5696746,11445802,24275307
270719,394380,556691,1006197,1704302,3177855,5693264,11446673,24300978
264833,374646,551445,992210,1700993,3186995,5707188,11418239,24547092
263038,372116,548168,1030619,1706314,3168967,5712839,11448975,25335671
275835,389972,555216,1000308,1704894,3173829,5686411,11421475,24567854
264923,389340,552310,941925,1702471,3192625,5680821,11585410,24373478
264888,373285,554851,961973,1707916,3162541,5698264,11464187,24421730
265482,373559,558034,937730,1709278,3175980,5795536,11410558,24297888
259691,371623,551615,923739,1713217,3181795,5787979,11454731,24713588
265645,375386,556020,918465,1704811,3161560,5820892,11432820,24496128
263423,370359,554656,917809,1704652,3163674,5815908,11457549,24301391
264949,372278,551843,920927,1718319,3180775,5764821,11459517,24329924
262690,381752,554807,931179,1717181,3167639,5916031,11461719,24204214
264198,371929,549073,947400,1701663,3177769,5972778,11461556,24334605
262964,372282,548699,913861,1702206,3173874,5972338,11469968,24668834
266339,374362,551092,939586,1697292,3179353,5961577,11454450,26018304
275756,369754,557815,895691,1700262,3179347,5965074,11461623,24596033
263646,377346,550030,929050,1700323,3166622,5976898,11479663,24566835
271689,369752,554589,913344,1705909,3174247,5927083,11409922,24462858
268081,372128,559666,897780,1715624,3169708,5991041,11450858,24417324
268510,372467,554144,912362,1699085,3168041,5961032,11488162,24577412
274619,392706,552234,943948,1697675,3163326,5906284,11501358,25815724
265671,393570,554491,944033,1703751,3182147,5954077,11526987,24448437
268216,382193,557383,915891,1695007,3187211,5944588,11443935,24279216
265922,372630,554172,925392,1702805,3165557,5943591,11646402,24304299
262761,380067,553361,951375,1701140,3158255,5958940,11448176,24394507
262983,367845,555718,950001,1696531,3180735,5972408,11615535,24699430
263849,371880,554222,907304,1699768,3177957,5953463,11520394,25573223
274546,381452,558525,943766,1696794,3179582,5896423,11447370,24436169
266478,373014,552187,906513,1711798,3169257,5975757,11481398,24432433
269054,372365,551042,982815,1715350,3182051,5947429,11512129,25509123
264161,371389,549601,947204,1720571,3182817,5946650,11562974,24467807
266176,372280,556059,917901,1701779,3173327,5928106,11493309,24700160
272967,382649,550090,947315,1695431,3168339,5975459,11439813,24544958
264444,372343,551917,944372,1695270,3175850,5962889,11416623,24460458
276715,373450,552005,955763,1709788,3169604,5927985,11461468,24459331
262948,368981,555984,946515,1703592,3182562,5916577,11427296,24518747
277804,370894,550753,953662,1713974,3181831,5984203,11447495,25765271
279172,378853,558899,916755,1697094,3172276,5991442,11448351,24548344
262637,373481,560810,956902,1696497,3162135,5964420,11450270,24743140
276382,395679,557047,918482,1706699,3162757,5944907,11423584,25652129
264480,388677,561140,908735,1706531,3192702,5943138,11423297,24533370
260434,375612,554201,950181,1720150,3184290,5975283,11455380,24488899
267830,372967,552453,944287,1699495,3169416,5931528,11570813,24354807
264364,370890,549461,918711,1721386,3168179,5944876,11461326,24541831
275485,379882,553521,898552,1702273,3169931,5999706,11490750,26194292
265260,376407,552154,891614,1698526,3168293,5961688,11459882,24697259
263948,370484,555039,902346,1701989,3165212,5952918,11426841,24601357
266513,368860,555226,898125,1696644,3172801,5905098,11410889,25457327
265117,371838,553068,932356,1689260,3190420,5957741,11423101,24386156
268876,378438,553811,894483,1703868,3174390,5934332,11418653,24700826
263612,371125,555022,913635,1707945,3181570,5971032,11442682,25399833
267723,371133,550010,895448,1705885,3159390,5935181,11504625,24394877
264895,370421,554545,898464,1706239,3186577,5938232,11462913,24331860
265478,368058,553023,896484,1711538,3170549,5967156,11463240,24306714
266272,378621,555408,911656,1701662,3161788,5952247,11443974,24260320
266138,372154,553010,949904,1695306,3196297,5892156,11482527,24536964
274011,372202,548015,898792,1703245,3159063,5932394,11470508,24468363
265078,379817,552341,927527,1704524,3179925,5933601,11450277,24279052
268971,371974,565826,895268,1703748,3169510,5938677,11626226,24423560
265290,380570,556280,891438,1690750,3177898,5926041,11477840,24301148
262986,368608,560701,900869,1694156,3179091,5918562,11441899,24313778
274784,371229,557305,894700,1700879,3169661,5895324,11471944,24493359
265335,381099,554241,900153,1700728,3179308,5860303,11477508,24467079
265439,370488,554964,898463,1723349,3163130,5886961,11461913,24399053
266297,379638,554752,917206,1703775,3170802,5942541,11465914,24385129
264680,371171,551514,910153,1705451,3172590,5902998,11457012,24307448
265893,372417,553006,892915,1699633,3179500,5918942,11467624,24397254
264123,380763,551645,914770,1703344,3169780,5874483,11484141,24611994
270658,373116,555705,903836,1715824,3172268,5920138,11464866,24404165
261618,378982,549675,925049,1700919,3175759,5905559,11460228,24269168
262943,371271,552840,894080,1703760,3189246,5895988,11445953,24453406
265173,371840,551283,924993,1699834,3165563,5950926,11450987,24333731
265868,380321,559491,895117,1697838,3163504,5961527,11466902,24376215
275024,369459,553068,892794,1704070,3184979,5744855,11437001,24557104
266228,378255,552726,900951,1700054,3172591,5705623,11475283,24475320
274518,371206,553492,895424,1706117,3163621,5711079,11476233,24263966
264433,371578,549801,895120,1707357,3180860,5722991,11440887,24355606
261943,381784,553384,905766,1703338,3179879,5707038,11583547,24280003
273826,373344,552579,895008,1699994,3180500,5713187,11652771,24264918
264813,385479,561781,897114,1700813,3165308,5700178,11792174,24976414
269587,372439,560915,896008,1702581,3166688,5695118,11477354,24713358
264751,371171,554524,900338,1706604,3166218,5698075,11532173,24590432
282263,371787,553788,890940,1697027,3170632,5711509,11452676,24531995
279754,370938,556675,895853,1701168,3176068,5809074,11481881,25760184
266648,369415,553824,891917,1695461,3177250,5774303,11481616,24387347
273534,373379,549210,896493,1702859,3169502,5691700,11482997,24664436
265209,373332,550014,892063,1704032,3181087,5696061,11434135,25443577
270411,381696,554661,891590,1708932,3166322,5713240,11450121,24438553
