FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
30046,34962,77664,61180,95026,111488,146734,424966,598140
29595,34848,76888,75599,100788,111214,149595,263131,531231
29996,34613,60958,68324,94904,131357,147551,256071,497715
29452,35533,80004,59472,97063,159086,140848,288776,468058
29308,34765,77116,61926,117872,161837,141582,267644,536599
29297,35064,58574,62083,94242,110780,141280,334349,500861
29638,34935,80955,62438,97457,134778,148464,321228,601147
29232,36345,74183,66491,94426,112379,144766,341788,516050
29064,34925,62590,61110,84760,112706,137170,318616,492117
29685,34990,59436,66944,94342,125864,133271,320486,560734
29385,35140,57625,60270,96617,110479,133708,317404,534713
29108,40158,58867,67922,92208,114014,132529,320174,557409
28753,35618,58713,62477,89792,136319,141401,326961,624530
29486,34625,58498,62813,89413,110351,144156,328467,540162
28987,35139,60512,74293,96241,125442,161757,315995,524002
35609,35140,58915,62585,90318,109591,161469,340362,490911
29399,35863,58137,68017,91467,125686,160500,423982,526637
29016,35682,55996,67034,90052,111672,161390,285028,493302
29000,34994,59162,65775,90924,129607,152449,227083,559443
29494,35686,57841,69483,90624,129820,163183,282927,549692
29029,35773,58387,78232,90180,110994,228173,320775,541144
29159,35359,56744,76235,91055,123541,183514,332643,495454
30264,36221,58853,80851,89748,125330,253346,361831,474877
29393,35377,65854,68147,89684,128786,167783,334781,462326
29128,36449,58586,66940,91357,131327,219713,329819,584117
28871,35451,56883,66659,97959,141360,206765,336304,531877
29261,35436,58911,71925,92544,155945,255307,330386,484192
29661,35224,58773,77101,101804,115796,211972,348856,541460
34227,35576,57877,68488,90907,110180,203491,345322,533104
29723,35669,68014,61238,91254,107240,257162,317205,565920
29244,35611,58855,62652,90579,112073,223858,447171,598912
29165,35577,57161,67853,92565,107651,168791,278159,528939
29167,36396,58076,62768,91457,108901,219630,229009,540519
29336,35251,55972,75056,97655,107473,245258,266367,495804
28857,35471,58105,62935,90432,107940,219313,284127,516135
30071,35355,56675,68715,100043,110020,230985,328430,603301
29823,40472,58183,69725,82743,133060,210746,325553,517891
29241,35592,59365,66553,89895,110265,296501,335463,559588
29058,35433,56796,66098,91419,108818,210312,343352,516840
29434,35209,60116,66806,98691,108480,234988,346721,509693
28925,35567,65184,68116,87056,107749,211989,336447,508896
29635,35814,57412,62163,91391,125141,202557,453680,620206
29801,35606,60040,67454,90155,134723,199079,352989,555877
29725,34875,57812,62603,90389,107205,186367,332264,506889
28923,34915,58158,74387,90494,128029,203928,321369,469244
28766,35534,57609,66973,89457,115015,215046,444935,463369
29451,34730,58311,76799,90472,106899,198901,1421120,499571
29324,35069,56629,65711,92036,115962,216974,241384,584270
30165,34873,58986,67501,91556,133650,205677,267117,536042
29103,36015,56383,75630,90427,130780,204793,261615,485740
29011,35690,58745,71733,74483,108806,214728,295413,429198
29613,34618,56554,67902,91140,108105,211369,348386,493506
28861,35201,58967,66584,83326,121868,204728,340445,474070
28855,35402,58432,62086,90569,326689,202457,371219,622805
29033,36271,58312,65017,104906,136598,201830,334598,567018
30075,35258,69511,61213,101215,129279,225224,315558,525007
29458,35322,57590,62345,93557,127850,205588,330537,452566
29087,36461,65494,77084,98352,131766,347690,311590,455686
29280,35209,57478,66309,93544,125945,164228,319058,453830
29185,35353,58550,63898,82549,131654,154020,340172,616396
29270,35091,56907,66365,90821,124359,161528,311021,568365
30093,50556,57981,68205,92832,120247,156988,454859,496607
29237,37336,56807,60332,99852,128467,157270,346483,480214
29602,35356,59040,67378,87384,127240,161531,271635,457482
29332,35274,56627,61156,93807,128001,156901,267617,469838
29410,40347,58254,59833,87145,118722,149473,284447,607657
29481,35923,57430,60117,87368,122433,149713,326438,552665
29017,35640,58817,66738,93215,119780,143733,316694,507372
30086,35778,56788,67151,92127,133857,151223,308955,533850
29344,35346,59614,62264,87785,124855,145694,322816,489622
29419,36147,58064,75358,93129,125316,141902,321622,550418
29220,35024,57329,68582,94915,117484,162590,336494,595779
29287,35234,64576,62721,85682,123803,143701,330713,547569
29851,35327,58116,66574,92635,105639,139154,326787,530117
30290,36660,57943,67394,101659,118323,144293,339265,486116
29595,35192,56925,61693,93631,119553,138576,424964,462648
29240,35313,58441,71507,94297,106363,140918,256814,624246
29072,35152,57672,74578,92625,124301,157184,288628,561638
29036,36050,58512,68492,93486,123214,148219,284949,486578
28812,35443,59150,71693,103645,119967,145139,278624,466265
29159,35017,58305,62257,98648,122632,161779,329214,475048
29895,34921,58952,67408,91538,122847,148082,317998,478561
29453,36527,56123,59917,92200,107391,157980,325554,590690
29945,35423,55283,81393,98185,123002,163800,341260,523988
29137,34862,59291,66292,94729,103461,161897,328063,528612
29468,35143,56962,68344,90259,112878,228604,327225,502758
29220,36995,57590,62422,92934,118640,166878,350716,469578
35269,35128,58223,62467,78973,91936,202010,313903,532011
29659,35491,56884,66431,99375,94118,218263,323427,608887
29191,35134,64853,60566,93505,96702,176008,321305,556630
29367,40367,56737,83113,94540,123208,217300,407324,530843
29234,35598,59336,75816,93157,124529,183468,246246,425852
29073,35290,58065,74916,93978,115872,263471,225275,505581
29265,35129,59888,72845,90359,123278,187393,273326,464012
30020,35113,57061,65705,93354,119252,250625,280051,593839
28958,35580,57601,61301,79919,119213,200991,281922,581874
29350,35072,58821,62459,93725,113111,172030,278924,477017
29347,35105,57361,66630,95535,112670,197250,283089,456723
29425,35219,58293,72033,93405,121765,182536,334088,471483
29415,36341,59874,77019,91676,129254,181379,288514,468278
34236,34835,58089,63166,86322,127973,185123,288649,591650
29721,35249,58259,67066,104301,127073,177760,280702,563369
29269,34702,58468,61392,92599,132075,250579,303408,544546
29426,36255,58242,62045,93397,130590,291285,315164,509566
28844,35556,56463,61099,98224,124155,210688,309270,465170
29334,35752,56460,66958,92015,130265,227854,345270,498122
29225,35101,63324,75921,85418,125333,266120,401863,596047
30244,35761,57514,73855,87066,124959,219613,259957,548426
