b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
16271,24941,39610,70393,133294,270845,531890,1076262,2126443
16184,24806,39849,70275,133856,270029,534838,1072237,2125346
16024,24755,39874,72715,133131,261549,534434,1067181,2107103
16250,24802,41358,70581,138417,261618,536644,1061841,2102700
16032,24907,39612,71450,137885,269256,539150,1085317,2098066
15963,30939,39465,71418,132425,256870,527388,1085133,2134503
16141,24449,41155,70637,139484,270626,515937,1089166,2115259
16017,24543,39839,70176,132642,270793,530240,1085883,2108501
24516,24296,38438,70832,133264,271117,536926,1087265,2104768
16559,24209,41300,70440,135084,270995,534026,1080496,2089844
16464,24532,39021,69759,137863,267374,535798,1079244,2092869
15927,24058,38946,69516,136494,269421,536688,1071585,2122911
16670,24237,38931,69848,138030,263464,534347,1082985,2106010
17428,24402,39154,70384,135233,261611,523623,1067671,2115618
16147,24522,40429,74277,134010,270166,539041,1067058,2084835
16554,24366,38833,71972,138357,270630,523737,1083572,2132424
16470,24164,40583,70048,138645,269621,531020,1071220,2100204
16164,24490,38936,72410,133867,269531,533755,1076742,2122653
15709,24149,38963,73568,138842,270268,535727,1082402,2133597
17685,24503,38789,70786,138646,269369,533376,1074651,2107114
15933,24393,38709,73013,138150,270045,536344,1064476,2102891
15506,23787,40565,72870,138400,269123,525453,1069083,2122313
15888,24532,38805,71665,132471,268795,535499,1074228,2103072
16190,24600,40581,72072,132763,269249,541654,1088027,2121187
15587,24018,38379,73735,132684,269329,537282,1092273,2102514
15766,23590,39612,73174,137451,268986,538121,1092872,2114230
16073,23553,40018,70143,133229,262444,535572,1075241,2130559
15503,23785,38198,72061,134836,255903,521445,1083705,2109890
16341,23893,38528,70539,138107,270503,538144,1077268,2110565
15769,23826,40257,70225,138257,256489,535824,1072991,2128996
17177,24063,41242,69864,133081,269121,535162,1077324,2113089
15455,23562,39420,70286,138281,268802,536978,1079190,2124175
17238,23773,46912,71043,134289,261898,534058,1078040,2110328
15705,23504,40058,71479,138457,255707,535269,1073089,2100050
17506,25433,40260,69541,137828,270359,527842,1067569,2101875
17391,23555,38911,71550,136135,271274,528731,1083169,2124580
15662,23912,38561,69864,139083,270012,541314,1072557,2149069
15662,23755,40026,69762,133673,267546,536897,1066759,2091794
17003,24017,39389,69893,133669,266511,536743,1062707,2100009
16756,23996,40259,70191,138058,269098,529562,1083445,2103221
16642,23372,39322,72830,132857,260476,535694,1097994,2098188
16982,23546,41291,72192,133586,264048,550206,1092262,2138853
15571,23188,39595,69700,132797,260262,537188,1086181,2118955
16882,23303,39810,71585,138009,263866,537158,1085841,2110012
