b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
16730,14042,13699,12922,12560,15606,12854,12314,28901
16298,14224,13814,12795,13574,15389,12812,12143,22595
16243,14226,13868,12613,12422,12703,12736,12150,18823
15794,14288,13945,13134,12612,12756,13245,12582,18199
16045,14339,13805,12807,12963,12916,22778,12736,17658
15691,14501,13770,13107,12629,12416,12743,12608,37871
15816,14171,13728,12911,13863,12533,12896,12546,38832
15878,14053,13915,12596,12521,13570,12985,12407,28703
15464,13779,13768,12807,12589,12497,12692,12362,23015
15462,13848,13667,18796,12657,12679,12791,27840,19969
15543,13436,13357,12679,19376,12663,12933,18546,18642
15496,13815,13465,12533,13071,12673,12957,13484,40161
15425,13624,13411,12626,13651,12761,12820,12397,48649
15095,13925,13745,12694,12423,12772,12861,12399,28996
15640,14109,13782,12384,12904,13926,12844,12525,23686
15518,14079,13472,12403,13123,14080,29049,12280,23747
15630,14494,13369,12224,12685,13950,17031,12352,21122
15460,13853,13444,12219,12527,12797,13332,12327,39784
16218,13865,12912,12361,12705,12928,13380,12057,38383
15860,13652,13432,12444,14141,14056,13317,12340,28544
16031,13978,13368,11933,14061,12557,12690,12445,22628
15585,13854,13761,12197,13061,12723,13100,12477,21192
15963,13891,13277,12713,12631,12362,12912,12266,20190
15781,14173,13474,12116,12599,12665,13109,12071,38346
16251,13513,13656,12219,12725,12541,12866,12104,35700
15777,14063,12947,12292,12822,12473,13158,12305,27250
15840,13692,12975,12311,12231,13931,12915,12023,30163
15721,13653,13029,13414,12664,12589,12843,12233,33762
15771,13431,13216,12336,12816,13064,13301,12218,29595
15422,13494,13432,12389,13827,12711,12816,28711,23335
15010,13613,13382,12318,12907,13942,12851,19535,36574
14503,13587,13225,12439,12783,12458,13059,14210,35896
14549,13738,13004,12421,14223,12491,12844,14071,20923
14929,13386,13246,12699,12762,12505,12902,12697,18698
14598,13529,12844,12616,12787,13995,12804,13212,19149
15167,13722,13137,13540,12603,12648,12865,12618,27012
15022,13569,13248,12178,12743,13582,12921,11993,40700
15275,13741,13335,12297,13611,14364,12707,12204,30211
15047,13535,13162,12244,12394,13973,13020,12398,22355
15146,13678,12780,12434,12670,13752,12675,11947,20752
15066,13386,13343,12676,12631,14305,12903,12501,28573
15181,13347,13168,12588,12541,14177,12717,12471,41602
