b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
35993,35091,33504,30578,30412,40329,31888,33775,40263
35500,34466,33545,30625,37735,32446,31769,33542,70721
35573,35137,33941,30878,30730,31055,31588,33689,54984
35376,34706,33763,31656,30853,30649,31777,33240,53633
35706,34598,33356,30642,30510,32345,31840,33398,64632
36407,34343,33099,30541,30501,30541,31570,34024,50596
35817,34579,33278,31037,30153,32392,31968,33365,44599
36488,34760,33434,31068,30269,32148,31948,33988,71266
36008,34804,33453,30882,30094,30478,32051,33831,75614
36745,34332,32849,31139,30407,36261,31635,33431,61249
35973,34115,32934,30888,30524,30717,31761,33281,46014
42677,34268,33082,31139,30310,30421,31962,59959,45337
35360,34074,33029,30539,30595,30386,31689,43114,41159
35219,34039,32863,30644,30301,30506,31958,36183,70507
35343,34207,33051,30671,38983,38654,31580,34094,51803
35123,34050,33194,29851,30552,30618,31622,34817,45734
35312,34176,33278,30290,29715,30769,31717,33769,41948
35019,34054,32996,30238,30312,30642,53469,33732,41615
35037,34476,32051,30414,29817,30176,37595,33639,40847
34541,34342,32688,30589,32057,41037,33166,33630,76235
35546,34232,32745,31602,30195,32182,32578,40033,67305
35752,34270,32607,30100,30197,30805,32145,33948,54353
35254,35102,32668,37473,30413,30899,34823,33509,49433
35363,33920,32871,30588,30785,32520,32135,33271,44770
35598,34591,33051,30616,30285,30968,31797,39937,42426
35094,34422,32770,30483,30390,30866,32152,33564,68713
35246,34272,32678,30504,30654,31229,31708,33417,67405
35242,34509,32434,30453,30175,30653,31703,33223,54559
35468,33421,33137,30603,29872,30804,31811,34241,46290
35436,33834,32884,30619,30338,30671,31604,33513,40928
35267,33567,32726,30387,30303,30897,31464,60696,40523
34792,33941,32551,30378,30254,32331,31817,41480,40509
35061,33787,32411,30423,30096,32203,31712,35718,81792
35172,33102,32620,30655,30468,30813,32293,35167,67035
34826,33943,32555,30422,30189,34385,31544,34676,67191
35042,33256,32986,30753,30561,30796,32036,34278,48599
42212,33070,33010,29925,30269,30840,39884,34117,45294
34093,32688,32552,30048,30559,31005,31935,33728,52646
34065,33526,32127,30157,30644,32479,32080,33757,66848
34161,33231,32458,30417,31772,32416,40424,33668,49691
34303,33507,32288,30164,30257,31313,31976,33660,45005
33986,33544,32636,30202,30142,30546,31885,33319,47568
34247,33511,32704,30464,30289,30791,31700,37426,54016
34278,33406,38658,30291,30077,31463,31917,33954,68572
34764,33813,31537,30442,30156,30921,31767,33901,50742
34863,33077,32049,30263,32154,30615,31739,34771,52154
33939,33029,31954,30308,30041,30470,31547,63189,48751
34702,33149,32021,30125,29830,30861,32045,51683,64742
34305,32534,32161,37366,30010,30841,31681,34817,47197
35140,32661,32062,30261,30456,30736,31602,34302,79203
34275,32644,31733,30327,29975,31098,31640,33626,65646
34581,32476,32116,30660,30229,30593,31419,33507,49422
34760,33010,31960,30649,30613,30528,31671,33331,50610
34701,32754,32546,30405,30373,30219,32179,34123,55569
34433,32571,32549,30278,31954,30923,31488,33661,69555
34713,32896,31941,30001,30293,32023,31855,33600,78509
34360,33111,31720,30351,30577,30552,32037,33545,61842
34641,32799,40702,30538,30241,30818,31718,41999,49433
34243,33641,31420,30198,30251,30696,31811,33205,47267
34444,32373,31656,30634,30195,32501,31909,33790,46754
41429,32842,31356,30500,30274,38570,32046,33437,45531
34001,32642,31321,30612,29852,30814,31963,33518,90240
34320,32864,31588,30540,31009,32494,31634,33877,60462
33795,32760,31666,30282,30196,32278,31778,34002,49648
33635,32675,31881,30146,30556,30753,31941,33390,47239
34366,32626,31655,29986,30223,38875,32179,33709,46772
34256,32142,31622,30192,30436,30755,31942,63616,46023
34383,32478,31701,29882,31704,32465,31773,41526,90594
33958,32038,32098,30232,30392,30577,31796,36706,57503
34190,32865,31757,30399,30145,32339,31763,33895,47375
33955,32548,31668,30486,30174,30957,31716,33764,46684
33765,32401,31494,30302,30259,30576,31531,33877,45171
33824,32436,31484,30062,30304,31923,32240,33725,44880
34044,32673,31562,29916,32183,30636,32059,33330,78849
33698,32776,31907,30593,29993,30584,31683,33568,62866
34625,32768,31332,29880,30306,32651,32377,33284,51522
33967,32927,31200,30358,30165,32404,31987,33482,45850
33493,32323,31804,29521,30049,30385,31769,33721,46723
34216,32290,31711,29646,30264,30553,31591,33515,45746
33782,32686,31786,30205,30485,31998,31688,33244,79410
33429,32791,31447,30223,30232,32354,31676,33447,79033
33375,32303,31122,29999,30427,31908,31602,33560,61143
34155,32617,31347,29642,30506,32112,32069,33249,63064
33688,32485,31977,30536,30520,30647,31722,60962,71213
33833,32543,32024,39304,30807,30812,32258,41844,55766
33206,32791,31207,30088,30267,30603,32098,37707,79724
32961,32230,31542,30191,29985,30696,31880,34170,61384
33025,32140,31273,30078,30399,30911,32587,33604,50216
33040,31702,31654,30123,30440,30228,31848,34224,47129
33295,32113,30480,29977,30312,30798,31806,33928,66034
33385,31749,31023,30082,30151,30610,32513,33922,70068
38800,32254,31042,30070,30469,30603,32078,33985,78892
33246,31837,31072,29815,30524,32084,31892,33596,72086
33165,32082,37235,30279,30229,30803,32008,33402,48072
32978,32066,30681,29889,30330,30707,57502,33499,46345
33446,32009,31306,29956,30429,32455,37183,33871,46373
33123,32059,31187,30129,30451,32688,33577,34153,45141
33059,31953,31115,30267,30571,30694,32954,34017,78671
33573,32240,30822,30485,30123,30701,32588,33271,57318
33286,31996,30932,30531,31553,30237,32587,34050,49502
33332,32078,31170,29595,30962,31046,32375,33467,46926
33277,32456,31044,29700,30374,32038,32325,33487,45038
32999,32671,30877,29970,29993,31928,32084,62765,45305
33338,31908,31076,30438,30102,32287,31937,42949,45294
32969,32185,31388,30256,30300,30954,32519,38240,79000
33179,32107,31141,30294,30204,30619,32295,44476,81371
33275,31885,31073,31846,30220,30737,31680,34695,61405
33037,31577,30962,29958,29813,30268,31927,34365,50329
33560,32041,31399,30336,31594,30601,32292,43696,47334
33293,40678,31365,29891,30153,30731,31846,33934,45477
32770,31751,31297,30126,30028,30619,31705,34316,78523
32558,32183,30711,30313,32333,30849,31715,34191,60647
32913,31556,31081,30470,30618,32411,32432,33991,56000
32977,32294,31027,30007,30473,31034,31456,33707,49098
32349,31272,31010,30290,30174,32466,31705,34029,44674
32212,31545,31289,29836,30302,32531,31849,33556,81723
32222,31432,30895,30255,29957,30571,32138,33593,57750
32657,31511,31277,30092,30391,30458,31920,33398,49549
32357,31358,31458,29988,32573,30671,32057,33636,46166
33008,31968,31487,32497,30814,30705,31789,39201,44519
32613,31514,30440,30254,32225,30861,31860,33755,43984
32900,31436,30876,30086,30534,32554,31656,61097,78778
33131,31538,31314,30216,30224,30744,31625,42203,78664
32894,31825,31175,30078,30689,30791,32100,36214,61680
33388,31380,37155,30666,30296,30548,32199,35021,50707
32807,31731,31101,30272,32188,30552,32165,33695,47856
33367,31420,31647,30786,30457,30746,32276,34123,58116
32611,30745,31523,30447,30276,32208,41345,34316,76773
32739,31433,31311,29944,30487,30893,31554,33598,61195
32831,31554,30901,30006,30559,30618,31902,33319,49104
32740,31863,30888,30615,30311,32089,31727,33703,46872
32933,31020,31488,30263,30513,31077,31459,33755,45314
32775,31025,30964,30433,30737,32287,31764,33769,57752
33035,30713,35927,30342,30613,30442,31892,33341,78185
32675,31054,30977,30022,30531,30389,31987,33583,71805
32662,31025,31094,30456,30486,30534,31869,36312,74212
33231,31386,32864,30390,30124,30584,31614,33612,57459
32495,31245,31196,30293,30307,32277,31901,61331,49776
32919,31795,30936,30221,30410,30599,31860,40214,47125
32512,31660,30991,30260,30611,30551,40688,42572,95453
32247,31895,30970,30472,30259,30443,38638,34410,77396
31792,31329,30855,30519,30533,30939,31734,33849,73623
32305,31914,30798,31946,30546,30508,32130,34372,53754
32474,31232,30795,30495,30429,30550,31476,33364,46700
32633,31043,30886,30176,30327,30466,31867,33479,44936
33079,31168,30908,30185,30075,30623,32122,33657,79089
33214,31055,31300,31594,30457,32593,31712,33302,61515
42442,31295,30874,30331,30263,30761,31689,33909,50575
33064,31016,30992,38276,30240,30730,31779,33738,46262
33216,30804,31057,30400,32346,30792,31330,33220,43981
45346,31198,31067,30317,30941,30594,31913,33366,45482
35366,30896,37017,30160,30621,32077,31506,33554,79909
34130,30921,31296,30416,30520,30887,31703,33198,60724
34603,30896,31221,29924,30171,30368,31838,40747,48085
33984,31103,31174,30216,32214,30747,31611,33821,47927
34423,30865,31158,29945,30508,30350,31794,33757,44893
34375,30715,30882,30324,30124,32117,31634,33313,44649
34592,30652,31293,30171,30021,32649,31856,60045,81369
33736,31287,31527,30344,32044,30578,32181,44244,63793
34123,30848,31347,30153,30211,30794,31889,45805,52470
33793,30816,31298,30179,30255,30816,31729,34278,59637
34563,30742,31316,30140,30275,30426,31955,33665,48790
33663,30658,31244,30083,31670,32445,32166,33594,45517
42695,30702,30908,30423,29981,30475,31847,33941,78671
33693,30830,31110,30514,31928,31014,31568,33869,79106
33082,30890,30693,30309,30631,30929,32137,33546,59664
