SHIR FPGA (buffered) b16,SHIR FPGA (buffered) b32,SHIR FPGA (buffered) b64,SHIR FPGA (buffered) b128,SHIR FPGA (buffered) b256,SHIR FPGA (buffered) b512,SHIR FPGA (buffered) b1024,SHIR FPGA (buffered) b2048,SHIR FPGA (buffered) b4096
188494,214903,261613,294531,370258,551820,871420,1665826,3252333
190691,218028,262723,295772,381013,574238,875125,1674611,4390237
187537,215677,259845,291088,376654,542859,882944,1661289,3206871
191688,223612,257675,297692,382375,540569,874045,1621305,3108774
184940,220233,263187,295920,373656,550017,881460,1649593,4098688
185849,211983,258259,300725,374858,543293,867779,1602237,3256299
187709,218147,257054,291967,389483,554938,881187,1645467,3331279
185054,214208,264992,297260,378243,548434,886860,1656568,4358360
187712,211835,264161,299372,377595,542841,877752,1660462,3138927
189828,215041,264119,294943,398142,544039,873991,1669465,3938344
189418,221468,263023,296300,388200,548407,871158,1897885,4290890
187135,213010,265369,293346,378890,553346,875423,1708953,3124202
185220,218636,261308,291619,386979,559376,891171,1701027,3396109
190051,212698,262233,295592,381934,542747,878249,1709044,4403174
185799,218039,258932,293299,388756,550694,890115,1693500,3524193
184718,212434,265910,294458,372885,561816,886531,1683676,3175507
190421,215679,257329,292643,373079,546488,977922,1692479,4115743
186732,211431,256060,291565,371384,538109,937352,1727521,3142615
181373,211422,268498,296751,373867,546360,903239,1651292,3319298
186339,217278,257716,293891,374922,566743,982821,1648953,4348760
183109,210290,253879,293046,377133,553660,1025555,1745917,3156258
185475,215709,281404,295891,381825,544365,1027320,1671903,3197465
190005,211758,271289,300480,374223,574679,997008,1624679,4212157
188377,211671,267921,293472,373469,553648,983358,1637674,3195503
188300,211505,264578,294164,382583,530676,1074005,1622796,3284934
188031,211955,259406,291849,405601,553962,992952,1648707,4487200
187256,214522,263461,294090,377976,559731,1022647,1729514,3212698
191799,217712,266936,291711,373448,550952,1009111,1659072,3187227
184511,223753,257767,295568,387767,531878,990765,1685412,4209980
185849,215808,256518,293914,394303,543956,973400,1872854,3166673
185630,213269,265455,293778,376656,543581,969178,1773480,3145564
190815,215769,258333,295147,371980,544996,966246,1723711,4688898
183095,213315,256944,309598,374889,571596,973679,1731150,3201621
188646,217801,270249,297972,382655,567775,990240,1759377,3261339
188805,215110,261147,298956,386490,554684,975152,1693386,4435886
188402,213778,257589,299161,380112,548747,1003282,1720089,3284117
186298,213786,274563,297908,378376,562948,977850,1654198,3227650
190578,222071,259486,300667,385817,548453,969928,1655189,4591069
184059,213176,260181,302299,396498,547806,939013,1693498,3297389
185406,217842,257717,301647,375536,564993,1025846,1649864,3230581
186429,214584,257978,301078,379042,538229,982553,1667435,4445637
186591,213348,256775,304550,380811,561730,967928,1679985,3278912
186918,217338,266298,299531,373287,548586,1007308,1689327,3377360
188450,210103,267508,299531,377556,545281,1029015,1712863,4365720
185063,214692,261952,301426,374417,546625,992923,1671255,3166333
186098,211469,261677,297205,395966,545221,1037032,1891893,3161818
186036,222408,256619,325508,377417,551154,1003205,1692286,4403113
186783,211365,259099,292197,383175,542903,1012025,1660116,3181272
199893,218013,258824,309818,372664,562158,1024274,1672237,3418730
208066,213175,271507,308520,379508,543267,979377,1727185,4706738
188144,215741,277022,294790,380015,572088,1020917,1626080,3441007
191859,213392,260849,293917,373302,544397,1030510,1657016,3279518
185762,211176,258125,312079,379248,554744,1000719,1657116,4411717
188520,217855,266527,294925,389439,560815,1001633,1642209,3227671
187854,214103,259720,288321,388993,553598,1013639,1662515,3297107
184317,225115,265197,292121,383552,567369,1016924,1662001,4397366
184358,211728,272743,295475,375388,563632,1030437,1662273,3242965
192620,220926,255797,294101,396785,546605,1027182,1646738,3280227
185865,210186,256469,292378,373167,561936,1039890,1645485,4729028
184770,210181,270361,293611,374486,566418,976079,1652495,3667730
191367,220442,259178,290745,398649,542234,1013592,1650295,3478444
186057,212692,259630,295740,380091,562452,1005797,1715969,4426022
182520,214618,260687,293317,371180,550439,1024512,1632818,3256884
191465,212925,258402,292787,378941,537960,1028592,1749577,3185114
186651,217657,264234,296692,377074,548954,1016817,1734133,4215598
186799,211439,266344,292315,392511,543372,999063,1957944,3226548
192989,215971,256132,291490,397583,550293,1006266,1783733,3450018
187046,213192,267614,292821,396756,542001,990813,1712660,4460673
185623,212949,268372,292998,372118,557148,1028322,1644888,3659381
192985,211565,258695,292254,387892,550175,1007987,1683272,3540731
190694,216029,259191,293536,373740,561727,1001592,1653540,4522513
187674,212357,266287,291529,376714,545123,984880,1677151,3886129
190961,212485,263261,291644,383041,561188,1152359,1651830,3307485
191206,225000,261215,294409,380373,552193,899375,1657501,4352229
185056,217000,261331,295762,396078,545635,890487,1656752,3159649
194103,209757,259503,291774,377771,557464,878770,1688177,3092729
187905,217152,254357,290021,372928,538012,873473,1683185,4133546
186044,217004,258463,290907,376521,545879,884693,1652340,3064211
181991,214250,257481,291502,401128,542089,883080,1626757,3300280
187245,212636,267495,293362,382485,533705,862052,1634539,4373021
187580,223127,257029,293265,375624,543784,865302,1657960,3146515
185870,213583,268510,291093,389647,565168,878088,1645771,3101584
187474,219680,269896,293332,383691,539133,867325,1870601,4153091
186656,214999,262543,290528,381643,552487,883398,1783634,3091456
187760,212972,272233,291516,374192,544116,886037,1685961,3219248
184452,217014,271627,295093,393699,548484,873251,1653446,4393285
184989,212374,275073,293457,376531,529061,879012,1629577,3271876
188793,215203,279152,291262,383896,540882,889806,1610158,3296722
187935,218148,267422,293354,386044,543206,889422,1620581,4679174
183635,220807,259670,290981,393734,554379,892586,1710858,3558327
185448,213498,265332,309287,375908,551273,894780,1653340,3549208
188622,219214,271825,291097,381066,569251,891538,1643964,4618238
185410,212967,256629,291376,383751,545355,992686,1736218,3403387
186608,211909,261724,288440,383147,571476,914786,1639288,3341807
