SHIR FPGA (buffered) b16,SHIR FPGA (buffered) b32,SHIR FPGA (buffered) b64,SHIR FPGA (buffered) b128,SHIR FPGA (buffered) b256,SHIR FPGA (buffered) b512,SHIR FPGA (buffered) b1024,SHIR FPGA (buffered) b2048,SHIR FPGA (buffered) b4096
191790,218395,262569,302582,402225,571008,954882,1655818,3402480
188347,212604,257128,300926,373386,537066,982261,1648105,3236024
185023,216198,255797,291069,375432,553833,978511,1655898,4202355
187490,213344,254059,294419,375474,546149,1016163,1669004,3148802
185671,214710,262950,288941,382111,539364,991096,1623627,3065469
183301,211556,265828,291996,389808,552251,1004709,1654527,3088455
191926,210963,270635,291329,375473,544457,966365,1635996,3210997
188098,210861,259569,307854,377108,563242,1041114,1656707,4336161
188365,212766,262079,291957,377123,546387,1024831,1624822,3200632
203964,223393,269321,291757,381273,539951,1016708,1644506,3097119
190155,214638,262253,298026,378132,567500,1030608,1645512,3033981
188487,220882,261257,295153,372228,551199,987415,1859878,3082043
197939,216986,267052,295790,375953,542720,1020918,1724092,4447814
187286,214183,272157,292445,387207,543834,1033265,1665960,3276772
187948,215319,275031,290130,402698,575973,986767,1676639,3198940
197970,212850,267047,286997,374855,555162,997441,1664972,3114011
188236,214507,259226,289750,391167,535432,944691,1679156,3205215
184233,213137,263589,293665,377060,567924,1012436,1659960,3961173
193442,213047,264643,290648,375189,548703,1028398,1651992,3239744
186637,210999,261268,292750,398268,546113,1035494,1645380,3219979
184636,218512,259828,289171,379998,544643,968431,1644437,3132517
194343,215944,266631,293194,369302,559695,970630,1653730,3097219
187545,217740,259910,295234,382869,549026,1002050,1661653,4202905
185194,209484,272171,293799,378391,547924,1002297,1661495,3224819
188064,211536,265864,291787,373446,530185,985359,1653429,3345683
187470,214371,260833,289392,372782,578371,969074,1640220,3203588
186006,209506,265238,291895,385481,566681,967867,1639828,3263555
194488,212824,276278,293816,384124,545791,972013,1873452,4130424
184867,206645,259753,292168,371433,528917,987713,1760856,3113209
186392,220061,255277,294179,379883,529509,1012735,1650770,3064041
194405,209876,264702,292806,378971,547973,979230,1634307,3372279
185710,210851,258574,292565,380872,549107,1011398,1681117,4509303
183865,212641,261699,288277,373365,548217,992656,1699988,3256909
193579,211731,267614,293228,374499,539461,966841,1682313,3139032
185978,213961,264742,292950,376999,574518,996877,1672221,3097911
187416,210145,263842,292344,383113,543046,1003060,1654759,3162982
193515,221355,265804,291112,374268,542907,979556,1676013,4853171
187061,213085,258393,295935,379495,556362,971378,1648768,3479323
188778,216871,258624,291222,386907,548979,1011283,1639162,3287084
194313,212595,258681,291589,375091,547421,1001204,1645149,3250611
186748,211045,258197,291704,369737,544303,953705,1661721,3272754
185132,213805,258572,293335,371647,549993,1002876,1672510,4180928
194992,211071,254660,289352,405676,544151,1029587,1657967,3181747
186831,212178,262133,289464,380573,567094,998419,1645499,3315017
188453,208889,257945,296207,374581,548974,972356,1652316,3231661
191724,218921,259638,293210,380287,543098,1011858,1757806,3228197
189211,212501,253011,295244,371769,543405,994682,1705611,4242828
185737,222426,271788,292494,371401,567695,1169517,1893011,3157969
189908,216013,259267,291533,374266,559572,913673,1833981,3123922
186765,218111,258453,295866,382229,560873,872010,1751538,3293263
186343,213517,267958,292417,375249,542227,887834,1725075,4365623
188257,217110,260206,293856,380909,547134,878672,1708720,3227349
188253,215810,262349,313916,372494,556736,885354,1675599,3077868
184822,210056,290039,293386,379525,551698,880241,1692494,3082763
193514,222315,271487,294136,374143,541416,892740,1695711,3388279
189148,214520,257373,293367,377670,547436,879039,1690394,4434600
186609,220990,266731,290932,396717,569377,872832,1699002,3207628
190618,213366,256539,294720,379365,563569,866806,1722745,3105370
187685,211206,259055,292355,376156,572201,866549,1707222,3192426
186957,213391,264960,293342,385114,545399,871093,1746480,3222954
186529,214675,258430,295629,379323,546661,864629,1730287,4932577
185597,212654,258988,293275,372089,565358,870243,1715003,3478644
187304,211046,266711,294445,377970,555276,865421,1681577,3204951
184490,221130,251515,292943,397811,545203,859680,1689773,3135462
189639,212304,254722,293722,372939,541616,844720,1878341,3164297
187430,211442,258357,290287,374868,546085,838000,1752113,4069960
185116,211899,262057,292656,390557,566131,861697,1685976,3336466
186633,213243,265788,293864,395018,573132,860108,1719548,3268398
185782,214616,267417,296689,381881,543319,862066,1709122,3142641
186803,213086,255343,292287,381706,541210,1004506,1711416,3254584
