b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
12544,15731,14196,12922,18274,22985,28193,86952,133826,204159
12841,13185,14966,13021,17452,21673,28036,83666,130667,216079
12511,26222,12905,13120,17081,22770,26560,85199,135900,204573
12872,13324,13019,12584,18482,21858,32270,85432,131863,202147
13075,13365,13073,12900,17329,22218,45930,92409,135616,209754
12825,13842,18595,13054,17904,27513,32546,90974,132689,216414
12739,13611,12980,12971,16174,22805,52178,87400,130730,237215
12350,13545,12892,13112,17638,31032,64844,80003,140354,219228
12970,13223,14201,12520,17480,28143,66149,83115,146019,208558
12515,13259,12910,12684,18752,23765,50022,81209,140501,221515
12672,13177,39171,12694,17785,27185,50327,93862,132332,205110
12891,13326,13044,13694,17591,26057,61925,95217,135508,206756
12846,24210,13966,12780,16002,21901,61135,90557,139906,224885
12837,12286,12401,13296,17444,20340,68867,91760,145686,204960
13095,12366,14317,12748,20621,20072,48325,83110,134221,219752
12531,14844,12619,12863,16126,28878,50038,91692,138239,216661
12994,13148,12966,12941,16362,27040,39327,86522,132051,218541
12682,13110,13632,12986,19697,25056,27638,82933,138273,202571
12765,13439,13209,18799,25352,21813,31411,84710,129914,216944
12763,13372,13113,13997,23513,22770,36416,87743,132390,218055
12546,13456,13553,12516,17298,26209,25670,95240,135581,216184
12731,13774,13876,13910,17068,21887,48937,88351,134662,210797
15612,13002,12840,12811,17599,21935,32311,75123,143433,214468
12971,13315,12561,13362,16887,26112,44837,97502,131475,203025
12845,13248,13486,13031,16655,23392,29013,84473,146704,242338
12961,13291,13053,12817,20589,28663,24558,88066,132009,235087
12990,13444,12577,12994,17264,21227,32508,88859,128584,235581
12701,13372,13055,13209,16271,23396,24099,85728,145990,205458
13131,13605,13818,12942,15847,24953,49994,99511,130145,212441
12797,13359,13102,14276,17670,22982,27199,84723,150657,222191
12418,13443,12923,13247,15969,61588,36378,83397,141720,220429
12573,13556,12415,12979,16136,22520,40686,90266,133282,221774
12951,13280,12521,13284,20803,17162,41944,88567,134863,412799
12572,13391,14441,12967,25161,22748,33951,85750,139966,223340
13169,13192,12666,12944,17415,16961,26699,92427,144638,208985
12464,13576,12935,14267,17459,17468,48347,95024,138486,224540
12840,13543,12755,14139,17197,17623,39713,89149,136849,221689
12830,13069,12660,12937,16398,17265,25894,85953,139177,206335
12636,16137,13099,13961,18414,20032,37539,89184,141377,234094
12841,13350,13051,12959,17248,18674,28075,94261,132856,218826
12562,13401,12739,13053,17372,19241,49720,90552,128079,210566
12880,13298,12915,13844,17165,16626,25294,70485,140090,218411
12896,13429,12724,12996,16906,15577,23829,93730,139735,226734
12621,13141,12644,13145,17922,17725,42408,88583,141605,209390
12587,13287,13073,13905,17049,17884,31051,87914,147279,206205
12824,13068,12790,13050,17262,22646,31624,92303,140809,220554
12525,13271,12674,12813,22545,27400,25218,92524,132038,209563
20869,20103,13542,13164,14605,40591,25431,88911,141173,216691
19165,13501,17828,12829,15325,30267,36344,84455,131802,214670
13532,13374,13187,14335,14380,31717,27726,82369,138427,209313
13160,13476,12982,13015,14282,23357,27647,102955,133014,223944
12977,13305,12729,12624,14059,17292,25612,95385,134841,205375
12810,13442,12696,13145,14298,20920,34395,89216,127238,208399
12933,13344,12805,12811,16625,55939,26141,82851,155720,221818
12774,13075,12875,13189,16115,36289,27206,86222,135175,220007
12856,13522,13007,12672,14323,22442,54499,92778,130607,208023
14191,13511,14247,12988,15640,22232,41316,93693,139125,216652
12970,15365,13344,13737,14017,19484,76780,88168,127721,209967
12685,13520,13183,12591,15373,18764,30612,85931,130578,206340
13015,13220,12897,12749,14253,19546,30064,88805,146000,217692
12595,13452,12975,12457,14308,18278,33730,86347,130987,211443
12919,13409,12841,12894,14454,19291,28838,93723,133410,234348
12592,13233,12902,15002,14558,16992,31972,96711,135236,221260
12912,13380,16889,15492,16941,69228,37470,90510,129336,216986
12933,13361,12670,12910,13646,17180,27845,90462,128362,216093
12843,13234,12635,13270,18963,18674,32230,85504,133545,208387
12629,13428,13029,13247,14624,73857,37797,83448,131098,217045
12706,13350,12975,12916,15034,26640,27168,93397,152752,218154
12936,13487,12931,12862,16732,29783,53171,85848,151536,233263
12735,13464,13781,14058,14651,27695,45419,84498,131566,208559
12782,12287,14046,12734,14061,31113,46416,84916,138829,227079
17457,13842,13105,14423,17650,64093,46581,91551,146300,228698
13623,13613,12781,12713,17889,24974,45742,92924,134023,207790
13305,13895,13104,12831,15679,23421,47667,85675,133399,230183
12785,14732,13093,12820,17010,33589,70081,84822,150232,230506
12924,13361,12955,12743,20308,24570,48376,82148,139136,215917
12835,13459,12711,12827,14580,24699,71772,83665,132630,215071
13028,13650,12633,13141,14971,32494,44899,96283,150629,223726
13313,13530,12763,12885,14143,24540,57798,90541,157676,217869
12737,13927,12970,12829,15803,28076,85446,85108,131541,213570
13048,13438,14631,12830,14080,23504,41812,100877,131787,231557
12486,13385,12947,14520,15914,20358,55422,100407,130329,228394
12651,13302,14023,12562,14766,37315,53054,90398,139405,230453
12842,13110,12852,12922,14615,24042,62777,88201,140103,210332
12829,13196,13067,12617,15698,28477,39577,87682,139668,224685
12779,13432,12858,12902,16523,23798,38288,108339,134967,226401
12722,13028,12781,12564,14453,29488,54614,85697,128463,207679
12435,13565,12904,12803,14721,18867,59161,88210,129352,218560
12503,13244,12595,22293,14299,19346,112568,92953,147475,249424
12498,12977,12502,12512,14461,34550,125574,85654,139248,237637
12763,13676,12664,12794,19741,21096,65589,85028,150745,211056
12539,13249,13824,13037,18868,26469,40262,86777,149685,220817
12762,13213,12552,14876,14456,31083,37880,111964,139655,217624
12689,13409,13442,12897,17077,28126,66263,90331,130495,205989
12807,13426,12998,13085,17720,72127,36167,88284,138530,219924
14017,13614,12703,12858,14408,20678,55352,85652,139106,210781
24665,13568,13060,12664,14393,24897,53951,90079,133651,215339
13143,13595,12672,12825,30280,17583,45289,84868,133299,199731
12925,13200,14788,14278,21636,31807,41659,78874,132299,201040
12581,13212,13045,12911,14406,19363,52857,114509,144988,220672
12630,13404,12735,41107,15552,18413,55146,98801,134866,214115
12627,15598,12791,34586,29880,18733,63632,98462,144549,211778
12735,13742,12716,17707,23251,21142,37360,98335,135633,219554
12839,13608,12837,16086,16945,35304,45443,108927,145438,232463
12920,13634,12604,14782,48134,19401,58832,100663,134984,204823
13441,13329,12580,14832,16233,17152,48882,101540,147451,213493
12939,13278,12804,14748,18867,27093,72781,183035,147259,220605
12636,13110,12707,14498,17048,32834,38231,96880,128554,210292
12843,13206,12901,17008,17091,18648,45652,89488,138557,222204
12712,13199,13024,13872,16177,20252,37827,102442,138083,206089
12669,12947,12778,13897,17187,18765,35399,115283,134736,204946
12812,12998,12846,14498,17827,20095,55910,103642,129808,213671
12706,12941,12717,14843,23791,27575,56013,114091,132495,217392
12802,13366,12747,14175,17585,30592,35554,93268,141656,229604
12863,13606,12487,14377,17525,28142,53647,87398,132146,203763
12718,13976,12972,15421,17570,30558,77739,82480,142404,210547
12763,13428,13115,13012,17987,25343,51775,84361,134893,217849
12614,13747,13085,14087,17741,22155,76572,87634,137592,201609
12598,13639,13004,13264,16988,24143,71864,106209,145747,204968
13050,13797,13245,13051,20410,18366,76534,109895,142608,227149
13026,13808,13433,13267,16327,25401,68652,86833,136640,218915
12651,13579,13018,13776,48781,22413,61927,87277,132175,205128
12549,13451,20007,14269,17515,18733,75356,86151,133590,222888
13003,13272,12731,14378,17838,20334,49815,85987,131169,212686
