x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144,x86 inductor b524288,x86 inductor b1048576
555383,457345,583289,548533,497117,1602094,2609544,5349116,12836298,14650696,27594476,129843915,93536714,234144018,611266159,523511476,977026979
553071,454764,573443,523800,528888,974145,3020459,4501352,9343508,15931377,26440689,130810120,93347187,232405427,631421857,515413666,982507769
539878,453558,585016,545642,528245,2135308,2485270,5405571,12796027,16450620,27415638,129254895,93564687,215603640,613209827,517180073,979456441
533568,463199,576807,518741,500637,1005799,2888797,4447873,9309350,15277610,25784446,130467062,93692985,234620727,725727565,524900454,1009519019
520029,452457,561467,546380,505527,917306,2431453,5368144,11280713,16469648,27476595,129508925,93718525,232554369,639173483,655240027,977881110
520297,457746,549996,556170,529959,1533699,2802872,4460260,11341276,15359123,25897372,130118496,93632311,242361119,635109163,687920699,975464078
506021,431305,566854,535865,504265,919745,2452724,5366313,11118336,16440639,27399686,129695295,92770504,218060994,767470709,659980728,980574653
540441,451039,567273,518202,514690,2197286,3249081,4532488,11007721,15303948,25900692,130045196,96673371,231093509,841422056,720939745,976551424
526392,442333,555078,563900,525881,1080522,2564612,5411445,12787096,16406879,27772491,129679926,94047440,234758433,943154168,646991423,981280399
516782,447851,539110,525264,965851,989859,2933145,4296257,9291223,15310582,25941111,130099212,92952975,240110644,914980970,661303657,986649161
532835,455160,536729,522309,694245,1601645,2537968,5368209,12791109,16414028,27546892,129681133,93162383,234658450,953712715,728823291,979485382
538904,445324,552898,540709,623094,979668,2907334,4506404,11387530,15311997,26406167,129708665,93317157,233038520,878816544,760754954,979636199
526296,434729,517475,547068,637405,2251404,2534868,5354617,12690960,16442120,27287123,130073259,93162057,243272417,799601334,711220540,978612651
499342,448721,546289,539004,591646,1152435,2893882,4344455,11162126,13286015,25635290,129864989,92518779,229419223,792042651,758564543,981308749
526736,442658,547128,541172,593068,1009231,2526690,5349307,12804434,16305567,27277127,130319716,93940256,230835408,822536844,671325907,979628334
498093,435080,516772,542394,585115,1714822,3073158,4418894,11280798,15258607,25747240,130592466,93459654,226865746,789052056,756678544,983141386
487722,441295,519530,546557,585547,1069701,2686649,5487193,12878923,14513429,27377917,130691893,93525759,232557278,826025969,749046820,974919198
488188,444680,509119,532229,619084,2441679,3141964,4368236,11363072,16015907,25760393,130170543,93185445,233599471,799141971,759057069,979471477
484931,439973,509000,515603,591722,1124364,2434976,5511886,12731254,16521751,27391001,130361189,93705707,233069865,815847408,763434131,976251993
478193,435323,507677,515269,566402,1020350,3180807,4425125,11268846,13388967,25665855,130779384,92964992,214222078,787773072,685623462,985760128
482821,447066,517071,528148,579476,1674831,2531117,5509395,12827623,16403534,27418860,130497250,94026943,233611534,309446541,670658370,974894263
477185,419646,494084,530745,576503,1053266,2756157,5164671,11397277,15356527,25745172,130208866,92677514,240614783,680381731,752628548,978617286
462831,423571,492642,527521,548157,2421944,2397813,5412493,11806305,16352615,27155025,130235666,96248253,231487563,418834037,751010938,975423750
473909,419344,527626,533691,558666,1254243,3050542,4498130,11507701,15351314,25839637,130709344,93134107,237661471,680634096,718472670,980717659
483876,419264,475831,507950,550122,1088426,2499746,5342613,12792808,14442490,27530441,130682266,93699803,240774506,410889937,697494625,975560142
487507,422288,525149,528104,544146,1703095,2902167,4386614,11532452,16001511,27001022,126744775,94026491,244945088,716940428,693644767,982552757
475351,407449,492164,518859,548818,1071318,2708737,5403110,12734409,16490554,27835886,130547661,92815570,236110864,416517854,632409679,975357445
512872,415946,493122,516850,536255,2460184,2683545,4360715,11340939,12717154,25788293,130733747,93155458,234263745,688564724,710470094,977684702
457192,720152,493403,590120,555650,1110363,2432363,5457384,12749926,16297465,27384816,130352003,92993473,239378508,391024439,685255632,973744893
454173,651671,483801,556000,559509,1034866,2787370,4423351,11388897,15440444,25739018,131117683,93648563,233173033,642575271,627129044,976492374
448605,665976,482701,522653,535093,1650506,2570103,5446023,12770314,14500187,27255798,131074754,93430593,236951322,291393289,716993206,980720129
453135,624556,491997,531186,542149,1098579,2768047,4340196,11442508,15957115,26298003,130893037,93299041,237257724,651151966,716431872,977995870
447265,636914,514222,535948,552867,2376854,2334798,5454823,12732199,16435619,27405925,128916440,93401604,241976548,290439232,723147630,977328887
458391,650884,493886,508348,517019,1130932,2734625,4325793,11502352,13212409,25780718,130321848,94581334,239137496,658798884,730050688,977067949
457991,615776,498709,494955,548581,1000655,2572195,5256074,12698241,16388859,27291008,130403024,93295229,239553945,287720178,713763130,975628171
