b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
53429,70340,62164,74333,146363,318174,449639,794538,1316128,3971343,7823155,12522690,24754826,43056763
54758,71309,64802,74870,304966,319783,465246,872042,1292720,3955383,7050123,12357689,25137001,44680439
63019,69839,69144,74040,257895,330168,426609,801283,1292633,3694142,6949899,12379453,22985342,42822304
54615,68648,67262,81869,256948,367030,448629,821612,1304782,4043702,7009298,12302054,27603715,42855962
54052,69821,67237,75043,255443,387370,568298,821907,1251684,4038483,7362907,13746760,24427397,41977706
59920,70166,65589,80691,261069,344434,481490,946671,1269246,3953482,6882676,13649202,24862846,41879147
57467,70631,66323,79506,265704,359765,450075,794728,1320429,3834747,7659466,13580183,25880710,42701644
75721,69767,71115,75330,242047,357928,473160,852784,1198823,3958898,8083300,16131696,23601097,45505795
77332,69866,70672,75261,253650,353175,520479,946794,1421697,3945872,7440575,12342938,22553695,42701731
73650,67905,66487,72947,292343,352886,809854,777687,1340012,3960568,7706472,18875664,27437805,44828596
56865,68255,66864,83221,275567,328267,456848,1993699,1234187,3976960,7267412,12205802,22516462,42373242
55097,68687,70529,73019,279714,328619,503812,825523,1367726,3944945,7530678,12519870,32954840,42907454
54001,68611,85720,105957,273452,329695,622516,832627,3239094,3991630,7675356,12712705,29236676,45245006
55016,83819,85758,95586,272780,326590,553373,1908482,1180293,3977355,7552894,12548195,22813938,43350240
52316,70409,76055,82125,270665,335814,891282,784969,1374327,3939746,6940227,12578105,29229307,42513336
52768,65826,75373,81909,272838,318611,545093,814342,6865154,3957498,7494498,12518618,24641065,42835337
60279,67317,75540,75161,268716,297300,485929,1900739,1371808,3940951,7287408,13093557,32558286,42876420
52827,66832,65173,75488,285605,301700,510847,871365,1212317,3980772,7341566,13501033,24236057,42238014
53101,74206,71918,83467,295528,325134,509997,848699,1393300,4287644,7204696,13564645,25572483,44707767
60671,67496,63584,74502,262413,305375,524417,1604043,1393363,3969787,7478801,13230136,24989936,42330027
53559,69427,65226,77038,271381,342876,541023,788030,1275029,3256766,7620967,13527336,25720156,42766043
53053,67471,63187,114681,275481,325584,501765,824009,2287788,3492471,7309139,21101606,25793310,41666580
52122,64215,69450,110404,274442,420964,626600,1976500,1058225,3632724,7238188,12538418,22518527,43013331
52573,67017,63994,121005,273012,304446,526912,809616,1493123,3426764,7257216,13833655,22932721,42781189
52481,68089,65168,102936,255717,312926,467068,763384,3546003,3962049,7387115,12329418,24788178,42163875
53257,66039,67566,104432,295580,332945,831225,844291,1247207,3989597,7424119,13062514,22777462,42832142
51393,66483,63911,100649,279735,403701,494329,831490,1250820,3302110,7448781,12979493,23470837,42729065
51199,68000,63788,100440,311600,339787,514887,819145,1234729,3609924,7203698,12183107,25966926,41892915
50323,67351,67047,126251,264801,328450,524497,788826,1285914,3346501,6957469,13300294,24910389,44038355
51731,64970,64359,95869,320221,317248,553007,844461,2435885,4652621,7231862,13073782,46299709,42288155
70780,74665,68821,102546,243099,296265,505317,880922,1273486,4569665,7501702,25705636,29077019,43011403
71874,71771,63949,95680,237043,300494,483620,796066,1277742,4578564,6816145,12300190,30779864,42636451
77628,69998,63834,93066,240225,305816,737455,823737,1385773,4351032,6654872,12079234,27980638,44754519
53525,63646,63010,94436,231308,288764,474041,917867,1034601,4389594,7175653,13179108,22518653,42235783
51435,68459,63694,91464,225475,309838,437009,819301,1227352,4123858,7231762,12485699,23121619,44607832
51423,63560,67583,93772,235964,279952,450844,811693,1397426,4252406,6801965,12554031,23471382,42097129
50533,59581,64422,89541,209194,301148,494527,784112,2532226,4549357,6652810,12348110,23305291,42580935
51024,60398,62603,89078,196774,297663,429150,877232,1086086,3827846,7209784,12995148,23214461,44428749
51235,61622,63776,87460,124715,287042,447463,802119,1044934,3999443,7407841,12874435,22833493,43147488
50443,70986,61368,89374,188863,273451,669114,849464,984146,3981670,7278753,13994562,22766499,41831892
51207,61372,63720,85083,128386,299169,431158,792393,1122951,4013098,7731521,13649467,23252926,45037873
51835,63148,61678,87973,127899,286417,484714,1884099,976116,3549005,7320218,13565173,30778176,42468663
50439,62108,64139,89290,119860,299705,460041,843376,1260098,3093894,7154483,12678662,25108846,41305912
61318,62252,65596,86668,130197,280963,458514,809590,1290432,2907308,7298278,12405297,24748600,42782297
49782,60013,64884,83755,208903,276822,776156,779168,1470815,3598539,7773537,12703383,25070345,42235186
49781,61804,65013,89112,124780,299608,500198,843650,2387901,3328868,6927012,12536405,23195855,42104859
49186,60795,64110,84476,216485,277483,494274,836380,1526183,3848740,7731534,12580541,22218893,42530955
