b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
2438548,4842075,10292262,20071798,40969570,78797098,158505945,315140635,630329293,1260721283
2435799,4840880,10289394,20610742,37750512,78797412,157660404,315189449,630360724,1260693020
2435816,4842245,10291300,20296583,40977557,78796816,157660100,315200046,628803110,1260664327
2435832,4842112,10289742,19528937,40973194,78798786,157657171,315228891,630349316,1260685739
2436038,4857999,10290345,20300528,40971223,78795517,158127735,315726841,630362448,1260729706
2436281,4850864,10293802,20311024,40971152,78793795,157762990,316085715,630348307,1259067171
2435833,4858127,10291520,19537745,40968556,82480558,157664225,315153851,630329444,1255932198
2441505,4790689,9862957,20290378,40967682,82183455,157866319,315186413,630363509,1260689903
2443495,4843490,10296321,19533931,40971021,82464581,157653920,315135805,630321810,1260679364
2470070,4788371,10292836,20297423,40986501,82538683,162132461,315187615,630322463,1260668905
2466739,4842658,9864228,20304821,40962503,82494733,159019145,315197363,630327092,1260643277
2470551,4846395,10288831,19403342,37752028,82253687,157656543,315268139,630362688,1260664548
2470439,4846550,9861431,19404088,40968796,82181966,157722438,315264403,630363472,1260721501
2466728,4788369,9861142,19689540,40968749,82230056,157657751,315134227,630326330,1260669025
2470295,4840579,10285040,19407770,40976352,82469580,157653983,315135461,630363043,1260719163
2466335,4838200,10292834,19403159,40970172,82491920,157659792,315137850,630320436,1260545388
2466433,4838199,10287033,19687534,40969987,82437376,157657085,315146427,630363069,1260671046
2466794,4837047,10299643,19702074,40967772,82513275,157659523,315155399,630365945,1260586924
2466674,4840669,10290979,19703713,40967526,82197759,157656318,315215719,630316338,1260672047
2466695,4842230,9860242,19684164,40968351,82513096,157660777,315234986,630365423,1260668496
2440371,4842026,10287810,19697691,40965047,82465697,156959780,315209647,630363013,1260668706
2436185,4842354,9822364,19563734,37752041,82433227,157185665,315244496,630323673,1260669208
2439896,4787755,9819393,19388043,40963692,82451524,156956991,315260393,630332415,1260672632
2436248,4840818,10292145,19402396,37750841,82371316,156957723,315220138,630317158,1260667636
2435967,4838631,10291139,20438176,40966819,82522679,156957540,315248024,630362680,1260666733
2435819,4786496,10290591,19571201,40965214,82437724,157187498,315217818,630362847,1260672142
2437647,4838890,10290191,20435821,40972169,82633511,156948965,315244219,630325917,1260665855
2436052,4842137,9861444,20436902,40969888,82416367,156952835,315216071,630363173,1260723664
2438260,4840218,9861230,20435870,40968020,82185884,156948327,315257263,630315012,1260720689
2438792,4842329,10290636,19624091,40970721,82510867,156944124,315177626,630333919,1260715285
2436162,4785158,9862754,19577298,40964810,82538126,156960008,315185644,630321839,1260670680
2439885,4842819,10290058,20433673,40976416,82441569,156966772,314845102,630360913,1256479752
2435753,4843639,9858877,20321701,40965547,82305415,156945487,315215837,630328723,1260670519
2438569,4838317,9861304,20434782,40975457,78800150,156964185,315252145,630315730,1260688735
2434239,4838514,9862437,20443359,40963126,78796743,156949733,315216833,630362030,1260674597
2434339,4837874,9860148,19571589,40972363,78800977,156963331,315144727,630361045,1260703671
2434656,4840964,10294173,20442880,40975242,78796313,156954734,315236462,630362072,1260724522
2434782,4841028,9861684,20311622,40970429,78802999,156963028,315219946,630360680,1260723486
2434651,4846636,10291974,20437662,40960698,78796021,159003379,315200563,630314758,1260703040
2434556,4842426,10286429,20445869,40964485,78797261,157651931,315230189,630313538,1260719401
2434826,4931288,10291268,20614715,39332716,78797633,157659412,315170293,630362775,1260527879
2434351,4839559,10287895,20616245,39330804,78798423,157658061,315058146,630317251,1260720732
2438615,4838397,9860482,19700315,39329831,78797017,157659184,315240979,630318939,1260665091
2434702,4838098,10285686,20616289,39328849,78800765,161130869,315213714,630361114,1260724122
2438485,4838509,9863486,20616966,39327106,78794557,162112606,315214282,630317072,1260669516
2434366,4867405,9860930,19807854,40971988,78799361,159305725,315171765,630362894,1260698831
2438462,4842064,9862998,19412295,40972298,78797241,157662493,315166573,630308097,1260671682
2434203,4842287,10290486,20615708,39336079,78799461,157701803,315227399,630345037,1260714269
2434386,4842200,9861284,19701576,40972821,78800964,159025871,315175228,630358529,1260719021
2434523,4842427,10288673,20618504,39333095,78800750,157658404,314792806,630317998,1256035597
2434662,4842336,10288875,19701909,39337280,78800101,158364517,315211042,630350983,1260625229
2434391,4838597,10290412,19701808,40972262,78797505,157658894,315132620,630315001,1260686205
2434307,4854503,10288880,19621077,40963171,78798742,157651667,315217308,630361287,1260722723
2438481,4837436,10290339,19573286,39332268,78798405,161162032,315222025,630356146,1260669952
