b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
9291,6165,6549,8034,12419,27025,41444,168427,223858,390361,907065,1820077,3259185,5974416
9109,6397,6467,7850,12462,27356,42737,78882,167631,380458,903232,1690074,3270314,6619507
9416,6097,6578,7976,12440,25867,42536,77927,167637,391723,889711,1802564,3532076,6485399
6464,6042,6626,8039,12451,26200,65181,79069,172701,391418,837212,1840677,3472541,6413440
6253,5895,6680,8000,12636,25945,42378,80258,172535,388571,887396,1821820,3209730,6530410
6289,5897,6542,9074,12454,27447,41665,186778,169167,380960,892923,1737634,3260202,6525413
6387,5908,6640,7880,12260,27839,41433,79380,165260,389912,900007,1753536,3291904,6525801
6132,6098,6377,8266,12519,27986,42781,136827,474577,383143,888998,1787241,3279243,6551218
19263,5776,6512,7956,12471,27513,42498,79061,497984,389269,901081,1598719,3344527,6548391
6138,5903,6287,8027,12466,26127,41983,84134,220282,380279,905668,1766214,3151355,6585299
6326,5835,6435,8777,12413,24552,43379,78206,446248,393611,853560,1826307,3265398,6578751
5985,10492,6380,7953,12556,25935,41724,80054,169248,387425,910800,1796062,3323599,6461980
6235,5756,6390,8191,12502,25900,41881,80715,165752,396192,859082,1721306,3289188,6570159
6297,5769,6256,8270,12868,25219,42463,80593,169377,396941,900303,1619008,3204706,6421703
6018,5774,6475,8114,12512,27637,41518,79066,163713,369216,908998,1644365,3331189,6535276
6117,5814,6260,7985,12646,24716,41624,79461,181673,380035,910750,1691151,3283995,6451856
5804,5740,6493,7882,12732,25152,43620,85847,167882,381378,903405,1685872,3338972,6517355
5822,5606,6340,7971,12610,25273,52105,78933,168227,394297,881559,1618241,3524207,6452526
5810,5531,6324,8436,12655,26403,41788,79216,168840,387836,837912,1844052,3495847,6524452
5874,5708,6267,7980,13917,26715,43071,85670,169577,363014,876988,1776868,3543645,7050390
5933,5723,6820,11180,12886,27393,41373,78416,173348,387653,850627,1834624,3274270,7068614
5915,5870,6263,8050,13476,26449,42499,78431,177561,383115,890111,1814846,3463890,7146259
6494,5878,6477,8001,13984,26009,42763,78140,167073,395206,840424,1779731,3395394,6516289
8415,5894,6348,7970,13988,27599,41399,78029,171769,384801,864816,1797007,3442958,6495488
8284,5652,6413,8148,13332,26669,44164,77767,171139,389687,888543,1631182,3150236,6518872
8764,5468,6581,8053,13065,26244,42657,78194,168855,378733,888742,1784123,3504656,6501549
6226,5613,6353,9145,13234,26189,41785,79243,2247805,381911,899258,1662873,3264273,6637354
5881,5499,6387,7963,13606,26032,42016,80167,208077,395736,828696,1771645,3474788,6607450
5835,5308,7483,9759,13755,25906,41249,78665,174216,388408,863393,1869770,3512494,6014327
5567,5261,7226,8690,13362,27403,48314,82364,181803,390321,879697,1790202,3453313,6573524
5748,5412,7023,9033,14668,25988,42579,80253,238115,381494,909662,1762134,3558082,6426818
5672,5325,6806,8772,15183,26368,43338,81415,173658,388809,897270,1814632,3388680,6428499
5549,5565,6929,8012,14954,26562,41955,87825,163789,381387,883126,1712972,5714453,6415574
5575,5550,5896,8069,14898,26908,41777,81441,171264,393938,895599,1833096,3550019,6502272
5512,5418,5688,9004,14565,26424,42797,78816,202282,383190,843845,1824237,3132546,6428364
5457,5307,6506,8135,14999,40975,42969,79759,472374,370365,900725,1820747,3280470,6492296
5899,5515,5914,8138,14191,26170,42134,80875,171652,429838,819543,1811373,3154917,6473405
5671,5331,5816,8062,14745,24886,42486,80862,184844,388557,827314,1805650,3503506,6614653
5573,5574,6626,8865,14695,23543,41869,82049,165950,385096,829595,1938332,3381137,6737393
5476,5077,6473,8820,14932,24241,41836,81213,165491,383917,897377,1698559,3505396,6489650
5379,5074,5657,8107,14428,25027,44412,77667,169245,394461,901296,1794667,3435875,6525692
5517,5168,5759,8928,15439,25404,42074,82867,164846,382586,885757,1812761,3323426,6430143
5340,5270,6105,7887,14899,27094,42795,79407,172987,382711,837669,1772931,3518772,6563130
5426,5356,6029,8889,14670,25094,42117,77106,172474,389191,848972,1774841,3376313,6521184
5252,5418,5875,8240,14667,60925,41833,77336,165386,398197,885180,1830467,3512532,6511420
5882,5129,5825,8108,15183,36506,42460,88276,171189,378447,837995,1844833,3507202,6449266
7720,6325,5770,8007,14083,33947,41683,79800,170100,386605,862170,1842116,3532541,6581426
7714,5331,5728,7984,13714,31410,42750,77489,172093,386423,854166,1794431,3388211,6488902
7928,5354,5863,9233,13653,29403,41969,85070,175329,386111,886652,1740505,3337634,6535580
5955,5014,5787,8062,13318,26780,42760,79435,173757,385667,891135,1699009,3402257,6419730
5642,5055,6034,8029,14472,26007,41824,78563,223820,372843,904395,1701407,3375174,6564788
5375,4673,5681,8060,14242,24915,42601,78810,166067,390055,866889,1809430,3319776,6553225
5813,4452,5887,7799,14200,24056,42753,84238,171848,372514,906146,1807459,3436590,6425105
5417,4631,5891,8140,12402,22844,42127,78583,175540,384012,846841,1691338,3418041,6504810
5434,4718,5686,8101,12372,23189,42582,80195,170748,396265,1066715,1619026,3537733,6748992
5632,4651,5492,8051,12856,23022,41716,83243,162516,384350,849931,1844560,3177174,6558883
5306,4811,5791,8024,12628,23458,42794,77328,172514,368847,818737,1813251,3410425,6529653
5410,4574,6024,7806,12426,23318,41610,76186,168090,391135,884621,1809217,3485985,6431857
5637,4616,5654,9070,12548,23033,43373,86525,168314,438993,895975,1690020,3300193,6452428
5175,4564,6176,8100,13221,23110,42023,77855,178893,383006,902997,1615838,3316889,6419745
5227,4590,5910,7927,12391,22862,42035,82284,166484,386266,915603,1784777,3512495,7102421
