b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
16675,12967,12927,12931,27377,29164,32384,31877,37369,36706,42973,43568,46651,43810
16089,12965,11633,12869,26989,32251,31347,32298,33720,37625,44947,47336,42561,36372
16405,12072,11662,12444,26698,29296,32679,31859,36194,35947,44118,47461,43135,42849
15960,12052,11745,14181,30513,35566,32607,32567,34298,39407,43126,47763,43819,37878
16247,11730,11911,14295,28851,30851,32763,32258,38082,34588,45343,97131,43183,46587
15995,13305,11660,12442,26693,30880,30111,33666,35141,35292,43408,55427,43807,111500
15947,11755,12165,12433,25784,31006,31462,32124,36755,37167,41833,45836,54051,36016
16188,13491,11779,15114,26327,35626,33813,31934,34029,35238,43413,44376,43554,44832
16314,12002,11984,13123,27417,31064,34046,31767,33586,37646,43825,52866,58335,41415
16119,12056,11930,12739,24786,30680,33137,32016,37357,38465,38640,71049,43262,38420
16309,12987,11864,12957,25541,29265,32655,34867,33913,35049,37839,45846,44217,37364
16062,12098,12781,12975,27502,34961,31268,32209,33200,38456,38263,47068,42328,37886
15449,13953,12389,18916,27049,31740,33621,33220,36018,35379,38406,47837,42760,65124
15510,12645,13002,12723,26129,32740,32019,39761,33487,34741,40015,55902,43039,72806
15650,12335,12049,14135,24469,37493,33989,31909,34511,35864,38702,45654,41587,37502
20809,12810,11914,12946,28309,38408,31926,31954,36739,36039,37535,43465,54688,38579
20646,12205,11990,12652,26348,52913,32034,32753,35149,36410,36256,44221,72225,42925
16192,13094,11864,14185,33763,31128,33230,31554,33667,38430,37443,44511,34983,36172
15596,12266,12028,13305,29625,31099,32325,31847,35407,34816,38900,43889,55259,43826
18376,13134,12053,13048,27361,32540,36820,32888,35265,39414,66726,46464,37600,36233
15407,14709,11648,12906,28995,32239,32120,32979,35858,35454,37987,41177,35984,49825
15575,14409,11721,12569,26174,31285,32103,33841,35263,35194,38735,43872,37837,45896
16070,14066,11784,12679,27113,31869,31081,33769,33624,34521,38491,92795,36107,37871
15656,13676,11746,12833,21377,34087,33126,46946,36670,34628,43412,49960,49275,39392
15488,13944,12024,12348,17483,25238,33162,33254,35653,38081,43271,47398,73004,43561
15182,14185,11969,12670,18361,27841,55793,33150,35572,38438,43663,47999,35808,36243
