b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
50345,53304,85582,102036,128965,210965,382525,540912,849994,2502600
40954,54211,90398,97131,127141,200669,236199,803581,1011086,2203278
42746,53693,106124,98583,126102,200137,239145,607192,859349,2826977
38724,53798,94196,114159,146377,216474,198813,581513,872301,1518787
39503,53918,93587,110408,123611,198586,227486,584402,893655,1741235
40228,59441,91426,97539,125373,194527,370890,595313,1019896,1677347
39633,62781,91307,98628,132176,205218,386186,12161004,893992,1605598
40639,52117,90587,98041,126798,197719,397064,587896,1985679,7279889
40528,51598,102502,98628,132286,200303,180639,12190283,24790904,1841824
40096,52155,94210,103104,125883,321832,196147,8730383,859489,2611221
39985,52223,98290,106790,124472,315753,183236,811766,1452312,1606644
40144,50760,93091,97626,145131,196888,177439,601231,935868,3333644
50056,52266,91426,100095,126697,196617,189767,577467,2011822,1868350
40910,52785,90432,97959,127597,202407,381050,828436,1704702,1535973
41009,66777,93453,97348,257312,200081,228326,568416,900285,8815471
39528,57658,89120,97969,131143,205195,1022141,598312,1914081,1730612
47333,51148,103974,97737,127827,213094,332428,515874,873445,1655169
49078,51995,92292,99187,128441,200952,324555,2683057,979285,1792662
53227,51689,91451,101573,153709,210801,343981,568850,866773,1868876
41285,51784,160188,96085,126105,460893,344575,558177,2538908,1794962
41367,66130,108528,97551,128498,203989,334720,523509,860447,1645174
40090,54089,105092,96414,211595,191885,320932,570536,975516,2528910
48143,53151,95468,98001,136036,197764,512819,592281,853025,1896166
40363,51939,109455,97849,143857,200711,228820,548520,826187,1609388
39748,51940,94352,96493,131454,194249,183030,542222,871527,1848009
50311,51907,112037,122883,170392,196270,172155,578311,870476,2842907
40052,53741,95509,96432,160559,201315,203921,579103,892825,1847308
40125,51153,96330,95402,147196,207452,218426,533336,847801,1594921
41087,55756,94113,99938,142407,196828,206735,787797,935762,3935414
39903,54763,93842,98438,145565,216348,189101,524543,1026637,1784907
40452,52683,95073,113994,168922,200666,188111,566397,869354,1610183
50083,54653,95545,99598,148887,196057,348900,549512,1959581,5450780
39933,53410,97386,96165,129923,196684,221434,565667,867859,1707773
40477,51951,96621,96697,133307,197850,352476,820251,833486,1678586
50239,51544,113389,98765,139797,202430,1360037,574129,883194,2959443
40127,51160,93452,96388,132301,202155,393013,546442,888759,1696378
40036,53917,89577,99336,132038,209799,372180,12362863,840458,1784687
39246,53119,2301721,96103,150175,203249,386678,554155,1405945,1631376
49524,64998,94480,108848,128512,202640,402258,12694667,914306,1651374
39840,1277508,89052,97534,130628,194862,402632,12070421,2990592,2898423
39170,54984,93395,112110,135134,191455,380368,12310820,909019,1491313
39457,67178,90820,95482,142973,198608,389376,729297,895001,1737094
38827,54657,90873,95777,134329,205402,224317,1125073,1452974,1594635
40510,57513,88591,95463,174936,197833,193355,505275,793184,2317297
39870,68324,146617,96391,150388,197243,274848,496892,2066487,1531283
40332,56554,99177,98567,143752,195727,210578,508951,838064,1698607
39570,55848,99479,96835,135487,200824,202692,563690,864010,2825033
41232,54528,92128,98994,134795,197371,202460,12184210,987849,1413480
40163,55450,92065,101046,140938,329489,194795,12270378,841346,1961010
41557,53465,93505,96781,133529,196634,1564377,14217641,2055911,1670729
48296,69115,89434,114157,158366,215723,217434,12093917,950500,1406410
38791,55804,97124,99390,135237,202784,206996,2431524,853983,3188984
38918,54232,103990,96067,149371,197835,186881,16142361,1046921,1551040
39081,54573,90403,96052,142899,213904,195374,16510212,858115,1950269
41266,57402,93568,97124,146339,208894,217198,523154,2409770,1593555
40918,63756,92354,95766,133493,202398,208008,825298,891485,2441405
40414,55627,93518,105685,163143,199782,229262,548448,2027553,1772771
39756,58097,102107,95411,131479,279329,1280487,517736,956385,2927660
40247,52740,89145,97101,134223,219069,540940,585154,880154,3240483
51531,53468,106160,96637,137867,202821,260441,529967,982145,1733195
45358,54018,98070,96524,287113,209154,246547,595584,943164,1620729
40108,50876,96821,94690,222711,207115,251228,576918,2083551,1371901
40555,54260,106831,95998,136532,203648,251853,547560,921704,2406945
49230,54036,90871,98011,140039,209045,215135,600677,995286,1700730
40291,52767,89328,94506,136288,206890,185506,800877,2025246,1550640
49723,79647,91100,96818,147568,204493,210503,581171,968440,3749213
40088,55246,90506,96082,161233,205077,193494,544566,849195,1657044
39861,51538,105356,111035,145975,204445,188333,595677,822183,1608026
41139,53280,92420,96676,133738,197860,178412,552745,911336,1776888
39649,55657,88023,96592,132826,207300,224596,550473,948855,1800494
39503,54911,90806,95175,158132,215108,187795,608837,902090,1767846
40400,52088,107267,95633,132283,188360,830604,585329,2114400,1584750
41060,52115,97616,105933,132632,227946,194762,791472,1008960,5474644
39869,52157,91435,94604,127906,226094,195634,826829,883245,1671501
40229,65218,89292,94812,129160,219726,175261,546074,1011665,1573746
47560,55542,88713,95377,128589,206998,201674,531423,861932,3530019
53999,51459,92981,94014,126811,217284,180296,534335,1214152,1730191
39666,55336,98416,94364,126419,353202,190374,546915,825219,1774198
53251,54665,95785,95701,129855,202336,191207,589312,2081147,1489094
40324,51146,93609,96451,137344,205737,185498,530616,931967,1709360
40020,55775,93194,96625,126034,978031,196180,517561,830518,2995657
39412,59063,91662,95012,127246,461202,184090,536401,988208,3749707
39771,52368,104846,95659,125718,213688,197597,833401,883235,1499214
41598,52107,91455,94921,129177,209381,207877,551629,830220,1725510
44928,56289,93380,98782,124961,202834,400930,540227,874510,1757725
54369,53783,92305,108020,136432,210408,520716,546664,821693,1462988
40826,51655,90398,94712,130475,215510,183041,582675,859231,4187888
