b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
3536,3838,4533,17464,19063,10692,21566,44805,83581,195914
3546,3994,4965,5274,7678,11289,20482,45840,81515,199107
3556,3757,4348,5189,7206,10618,23050,67037,129444,168225
3537,3977,4320,5133,7231,11556,33992,86052,79503,221952
3449,3781,4429,6110,7944,11272,45321,42796,128081,193024
3592,4290,4259,5271,7200,11261,22112,43651,123313,181098
3650,4753,4544,5748,8107,11598,21605,46542,82729,248343
3544,4660,4581,5230,16057,23426,20206,47684,125866,349731
4112,4158,4417,6864,7506,10883,19284,100990,80404,224155
3766,3927,4431,5202,7396,21949,22238,42675,126203,174341
3752,3824,4381,5322,7202,10797,21413,39223,84246,203992
3729,4174,4433,5386,8169,11146,35848,40973,132227,211152
3647,4553,4439,5433,7367,24818,36089,43636,130645,215454
3577,4037,4345,5202,7184,12887,19170,100186,86625,198424
3655,3972,4507,6232,7193,13533,20167,42609,130872,347344
3595,3853,4843,5427,8383,13996,21241,40868,122701,209629
3643,3841,4215,5325,8813,12860,20763,43043,88633,175306
3502,3953,4433,5168,7525,14026,20306,75933,126320,216491
3520,4372,4364,5365,7088,13226,19702,73328,467052,197238
3595,4030,4438,5171,7322,11953,21458,42248,84169,178553
3844,18864,5215,5134,7755,14808,21891,40951,125069,205236
3811,3956,4490,5225,7321,12588,24029,87468,130954,206791
3528,4059,4469,5139,7687,15406,20748,78403,88204,169214
3610,3997,4320,5155,7402,11907,20762,41600,129114,205144
3595,3989,4398,5966,7192,12463,21074,80603,121785,199458
3686,3999,4508,5264,8564,11817,48662,87205,84877,204235
3562,3871,4373,5252,7152,13559,34246,39746,130598,173507
3618,3838,4501,5172,7790,15592,19421,83435,123669,198758
3618,3959,4560,5429,7123,13331,20871,42419,86352,206202
3557,3785,4417,5756,7363,28205,21599,94575,131525,173908
15428,4661,20830,5427,8230,14127,20485,44459,75143,190953
3590,4022,4545,5473,7618,13143,21507,46268,121346,214771
3766,3935,4465,5260,7491,28226,20008,43854,78704,204313
3795,4131,4491,5269,7102,12817,19083,105992,82821,193287
3721,3905,4644,5952,7331,13307,21666,44104,133625,212101
3811,4023,4585,5490,8160,13347,20833,42650,84269,215564
3614,3947,4480,5330,7562,15724,21343,42324,122898,170515
3772,4005,4259,5386,7682,16348,40078,45964,76842,175574
3645,3803,4660,5437,7271,13383,45781,102763,76405,196196
3633,17990,4604,5301,7078,12718,30235,42667,130427,206761
3524,4004,4879,5127,8224,12045,37819,41037,81576,183863
3711,3860,4402,5363,6960,13089,22502,44359,99792,220127
3653,3842,4272,5224,7469,12932,22551,43843,102368,205880
3806,4134,4383,5363,7219,14361,19842,91656,86853,193684
3712,3845,4339,6228,6923,12572,21095,76431,130195,172970
3658,3873,13974,17616,7501,72059,20595,43494,81822,206424
3648,3872,4492,5508,7316,13176,22898,41077,78523,199649
3645,3940,4456,5321,20015,13332,20238,47493,130153,170110
3649,3845,4364,5311,7292,62771,23990,50365,85583,200069
3625,4049,4246,5202,7044,14569,22163,101813,120784,211809
3510,3986,4193,5198,8434,13602,33113,44075,83099,180556
3508,16191,4338,5524,7503,12548,31548,49074,78910,211780
4186,4810,4310,5467,7249,11662,32896,44649,127326,203527
3861,4465,4560,5695,7587,65012,25188,42127,82757,208453
3838,4046,4470,5298,8929,21492,23937,87545,125221,172852
3807,4082,4445,5271,7515,12064,22674,46932,80159,215642
3820,4816,4239,5333,7620,16992,47068,43244,83601,203608
3838,3932,4485,5514,17413,11425,22049,40562,136537,188224
3557,3857,4453,5385,7234,11326,19271,41409,77730,203521
3668,4077,4787,5139,7366,16343,20776,75019,119193,200307
3673,4151,4367,5174,7108,11427,52526,63978,84114,212579
3629,3854,4469,5326,7014,17832,39864,41859,81120,173404
3567,4440,15463,5254,6891,11001,20719,40839,130932,246333
3605,3839,4461,5770,7224,10652,20579,55575,81706,325598
3537,3900,4446,5437,8956,15315,18981,87507,125463,209677
3569,3760,4556,5346,7140,11053,19445,74689,85485,175571
3710,3820,4521,5223,7204,14775,20572,38284,124758,209811
3883,3947,4447,5421,20563,11841,19571,38970,78832,204230
3666,4312,4505,5366,7137,16917,21270,36188,123061,176927
3599,3825,4403,5242,8242,14136,20626,39473,87311,209157
3681,3864,4380,5280,7466,10921,89728,80927,127704,205241
3676,3947,4489,5386,7784,23898,113489,42249,125785,203586
3454,4329,4450,5271,23660,11346,19888,42256,78756,176267
3520,4055,4381,6254,18477,15756,21764,39877,142899,323862
3546,4318,4240,7182,8335,22108,19208,51767,127509,205435
3535,4043,4368,5551,15792,12024,19603,84082,82176,199588
3910,4409,4390,5370,7424,17570,19943,39969,126543,214653
3605,3860,4507,5343,7510,17223,20149,38188,123040,201699
4006,3990,5731,5331,7810,34448,20997,52677,84022,216405
3751,3982,5893,5385,20899,13737,18854,89613,132326,175104
3751,3887,4868,5343,10050,11350,19943,42187,118636,210800
3759,3944,4403,5255,9024,12126,19267,1417274,98159,198605
3681,4141,4388,24267,7447,25188,36826,77161,110454,163753
3669,3945,4375,10798,7669,11552,36880,43622,122316,202230
3694,3945,4239,7203,24708,26463,30904,45121,82587,197924
3732,3746,4388,5579,7375,34319,19793,102480,96137,191237
3598,4001,4465,5381,7179,13621,19331,42892,111971,185383
3657,4006,4385,5392,10079,11608,20162,42536,79251,207727
3760,3963,4289,5395,17591,34488,20204,44671,122104,199031
3815,4114,4318,5352,7563,12605,19151,69268,75171,179394
3527,3760,4426,16331,7756,11371,18913,103964,77455,194868
3613,3881,4311,5371,7196,12369,19648,49857,132185,192089
3607,4176,4329,5349,7260,25335,21580,49301,73980,181299
3595,3982,4316,5820,7752,12090,20683,64274,121363,192081
3625,3736,4496,5330,7289,39350,32298,56574,76175,368607
3639,3979,4460,5446,7728,26933,29929,60172,84420,231354
3640,4034,4872,5525,7225,15106,33253,81601,128653,167019
6318,3882,5430,5280,7277,45439,19912,39680,78302,204028
3653,3978,4423,5533,8056,14903,21835,37998,97469,206784
