FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096,FP32 eager b8192,FP32 eager b16384,FP32 eager b32768,FP32 eager b65536,FP32 eager b131072,FP32 eager b262144,FP32 eager b524288,FP32 eager b1048576
286631,324475,294614,425260,513018,994912,3534424,9648529,17070562,27993364,47321470,410994897,170468598,336961470,2584811046,1331819774,2654069605
289424,340298,297348,437521,547377,854149,5516179,9995868,16109930,25648218,45648102,410919530,169993466,339013865,2717757699,1328967843,2642652627
291090,331000,292404,427726,485540,1022365,4065607,9992812,17008892,28139957,47082404,414146223,169912593,335820074,2669124244,1329262889,2651542207
286881,325763,298321,439317,524751,1017426,5466774,9544880,16069381,25340479,45726349,406419040,175237641,335678707,2666117445,1332210791,2648338741
299922,344154,302126,434398,463021,944371,3915563,9958261,16502863,27740285,46882167,410787842,170259439,336019531,2640893699,1328860865,2651101697
281054,341169,291186,416803,541051,1008619,3899869,9836605,16433782,25258790,45717377,411050050,170439340,334609902,3284202632,1410329639,2720132081
293676,312873,299403,444262,463351,943603,5325523,9952542,17258693,28300615,47038919,409529878,172515270,335336293,2555518752,1696719186,2718504568
281389,329779,285379,422328,530045,993756,4171147,10046531,16608088,25918497,45769948,412319186,170181942,335538236,2800377464,1839490198,2637384789
294480,310973,299289,423656,458864,1048909,5389896,10115040,17394721,28029710,47319137,411242892,170786268,337291362,2567319083,1497801367,2648253673
289038,351940,310015,415936,535183,919309,3916702,10127241,16506952,25464200,45815580,407830934,170168526,334379147,2757803858,1347694864,2643525855
288017,333747,316763,444124,478437,1012673,5542546,9692617,17564211,28089819,49788788,407081529,171302314,336597321,2594448920,1333970524,2653425872
295348,333589,291715,442083,525049,848663,5202152,9888647,16732343,25095547,45694241,410422252,170793504,335853271,2784136787,1404381921,2647288784
283059,318830,308121,435240,466179,1000461,4640325,9697718,17379995,27706852,47239392,410717735,171054210,338014031,2595752990,1391344340,2647906021
274853,343012,311684,435122,571555,973135,5334904,9768171,16323360,25645102,47137810,409721708,170401354,337897637,2734025460,1327581793,2640114264
269075,322033,295557,420919,533628,1186854,3837569,9890089,17738643,27792714,47372666,412411104,170672463,339905695,2747805475,1334839503,2652087326
296086,312677,285203,522491,557325,1016042,5723452,9808806,16815390,25240629,45932224,411993865,173341103,336829468,2741183589,1332532678,2631863340
281968,318532,289023,471761,522334,1008231,4187307,9540108,17861382,27902587,46986710,410906829,206362822,337275774,2497242517,1347591516,2648833002
291934,317053,291493,461720,543714,909978,5591046,9230993,16720205,25318114,45622224,412521300,202993746,334015647,2750659895,1404337240,2642898759
270011,307189,280868,442377,511173,974961,4434440,9938444,17746494,27707188,47093088,406330149,202438407,335909280,2556268271,1476119463,2646314327
284586,357531,298357,459445,566494,903965,4396910,9667230,16656299,25657767,45785559,413528300,205675335,337800746,2767457178,1515271109,2643465710
288001,311557,293272,432294,502814,1073841,5587838,9567321,17963709,28155098,47111675,414342458,200931300,334890467,2667862399,1559551158,2648806969
284694,320852,294547,460974,523984,971628,4165014,8888192,16670404,25578299,45276761,414086387,202195325,335316408,2721628965,1426039663,2640827692
272842,319363,275748,446715,466288,1023507,5463213,9079859,17779664,27861512,47406326,408118861,210310192,338148738,2894180524,1470733116,2649115566
287538,327649,282735,437957,536192,992674,4177731,8918091,16695072,25279968,46804057,410624306,199734134,336234292,3899419410,1476135452,2649487938
299199,354903,299942,431771,467786,872378,5969508,9392693,17915071,27799109,47036569,411738297,210631715,335451425,3214474327,1462800496,2649913932
279688,324365,293359,421549,545190,1102404,4414479,9229291,17033416,25665804,45699800,414100834,204730497,334539241,2807882971,1343068756,2637868224
273797,306421,286821,431726,479840,970014,5666930,8664037,18013490,27897152,46952927,414821115,204883804,336378030,2745882595,1429566430,2648627777
298597,320649,280386,438942,539703,1047238,4318220,8473830,16854901,25782525,45482836,415856251,203733070,336641634,2646460187,1370805174,2686464570
