b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
8666,11067,21790,21834,23064,33744,46258,63531,118706,225344
8769,11149,23641,21737,23619,28582,40244,72416,136188,211185
8592,14259,19636,20602,46100,35213,46736,102074,116221,210655
8371,10355,20183,25550,22940,34691,41197,70832,124708,211614
9508,10773,20543,20541,22742,32580,43380,65066,113922,217686
8366,13449,22813,23048,30024,34968,44810,65092,126301,208135
9316,11044,20578,23263,73294,32621,39875,69440,128747,220571
8520,11228,28726,20637,23881,42302,39155,70284,121669,218686
8694,11174,23677,33760,24304,32921,49613,65069,117252,205286
9114,10748,22341,26448,23635,38723,39853,66874,132307,223549
8322,10570,21205,20263,23260,29693,46965,72273,130245,209483
8630,10603,20548,21769,81485,32621,39332,63862,109408,202045
8578,12812,19259,38694,22842,34673,40287,71501,5661750,217166
8392,10402,19901,34109,21342,31478,39492,63383,113509,204169
8658,10759,20349,19648,23282,34127,35345,11904767,120202,210329
8837,10543,23045,20597,22024,29418,45629,70306,110210,227514
8868,16988,21881,18234,21636,36270,42739,67587,114271,219688
8885,10932,21947,23654,21601,34656,50329,70843,130513,215668
8655,10472,21499,20639,23971,29495,41149,62995,138959,209455
8599,10697,20012,20533,21611,39327,38290,80870,127996,212621
8461,10588,23280,20827,25617,36229,47694,64985,119914,209431
8606,10549,20949,19743,23958,29605,68790,64010,133193,213398
8710,10885,24341,19670,21116,35592,49651,68573,156888,214017
8754,10820,20456,23734,21780,38519,42635,7842610,118147,206375
8586,10600,19804,41886,22450,31568,41184,63943,132639,215339
8299,10489,22656,18833,23262,27171,38700,65027,127251,318011
8942,10316,22019,20735,23590,30813,40614,60967,109222,198220
8798,10618,22390,24241,23394,36711,48068,68017,134114,188179
8631,10149,20529,20840,22855,27745,42608,64254,155877,192676
8368,10323,28579,20304,22256,33469,46752,66859,122472,189415
8474,10515,19357,21785,24035,32413,46860,67413,122196,210105
8561,10010,20627,20730,22135,35394,39857,100892,132176,181239
8863,10347,20545,20859,22331,30596,42627,61150,136078,242114
9068,10854,20678,21374,25035,28345,46848,76810,138810,189073
8559,11709,19657,21287,26963,29881,61451,11889445,130434,175893
8638,11203,20698,31268,26181,32853,59900,61374,116337,192280
8696,10700,21299,21679,24569,31377,34220,11887515,119156,192388
8753,10434,21197,20177,23290,49669,35476,7935126,117846,197043
9046,10796,25947,22417,23440,52597,37070,62186,115828,189875
8943,10611,22861,20893,22555,28658,51099,70770,126852,192782
9149,10423,20848,20431,26235,32614,34451,64733,117929,191330
8795,10272,21064,20544,24025,40034,58064,72790,112086,193231
8483,10667,20098,20988,26441,29012,47073,64720,125381,193998
8825,10220,20806,20607,24433,33755,76069,112135,116551,200370
8950,10442,21064,19340,22803,34448,57836,93296,152194,179627
8472,12777,19722,22388,22789,34334,69502,86313,123454,193291
9828,11160,21258,18925,23594,35193,49643,64979,117342,188508
9509,11204,22429,20617,21461,34122,49870,70037,114359,209899
18850,11074,21269,21125,21767,32401,43082,65034,125393,181721
9314,10682,22501,20322,45154,30737,36333,66925,132301,189581
8839,15365,21591,21312,25861,31805,189006,69059,117242,196602
9291,10800,21939,19235,26776,33941,46795,61442,112283,193600
8501,10844,20170,17810,27596,29888,35361,66599,130170,189985
8316,10506,21270,22706,25390,34968,37425,62921,127756,212648
8883,10391,20740,19421,27616,35992,30171,70878,124566,197163
8467,10505,20172,20189,27300,31751,38052,63074,119512,192294
8701,11052,20167,19393,25177,29926,40640,63754,118513,214716
9184,11475,19171,19291,26040,32034,36149,73856,120434,193607
9175,10871,22949,21092,25790,32911,41155,62323,123406,190286
8374,10825,19507,19595,29494,31916,44932,67900,110208,198116
8522,10615,22436,19629,27419,36599,39010,67920,115866,194975
9127,11412,21897,20311,24437,28429,54837,61986,114291,201033
8821,11077,21538,19060,27911,38000,50394,62706,123620,198466
9369,11483,19293,20995,25234,38776,47075,70573,117818,210334
9209,10459,21541,20353,27051,29428,40525,5706274,133406,205184
9081,11338,40244,20770,25442,41948,40406,71829,111019,194070
8590,10851,20326,21476,25201,35504,46419,8188801,118372,212662
9008,23430,20947,20166,27002,31847,45983,7946753,116241,197000
8443,10645,20761,22738,26153,27462,49912,4845878,118495,189971
8721,9939,21080,19948,27662,28296,47708,61839,111371,202136
8437,10824,21560,19243,25445,40272,44365,83067,122008,199658
8979,10780,19559,19455,25497,35884,34741,63853,118520,207126
8885,11476,23391,27762,27834,33666,35066,63389,112447,195006
8530,10388,21124,21882,30633,27791,44047,63086,121497,209941
8593,10124,19944,21813,25968,31091,42508,65628,124076,214818
9105,11121,26849,19642,24784,36678,37837,7885691,146307,201224
8928,10452,21498,21425,26134,30058,36300,7899766,114159,208987
8738,10118,20009,21947,25500,32809,44276,9916535,110740,220587
9155,10284,28315,22379,25256,35279,42572,7858552,130646,209753
9284,10453,22089,21441,27366,34348,38713,62909,179286,210649
8734,10548,19730,21095,31069,32278,36701,4003871,119933,222365
8773,10947,22013,48030,25445,29895,36118,7984182,123033,277783
9461,9852,20358,20719,24758,36024,36266,66513,106924,214490
8568,11408,19440,21146,26084,33417,44996,66235,112358,208358
8502,10852,19287,20838,26548,31936,36705,83067,112457,209367
9265,12120,21023,18774,42975,52418,49187,75818,115357,196648
8657,11254,21529,21142,24362,30046,36658,71028,111111,217181
8809,10705,20419,22233,25586,24791,41981,65510,123474,366653
8525,10799,22470,19433,34229,30131,38501,61502,120115,218416
8573,10454,18692,19364,27718,26147,38737,65330,110054,211606
9007,10865,20253,23155,26141,28978,41055,66053,124638,198092
8578,10261,20851,20186,27189,26153,34720,64862,121799,198939
8628,10071,28173,22634,25089,25746,37991,62780,128070,192294
8588,11048,21641,22787,27365,30043,42414,63675,109787,198014
8593,10256,21704,19821,27730,27159,51713,68227,159092,205263
9023,10358,20811,21595,25726,29472,42893,68413,115736,191420
8745,10653,18459,21108,25358,27011,33380,55629,123933,195162
8758,10242,27144,20502,25962,24920,30425,66469,114928,200583
9543,9923,20614,21379,29582,30284,47163,69614,119269,190544
8672,11053,20649,22683,26016,30498,43240,62517,111723,188954
8765,11086,20462,21244,24952,28676,43014,70643,110726,194127
9033,10561,19223,19833,22667,33404,31993,64172,115055,199330
8728,10911,22430,21676,22346,36604,31231,99574,115877,185939
12166,11500,23194,19338,38029,33465,41353,62510,126001,199486
9956,10953,20401,20870,22865,34174,34626,64826,115871,189946
8537,10600,22618,20659,23694,31024,37033,64619,110531,197838
8569,10764,20097,20113,21972,28513,35425,69848,104039,201630
9046,10806,20315,21584,22278,31308,40978,59706,112193,194956
8688,10304,28296,20846,26648,101855,30638,58902,123365,215839
8412,10306,21032,19417,22394,36250,36653,59895,137847,198379
8529,10181,22542,19400,22627,29632,47722,56846,117386,190246
8631,9912,21051,20659,22517,30435,43145,88103,126240,193522
8483,16302,21068,20770,23067,30955,63534,58692,121784,195968
8963,10830,21258,20374,25693,29514,39124,62278,110664,196676
8677,10666,20682,21503,22761,31463,42779,62500,128335,200161
