b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
17704,18112,17692,17894,58612,20232,24665,29389,32661,31374
17575,17813,17616,31916,17692,20172,21380,28349,28797,29648
17767,18015,17839,17622,17828,19105,20892,28957,30900,31827
17560,17712,18166,17563,18970,19563,29242,30556,32383,29430
17622,17770,17637,17521,17838,19459,20796,31299,29964,38523
17552,18044,17867,17510,18055,19229,21081,30470,30691,29895
17630,17830,17586,18003,18284,19810,22517,29050,32335,29791
17620,17754,17656,21035,17803,20210,25259,28942,31468,31288
17615,17880,17533,17766,17992,18614,22705,29465,31943,31157
17677,17942,17501,17399,42475,19026,21516,31153,29808,29441
17788,17592,17511,21501,17837,19850,20580,30645,29192,43153
17645,17389,17541,17679,17697,18680,21063,29511,30061,30567
17656,17822,17777,17610,17736,18677,19930,27586,29855,29889
17439,17735,17650,17593,17641,18759,21659,31735,32628,29996
17498,18122,17656,17689,17667,18916,20863,28257,30272,45136
17656,17935,17428,17734,17626,19646,23796,31399,30600,29826
17501,17843,17491,17439,18259,18724,20979,28084,31776,31619
17464,17770,17582,17905,17951,20020,19814,28950,31016,41580
17372,17905,17607,17668,17841,20330,23995,28323,30326,31441
17510,17814,17850,17674,17697,19505,29749,28901,33003,29998
17550,17939,21182,17706,17755,20112,23043,31724,30613,30574
17524,17686,17796,20711,17613,21127,21163,30503,32440,30947
17529,17692,17637,23717,17739,19932,20430,29473,31471,35498
17569,17931,17932,17570,17965,18520,20564,28427,29633,42952
17675,17721,17503,17558,17960,18926,20604,27892,30052,28020
17626,17845,17685,17558,19205,20551,24685,31744,32393,30678
17489,17680,17779,17582,18087,19182,22126,30279,31076,28225
17445,17815,17711,17558,17738,19543,23506,28099,32183,27920
17607,17837,17814,17440,18003,19339,23168,28909,29595,28639
17473,17892,17978,17556,18354,19777,21079,31694,29534,27818
17458,17924,17757,17388,17885,19481,23206,27930,32711,27958
17604,17917,17569,17496,17894,19249,22094,36774,32605,28705
17495,20085,17865,17689,17798,18828,31693,27591,31419,27296
17645,17971,17708,17497,18458,20655,34685,27402,31202,27849
17598,17917,18235,17505,18376,19125,20966,29437,32856,28440
17607,17964,17683,17978,18004,32272,20714,28148,30384,33419
17640,17950,17770,17998,17843,26530,20675,29126,30731,27252
17640,17858,17601,17762,17627,19531,22138,42272,40532,28503
17624,17872,22572,17623,17792,21399,20932,26706,28634,27338
28083,17935,17378,17510,17947,19240,36742,30575,31753,27928
17779,17810,17594,17569,18327,18564,23662,28445,32312,27885
17750,17701,17329,17569,27326,18836,20808,31220,31860,28529
17504,17800,17517,17536,18068,20005,27517,27967,30565,34444
17659,17665,17495,17739,17841,18588,21242,30120,30563,27919
17500,17742,17639,17590,18137,18397,23824,28164,30726,27208
17647,17839,17714,17530,17622,19869,25637,31069,31195,26380
17657,17872,17572,17674,17492,18932,21269,27546,30527,27429
17581,17697,17591,17520,26958,18399,19814,28037,32638,27668
17567,17678,17775,17399,19209,18442,62940,28088,31060,27258
17217,17959,17583,17687,18503,18848,23430,29481,29172,28188
17514,17988,17575,17705,18508,18356,19979,27842,32007,26101
17628,17777,17630,18001,18182,18464,19978,28452,30272,27417
29180,17871,17699,17486,18895,18919,27182,31114,30028,27541
17620,17640,17625,17746,26306,18626,18333,29339,29788,27811
17607,17689,17663,17493,18521,18730,20063,38917,30163,25976
17556,17827,17542,17631,18650,18927,19032,41999,31877,28366
17777,17807,17636,17533,18420,18312,21447,28168,30118,26518
17535,18088,17735,17607,18584,18412,25046,30794,32479,27979
17579,17792,20537,17507,29561,30375,22705,28241,29946,27009
17713,17674,17837,17629,18136,18081,28072,28917,31294,39807
17610,17911,17675,17715,18631,18913,28509,29159,32974,28134
17501,17912,17589,17768,18550,18962,28382,28606,31369,27164
17698,17739,17696,17544,18600,18602,28213,28375,37441,26907
17726,17808,22134,17330,18456,19911,27580,30618,30391,27467
17467,17821,17643,17825,18528,19375,28912,28037,30261,26405
17421,22096,17930,17482,18285,18685,27214,29550,34018,27688
17496,17600,17603,17399,18251,18118,28213,29172,30561,27342
17632,17579,17890,17292,18337,18021,27962,28819,29725,26665
17559,17724,17594,17393,18119,21490,22166,33360,31837,27523
17597,17807,17594,17224,18135,20750,18419,29986,30413,27692
17459,17897,17603,17443,18412,19248,18308,28629,31505,27074
17519,17823,17515,19728,20093,18914,20056,28615,30517,28120
17452,17766,17588,18014,18288,18557,20699,28762,29830,27898
17425,17792,17627,17576,18460,19994,19552,31443,30518,27757
17518,17738,23748,17865,18635,18711,20503,28293,29394,27885
17398,17804,17552,17654,18411,18386,18547,27722,31302,27421
17521,17729,17564,17498,18058,19726,19236,30185,29175,27585
17724,17721,17625,17568,18254,18833,18798,28585,29566,33221
17526,17826,17511,17718,18652,18784,18386,28039,30794,32877
17670,17804,17528,17789,18507,18660,18312,29313,30495,30708
17615,17823,17790,17526,18221,18562,18064,28979,30553,40224
27570,17719,17658,17758,18139,20353,19957,29535,30413,30398
17740,17887,17495,17960,18371,18632,20366,28958,29696,30369
17680,18002,17697,17883,18169,31338,21411,28809,32204,29906
17652,17972,17545,17406,30821,18909,18425,30565,29540,29905
17676,17793,17781,18001,18352,18085,19134,28016,31326,27648
17770,17746,18079,17725,20254,18908,21325,28169,30729,27310
22793,17821,17448,17810,18132,17918,19468,30286,30501,28185
17553,17887,17725,18104,18083,18104,20561,32296,32042,27752
17573,17815,17512,17761,18373,17530,19425,28648,32377,25641
17465,17810,17662,17726,18170,17736,18517,28782,30132,29113
17458,18737,17550,17760,18519,18183,21193,28059,31434,29031
17685,17719,17541,17439,18636,17784,19170,32361,33556,27097
17563,17625,17682,17449,18456,17750,20313,29398,29500,31256
17606,17979,17622,17918,18333,17744,18792,26376,30502,28818
17696,17812,17706,17685,18138,17543,18982,31575,31473,27058
17586,17828,17638,17546,18257,17518,22297,29182,31003,28741
17452,17790,17548,17788,18413,17971,18902,28558,30083,28590
17518,17732,17764,17391,18178,19593,20907,30659,37179,29787
17526,17920,17636,17570,17856,21082,19255,28167,29894,37028
17516,17817,17248,17421,18044,21863,19144,28865,30809,35164
22359,17871,20451,17365,18000,22336,21480,28360,30935,27258
17794,17890,17665,25690,17537,22148,19032,28550,31815,27703
17635,17914,17655,17589,17832,18593,19029,28432,29987,27566
17539,17784,17652,17570,17856,17671,18505,30225,30684,26888
17494,17919,17455,17371,17730,18289,19987,29631,30966,27224
17504,17865,17533,17456,18009,19459,18967,28879,29429,29147
17546,17935,17631,17591,17715,25368,19009,27926,32399,30571
17739,17766,17486,17504,17688,19424,29663,29211,30599,26572
22908,17688,18093,17613,18223,18606,23044,31140,39374,28420
17677,17618,17653,17942,17695,18877,30605,28952,30416,28263
17502,17769,17451,17416,18012,17871,18610,29162,30873,26345
17657,17869,17632,28405,17772,18087,18795,28718,36444,28446
17636,17973,17527,17534,17899,17791,20831,28998,30281,27386
17640,17829,17596,17498,17664,18413,19491,31863,29421,33549
17645,17912,17628,18317,17669,18006,20041,28512,31680,27164
17548,17672,17709,17636,17657,45388,21746,29164,30644,28811
17799,29432,17591,17551,17715,17778,19846,29772,28629,27802
17622,17829,17488,17417,19935,18028,19737,28939,32020,27155
17681,17801,17587,17514,17805,20045,21460,29075,30170,28468
17815,17901,17588,17582,17536,20377,19300,48432,31445,27976
17724,17849,17661,17396,18934,22543,22200,29365,31083,34037
30825,17728,17475,17633,17850,22398,24044,28778,30567,27582
17965,17644,17587,17639,17728,22838,25360,29447,30027,26706
17852,17889,17700,17915,18437,32668,25604,28268,30504,27554
17554,18033,17735,17667,18697,20573,25554,32751,31949,27765
20132,17927,17531,17563,18154,19648,25585,29240,29393,28520
17621,17953,17752,17625,18347,21950,31647,28546,31093,27592
17698,17795,17485,17628,18548,19127,24434,28846,31251,35370
17786,17712,17658,17525,17973,19037,31228,28630,30029,26707
17660,17863,17559,17548,18118,21628,22656,32260,32135,27311
28274,18005,17612,17609,17982,19203,25878,29176,29728,27843
17454,17828,17672,17641,18078,19751,24985,28751,31565,27456
17568,17946,17739,17355,17820,19055,21777,28625,30975,33037
17598,17878,17572,17791,18254,18395,20991,30640,31146,31853
17670,17962,17657,17489,18182,20678,20581,31395,32894,30867
17696,17732,17716,17477,17847,19163,23546,28699,30050,31399
17462,17793,17516,17534,17921,21205,20566,29002,31698,31129
17665,17907,17611,17550,17826,18929,28387,28173,30242,29854
17608,17837,17542,17608,18017,19730,20731,29014,31383,29952
17681,17966,17783,17481,17799,18073,19888,28061,30359,30891
17504,17943,17613,17731,17767,18265,58967,31574,30947,30260
17354,17759,17447,17560,17721,20843,21729,28641,30984,29822
17514,17926,17392,17690,20128,18473,23279,28954,29433,30371
17653,17690,17861,17473,17997,19281,21424,28907,32327,27995
17563,17720,17663,17856,17865,20014,20195,35934,30666,34582
17662,17719,17825,17618,18575,21595,22688,30689,29470,27966
17567,17948,17653,17412,18200,37028,20944,29373,31797,28518
17477,17898,17703,17548,18065,19257,20663,28765,32360,29252
17571,17914,17549,17605,17677,19123,21431,30547,30564,28318
17682,17748,17546,17533,24911,18331,22960,28506,31441,27116
17683,17996,18107,17936,19498,17760,23332,27114,31403,27068
17626,18013,17639,17687,17896,17874,20910,36369,35928,28088
17685,18027,17613,24783,18414,17875,42139,29483,31063,27864
17318,18011,17495,20997,18722,17777,21198,30833,31384,27548
17654,30058,17642,18800,21278,18611,20816,30406,32432,26696
17757,17770,17538,18530,18419,18897,22993,32176,35142,33989
17655,17884,17538,17962,23998,18250,22046,30148,30262,28745
30254,18059,17452,18010,18285,18075,23615,29388,30988,27022
17572,17819,17615,18507,18349,18674,25540,37362,31174,27964
17426,17900,17731,18176,18096,18304,21590,28735,30123,28332
17565,17894,17825,18307,18181,18093,22929,30877,30990,29299
17856,17881,17515,17657,18343,18028,23331,30975,31127,27933
17827,17842,17748,17624,18405,17724,21649,32481,30000,27683
17776,17887,17543,18178,18644,18218,24375,32752,29439,29818
17532,17878,17595,18032,18141,20182,23577,30520,30192,28917
17638,17857,17485,17544,18487,21719,20482,31790,30717,28683
17605,18036,17518,17696,18584,20326,21675,29122,32548,27405
17619,17821,17635,17684,18641,20202,22351,29172,30847,27397
17635,17779,17630,17683,18101,19403,23555,28329,31361,28326
17533,17778,17820,17590,18611,19443,31676,29397,29705,27494
17551,18014,17564,17469,18882,18481,31281,28042,30984,26621
17693,17895,17593,17562,18206,18208,31879,30089,31748,29512
17504,18043,17767,18005,18076,19162,33458,30273,30103,29538
17671,18001,17699,17572,24406,18571,25761,29166,31483,28743
17445,17751,17621,17460,18186,17892,29903,29480,30549,28839
17511,18040,17736,17583,18566,18598,27101,27544,30958,29653
17507,17864,17457,17573,18158,17826,34020,30750,30872,28360
