x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144
377490,404925,466519,523713,558929,894729,2128210,4339613,6248478,18856810,21143738,38361953,69997187,194325212,346605214
374104,419841,466335,530963,569145,952912,1127371,4425034,7748229,13211817,21062744,38264993,69621828,193756091,344220670
382604,405548,459324,530994,574611,915138,1223084,6336025,7728526,21106779,21044916,38966141,69832750,194016586,320114121
367885,424976,455529,501649,555071,896984,1076613,6506481,6150561,19317752,20965117,38249842,69693607,205737686,303894428
413391,416566,471518,514793,569344,957594,1126874,6052453,7846475,21877932,20974996,38600752,69939001,194087106,296071841
386044,420131,458090,535863,561338,935349,2085684,5828232,7958918,20906212,21150653,38689955,69633439,194055961,366345359
378687,432512,470075,525609,563240,915601,1251805,6227510,6028494,20132936,21191195,39463300,69857276,195538530,330745929
371265,423509,483824,510034,557144,930137,1075935,5644097,7882121,21565918,21081718,38521898,69678676,194550647,304058757
379643,434169,477897,513367,557651,920469,1082203,5464251,7767473,21173265,21053395,38318166,69953826,195575758,308641645
373367,432044,451161,514590,556609,926065,1238928,5125202,6207098,20414597,21054906,38368786,69336810,197938832,361487599
376017,413308,458789,498928,563775,916531,2159825,5065504,7827147,21919947,21068767,38383148,70030174,189759999,307216734
391381,427669,465172,512537,553885,953409,1137892,4977311,7808192,21285816,21071349,38411096,69458288,186168322,303117111
370770,425946,447600,517502,592825,953815,1164136,4916084,5971951,21655802,21045708,38383842,70201441,194036618,350670451
373140,436856,461337,503365,570973,938987,1062527,5040136,7865069,23032813,21138225,39718144,69750338,153278146,353361155
435868,575178,453500,510997,582153,942979,1252421,5060199,7915297,21861334,21187265,38713142,70547109,194162786,344344522
385205,491359,456544,520613,593192,935723,2123747,5084819,6013167,21159329,21185762,39552753,69538787,170196570,339582545
373590,508003,459031,528637,582290,917974,1227570,5146730,7829105,21384852,21323690,39067767,69980994,193262352,353267566
376957,472581,434230,487524,598534,954035,1134952,4918474,7744709,21110667,21117455,38395363,69540003,188966875,280243881
370219,502426,443872,528723,589515,1080645,1127687,4908102,7955844,19945620,21094322,38953242,70075163,194448288,332496517
371991,492501,436290,512279,576621,1004091,1251803,7306762,7747013,21088482,21097656,38252617,69776981,193187417,296928422
380528,480319,445088,506686,558165,1018701,2107782,6142108,6147460,20274074,21126719,38321790,70010868,194774482,285168926
369594,468409,451609,505564,559250,993229,1130742,4453125,7798696,21385662,21188095,38627792,69328430,194494351,285356712
386546,486397,441894,534257,566350,982223,1208238,4297509,7778146,21237595,21102505,38260274,72617190,194416334,301311551
369751,465347,455753,534079,557025,1012831,1229356,4230696,7458515,20582549,21311024,38193820,69647053,140447048,345634203
402657,444880,456729,526109,532913,1010027,1273950,4102879,7790585,21726338,21191286,38434428,69988432,183064003,305506584
403627,486169,459902,529806,546338,994258,2142405,4574586,7441001,20943932,21225077,38267961,69245974,194421118,313057995
378286,478534,445451,531933,546842,974061,1165544,4727856,7769258,21370329,21121290,40022401,70640288,194817166,354652327
370676,341467,456224,505888,531017,995803,1098646,4650377,6019960,20835028,21223523,38151775,69329562,126325332,318130820
391803,323888,448595,532584,547371,992226,1086649,4408653,7782305,20006797,21088616,38906613,69656384,125099532,349048238
373232,298904,442352,517355,551451,996364,1264068,4358512,7683890,21381718,21363518,38550301,69185045,125726876,305838917
373131,297987,461948,495263,535412,1011611,2113754,4243623,7446831,21301150,21104677,38275771,69860421,125172144,356837331
385891,308364,444306,532553,555131,986569,1055849,4206606,7781788,20939401,21059614,39508332,69359220,125281554,311991155
373112,295656,446170,534575,539592,1005442,1177252,4065819,7425711,22960187,21090315,38236824,69990702,125594417,344218481
372110,297132,468669,509377,537077,996599,1138905,4093584,7770620,20953138,20962747,38286425,69408434,126010903,326429246
428542,359262,451377,504549,530041,1000137,1234312,3922818,6192421,21518195,21100173,38445301,69843317,121600393,334194810
384354,320055,450331,511617,553345,1006153,2227959,4239349,7859610,20737964,21229637,38162660,70200840,125173211,267508858
373179,348264,440224,536630,555932,1000111,1085007,4177691,7764518,20033795,21014743,40310543,70033017,125455119,352483079
379361,323474,429249,498643,555871,1002393,1193788,4191655,7405668,25675180,21167430,38245422,69387516,126057536,350835388
370030,331429,442606,504395,554568,1001325,1157057,4596757,7742602,26959727,20988892,38270447,69970916,125363368,350808647
373649,314412,425929,524113,553034,944849,1128284,4626127,7438039,20426806,21301764,39447574,69344800,126220405,314598361
376687,323622,441729,503566,534461,920825,2068777,4539053,7828121,21510039,21121655,38250126,70129183,123877550,316462473
369467,307136,436115,518552,553600,933445,1119999,4543769,7449785,20842820,21012329,38439695,69403193,126067865,324477446
378342,298739,440575,518230,553561,928273,1012748,4213108,7800488,19868525,21267430,39734802,70084140,127342360,271201073
373153,317373,445356,545295,544642,950742,1068763,4403681,7438732,21291811,21038809,38240504,69447258,187314039,344085236
407611,377238,455777,535935,549429,921368,1247180,4036651,8194815,20835629,21045896,38976166,69981983,123996681,319781833
409106,307242,440894,565548,561574,917054,2093722,4247606,7478791,20687324,21124816,38451390,69342656,126306190,287576010
379215,313765,436995,539235,560705,1364744,1247239,4110477,10746900,19809369,21177697,38311938,70484109,152391270,353728117
370570,295591,448427,532101,562166,1448327,1211709,4200536,7554499,21651463,21013075,38308678,66437614,125010941,323002226
380238,290876,439072,541672,573101,1225835,1177528,4136415,10414741,20820432,20987517,38211286,69915378,124127071,322617102
370353,289313,447400,542539,551633,1159849,1260001,4275833,7706272,19938886,21075742,38332754,69688164,125899491,343152617
370155,290186,446851,536359,556452,1106719,2106068,5293716,7705284,24261058,21040060,38813000,70019866,123729702,313380626
377398,291206,439443,527574,531529,841008,1225043,4579483,7564638,20969922,21172162,38405440,69506202,122852896,359036906
370317,300141,461576,520410,548419,842891,1058570,4356854,7647647,21110624,21081842,40255943,69810349,132538635,334664727
377745,290202,445067,523687,547646,845904,1010823,4226175,15865694,20881945,20995323,38603678,69505879,125307509,330111789
426611,339701,561332,535064,566426,811410,1215486,4089751,7738851,21642912,21373034,39043551,69920251,123904312,346525812
375901,312715,486237,539433,569972,887806,2096871,4131578,7780216,20852183,20997551,39500052,69312087,125606062,355866160
369949,290372,448240,537944,540602,1055919,1110032,4045044,7443047,19871847,21168743,38461121,70497031,123836991,316993669
380774,293044,439383,1118646,562502,922281,1040856,4324688,7617552,21379752,21066027,38313512,69624978,124985282,344191765
370449,300870,445394,927942,553648,907462,1391501,4157943,7415889,20917917,21101932,38185449,69823998,124437514,350921234
381569,288512,454262,898821,550633,906450,1475576,4090546,7647842,19766943,21113262,38785854,69413817,125909684,321765543
383143,287871,443202,831996,583301,909961,1390587,4200235,7386535,21351511,21135682,38191807,69929597,124413876,301208333
368479,298287,448200,844553,552956,887316,1339483,4223540,7736157,20791133,21002394,38311006,69643026,125939989,316347289
383260,295107,459049,833882,536029,798912,1335195,3995108,7439179,19936682,21097814,38306922,69906910,125389893,357274354
367276,290557,428182,790168,546351,799013,1342982,4134249,7731252,21394454,21027003,38252520,114644750,125279535,363615175
428139,359805,401879,799357,550817,886885,1286618,3983190,7399161,20711408,21293047,38377697,115264778,123938227,328221885
381529,304713,416142,805769,557434,821044,1224072,4107816,7646879,20740303,21270687,38357985,72398696,125072676,340898538
366356,288950,400654,777441,547833,893869,1305217,3934774,7387499,19839475,21153747,38253432,72384088,124715186,291519882
366691,297210,421634,740460,558671,804312,1260437,4553570,7669115,21265242,21176706,38360215,72431848,125913443,306870060
379099,289381,420982,734394,539410,824148,1322370,4347391,7348023,20951824,21286031,38364026,72571706,127560329,353593148
369732,289657,421654,745733,536955,822398,1310824,4263192,7835195,20546828,21105720,38378855,72340352,122870042,294820166
370292,289665,405254,747280,546487,859205,1259067,4058909,7367361,23308117,21179173,38449282,72674446,121793382,364955175
376886,295513,394586,740296,559993,865382,1302658,4510819,7821114,21522629,21227591,40142773,109856716,124756513,328898372
368721,303850,419540,735460,608299,861825,1277965,4276787,7398494,19340701,21139093,40664929,72303690,124134898,360526106
377070,292060,403422,723770,600120,855229,1279196,4243823,7677368,14825776,21276270,38121192,72487921,126414362,310392959
422584,342120,411331,709418,598621,863836,1209253,4717879,7377856,18638616,21167482,38855548,72569267,125640071,314275625
368328,321764,401474,714835,594706,859925,1164634,4548562,7758899,13552198,25857864,38310609,72096044,126317763,345221653
652091,302177,407806,699336,573808,866027,1263043,4390039,7391347,21017996,21204703,38550529,72702054,125222802,311768775
575386,296349,396301,669118,555054,841679,1133805,4290544,7848718,23084418,21119611,38544988,77536279,125924225,318998651
555622,309147,404464,717707,557689,870459,1153890,4329540,7386334,14054729,21119942,38192797,72346431,125735893,344262278
488239,293262,406680,693775,570053,860977,1270856,4725115,7723511,12930548,21262281,38676947,72144825,125720668,309735917
487770,292167,400815,675344,541486,869024,1271610,4162735,7424069,14061469,24243695,38246564,72441747,125180059,337974703
479230,304417,403540,660546,546720,868074,1260209,4313454,7773318,12949414,23311613,38069352,114837560,125034037,321683645
587876,291951,417867,697680,550690,849537,1216775,4630665,6114011,14130493,21148361,38255996,71426946,125390585,343922113
556704,291359,412627,625477,554785,859009,1120527,4408327,7786348,12312804,21189374,38333042,71274923,124657041,289713064
558018,388730,403994,660645,609073,853890,1152170,4273713,7850127,15080547,21479758,38420436,71356999,125453460,327482398
511185,303468,402822,657273,550508,859632,1137614,4595834,7361164,13092305,21427448,38241768,71250746,126012074,340972747
427457,292540,393218,660677,539732,854601,1093543,4450825,7655403,14233639,21592337,38288611,71305612,124207520,315156530
422067,300581,416879,641900,553095,855740,1082524,4637217,6043070,18991792,21681359,38323195,71648415,124723420,313993739
413483,293666,402034,618430,553164,868551,1185427,4364354,7816668,21294650,21376615,38273572,71472644,124479177,296024043
431809,289818,409211,628350,541817,834238,1104919,4254984,7751001,21165183,21434762,38166005,71805579,124853593,334151262
442073,299055,422100,617972,562308,847967,1211917,4062498,5994789,21899418,21621035,38357430,71602476,125455552,312435195
403861,291388,422686,631415,541361,842042,1171992,4523628,7764487,21155680,21506632,38235430,71304359,124992605,263085298
423676,296640,420625,628845,563842,850366,1198629,4150022,7731124,21179666,21525376,40590492,71384590,125105465,308522829
428365,287972,403714,609775,562966,871680,1180320,4570240,7481824,20980293,21394515,38297039,71263747,126191236,341411545
437947,344998,408771,590100,549053,847030,1078946,4121740,7734122,21634163,21512918,38151908,71375562,125142588,358084930
407616,315218,416374,603883,547805,855079,1142055,4226197,6091302,21006056,21304443,38752342,71267502,124668819,331528360
395909,302216,409071,613178,597297,833449,1159107,4078713,7785998,21473727,21406665,38653777,71400407,124150067,320658493
424623,309550,405322,562568,598009,855116,1094933,4293047,7793906,21033106,21615387,38515259,71383731,124795428,301588017
359910,296670,419440,628992,586670,858333,1294488,4084150,7431212,21232076,21490093,39051906,71424530,124320572,333177768
314787,288411,421065,617785,595542,860632,1219920,4859101,7732575,21091258,21526206,38419808,71147048,127259829,341334458
313405,289113,413600,614133,556646,850460,1111494,4634962,7400721,21228482,21495709,38303339,71452149,125202001,335492073
314831,297720,417336,605271,565579,864771,1088424,4501847,7882190,21121546,21604442,40410361,71408393,126385896,336115836
313826,290622,412909,607713,559073,852825,1108317,4182774,7406900,23139843,21632688,38174364,72012297,123981921,307243381
313162,290194,434220,589841,583849,861414,1222261,4325479,7668808,21123462,21667945,38258720,71413596,124798700,339188339
326653,365983,421222,600604,555583,846606,1139800,4141975,7430213,18219470,21610045,38583573,71459795,124072695,311147404
314290,298134,420167,595204,551059,868280,1147727,4091525,7748192,13207584,21370968,38301461,71316362,126130400,329845048
318814,290878,411678,604435,551772,852205,1089913,4224422,7426441,14036294,21449138,38171928,71464702,124915732,339368085
312626,298583,425201,582943,558688,829179,1091665,4519975,7696465,14514173,21380407,38748777,71448137,125400711,350689499
322299,289282,423963,560670,558368,864310,1130687,4283776,7383310,24450935,21345059,38787548,71413260,124209913,350116123
312323,288419,434854,559988,1230852,839912,1227116,4231444,7835449,13514523,21449764,38383650,71402732,127150594,367392527
334446,287574,402333,555771,545527,857464,1081813,4177245,7401871,14090483,21539630,38272780,71507726,124907444,317616391
315178,290174,421325,568847,548985,848417,1112534,4339772,7608345,12959492,21456856,38141483,71437453,125175243,348379481
313112,306773,406329,566858,536126,826975,1073034,4047542,7355192,14155268,21604275,38435472,71377037,124911823,333912729
312315,296274,410565,541887,606141,859199,1204646,4203178,7652335,13229437,21775046,38365924,71321199,126531880,313580963
319796,349548,419291,541224,611552,873011,1135006,4095879,7418517,14571958,21697070,40564893,71516164,123866683,319696015
325530,301716,428645,550040,592118,872936,1053845,4950122,7710852,13183980,21612478,38749249,71335680,126914257,363839413
313114,298653,437850,544051,614868,857332,1123394,4659249,7411965,13995505,21468898,38438012,71713101,125231257,344928521
320879,289120,430983,547458,595065,857113,1103317,4308921,7690099,20840751,21556277,38496279,71395097,126061068,312746324
312686,304579,418424,534690,552391,896929,1150274,4564890,6039965,21125321,21487772,38693283,71486556,122076467,344301144
323711,291348,428667,542657,538486,924347,1152962,4445974,7707833,21485821,21395131,38616772,71351943,125956108,349483169
313654,290603,419874,514428,564466,908746,1198982,4249602,7663849,21105759,21440685,38180737,71536798,125473779,319078904
324602,301379,422986,558883,571221,907557,1188249,4603956,7422679,20966238,21425073,38200874,71373034,126010854,345980705
314640,288523,425551,538222,572680,936398,1122921,5918293,7636052,20443386,21433092,38409870,71404149,124909771,329906427
325306,290765,439232,535563,556193,911184,1153799,4587817,7381498,21599495,21614937,38196994,71239649,124577891,348672937
318344,365702,416704,516301,551597,893015,1196159,4391255,7907445,21100083,21404033,38423891,71579921,124032659,347116770
