SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192
754042,1231349,2162406,4146463,8161884,16084132,34035975,65709958,131650858,258950395
748555,1237666,2173639,4125682,8052813,17879575,32134691,66454569,128634042,258657543
741142,1222510,2184140,4112699,8131688,16864197,31670447,64349402,131715543,258797534
751981,1232679,2174243,4076642,8076402,16074499,31519181,67167095,126234811,258937342
746288,1229285,2187866,4152666,8013728,17233340,31703865,66421707,132043305,258889973
745204,1230374,2192483,4096095,8113885,16055685,32341239,64359490,130509645,258804978
729564,1230330,2163551,4124940,8095108,16015894,32413119,67178060,127191306,252662507
741499,1227661,2166692,4124721,8048363,16688986,31528340,66403983,130703832,261105314
740185,1219138,2178377,4128487,8033197,16072984,31489628,64314307,131646575,258738560
743892,1222030,2165930,4085189,8116229,17600806,31674363,67118659,128733085,251759808
793911,1231099,2170124,4162258,8160831,16977228,32251660,66478648,131748648,260515609
790278,1254282,2190528,4118298,8120537,17633442,31578258,64264289,127725860,259086495
755416,1229122,2175924,4149387,8111135,16927062,31606930,67242134,131653732,258882615
741824,1232866,2165009,4134510,8051300,17604855,31699364,66436074,126322651,259107916
739815,1218473,2173017,4130228,8046733,16900831,31386759,64477046,132015144,259093659
737419,1224840,2164460,4111720,8066393,17539914,31975266,67262504,130536258,258892553
730291,1243113,2170714,4146123,8051930,16826656,31671114,66571577,129743708,252380583
739225,1221761,2216922,4123156,8057869,17636843,31215228,64556308,130605113,260723792
734357,1219382,2211524,4135574,8069260,16886363,31573466,67322534,128870209,258793869
743343,1222341,2165938,4114630,8059879,17777407,33971961,66535077,130588365,258769624
733307,1223726,2188905,4117224,8077231,16818848,31607002,64393434,129901811,258552990
728681,1225985,2167355,4089313,8087950,17617066,31434572,67194172,130532448,259183421
700167,1229593,2170421,4162517,8042798,16812456,32099795,66661292,129664777,258541520
695002,1219096,2168557,4142515,8065827,16118546,31743891,64141733,130578290,252448821
696741,1225409,2161491,4161261,8066592,17470154,32345602,67182910,127004138,260612179
699542,1221551,2157691,4141989,8138951,16797227,31585391,66516429,130825366,258521989
696681,1212886,2189071,4121437,8148001,17773876,31657620,64453564,131285739,252532834
697071,1233220,2166011,4086738,8073828,16842015,31659933,67192623,126050455,260814625
708551,1209936,2162430,4168546,8091946,17310516,31371665,66614866,132247022,258782353
695390,1210785,2171299,4101237,8107956,16801281,32116597,64519041,130703879,251862824
683456,1218566,2160454,4153357,8071822,17378090,31671813,67294569,129689106,260754976
692949,1219752,2151249,4142736,8082616,16715150,31295406,66380155,130510459,258802117
694617,1218275,2171033,4134853,8065489,16131952,31628923,64479680,129044295,252060921
707056,1228738,2153742,4108242,8094037,15949282,31420075,67165981,130646426,260732522
704784,1220803,2163546,4172195,8142926,16248668,31654246,66540253,129675611,258474756
709829,1217797,2190029,4142064,8071309,16015765,31340882,65788409,130443757,252274888
700233,1216350,2152850,4149395,8074193,17670067,31897794,66680390,129880915,260611573
688132,1306241,2155279,4155773,8068088,16900272,31459197,64947425,130650654,258818518
695376,1226511,2169560,4142414,8053467,17377030,31581027,65119608,128739086,252104440
697750,1211442,2167273,4110387,8136997,16719412,31656081,65890448,130510859,260014083
698807,1219874,2153317,4163192,8141673,17406749,32579065,66457160,129758978,258951638
701056,1212305,2173598,4125525,8115015,16719544,31556970,65800135,130395900,258802707
703962,1217949,2168517,4176453,8178178,16061595,31776292,66581614,129776887,258631335
703889,1221425,2165852,4140160,8114684,15930347,31614050,65984163,130658677,259124043
704747,1220111,2165927,4126542,8126124,16119897,31499676,66569401,129784123,258657177
703227,1219189,2156745,4096634,8063892,17694299,32163215,65809109,130444933,259017210
697638,1226633,2156646,4158626,8076631,16839471,31681718,66535436,130408533,258631531
700568,1213901,2171995,4115170,8099619,16060547,34191332,65773042,130889630,259190413
702790,1215422,2151615,4179644,8114969,17624240,32157883,66401651,127437718,258556461
709851,1222487,2164228,4170246,8153483,16724198,31612847,65893326,131001508,258745621
698383,1215752,2185485,4126013,8134431,16049956,34170014,66385803,132167071,258693052
707605,1214116,2154175,4082346,8107767,17609278,31650230,65778074,129007669,252212040
697720,1223548,2171036,4141669,8119851,16764408,31365910,66464794,131767526,260960113
695202,1212347,2221635,4096761,8142992,17664711,31963227,65967910,128661951,258880539
697806,1217947,2171294,4132870,8060272,16652030,31482385,66626778,131627265,252248345
696085,1226619,2170004,4132319,8050045,17666242,33885100,65837865,128649465,260694320
691295,1206181,2188963,4137311,8049544,16684045,32003286,66662553,131523490,258584142
701470,1213147,2177519,4112179,8021099,15972668,31517085,64404007,128629957,252478626
696827,1224628,2180990,4140200,8055693,15850486,33834993,67179754,131371935,260435100
704439,1211586,2164388,4087205,8071310,15779346,31509923,66555372,125824594,258575480
700025,1212573,2164829,4146273,8112497,17440214,31225089,64345005,131903044,252334443
695086,1220233,2163439,4171594,8081771,16712036,31726078,67256850,130426669,261068481
694095,1213231,2176549,4224987,8026867,15985462,31529184,66792291,129737141,258575010
692850,1211054,2173508,4182948,8040734,17627404,31205732,64345123,130611380,252240262
696852,1221074,2180815,4244301,8086352,16499951,31330921,67413623,128890937,260782095
704518,1253387,2192653,4174252,8046578,16079930,33859033,66586977,130472636,259004306
703251,1232368,2177702,4200175,8055985,15938201,31542720,64395966,129788121,252164905
703074,1232526,2180277,4180141,8043775,16095262,31310373,67168991,130610391,260145905
699637,1224028,2188645,4181378,8083278,17302060,31846330,66438564,129916333,258390448
695572,1218588,2174803,4162475,8043950,16683430,31520189,64331791,130692154,252229481
695601,1222055,2168444,4205492,8056658,17616071,31226032,67574946,129857675,259699732
695134,1216904,2186327,4149695,8064619,16728907,31394103,66729511,130676948,258675151
694174,1225341,2157523,4195303,8063658,17681828,31408572,65826019,127173911,252256637
708853,1224776,2166328,4198881,8131833,16604787,31898920,66534185,130458134,260806268
703217,1222306,2179653,4146433,8088907,17671949,31467126,65813058,131834931,258386411
707667,1237975,2169821,4130915,8156202,16789525,32167863,66455595,128607580,252253970
707597,1220945,2179493,4175450,8199543,17747205,32127086,65789446,131835814,259340601
700625,1214141,2201716,4140883,8138556,16720078,31479276,66536826,128866687,258579666
699311,1264851,2179150,4182756,8126074,17677200,31360987,65866174,131788730,258719547
701518,1273258,2157498,4178264,8107757,16732625,31428516,66588917,128582165,259007544
688261,1237952,2180889,4141351,8077675,17636430,32228260,65733577,131638635,258801413
704729,1231200,2150431,4114488,8128849,16775990,31484065,66329455,128726905,258763075
695471,1252021,2161301,4197070,8123420,16077606,31488553,65919766,131496125,258690933
702032,1230906,2170974,4134357,8114619,15959348,31366998,66463817,126095491,258879784
694325,1234675,2165592,4147132,8166767,15901173,31222506,65938356,131831204,258886250
695974,1239090,2153098,4140862,8105972,17057026,31958224,66603866,130579022,258829754
693383,1252178,2221958,4134671,8111449,16570462,31452242,65859179,127208449,258582180
693417,1217480,2170426,4110193,8102806,15970900,33852452,66507174,130473087,259795466
700098,1232750,2163912,4153061,8070428,17584677,31523376,65717694,131597259,258463084
704225,1242448,2190567,4103385,8072957,16639024,31270934,66652474,126165203,259488782
699771,1228635,2166433,4152034,8053592,17705039,31906103,65725085,131715546,253653301
703434,1234951,2157522,4130394,8076651,16824455,31466724,66601482,130538747,260812303
697387,1233339,2171420,4138786,8106179,17668830,33743024,65751981,129928761,259340661
694649,1237792,2160924,4094005,8040749,16695113,31552921,66585468,130521735,259530383
696071,1237635,2154949,4148622,8055121,17669289,31315388,65771650,129873893,259480201
