b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
25274,40947,35967,46154,59113,86897,133626,419177,762147,1204055,4037465,6932838,11572697,24985881
26061,40538,38141,38656,52752,101973,134047,394672,765534,1182700,3667300,6888756,11425442,25198683
37650,39916,42528,44395,51626,103683,234627,403376,761601,1176163,3552208,6210782,12077102,25743132
35959,40481,36447,46027,53347,80854,179865,424790,749252,1198656,3460048,6613417,12287216,25702729
34172,39842,38940,43058,61146,120583,163008,398756,746355,1170901,3546046,6796529,12290161,25371434
25606,38853,38524,45330,62023,101310,124649,387961,723014,1179215,4021110,6292182,12037018,25578758
25097,39911,38857,50852,62238,82867,181598,400685,756599,1184335,3656415,6677206,13116537,25930123
25224,39165,43083,59698,65609,78830,210099,406001,819463,1182779,3637094,6436378,11766293,25610666
25165,38991,44544,64539,62050,82912,182915,388319,760726,1179273,3579292,6611072,11081911,25456589
24372,37744,42221,45053,64668,82311,207938,382681,777031,1175338,4101514,6312559,11135917,25732521
24469,51052,45820,42604,62427,80465,218139,429409,768487,1171953,3555879,6667298,10997619,25811122
24271,37828,51806,41619,61877,78359,159513,391131,602311,1197000,3571736,6361593,13064997,25669284
24318,36789,38195,45549,63154,76714,182187,390256,460009,1174986,3738343,6948060,11612533,25476306
24399,38192,39420,43475,85410,73223,190178,316319,760895,1562277,3684000,6825455,11271890,25384385
24179,37422,48251,40960,65986,72684,193644,399016,816820,1173870,3682873,7001510,11716998,25427239
24448,37893,37631,43933,62543,76659,182176,382984,657021,1437420,3556290,6574778,11357928,25790933
23947,41810,39330,78469,62350,76541,202116,431045,513706,1306748,3736471,13124879,11604448,25136161
24213,37303,50032,74007,72766,72894,206628,387894,502181,1279510,3870485,6776676,11469091,25698559
24485,41719,47431,70059,87427,73948,245134,382820,763067,1302079,3667203,6377634,12227724,25919194
23733,36147,37061,68945,62644,69898,150070,371085,760764,1171380,3685132,6197149,11859980,25371497
24477,39280,35629,69115,62459,84088,256506,390394,762102,1182582,3664800,6515125,11880334,25664526
24320,36376,39579,72547,88232,90692,184612,403297,656493,1439489,3664091,6499751,11783439,25655637
34338,40010,38736,64998,67214,65874,180790,358173,767137,1299999,3711305,6235941,12079869,25204903
23492,37784,37859,61549,88947,92270,191939,394358,756446,1453082,3674721,6815622,11640195,25106673
23430,38027,38214,61781,191247,89142,229930,365817,816614,1815144,3695707,6621498,21000915,24984170
34535,39361,33783,67700,90406,82160,188761,409180,744971,1834419,3681581,6480020,11181321,25817437
35069,35797,33368,58294,64611,95187,150524,448411,764755,1820928,2982386,6478822,11084617,25341608
27467,35561,38167,59206,85683,93303,188780,390445,639372,1943633,3602750,6378803,11354551,25391747
23769,33988,40379,58651,65937,88036,129955,390215,519224,1970832,3554221,6733404,11807647,25257299
23033,45142,33892,56614,49624,62015,126566,387278,770348,1915248,3565762,6525799,12371122,25331664
23666,32811,32829,55739,83001,75363,132482,408491,773276,1980178,2968923,6786902,12315775,24300649
23182,36851,33420,57566,54298,88375,193052,375740,764551,1827924,3625085,6424541,12161014,25289191
23120,33984,34495,53932,49698,103818,134416,389340,731596,1935190,3743649,6621093,12314028,25516916
23546,33596,33414,53714,47362,68460,134916,403527,488077,1967115,3795113,6394790,12120709,25746688
23616,35421,33993,52834,44057,65761,124872,420454,488589,2098627,3735754,6736105,11756279,25193016
23372,33099,32674,51740,47519,96947,145331,378830,663681,2096443,3754838,6749413,11620306,25481691
23288,34160,34409,51084,50556,64153,131826,387015,632885,1323188,3721100,6785135,12367547,25862897
23555,33096,33801,52815,42419,88233,133587,401212,762429,858338,3649156,6365038,12222193,24323952
22906,34886,33962,53084,58830,66998,183352,352128,766786,1495338,3710754,6423841,12230365,25572993
22354,41617,34928,50792,68846,73481,123691,401533,768907,1316409,3730228,6382087,11700123,25614775
22051,32400,42298,49692,50155,87297,195454,389028,763912,1463031,3858241,6286442,12120513,25190516
22345,33793,33968,50298,45092,60940,162432,369849,751954,1192046,3757001,6572803,11584239,25911119
22004,34586,42814,48855,45530,72775,139053,404033,745363,1199348,3623124,6140633,11471718,25719497
22513,33434,33658,49201,54108,73405,137653,386577,774878,868697,3397922,6336690,11726009,24014535
22749,37111,33109,49164,53816,89461,144501,465689,748128,1223916,3610588,6139669,12066997,25277743
