SHIR FPGA b16,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192,SHIR FPGA b16384,SHIR FPGA b32768,SHIR FPGA b65536,SHIR FPGA b131072,SHIR FPGA b262144
477913,511854,667106,1050112,2430491,3915130,8809207,17616838,37440111,75107465,144256117,280252948,553047531,1131051845
459454,474172,679803,1029895,2005803,3614896,11555340,18382903,35604100,74003972,142740064,283339716,553481630,1143469391
465403,493942,682474,1044390,2982353,4237204,11048558,16166135,36243620,75570732,142207168,281160217,551288702,1131849942
442131,477473,669092,1040244,2511221,4251177,10814932,18388200,35367463,74785512,142123636,279651863,549982775,1136483700
442128,508451,663507,1044298,1968847,3920786,11578459,19423545,36043873,75011752,142475113,279196322,552351204,1142697949
445403,491986,706415,1093335,2958388,5523329,9093531,15178679,35467684,74381925,142544260,281262692,552814900,1113823744
458371,499021,638837,1050175,2525586,4432711,11441074,19345534,35670237,75417303,143575930,279833706,563239883,1122657503
441178,488830,668065,1017884,2076007,3658328,10890314,18253315,35320813,74733656,141986656,278227457,554197189,1117318986
469502,493205,691668,1032413,2057923,3352750,8719886,15829131,36108058,75745798,142845256,278933897,548235376,1136142785
457747,475831,666151,1030759,2168090,3726599,11013966,18375769,35625380,74729946,143351238,281324992,549845920,1133264045
466767,484061,642346,1022360,2998776,3417210,10600074,19357109,35878035,75252336,141532201,279091333,547303802,1110334370
449776,478586,659590,972142,2724678,4550396,10533942,16206715,35661917,74474053,142726472,279770780,551871124,1129936479
415743,482649,645627,1059215,2148845,4197842,11180106,19447949,36095599,75315453,144297184,278141535,573108811,1125243760
410313,466635,660749,1004393,2142231,3617902,8516941,16548081,35292962,75032494,143380301,280620421,571802743,1140535515
405715,486995,697426,1023955,2141736,4557033,10884887,19324002,36755563,75087693,142871093,279226603,569661907,1133421223
405081,499672,680983,1046721,2832726,4126696,11244206,16397829,36028208,75290090,142613346,280371257,574161249,1138587091
423285,487385,665100,985525,2724778,3570579,10817318,19571585,29522804,78920107,141254387,278744729,571980747,1133251386
424050,469280,677455,1002461,2148529,4398249,11367213,16605050,37385026,77311618,143332437,279577365,564356391,1130762124
411842,495200,672187,1032456,2792213,3560174,9782168,19494359,36626336,78037697,140204877,279624415,564188815,1134167102
400497,462950,650890,1002260,2825302,3562804,11256465,16655057,28986688,77104014,139562108,279334646,562434389,1133272432
418435,493767,655587,1029493,2247559,3506364,10563491,19415904,39405456,74686047,140758585,281807934,560271805,1135975007
412012,561747,669821,1015584,2965192,3159354,10830641,16473173,36322100,74167247,140716405,296480907,564313204,1130730118
