b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
18033,14617,14076,14156,17679,57712,76235,126748,216749,403777,824443,1706997,3143624,5768243
18003,14440,18755,14448,22884,65890,78580,127953,228249,403598,824951,1744644,3106244,5876742
18069,14257,14221,14649,24106,71944,87179,123110,217520,406404,833205,1552292,3152658,6767318
18178,14018,14468,14746,25537,69605,77745,127380,219999,402312,817872,1822707,3058937,6675967
18167,14969,14433,15506,27746,70059,81804,127088,218668,399852,864549,1751494,3134063,6724876
17953,14776,14496,15072,27766,70487,74860,126471,218393,419978,832368,1756162,3074816,8679600
24452,14829,14758,15394,29094,69561,78651,142333,218996,403472,765938,1827322,3068546,5692054
24788,14123,14611,15493,30901,70763,76981,126249,229050,403336,773986,1557437,3031113,5752998
26527,14402,14421,20186,31873,73326,76369,125422,222061,403488,776128,1658454,3245981,5728400
19220,14184,14520,16702,34955,68588,91672,137646,245897,403780,771390,1607165,3051452,5846593
18301,14309,14373,15128,34649,72223,78813,123850,269496,404255,819529,1595454,3117816,5868450
17950,14497,16305,18778,36147,64697,75408,125145,247746,398290,831059,1615755,3095614,5731300
17554,14440,16431,17323,43771,70565,78605,128567,240269,407999,778953,1695651,3209180,5923507
17822,13982,16006,16069,35753,68755,88461,127522,248751,406574,767879,1609255,3205608,5765178
17624,14193,15820,16074,38511,66454,86726,125836,249744,403593,786887,1769932,3071524,5763591
17629,13912,16302,15525,37051,64837,80380,130490,225810,399333,772391,1623619,6399720,5683879
17382,13746,13298,14874,36455,65168,76130,128653,239086,408412,857243,1799617,3165193,5673915
17468,14022,13156,16703,38256,64912,77398,123282,229557,403263,812844,1791934,3570912,5874900
17184,13610,14546,14812,38594,63932,74395,134617,412507,400788,847705,1796833,3092976,5817600
17733,13725,13233,14952,36721,69235,77891,124152,216243,402848,826964,1717015,3073040,5724509
24195,13987,13552,15256,38200,57937,77684,124660,232988,399769,826919,1674586,3179657,5768923
17170,13973,14139,16196,35711,52022,78579,128889,251786,401662,831072,1741149,3070726,5769070
17472,13964,14560,15754,38457,56593,87212,129073,215396,416378,831962,1762660,3158058,5857720
17620,13594,13417,14999,38180,55048,91356,124385,221882,415643,854928,1673007,3293992,5736648
16816,13413,13333,15737,38969,69289,79559,126725,212587,404729,838533,1595409,3061367,5764322
17091,13522,13163,14412,37447,73723,101479,130491,219156,411010,828842,1588740,3178564,5720133
