b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
13192,13653,12375,12810,15220,24446,26578,45912,44614,33136
13079,13386,12512,13459,15184,16170,30475,42020,46032,77673
13101,13256,12001,14343,13903,47950,30448,46491,39928,38353
23721,13226,12471,12779,15287,36881,46512,43209,39037,67834
13364,13326,12642,12719,15017,23233,36819,71631,85654,33062
14616,13558,12401,12577,15657,62440,32658,38992,40480,247179
13061,13405,12658,12797,14919,22137,32945,38180,48327,70668
12980,13149,12004,12936,15575,23491,46669,40739,76194,33278
12718,13611,12124,12544,15651,51399,44689,38133,40222,40697
12953,13163,12085,12821,13775,16488,81454,67665,82915,68434
13062,13055,12204,13231,14018,48451,42702,47552,39976,70253
15364,13561,15903,12871,48781,17748,81534,37440,40148,34747
13063,13347,12164,12580,14055,15231,132193,37847,49039,70135
13025,13731,12136,12993,15418,16286,30893,38043,41180,68983
12819,13749,12195,13177,24112,25733,72266,43510,81706,34311
12929,13522,12072,12819,15401,13793,30131,72036,40064,69129
13124,13527,12083,12811,17773,49999,68635,39293,38319,67445
12884,15290,11953,12785,17503,33592,29360,36712,84190,43342
12545,15756,12123,12796,21242,18929,61654,36996,41290,33500
13029,14660,12303,12649,14825,64081,25325,37973,101908,68020
12839,13312,12182,13990,15431,19295,56898,83301,41063,51028
12915,14076,16454,12660,39528,17901,26026,39217,41574,34658
25671,13615,12053,13005,27354,45869,55620,39172,83855,73738
12748,13646,12214,13070,14799,26462,31431,38248,41583,40906
12681,13549,12183,12556,12383,17397,19825,39641,45326,74918
12937,22605,12214,12518,14216,18851,21122,67825,40288,36517
12634,13909,11949,12962,12705,15483,55690,50145,78967,70086
13028,13611,12142,13991,12912,16316,32135,60109,82400,69867
12483,15966,12298,13068,12908,16078,18684,38468,369268,32542
12867,14034,11973,12899,12932,37050,18809,39563,56051,68371
12673,14106,12384,12829,13156,42550,19511,43520,82846,66834
12583,14222,13972,15115,12696,27093,26999,79821,41451,38129
13266,13856,14487,12791,12921,14841,17590,38243,93672,36571
12707,13674,15807,12868,16937,17893,53567,38035,63637,67444
12858,13923,12476,12700,13945,14920,32910,40704,74086,41066
12691,13736,12321,13020,36243,15163,19570,138540,82312,43937
12826,13811,12455,12619,13191,15238,27505,45749,45077,64979
12635,13770,12136,13053,12850,21272,18355,50641,40676,39917
13154,13442,38579,13861,27167,40725,27769,71162,92159,67275
12760,13249,12662,12991,13947,38987,18570,40291,73567,34208
13158,13780,12675,12594,14373,25795,17474,39319,50989,41874
12969,13514,12327,12896,13829,15803,22762,44594,89484,67180
12952,25840,13845,13973,13751,31341,26403,78475,47434,77613
12835,13567,12891,12516,12516,16550,53426,37607,63783,34933
12684,13615,13285,12847,12437,15279,19577,38721,81470,68001
12807,13426,12336,12862,12884,14378,32847,38023,81294,74417
13511,13240,13635,12591,12884,13615,26031,77297,342578,34561
12709,13296,12251,12801,14060,13957,20288,40353,45060,69423
12596,13399,12272,13818,17669,14701,25883,39776,41883,71092
12675,13421,13493,13144,13540,22042,20876,371619,80832,41960
12455,13596,12354,12762,13863,39176,19881,76128,48028,33205
12753,13506,12027,13091,41363,14251,25777,42148,82050,54881
12404,13229,12556,12734,22739,23725,18518,41788,40989,93421
12724,13405,12507,12991,13125,16207,28192,54939,42987,47758
12567,13594,12065,13098,15557,14383,20704,38770,80971,130402
12932,13418,11800,12670,12594,14853,22154,42855,41309,79448
12727,13184,12339,12315,12321,13914,30514,37699,80270,89520
12694,13291,12163,12578,12728,14802,52845,37805,40716,38367
12574,13339,12422,12762,12720,13554,25980,38293,35973,719874
12989,13179,62834,12896,14031,14983,22277,36349,44581,67785
12788,27806,26386,16304,13335,13418,21880,77872,40006,34033
12892,13276,20163,14145,12513,13123,21152,38225,88010,80702
12537,13177,15846,12902,12659,14439,18605,36702,41681,69090
12595,13651,14836,14560,12359,13713,18911,37398,42372,37891
12727,13707,13766,13289,13302,15089,19796,36631,80565,35042
12623,13521,13056,23647,12702,13630,28441,64755,40535,69804
12642,13253,13987,14073,13697,20284,19579,47389,81071,40660
12742,13342,12944,13258,12044,24160,22195,35316,40329,36873
12817,34833,12690,12769,12109,40937,52761,38905,41796,68765
12757,13623,12985,16763,13767,22794,45672,38252,80489,40302
12529,13358,12392,14153,13947,34365,31894,66644,39887,70871
49978,13273,13681,15155,21102,25010,30319,47873,84211,34577
13153,13349,13256,12796,13829,25252,32014,38273,38882,38821
12855,13227,18296,13194,45299,24326,31570,37759,45095,67499
12685,13309,12461,13435,12572,22338,20701,40363,110813,33757
12707,13302,12419,12866,13530,17471,47629,46732,39689,40080
12666,13699,12528,12628,12396,18511,31015,70666,83855,107814
12572,15950,13028,14088,13139,16214,24860,38696,41330,118924
12936,13663,12248,12986,12006,15336,24850,37912,82730,37090
12788,13481,12956,13665,22796,17838,20138,36955,40855,75779
12812,13516,12608,13002,25913,15166,29913,37350,41477,40911
12892,13511,12847,14075,12856,14507,25032,74490,82843,36179
12943,13436,41852,12859,12660,13841,54921,49705,70965,66284
12714,13185,12923,13026,13185,21494,20062,38259,43033,39009
12716,13302,12276,12337,12337,39192,17930,42537,84510,68170
12392,15528,226187,12810,13886,15073,27022,71546,40937,34453
12883,15796,12459,12355,12168,26512,19178,39729,86468,41458
12541,13125,12336,12945,13308,14044,17869,49848,89202,71335
12788,13610,12498,12520,13221,14379,21653,77253,58310,35324
12519,13752,12404,12840,12656,26159,18728,47165,82944,40254
13016,13492,12333,12865,12433,13485,20220,78368,80579,73119
12648,13481,12391,12482,13470,15640,17582,38122,61907,70641
12348,13669,13432,12534,13459,14114,53029,37813,83089,33810
12558,13456,11995,12728,12309,14712,38528,78040,81163,72945
12610,13722,12138,12512,12506,16807,21080,37022,40128,69362
12434,13211,13264,12632,13096,14269,27796,79643,81559,34407
12518,13778,13471,14158,12311,14256,18556,52578,73811,73109
12372,13739,13369,13199,13115,21682,20231,76950,65607,69686
12485,13343,21916,12888,12625,14388,22184,40693,82499,39991
22556,13208,13239,12597,12638,43852,19136,77265,45871,35461
12789,13640,12065,12628,13100,14883,18639,35444,46268,71213
13130,13231,13782,12690,12345,24655,31132,93220,83423,41754
13072,13146,12355,13148,12308,13826,18518,43024,41032,36150
12654,15455,39042,12930,12208,14171,27636,72125,82135,67065
12951,13608,19059,20730,12393,15556,44720,43953,43212,374368
14455,13581,108636,12236,13004,14859,38001,73370,40146,72948
14592,13291,13811,12776,12783,14552,28492,36964,45639,34221
14549,13244,12090,12663,12871,16096,20621,38459,41878,68620
12935,13659,13449,13089,14204,14972,20628,74291,78497,67623
12650,12926,12491,12707,12440,13975,20293,35289,40426,36458
12946,13523,13485,12600,12518,15126,24506,38227,41218,70436
14595,13522,485455,12462,12514,14772,18512,41114,45301,70233
14399,13372,12422,13094,12550,17509,18317,37578,43004,45689
14852,13450,13249,12811,12579,20916,28374,76653,54602,35853
13111,13474,13401,14054,12814,15329,30193,38570,78196,69965
12847,13557,13383,12713,13451,15154,45728,59478,46123,38291
13155,13462,12235,12600,12605,41218,32478,37283,81043,34071
