SHIR FPGA 16,SHIR FPGA 32,SHIR FPGA 64,SHIR FPGA 128,SHIR FPGA 256,SHIR FPGA 512,SHIR FPGA 1024,SHIR FPGA 2048,SHIR FPGA 4096,SHIR FPGA 8192,SHIR FPGA 32768,SHIR FPGA 65536,SHIR FPGA 131072,SHIR FPGA 262144,SHIR FPGA 524288
374746,471462,531933,599424,889727,1304292,2505234,4722871,10029233,19383770,90142610,299922864,352178559,683993519,1350111339
380970,495105,613371,608076,837149,1284131,2457067,4754620,9917600,19463089,89912419,300870703,360710212,684354869,1340316851
385885,494470,527613,551858,845166,1318513,2458463,4644725,10628922,19407660,89593661,314831991,352506472,684692095,1332201207
393730,496851,518755,576097,818503,1334489,2468425,4690266,9761533,19398554,89540949,301443273,351949004,684149269,1328609489
378484,496267,511086,575340,845872,1308496,3013194,4587474,10550071,19477562,89860417,299920517,354383490,685100657,1333753635
377635,498886,519799,580670,826483,1352860,2510790,4633206,10671426,19389343,89793578,301103961,354444316,684118288,1333338737
386377,500869,505973,564184,868255,1348675,2495715,4529439,9727366,19299623,89609980,317490234,352561917,684048429,1328396353
364992,472102,523453,564845,832310,1298957,2445918,4933953,11069230,19289603,89897200,328733530,351995772,686104342,1330296889
373716,474074,510374,578557,840463,1269452,2425708,4841210,9915957,19303571,89324318,325172265,351512528,684150234,1333300528
377515,461039,497553,577658,817789,1292295,3043916,4828355,9730053,19306711,89998266,332028167,351361189,686082289,1330352708
375706,470036,458838,550908,845211,1336426,2458105,4828241,11108284,19261398,89469373,328214789,353606838,686202759,1335207165
382239,467164,442063,577503,826362,1316897,2501049,4920214,9879805,19286712,90161073,333800541,353881463,683467643,1342603855
366134,454960,442885,567304,910280,3652582,2492002,4784551,10478691,19284935,89279498,329078594,352431255,685069807,1335333066
377372,456903,436193,582958,864167,2098992,2485161,4813287,10860015,19279860,89769027,335206997,352689157,684430831,1349438333
367353,452125,437779,565574,852773,1338002,3083449,4942433,9896855,19295865,89462801,329453834,353346884,686761984,1336451736
378358,435114,443094,550489,830309,1336521,2452201,5050515,10926268,19323905,90254942,335988677,354175725,683549670,1333691147
356181,412239,451424,572885,844266,1296106,2522834,4985188,9914572,19291757,89244231,330635356,352727106,684136806,1327526498
374684,407072,431656,585109,818771,1333429,2478821,4991441,9712508,19273659,89512609,336045148,357806326,683994959,1333052681
360115,403193,457833,560864,875760,1323718,2434941,4902318,11141667,19297572,89869524,330388570,353224073,686307862,1333216429
367279,407215,432302,562174,821814,1351087,3094585,4941918,10009129,19163162,89919102,336530585,350865958,683445543,1327482645
373799,400946,467652,558225,856076,1309517,2514079,4892604,10633986,19251376,89259371,330563988,351881107,683826721,1338736317
372066,393773,431740,564208,812325,1370933,2426268,5247577,10486697,19302681,90419427,336794636,352331897,684744183,1332674350
355519,399211,444820,650345,842853,1408714,2462170,5140648,10015149,19329838,89484754,314651153,351952972,687195827,1348532038
367624,380744,432604,585223,878444,1333433,2368436,5156197,11066807,19264063,89986828,337097712,351418653,683242378,1335724993
367414,408556,440819,606860,866776,1342956,3056931,5044108,9849839,19352719,89386351,316981397,351657656,684437417,1338101197
356834,405008,431161,615831,886877,1361282,2451375,5054747,10028473,19279403,89709452,315661790,352828595,684746720,1342677765
365080,399140,441611,599491,868104,1374330,2440872,4980471,11018114,19394588,89060293,315195351,354173018,685187945,1340925464
367010,392441,441397,594439,851110,1315813,2453624,5015042,9743653,19236959,90006855,335330387,352800072,686137085,1333227360
350867,395988,455303,617415,876657,1318178,2428854,4918508,10547053,19284797,89798267,313778533,353588960,686251956,1330155647
361888,392747,425837,600822,836474,1319407,2963526,4999798,10804889,19293517,90093414,333840342,351532050,684989790,1331086763
379904,386276,434474,570655,864098,1327952,2477830,4855521,9959450,19288238,88878312,315939357,352839628,683004804,1336176568
368301,399711,433709,573693,820998,1352831,2561492,5251680,10999107,19251427,92919561,315774432,351147998,684849756,1341937819
343338,405195,455133,584127,879487,1307810,2474727,5177475,10139336,19235648,89347827,317712025,352876009,683958065,1341163362
352394,397969,497594,607386,827499,1305994,2454617,5130618,9801652,19326899,89818629,315724239,350581673,684919402,1330530437
353589,400415,491889,591618,939181,1345209,2977010,5192657,11058167,19177664,89692656,314457974,355317823,684301927,1345194738
346348,393716,487264,583854,907586,1297494,2475008,5207117,9764338,19547179,89586714,318199505,353317600,686102882,1348373709
353736,396902,504818,587482,915282,1323315,2511406,5039907,10407276,19416393,89509483,333382801,353157429,686966806,1330387963
358772,398244,472448,596707,883608,1313257,2473087,4987404,10643303,19484972,89691121,314043075,352484632,686203938,1345990068
342145,393625,477281,578943,918703,1317856,2434704,4881318,9775313,19484819,89085240,326311417,351920222,684351913,1345712199
367502,392196,484011,583182,904041,1308305,3029120,4848038,10657814,19296770,89616967,315021213,353083777,685500133,1327156885
367221,402435,478731,584376,1164952,1323131,2444798,4794774,9984680,19350820,88972028,315306764,352566323,682942503,1343035351
370359,401301,483557,622916,895855,1314551,2484651,4811569,10029713,19452303,89606952,314167787,350901290,685466083,1345829953
351601,392407,483757,562196,916215,1340064,2494044,4730293,10677442,19433866,88820008,313952423,353030894,686553558,1339590841
378630,397476,472667,588092,854329,1312517,2441478,4723361,9880727,19218344,89620495,333902728,350590605,683878368,1335109124
362747,412459,489664,562477,842469,1301421,3058790,4673267,10513131,19330932,89153137,315365730,352190173,684569472,1342255996
363629,425339,472241,587152,795124,1360693,2520292,4694593,10368319,19342146,89674511,313820837,350841745,684626013,1339399521
361319,402228,472630,579750,839999,1336520,2480611,4660729,9857647,19469949,89140408,337530279,352526461,684729671,1340884667
350587,388318,462367,579494,833161,1324202,2491577,4662166,10785776,19427865,89556981,306497877,351780279,683204372,1336505406
336746,394985,473032,564031,819706,1327036,2475205,4667518,9757843,19403470,89049015,334667469,352207967,692643172,1339271550
