x86 inductor 16,x86 inductor 32,x86 inductor 64,x86 inductor 128,x86 inductor 256,x86 inductor 512,x86 inductor 1024,x86 inductor 2048,x86 inductor 4096,x86 inductor 8192,x86 inductor 16384,x86 inductor 32768,x86 inductor 65536,x86 inductor 131072,x86 inductor 262144,x86 inductor 524288
315601,404070,547209,381012,404411,738207,1774064,2686406,4977371,10774231,19742626,39240247,68727892,124807616,222104203,435345852
329557,404196,500195,364948,378398,733184,1018956,4120592,7200503,10788783,19518525,39102104,67998052,125087055,212987219,438694102
315411,386280,554409,386916,409423,694718,2366315,2803401,5672974,10654016,19858205,39297001,68622083,122451470,212745877,434502141
315260,380787,484192,388671,377429,758073,1737956,2530721,5533634,10804686,19645336,40114258,69088499,123079179,214415943,425146562
326902,388636,545061,366219,389177,652496,1063112,2522627,7210516,10878980,19829574,39206383,69063718,122086924,212251010,423241035
312351,382609,489151,399441,405779,740135,2347023,4031709,5734907,10873849,19844321,40030607,67992369,121978474,214770622,426453356
330059,402968,553151,364398,404700,730739,1750686,1846802,7449094,10685926,19863588,39160732,69680258,121118556,210676716,419884737
305187,400348,488349,330096,367810,649547,997308,4131023,7146974,10876650,19784733,40272174,68193312,122342994,214335448,426971292
312387,377936,539458,332396,392395,706349,2392874,3167130,5016598,10863589,19650622,39169733,69134930,122559346,217896575,405776283
312606,395279,482017,333359,363749,701392,1710837,5074281,6970481,10655654,19590592,40108969,68189262,123965295,219316436,401039558
305835,379258,525332,341747,376022,698979,1048792,3320151,5561468,10721492,19766845,39028091,69224503,122490925,219775108,421492264
316693,387391,474549,353050,392189,737003,2422218,2974799,5185315,10638027,19450435,40222732,67935323,125249617,220998834,419363217
309058,385764,527094,332311,367045,729413,1706632,2892093,7402732,10619654,19790746,39138436,69065459,123686015,220266625,424667283
304094,400321,471038,348601,379198,656823,1024755,4300224,6234350,10591553,19652872,40013055,67797430,120656379,221227805,419666977
320139,383107,539989,380737,375133,729164,2312234,1974517,7212734,10754959,19742450,39318126,69406959,121024743,214974146,421158627
298847,383641,462769,396649,365083,735474,1730134,4250318,7423441,10578732,19612043,40182401,68180333,120367055,218314761,416095490
318962,402071,541334,354684,374991,681981,1035514,3251494,5112283,10687783,19846681,39280174,68786036,121383296,213817333,420337786
303929,399982,472089,366402,363650,674284,2343992,4960259,6725021,10802816,19581891,40065546,67673092,120475609,214802209,430300801
311165,383417,538682,328650,379743,695963,2174859,3256347,5868908,10790066,19717243,39005437,68740522,122091667,214217047,421901348
315139,409220,468679,355926,401552,674512,1227079,2931721,5191948,10769526,19680648,39923881,68261254,120718848,214935907,426933563
307579,375128,521265,354445,393757,695424,2522210,2729131,6698030,10809370,19720708,39354486,69320562,120535031,217394930,418089835
312794,389380,477452,341062,386774,682362,1884226,4171205,6099141,10716955,19618692,39841031,69987054,122811863,215738033,405754488
310692,406195,537779,333538,396234,674134,1077045,1891384,7334211,10689508,19603415,39728902,70045045,122285691,217526562,424225248
300029,407611,473694,370991,398833,694335,2398427,4768406,7559498,10647448,19697578,40253664,68685928,121835496,215777884,420707309
306408,377710,545254,337641,371116,687812,1853856,2593893,4890289,10955207,19881877,39791215,69999387,125265006,218434321,411356145
300139,398029,475442,353269,385874,602007,1077066,4049427,7129184,10744191,19567072,39861407,67721326,121306579,205874957,406872751
318801,386997,536288,356873,381622,674248,2418331,2705039,9306300,10611882,19649131,39524179,68785351,125289743,220680491,425212251
296216,389904,468271,340806,388559,669678,1770091,2450535,5552574,10724046,19585257,40239740,67062256,123322752,212409357,423035316
304787,405454,528854,351229,375396,684225,1036568,2492069,6883713,10801383,19781327,39660488,68213734,120337691,218368183,413834046
300525,413632,467345,351194,372829,676069,2429532,3835237,6049863,10661261,19432103,40129367,67334988,123803675,213876444,423665077
301063,391969,517371,366102,370565,648798,1767069,1708971,6985790,10785140,19753900,39607971,69447050,121258478,219279699,431045988
305536,402700,459369,352619,369822,647236,949817,3966008,7528865,10743577,19532402,40025972,68676539,123190725,216304295,401814107
302778,389957,526157,353689,399802,675095,2473242,2476508,4998401,10694314,19796086,39806821,69186949,123260591,215357145,430991268
305675,417446,457393,352609,391739,697863,1709493,3962926,6964004,10628762,19602070,40187353,68985870,120445049,207988868,425101027
305805,398829,524530,367416,375258,660538,955235,2659748,5878383,10806009,19844659,39749841,69141007,124067476,216339370,427001780
308205,410057,464008,362989,389157,552341,2496717,2370369,5324456,10630001,19689693,40010811,67928185,120433944,215061390,421854070
301378,373718,523165,341618,377144,535286,1699594,2414754,6806111,10790872,19647365,39707305,69346655,120240313,216129375,431641451
296465,415020,462529,360859,387212,548209,963873,3856981,7283752,10813615,19792979,40030908,68856332,120416437,214556819,425534320
307340,387647,521443,342913,369569,551658,2517890,1737257,7448689,10598954,19902124,39563605,70172779,120575591,216915547,433361880
294356,419547,480593,356411,394329,607040,1701664,4009689,7099419,10560612,19673110,40224772,67154069,120889943,217428482,427509659
304113,395719,511496,353272,362638,556363,902122,2468522,5000108,10786727,19935491,39885684,69531353,122184548,222724646,419432507
293162,410835,475415,364346,367532,544726,2487347,3852748,7269950,10759594,19589591,40349190,69055977,121452936,218463275,419503385
304926,394413,514369,359909,356205,534497,1718825,3176336,5772174,10677759,19867629,39071663,70383949,122238758,217620353,423432234
307155,417980,463297,370738,364539,506361,908936,3239331,5553909,10860937,19783786,39696706,68272752,121767843,215287358,418746207
303969,399993,541427,330955,417433,553882,2268816,2986150,7405460,10628509,19903523,39087685,69903296,121450351,211415270,432220396
305953,405203,462663,353661,423300,584133,1699982,4355260,6250258,10786847,19639211,39864806,69640563,121749993,212335118,402319390
302022,406429,504018,355857,415254,622554,1004677,2098762,7389050,10892534,19624787,39170220,68980279,121228896,201904653,420342882
295612,412892,455089,364325,419740,650477,2243158,4286362,7385252,10756411,19616352,39887241,68773859,120068894,212392018,429215111
299677,395041,515912,340724,403932,593630,1688783,2740627,4959031,10740489,19605180,39208808,69787792,121900762,212414519,401173974
297264,397222,452813,355611,405235,607811,953242,4043685,7486072,10956111,19632684,37551215,69199399,121341505,213080981,413764119
311013,383182,510423,335303,382086,585997,2296048,2798351,5954115,10731246,19758448,39020439,70010646,121185707,200751745,423144450
299120,413076,445158,352579,400565,594364,1668209,2570293,5672863,10773753,19715709,39859914,68810867,121490925,206276810,414661452
310522,388467,488588,360418,370725,585729,975343,2502712,7387466,10862066,19794775,38433172,69364014,122862637,213098747,423911285
294547,409272,440673,370219,388851,639255,2309909,3855083,6208101,10689598,19839438,39745687,69250414,122778992,212342075,422996022
300371,387780,499582,349971,406166,623570,1692281,1809960,7452804,10855800,19346435,39139554,69244168,122454116,205354516,429061626
300553,432829,439270,373801,379869,593829,968826,4058021,7329600,10834074,19622261,39725539,59855645,123021573,216053675,422515968
294452,391892,506795,352203,648837,610683,2340501,2465304,4975360,10817785,19870496,39140923,69451085,119936785,210187608,427194869
304822,398902,451665,354847,652183,617375,1644017,3891733,7488232,10843957,19729113,39706913,67951561,122513552,217177649,426545751
303912,383895,514675,352486,630238,606601,932228,2624153,5889760,10773767,19655426,39208674,70469490,121117650,207368236,403996822
299761,392615,461042,344974,614002,605487,2318664,2403819,5609248,10822815,19677201,39736976,68089032,122567044,216795050,417669773
298787,389115,508847,356948,613442,628554,1703267,2403528,7432038,10841485,19689427,39234840,69233166,120325577,215121516,418471418
293116,387289,435205,364976,562236,607802,961794,3842339,6237820,10802181,19660965,39961758,68236997,120053174,220413475,409796475
314653,386521,493698,354530,595083,620734,2342123,1901920,7504947,10774962,19876056,39079683,68462316,121611875,222855707,426454610
294215,405970,429076,357872,584525,605729,1698076,4074825,7353643,10617178,19600782,39846396,68249190,121598939,214409058,426466015
312944,427146,483967,369279,518103,577707,917609,2533648,5036389,10844968,19737751,39170671,69267145,121821389,219678639,425512025
294505,421394,448168,339614,522488,563230,2340860,3980846,7203759,10847084,19287593,39851193,49370518,121391935,223292152,424486641
304687,386147,484379,350979,488323,481630,1694806,2694575,5874218,10782528,19572516,39364184,69081899,121074430,225479478,415574165
311038,406866,448104,370788,486676,494196,925872,2496415,5244701,10744769,19602549,39946779,67626702,120753334,215863825,430087001
299408,385153,509256,365332,486544,565694,2343583,2541718,6641568,10677956,19506444,39608879,68575480,121060593,215347231,423506713
303498,404656,434592,359295,475749,519738,1671470,3962577,6066137,10789175,19185306,39714319,67639855,121533525,219099267,409612341
304851,392048,502436,354072,498974,495050,941675,1785917,7002158,10638738,19384883,39368623,68725731,122266347,218936934,430571177
298874,415921,427415,347622,488472,503638,2360969,4182612,7456702,10568604,19422022,39734067,67938314,121086250,220839416,392481466
