FP32 inductor 16,FP32 inductor 32,FP32 inductor 64,FP32 inductor 128,FP32 inductor 256,FP32 inductor 512,FP32 inductor 1024,FP32 inductor 2048,FP32 inductor 4096,FP32 inductor 8192,FP32 inductor 16384,FP32 inductor 32768,FP32 inductor 65536,FP32 inductor 131072,FP32 inductor 262144,FP32 inductor 524288
472795,429565,459966,421849,423110,781538,1778307,6180793,6052932,12567386,21852667,39201485,74225470,132183117,236715200,435174564
482780,427051,469964,429180,449374,705314,1080291,3511029,6906291,12606589,21850173,39243475,73834886,131594839,215139839,425949751
487350,424138,450222,435161,422649,769670,2277877,5846918,5816994,12594589,22043015,39110070,73669178,128914320,219506264,428366941
419632,436618,463222,438952,431933,719881,1817808,3391354,6740735,12692853,22035255,39219252,73715016,133092193,234205234,432495214
420889,445682,433626,428321,440447,760262,1091671,3261878,5971285,12416628,21911199,39150843,74836632,131735176,217681399,435314645
429371,426942,441826,418493,438444,743576,2255554,5649608,7199264,12483756,21947827,39136137,73918120,132333618,234179104,436946284
441425,440101,453424,423475,431565,691218,1794301,3117119,5913100,12420192,21771166,38799528,73800014,131389268,234874646,424351361
431556,429124,445864,413823,446721,702282,1561951,5670642,6872891,12490702,22088906,39035200,73549346,133549481,222054559,445128745
452011,433652,424839,424718,425986,703795,2544937,2918359,6022837,12553928,21635600,39026852,73779056,133269713,221954069,422637414
417300,435083,438717,434763,428318,700920,1959442,3148315,7826289,12537365,21916895,39148050,74451065,133801553,235129334,440846841
355351,445177,447645,420857,425197,706205,1090603,5298216,5928075,12561646,21734513,39068808,74377958,132979984,218100654,424890742
332433,430179,432388,442025,452546,710955,2316100,3035581,5146529,12416636,21934150,39155114,73611354,132891936,232184229,444559950
317878,427382,443772,428040,417010,704795,1819151,5314529,6597649,12364966,21879432,39138907,73012575,133294559,232348734,456441376
313713,441704,427285,424391,419422,795006,1142287,2909827,5879329,12567014,21865249,39193654,73733525,130878884,230780082,456813377
319801,430962,423161,413833,424526,698449,2367690,3060693,7049218,12634600,21885887,39123902,73569104,132445341,231913676,449426704
309260,442137,429644,410506,425221,701903,1906251,5807250,5865330,12339564,21879015,39037877,72504102,132588436,233141879,442458990
320444,456797,433219,422840,460099,676216,1112775,3127599,8161442,12574763,21750152,39072394,73145996,132515246,235160298,452251615
312809,441092,453937,427995,415929,699861,2281720,5193449,5912126,12397473,22028363,39164865,72744040,132976452,238090046,436301993
322663,449157,447821,428231,427256,716461,1845590,2885237,4530955,12546163,21833302,39231640,72907613,132645409,233711916,438161292
374146,417955,448775,432818,431565,696141,1134026,2945018,6490517,12574245,21919176,39161236,72305707,131256181,233731111,437069786
325109,429570,448975,431080,439267,700729,2418604,5062953,5642156,12577714,21968088,39136650,73131323,130672176,236646048,442287449
321473,429680,597275,1422425,441774,737730,1786851,3061126,8068852,12505671,21915335,39297932,71651386,130420815,232909145,429331804
317076,428815,439209,426153,417359,697985,1079996,5156073,6321236,12262956,21645500,38982132,72869290,130189206,218836483,440731449
320720,445567,456979,428084,437684,719721,2407807,2736555,5916227,12332656,21667555,39208686,73002337,131306786,237524783,443440417
333464,448307,498067,420004,434353,690070,1811939,2723805,7658301,12295893,21791300,39340885,71965595,132982590,241012080,436627899
308471,436762,454027,413032,450629,766353,1069389,5098762,5867544,12326125,21748357,39192232,73009560,130913009,239552875,434731778
326145,432364,462988,432282,429766,687289,2536465,2742958,8742723,12220149,21586704,39113017,72546821,132328100,238043520,435501670
304809,435533,463052,425441,439900,692950,1798347,5153543,6355343,12303129,21623723,39205839,72898564,131061619,234881018,461897703
311345,418104,446195,418759,420770,711148,1192591,2680728,8999752,12326672,21725038,39200320,72425527,132369840,236243978,430243554
311807,419991,442649,416439,435606,696499,2550118,2684820,6363355,12312697,21729429,39300421,71969745,130078811,232806540,404683309
304967,419815,441556,413584,413705,731152,1811592,5104501,5782549,12381702,21681002,39148676,73218224,133559512,240233286,435794858
308439,423611,440231,419956,436704,704153,1103401,2750584,7756794,12213872,21764592,39293183,71600612,130656596,234807646,429133189
303529,425564,484454,403539,427436,808398,2436226,5194014,6375686,12329869,21803697,39343568,73402776,131423381,237455958,452497543
301657,472928,424976,411195,426654,738743,1807893,3537951,7646560,12335649,22388745,39328957,73137343,132209610,235995001,424077127
309145,552719,430505,414809,421406,769970,1080971,3414621,6271779,12096062,23752635,39549478,72719498,130914107,217532199,436006009
308051,508325,450141,429601,433247,723103,2586885,5703250,5851503,12331354,25201670,39317048,72297074,132360383,220242615,408258041
306246,484071,441316,413976,432313,814505,1799331,3217211,8340426,12218800,21716202,39137214,73058317,132267229,232754920,414192676
