b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
28658,38113,31243,37018,42619,42511,47377,108117,238214,558665,1004238,2896770,5791482,20919931,22668936,41927727
29126,36731,30724,40512,44157,44025,50650,118515,233453,538758,1003340,2920304,5820063,22640263,22757172,42188310
28552,37253,31430,38255,41878,45408,50694,97153,256675,522368,990338,2910616,5813511,16879292,22992832,42011037
27002,36434,30627,40549,42907,42807,50755,105137,265771,551508,1029566,3912045,5874759,22658806,22599825,41299747
27389,36654,32629,35658,41874,44507,57785,99230,249870,535099,1006597,2927217,5867992,17578874,22924919,40387934
27703,36566,31094,38855,44058,51785,55069,110155,241519,551006,1001361,3875493,5827552,22536333,22625511,42696524
27342,36890,30827,37752,45572,46054,49737,139689,258481,510603,1008897,2918279,5814197,20316050,22640490,42656680
27942,36712,32024,47670,44443,42878,58325,125666,215938,523726,997492,2942301,5836507,22518309,22511657,41995897
27391,36635,31742,38173,42390,40870,53076,139247,251616,565214,993719,2907638,5897106,20211883,22768899,42859137
27849,36682,30435,39878,44708,45517,50672,108076,182249,517591,991120,2903927,5838647,21897251,22767643,40920166
27827,36971,37784,39519,43659,41594,62972,103228,201892,557255,1060160,2962934,5823223,20244483,22656548,40173953
27292,36971,38980,42769,43105,42997,58190,100123,213654,562286,996586,2903923,5815024,24953798,22637117,41047981
27365,37005,38932,41229,45905,41739,51625,97442,253787,541756,1003485,2899417,5777668,20160205,22760313,44040805
28944,35168,37707,41072,42878,45361,56960,135175,217140,585226,1003951,2949815,5893239,24787896,22733321,41299722
27904,35110,30091,38772,45214,45995,49786,90018,209806,522533,998917,2910892,5635225,20213631,22617763,41140710
28111,35029,31764,40512,44425,43955,60018,106248,217102,539777,1007244,2908087,5545907,22485615,22700716,42619539
27280,35077,31306,38159,46812,44760,59433,106588,182533,545804,1000217,2955417,5650368,20347561,22812430,43255321
26408,35250,31821,44287,44178,43324,59072,84673,259520,519049,1004105,2900881,5455196,19808821,22768020,43501572
26443,35058,30942,36186,44588,41129,55974,110102,250343,549035,991206,2911981,5829752,20290177,22724080,43239227
26745,35026,32095,34801,45293,44337,52694,94781,223805,518997,999386,2915265,5669539,22503496,22339001,42749925
26745,35194,31915,36329,43261,44347,52785,117571,208995,527525,995403,2915922,5821917,17272807,22254093,43336297
30549,35170,29500,36578,43749,46708,57773,95714,282333,519985,1003681,2907301,5792217,22676026,22195054,42765529
25932,40848,30022,37818,45821,43688,54916,106182,230233,523560,999517,2918706,5820102,20310137,22728645,42376509
26622,37263,37257,42441,45711,45732,54075,120391,158740,520649,997309,2875045,5800199,24715625,22213502,43740280
26247,37240,37998,36163,45502,42473,59627,107097,265408,539391,1005520,3927376,5640178,19452299,22166529,41309465
26810,34970,30453,36192,44056,40910,51494,109392,209714,517757,985987,2896349,5814276,21942173,21872932,41388659
27057,35212,29426,35299,42448,44691,52806,97495,229010,526531,1007427,2927517,5805236,18535970,22221930,43802860
26853,27877,29276,36400,44030,43411,52236,95460,186934,521852,1054553,2890819,5854348,22515000,21519372,42899780
26254,27754,30936,35923,41281,46249,55221,109043,224051,516975,999336,3916561,5895727,20113457,21568463,43076472
21430,27879,30753,34809,43139,46405,50323,108249,168275,548864,1002898,2937084,5835154,24811080,21958187,41985167
21428,27900,30403,36731,51333,42354,49273,112107,236420,550913,1006446,3021206,5772645,20277587,22045449,43283317
20987,27920,29661,59648,44741,42320,52872,108127,214908,540247,1001137,2923394,5959786,27887076,22051492,40967600
20214,28057,30588,39083,42699,44105,60596,102517,208590,524916,1004620,2901080,5898427,18309005,22061527,40997136
20089,29057,30498,36950,43714,45990,50812,117811,170431,519656,1006147,2963315,5831056,22594042,21974203,43502796
19821,27904,30336,37913,43531,43640,54492,104470,216853,509638,1006881,2973932,5838607,20629126,22071983,43487891
20330,27910,30154,41065,42697,53073,49878,110565,152351,545840,1008448,2904399,5743212,21288984,21526074,42894974
19722,27846,32518,37037,43185,43832,61602,108691,237578,545890,1006385,2905143,5991917,18608511,21445264,41821758
