b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
6573,5221,5328,29513,7893,8467,13664,25799,41146,82590,162926,383672,912963,1836893,3221410,6983167
6061,5227,4556,6274,7556,9574,13453,25471,41383,163206,167246,386998,906512,1768181,3518939,6926204
5918,5552,4630,5746,7402,9251,13627,25904,41392,92029,165787,395935,900363,1567131,3384663,7008237
5875,5270,4599,5558,7290,8403,13399,26642,41770,79225,159727,374292,887386,1448253,3509193,6630539
5945,5302,4619,5886,7543,9742,13413,26488,41445,80844,157781,388491,784025,1514010,3069608,6489706
6130,5234,4482,5858,7466,8490,13489,26163,41385,78499,165282,387147,897346,1821503,3360584,6976748
5935,5306,4481,5525,7392,8106,13607,25791,40994,79220,168178,383511,891631,1615013,3060512,6455781
5912,5282,4707,5636,7410,9369,13427,26208,41616,79188,162721,394369,889102,1645774,3509904,6926203
5772,5096,4578,5568,7235,9426,13437,26131,41281,79679,161748,380646,773900,1601297,3124947,8513315
6062,5436,4655,5587,7292,9343,13348,25538,41334,79999,166112,389782,783561,1810839,3184907,6233626
6158,7075,4509,6198,7115,8325,13440,27280,42038,78183,161063,386179,872239,1603185,3154926,6900154
5802,6579,4673,5651,7340,8110,13541,26188,41597,80975,163897,385421,751290,1787992,3260780,8031116
5924,6246,4783,5535,7332,9393,13798,26406,41149,80635,164869,386235,776065,1574491,3514835,7418217
5987,6464,4961,5837,7211,9415,13338,25901,41347,79577,161398,392122,797084,1786437,3222411,7361160
5905,6363,4567,5578,7201,9265,13413,25826,107411,79587,159415,388815,867883,1587234,3152200,7043289
5858,6284,4539,5650,7323,9270,13415,26188,73493,80340,156127,390998,793189,1777884,3413484,6731629
6139,6583,4687,5547,7321,9259,13266,26580,52997,81238,165064,380914,786867,1610918,3399338,6348056
5737,6353,4662,5644,7369,8476,13403,25855,45082,78185,165201,380124,783519,1746314,3283179,6749399
5814,6437,4727,5723,7481,9388,13382,25416,43371,83490,168952,390110,755193,1598685,3056142,6781804
5523,6526,4592,5476,7233,8300,13260,25325,51106,81249,161901,392701,875781,1911890,3200645,6750843
5472,7637,4494,5377,7251,9503,13558,25752,43160,81996,164590,378998,885505,1442810,3282060,8163056
5685,6339,4504,5915,7197,9548,13725,27022,43453,80218,163896,380798,893619,1456813,3205154,6777926
5529,6160,4540,5309,7103,12821,13394,25754,60427,86781,200905,366409,794730,1453279,3486452,7234809
5757,6249,5063,5749,7563,8436,13381,26504,45036,81411,160468,381852,885373,1500693,3268788,6744446
5528,6003,4588,5523,7267,8411,13622,25350,44602,87929,163793,397607,887653,1486150,3286835,7022704
6371,6687,4502,6005,7315,8554,13408,26275,52542,81003,168476,383721,753736,1516615,3178124,7976755
6162,6381,4433,5293,7167,9533,13409,25183,44899,78780,159035,385815,888656,1543172,3524197,6984154
5821,6299,4480,5440,7434,8304,13481,24963,45215,84538,163264,394249,901943,1517470,3225317,7340975
5760,6272,4436,5266,7576,9344,13502,25106,45014,81131,161143,375038,876012,1511195,3392476,7255819
5676,6272,4373,5285,7257,8303,13325,26343,44842,78686,163316,387447,899846,1534033,3207219,6187654
5720,5996,4448,5377,7273,9546,13515,25569,45375,81207,164501,393988,874862,1532058,3510345,6888595
5720,6228,4473,5587,7368,9566,16553,24488,45048,81151,162836,376166,759873,1541573,3208360,6756675
5785,6075,4525,5347,7198,9225,17810,25072,45747,80006,162276,403655,895413,1475675,3211124,6984075
5660,5889,4550,5240,7194,9224,13928,24497,44795,85497,162524,391104,798192,1446346,3252696,6794148
5607,4789,4746,5250,7527,10679,13771,25517,45342,80652,158855,398272,745399,1485864,3502723,6953264
5506,4787,4631,5294,7106,9399,13665,24818,44687,84677,169021,380331,792641,1518277,3252583,6911584
5844,4870,4515,5246,7401,9416,13453,24562,45729,85759,160465,379365,755041,1471082,3228901,6925727
5805,12071,4480,5336,7408,17870,13315,25167,45071,79886,159826,369907,764820,1508386,3284473,6612461
5787,4932,4644,6106,7588,9521,21151,24651,45466,81352,162026,378242,790457,1515834,3490204,6885092
5371,4695,4534,5376,7394,9252,13462,24545,45271,80721,168507,397579,737494,1514747,3223903,6317090
5562,4732,4482,6673,7517,9199,13770,24952,44468,84277,165826,391822,893343,1594847,3211171,6847487
5493,4692,4587,6461,7181,9266,13523,49441,45070,81437,158415,383211,887632,1743134,3225097,6674467
5513,4872,4377,5860,7432,9551,13553,28399,44903,79766,162834,397171,881644,1478541,3506634,6973591
5724,4914,4402,5802,7262,9499,13418,25952,44547,82152,164149,388227,730644,1728150,3241392,6890195
5509,4939,4442,5580,7268,9526,14021,25119,44838,82257,166851,406490,777612,1615208,3209819,6889520
5542,4822,4474,5459,7462,11528,20575,27294,45300,81971,161332,380690,763953,1930244,3291308,9681304
5380,4734,4365,7928,8259,9083,13431,25826,45048,82182,164477,392452,745067,1527320,3093449,7011309
5427,4830,4542,5937,7641,10196,13430,25617,48051,87193,161416,384536,889108,1763781,3325560,6339271
