SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192,SHIR FPGA b16384,SHIR FPGA b32768,SHIR FPGA b65536,SHIR FPGA b131072,SHIR FPGA b262144,SHIR FPGA b524288
344171,328444,381284,505616,661332,1017780,1853231,3615328,7715455,13611043,25923576,62213445,122390853,241103531,478437054,946229900
323752,326249,392654,486909,667554,1016321,1874498,4932261,6855637,13879475,26174961,61532303,122921396,242477153,480699555,939920820
341089,338869,388022,485283,665031,1012054,1851554,3550092,7442187,13098781,26127035,62156644,123012310,241022157,478134870,939030131
334685,319082,403932,497446,682365,1005536,1849777,3554749,6723084,15653844,26346728,61694688,121744817,242541064,480756032,954358439
321686,325287,367782,490961,678893,996384,1809356,4337037,6481511,14067358,26214186,62125421,122360935,241372914,477153716,949334070
329053,332076,366358,478997,672627,999477,1829920,3499607,7546632,13099176,26207522,61633038,123170188,241410616,480375954,943293878
319058,332703,383249,492874,661201,1004291,1832860,4865900,6786077,15744647,25801197,62315833,122322165,242660388,476757840,945471777
323762,334243,361289,475336,673359,980772,1837082,3474906,7284320,13742366,26178849,61327831,123353309,242055907,481330626,952707250
328109,328730,374195,477679,654684,1006805,1803498,3554720,6656643,13576400,25967718,63023186,122420059,242348929,479270731,950546728
347473,322931,374130,474511,657850,984052,1808878,4319533,6740804,13740763,26372364,61605343,122425670,241848101,480222454,946839893
341206,338839,369401,492353,667191,986330,1812101,3481730,7280621,13549319,25696486,62737616,122402524,241929897,478919899,945900793
320620,333978,373279,480218,690505,987914,1814141,4859058,10444279,13668044,26391158,60982726,122573314,242695733,479799678,942433775
322420,331747,370947,482361,688863,975790,1859683,3396858,7666971,13468379,25736433,60367441,122428631,242768189,478638408,952816013
334267,321520,371198,467210,675657,951791,1797068,3434408,6693308,13798933,26196556,59711761,122839209,242516027,480170364,950701902
322111,335430,373288,467640,656538,991478,1847082,4071230,6834135,13149224,25924202,60901359,122722993,241768965,476985550,940560875
306354,335591,371758,465536,656941,976130,1843494,3376532,7578867,15578416,26345811,59617968,121767777,241250654,481602195,954731982
320840,320877,395706,466527,615232,987764,1840248,4373306,6993419,13907850,25715811,60582488,123044988,241894563,478510074,953711465
314725,330721,375098,473225,606789,949495,1825645,3332196,7548040,13147167,26169389,59643852,122146602,241979615,482986501,956262859
311868,341573,382758,470150,621996,983671,1829314,3596075,6872381,15814992,25746277,60497056,122624885,242202148,482318163,941006110
320298,332289,381236,462203,639417,978281,1845935,4351723,6667204,13948962,26297093,59468899,122680793,241880021,482797567,951050142
309407,321062,379782,471447,637934,978806,1835315,3458386,7490110,13098683,25849509,60723774,122658792,243177577,479697563,945680393
313371,317517,387432,456964,636756,963568,2083471,4632705,6822062,15618800,26154301,59834529,122147103,243109148,481489839,949682254
318464,332695,381933,463355,643867,975777,1870926,3500258,7568080,13747696,25795130,61744609,122037037,242730635,479234654,958891904
309241,325810,372005,456249,793080,961753,1843331,3515673,6636737,12963784,26118421,61904274,122482921,242613516,480943801,965863576
325607,323834,381776,460888,618725,976570,1810533,4147217,6861632,15955173,25910866,62284847,122318717,241550426,478332162,970883511
311345,321431,375576,460937,644090,960577,1853443,3460978,7593447,13795040,26597823,61972667,122645817,241979554,479791317,963303191
311226,330291,375556,460848,643890,1001115,1872669,4517250,6931711,13590731,26344496,62150190,122181705,242894478,476686252,933397734
318776,317805,384793,448927,642515,964961,1848343,3339599,7585813,13803199,26777910,62628306,122721001,243030942,480784710,951000291
305312,314880,380058,475156,636132,993623,1839333,3446324,6925805,13540517,26345021,61649872,122086169,242503848,477356764,947690507
307454,330217,358238,457969,626032,985584,1806821,4127364,6755868,13641532,26685806,60653906,122677635,242383945,479912070,935048910
321960,979249,382214,455091,634443,977563,1822354,3383493,7554799,13598975,26341984,60401284,122478595,241446968,477608378,958231245
295764,324752,379370,461343,640978,963881,1887562,4434261,7431533,13835896,26712716,61816184,121917363,242864722,480715858,946141478
296855,316794,376699,450820,637526,975685,1825596,3312744,8014961,13504915,26386694,61655018,122340354,241984943,479062886,946282397
303444,321752,405086,443218,623797,956808,1831351,3398858,6981049,13843632,26997452,61976855,121954982,243016042,482000954,950421030
302530,320025,396412,459382,662829,1001217,1806395,4083565,6835972,13570607,26462479,62132324,122073644,241984546,477628738,948758000
307351,309008,389820,446135,631599,1009167,1830061,3554224,7532249,13852936,26595571,62445436,122029991,242891715,480721896,951180837
296698,321503,396986,464694,644571,1004820,1808342,4668638,6872128,13116939,26323954,62188391,122120008,242615659,477342176,944095651
302336,310647,391086,452248,631669,996287,1808815,3526650,7540313,15587990,26847904,62207662,122104297,243504100,479441806,969189300
305818,315211,385479,451554,633187,998914,1868107,3559994,6940274,13825039,26170298,62269186,124752379,241666096,478636757,952056073
301884,310053,367733,449296,629366,967407,1820860,4409545,6818309,13350227,26580729,61781530,122415430,243204762,480265046,944478579
297126,324235,380708,448079,634280,998954,1788755,3506044,7388462,13896872,26280050,62274575,123809310,242810064,477689751,940100909
313956,309256,387804,460346,622420,975904,1872437,4956564,6687685,13354723,26707765,61940119,124778044,241718735,479702171,958836092
303966,304969,375965,445896,633863,994671,1857380,3482435,7409868,14061262,26162940,61813369,123018910,242557273,477202759,945676397
314157,322552,364893,454659,636668,978850,1853548,3579775,6693094,13193530,26764493,61753105,123690305,243026261,482061416,955010392
296262,302461,377177,462715,695491,1004200,1833945,4363752,6552831,15660927,26387510,62257307,124566088,242549662,477713275,949690773
308284,318123,364503,437143,687191,971302,1842524,3503037,7059118,13739716,26828133,61746708,124057809,242142652,479573637,947240811
317386,317304,374255,458315,683779,980314,1887345,4928348,6480679,13476932,26476629,62132209,124211672,241649532,480341819,969759897
299111,321746,371466,439415,660876,956169,1815724,3518945,7140376,13795151,26892920,62207900,124310625,242751941,479632165,954494301
306752,298861,377711,453559,659213,979980,1847945,3703303,6711552,13554392,26271547,61428506,124238002,242909215,491812709,945370381
299088,307324,380037,442079,658332,961171,1831603,4565655,6491596,13766898,26804335,59933124,123435630,242466321,481174606,953247066
299322,322557,380901,470793,669767,990969,1863146,3582544,6993220,13552511,26367879,60164000,123436872,242172359,478649352,957527689
304812,305731,384803,492824,682307,1023270,1867440,4994172,6524503,13862837,26592906,59759951,123738330,243463158,479573665,951111947
287816,299176,387932,479995,664054,975177,1836107,3483173,7081291,13150613,26135695,60161060,124044623,242483943,477683009,946019163
303560,316506,374811,487736,660966,979606,1843851,3643855,6513451,15404614,26787407,59575715,123529123,242667983,479023899,946727093
300771,291251,385158,459310,664407,970899,1803744,4705802,6578388,13964231,26274533,59906831,124690324,243300895,478118630,947107225
292729,301116,361586,454300,680828,951929,1853237,3650000,7157570,13233931,26689150,59766681,124330136,243093993,479656269,944860218
299955,304130,381340,469413,625971,973910,1857411,5079060,6472293,13969822,26233059,60118728,124570838,243190311,477612728,945161214
294726,311911,363162,492336,650607,978873,1848797,3556482,6952563,13284439,26417567,61005313,123356952,243403663,481175041,945251451
295814,304137,379597,460484,712192,964610,1880107,3664608,6572554,13864549,26378112,60834065,124328385,243339066,477234311,945973435
308301,299237,378387,461130,634663,955157,1849024,4435812,6384223,13239567,26870398,59774699,123878879,241850291,480161664,949252625
291109,301700,377922,478308,636645,954101,1851757,3552825,7289232,13942141,26309840,61782412,123151818,242141268,477358276,948382278
301157,296789,374060,472196,642381,955459,1853472,4947995,6659191,13059281,26737727,61838818,124113663,243154795,480367120,951264142
298418,298094,390088,474051,647562,963166,1813380,3512218,7177785,15686553,26260011,62460218,123592235,241755898,476775353,969344274
299057,308227,400428,466062,622975,980200,1810049,3576202,6512926,13699013,26791889,61717091,123464353,242618429,481503850,939686737
301949,293536,373868,456464,635958,965716,1811504,4280480,6283653,13410445,26248780,62098557,123400511,242088640,477311435,965534192
291987,311197,374201,461775,627175,1065886,1822190,3458563,6921514,13657510,26568444,61438165,124097062,242507393,479943224,950141647
302484,295895,422469,474154,634315,1242550,1832821,4860540,6751968,13541479,26223210,61865173,124019704,242540902,477726383,957532465
283659,300394,396531,470958,650260,990017,1845679,3473517,7322554,13559870,26258941,61894150,124011721,242345944,479268545,946500375
284209,305616,384090,464421,642778,957418,1872316,3509420,6673603,13013925,26366548,62390929,125911657,242126832,477978491,948197537
294468,304403,384658,465002,640602,954906,8274460,4148162,6500560,15770548,26748460,61361387,123728705,242498449,479114636,946618921
289402,288895,400459,458331,652284,964818,4769719,3406229,7183145,13924085,26208966,62328397,123924175,242409208,477309826,947616317
291209,290235,372568,454338,627425,954515,1851102,4436933,6667073,13077243,26583471,61686309,123406155,243582847,480489154,941895297
285165,327666,383072,483679,667432,960696,1830605,3350140,7383068,15931569,26344384,62600215,126189867,243019665,478018510,949683660
287956,297013,373210,479547,638580,975480,1833732,3629042,6828358,13906993,26085089,61807597,124520928,243222213,480813484,944076551
300393,291034,384110,494594,627692,984998,1808599,4458246,6604263,13382796,25921730,62574088,123151182,243297159,478853851,952568275
281333,297093,372487,480572,635422,948536,1800058,3526520,7367276,13783185,26426760,61949636,123916733,243132318,480711980,943151425
281425,299250,388665,474955,637632,972015,1826125,4644335,6659286,13397711,26384531,62402887,124358898,242526641,477996275,937027135
282351,291975,391191,461234,636129,941912,1800554,3396320,7417137,13874224,26499824,61523528,123856631,243148193,481347148,950195385
290716,282499,394393,459471,637727,966904,1833983,3527753,6779927,13461478,26519942,62721868,123672376,241852174,479918132,938416781
290670,297315,380012,468825,639321,953733,1770525,4390932,6618869,13885684,26102045,61823675,126515565,242755930,481144595,949500578
283578,287069,390970,500047,635827,966870,1815841,3496087,7162753,13469614,25715341,62110873,122528443,243927130,476857214,939695463
291354,302704,374098,474986,631940,954931,1812815,4655039,6515089,13749049,26533024,61973772,121169274,242798527,478762396,942677949
288157,291358,378608,472668,665457,981499,1818441,3406863,7066518,13040044,26393405,62120827,123148820,243062988,476110851,939631009
281068,285013,378819,479250,628866,967701,1834236,3491385,6772439,15725629,26103063,61745914,123123906,242917486,478682643,939042896
286927,284816,376078,462623,640119,958064,1800203,4222606,6546274,13922123,25919230,62484982,123257453,243475977,477224548,947086185
292065,315719,383027,477426,624442,963106,1782283,3399706,7340383,13111050,26580648,61652719,122302409,242808544,478158962,947682914
290417,286037,386327,469492,650859,966937,1833687,4553594,6533103,15839430,26610318,62345736,123364422,243114484,476450274,951840466
278955,288394,375594,458591,671111,963058,1784380,3346736,7268998,13735413,26684384,61805552,134742465,242839692,477780353,957878958
280198,292296,377598,460235,671803,962311,1807148,3467779,6590389,13545464,26457228,62286074,123087922,242147276,476752583,949765449
277021,288239,376007,483205,678943,971483,1830680,4522909,6636430,13950104,26015935,61787009,122739205,242187498,478169791,953125704
282112,291179,386028,471019,667464,1008470,1777089,3636531,7370375,13488455,25919135,62436979,123372278,242822832,477842448,942902872
281307,296712,389701,449772,655057,1005377,1832227,4859776,6737538,13732283,26047707,61747079,123524030,242903593,479177263,941588063
277528,285649,388718,494319,661191,995813,1795140,3478346,7000318,13150131,26026983,62201063,123048064,242012493,477526443,938722179
400520,312121,386976,523673,662023,985250,1807460,3578755,6417404,15779721,25977511,61624209,124228754,243066965,478910024,938531150
326879,304093,385435,522504,674649,995461,1765070,4251919,6278425,13889456,25668615,62673130,122111080,242563281,482264952,946249059
248882,288407,381730,476030,656968,987679,1800938,3534642,7288339,13044652,26104777,61843869,122640002,243191526,480030658,942125752
262580,283969,388682,468550,675807,1007084,1851556,5151222,6613389,15784449,25914492,62167089,122507000,242671382,487824263,939295726
243785,311824,363224,473522,705326,991313,1809780,3563108,7107112,13774570,26935224,61786030,123823286,242338219,480412831,947067323
257126,279218,375932,470084,673231,1000163,2075985,3661358,6467682,13049403,26422491,61746451,124014174,242183525,475966262,948635954
248625,285304,366925,468586,647259,997212,1910443,4386527,6458495,15726694,26639381,61233616,124274071,241893916,479846707,963412474
251027,288689,404701,468391,665423,987155,1784557,3503692,6940059,13885883,26115057,61004398,125197627,241588257,476864056,952977468
245722,280005,363165,453651,635369,992994,1883778,5001991,6588472,13287849,26884234,61041786,122569056,243608524,478596347,948508716
