x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144,x86 inductor b524288
362888,651212,1104709,479424,604349,1001605,1652896,3801886,13219406,25137508,44746863,83389391,92765152,264160763,432407296,723602690
365437,663747,1099266,469155,587481,950037,1650927,4904302,8455833,25244911,45597328,83222180,92916553,259936392,447929828,632907811
375684,647256,1120788,474250,592427,978396,1667413,3785322,9412825,24911706,45068982,82516416,92671645,276120798,447135252,751594523
370730,643982,1108407,479962,576493,981615,1667593,4849288,12961355,25546940,46053478,82972637,92855382,249267719,445461642,697880046
373547,649791,1089405,481855,609328,958516,1711156,3794529,11433915,26041794,45255855,81963003,92861856,268580861,388966829,701731454
369891,636985,1023466,472819,568240,933515,1689690,4813606,15173040,25318386,45347533,79370674,92997824,267549608,428150561,745738796
362389,625572,1052277,490772,595388,922419,1673658,4257393,13473585,25269588,45058306,82029261,92663900,274405840,454751531,686708261
373281,663513,1069690,479351,602486,1056654,1746041,4962860,13432345,25187586,45026259,83986033,92980710,273500338,385013848,692908538
351776,645940,1025781,472739,640413,963358,1730369,3830759,12182045,25086749,45064379,82756701,92886529,264776014,418192256,726269056
352296,641652,1061714,480107,613986,957787,1695691,4845960,12420170,26181801,45767074,83758614,93278841,264938307,383603152,735255905
365047,674562,1054932,495522,613256,1039266,1691278,3778914,12993189,25369218,45404498,82703320,92470614,270469076,415583644,742744136
354587,663747,1037792,485490,626658,927366,1673148,5001568,13259849,25210234,45142644,69913715,92762892,260412681,438289807,682823759
360949,653155,1043793,545642,584564,996165,1698693,3827060,13079078,25155330,45474909,82448416,92702989,274514731,439144523,672143144
352295,645760,1066023,480833,578298,927313,1699281,8183817,13545607,25175121,45875488,83596361,93385012,257806625,436201307,683707306
355960,651427,1043167,489647,588417,947747,1710736,6434317,13129122,25280804,45435802,82314586,92391960,261359027,455667876,647551250
384283,652237,1054136,468462,594684,1029136,1736582,6819543,13383534,25064861,45516675,83537287,92731024,237148419,411749033,691793927
374755,665494,1046091,469944,620630,944730,1707806,5478453,12196558,25346555,45230421,82188697,92791724,270577077,388324840,709292191
364233,632241,1061968,481739,599128,938053,1710588,6076479,12263380,25217039,45318454,82943104,93087171,261534796,390155889,659217340
356182,655244,1043655,479514,586027,935889,1701897,4949454,14936698,26306469,45168347,82847135,93288701,272518459,398815824,677458190
356893,671844,808703,498416,585169,949829,1711209,6010628,11579645,25183129,45846167,83072470,93161241,275099029,442128041,643455385
