b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
21402,19721,14170,16153,15508,14194,14505,28496,37155,45253,40733,37442,56115,41168,51535,47587
20722,19323,14185,15731,15142,13039,14778,23818,35715,47500,43507,37535,40721,42867,37771,50880
20636,19433,14334,13926,15698,12832,17128,27268,42167,42565,42169,37369,52952,47363,47274,107456
32140,19363,14238,14245,15252,20394,16598,23299,35625,45501,42207,38523,45115,45161,36280,49522
20096,19524,13907,14103,15298,14396,16141,26620,32412,45335,42014,40398,53647,43889,35971,54115
20692,19317,13965,14050,15429,14324,14728,26269,35459,45057,42203,40313,56094,43767,54178,56524
20646,23464,14256,13942,15359,14489,16512,35979,36579,45558,39687,36984,53098,44305,35591,97540
20804,20798,13903,13464,15217,14179,19007,35307,35847,42338,43271,39272,54394,49959,37842,36023
19939,20411,13900,13871,15533,13000,16429,25065,42742,46557,42418,37565,41116,36168,37432,44496
20578,19326,19819,14024,14970,13325,15890,29466,36036,45367,42588,39617,38521,42152,34274,59498
20372,19115,13837,13923,15453,13104,15941,29628,35946,48925,41766,37523,40286,38862,42232,123785
20127,16280,13889,14014,15221,13104,16183,30244,28379,44727,43470,39924,44255,45830,39405,50981
20358,15993,14000,14003,15099,14188,16377,36699,26116,59144,40943,39057,52263,43716,35944,42757
18507,16105,13854,13699,14860,14176,14840,36903,31437,44420,41422,37964,48085,45998,36756,40691
18242,16584,13651,14532,15441,14348,14980,37091,28464,42187,42575,36711,49067,40519,35294,78235
17802,16597,13690,33767,15116,13344,15273,35883,25328,50196,41965,38149,57067,54521,36076,42532
17618,16096,13551,16367,15187,14069,15189,35266,27250,55012,42736,37162,53844,42352,40344,35470
16839,16124,13906,15252,15411,14291,14703,39186,25673,44335,42606,40396,53045,37942,36271,36075
17747,16420,13668,14332,15701,13267,16442,36177,26308,41072,42571,44173,53947,45721,36601,42708
17768,16299,14062,14552,15306,14304,14757,37671,32192,42697,41112,38981,45892,44521,42685,43241
18145,16244,14054,14565,15219,13078,14656,37706,39044,43995,40619,38418,52797,43835,35507,49832
18121,16003,14323,14506,15143,13113,14869,38149,26982,41233,41901,38025,52917,42059,86934,46861
17961,15943,13974,15270,15228,14144,15723,37655,26649,46973,40225,38936,53071,45832,41236,79708
17784,16094,14165,14213,15095,14368,15962,52018,37086,42928,42144,38394,49074,40031,53196,59752
17473,16330,14370,14477,15144,14318,16070,36546,26634,42551,41502,36161,45155,48056,48933,55262
17813,21345,14509,14897,15098,13068,17239,38607,43356,42706,41825,39029,59456,39643,40872,56583
17227,20098,13852,14197,15320,12853,15063,35993,31690,42260,42565,36721,46620,39411,51030,54632
17700,19050,14099,13940,15516,13887,15129,36919,25396,41930,42707,40739,45090,40559,86502,56796
17690,19165,13954,14227,14927,14476,14840,35027,23974,44047,39787,37511,44353,40075,39209,44437
17410,18780,14551,14134,14825,13959,16039,44287,38411,41281,41208,37625,53360,41604,47148,59919
17859,18568,14609,14186,15296,14457,14690,36774,34941,42859,36670,37754,45932,38485,42001,57121
17782,18916,13811,14552,15521,13947,15260,35630,34067,44766,36013,38713,45696,42975,52971,53011
18203,19325,14077,14414,15769,14004,16156,37248,34063,44401,36856,43739,43580,40116,44596,62740
17801,19053,14263,14857,22444,14080,15368,44227,31582,43914,37646,40293,42179,40646,40851,50056
16890,19176,14119,13825,14945,12762,25981,37349,29466,43687,38007,38635,60838,59347,75614,48740
17109,36559,13730,14014,15134,13936,16076,36984,28196,42969,36689,38996,53233,41632,39289,63571
17006,19843,13738,17047,15644,14130,14842,35535,26872,42946,36974,38496,50946,57834,43351,60866
17463,19055,13817,14187,15190,14177,16278,37689,33604,43163,36812,37872,52743,42912,43537,52296
17499,18942,14017,14312,15633,13417,16150,36559,40961,44954,35500,38232,54007,46629,41435,39047
17520,18884,14159,13756,15193,13094,14650,36530,41300,44157,35036,40358,54773,48691,39296,52591
17703,18901,14188,15217,15375,13774,16256,35509,50442,44270,36048,36546,49827,44114,42264,136996
17945,19490,14084,14742,14556,13877,14942,30090,45896,42664,36750,39047,55996,46093,44199,108535
16908,19191,13548,14790,15201,13009,14495,33385,42327,43562,35664,39858,61709,58723,55869,51232
17076,19157,14031,14513,15181,14189,15598,27375,42364,43484,39347,39902,55245,43413,36226,42148
16839,19413,13649,15087,22444,13091,16143,36726,40980,44893,36269,41162,54566,58607,697320,159292
17036,19020,13860,14577,15161,14163,15073,33046,40397,42669,38137,38319,54691,50208,41311,43206
17215,18790,13530,14699,15488,14080,30827,24680,43236,42821,36422,36390,46867,43386,48422,62327
16931,18497,13951,15084,14855,14960,20756,33313,43387,43647,37865,39224,56917,46490,92292,41264
17162,26805,14016,14375,14934,14760,25377,25620,41021,44539,39304,36885,46670,63891,37476,44610
17020,15399,13688,14470,16769,16212,25833,28563,42603,42322,36134,39454,46691,44481,41547,47324
17370,15103,13866,14614,14898,14749,16207,29787,55369,46250,38384,38180,43176,46070,34558,34075
16628,14927,13717,14785,15274,14784,15697,26117,41720,44047,36728,39140,44757,51499,36086,44513
16498,15077,13929,14760,15298,14875,15334,31504,42058,42933,36104,38038,45800,45580,42858,35712
16395,15138,14153,16382,15646,14824,15331,26048,44420,42367,38162,41576,44523,41287,74326,47960
16193,14977,13800,14822,14862,14970,15076,28744,40921,49061,36180,37196,44697,50568,93184,36343
16204,14894,13614,18457,15125,14658,14475,29187,41636,42341,35264,38402,55775,42135,36823,663174
16727,14920,13418,17017,15114,14810,14865,34158,41462,42833,37283,40699,54380,39329,36495,37850
16256,15149,13851,22508,15650,15059,14694,27911,52431,46375,37591,38737,52492,46821,35934,36965
16957,14889,13473,15987,15106,15222,15120,25608,43262,44614,35889,38564,46973,40951,35156,42769
16710,22423,13639,14595,15314,14812,14876,28823,43600,45987,37571,41890,43777,45556,36742,41646
16638,14811,13547,14125,15488,15339,15057,37984,41270,44867,37806,39318,44912,35769,35964,72166
16923,14903,13800,14164,15124,14670,14371,29937,41269,43929,39423,39176,43223,46401,39064,105781
16472,14936,14221,14356,15382,15527,14896,33949,43307,45437,45138,39458,53360,41054,36633,56613
16912,14664,13611,14252,15091,14347,14957,28251,42446,43171,35058,39282,52948,39451,47582,59296
17020,15062,13634,14038,15215,14268,15314,32064,43270,43965,37687,37226,54767,40744,36015,104333
25851,15241,13581,14142,15189,14132,15453,29822,41572,45535,36009,40114,51675,40540,36273,44592
17381,15106,13735,14675,15547,14068,15184,32751,39771,42921,37745,38479,57735,37126,37953,49743
17964,15161,13758,14216,15360,14309,22313,38565,37302,43682,38801,39999,44973,45693,35736,59446
16997,14609,13590,14306,189257,14103,18633,37107,30516,45065,36774,39067,44811,45562,37206,340005
17266,14735,13870,14475,15456,14409,16300,36979,34217,45371,36880,38438,54865,40363,69317,48096
17514,15516,13407,14311,15266,14085,16278,37346,28420,44056,37489,38449,52570,40039,40247,154658
16854,14980,13687,14475,14952,15548,14805,37143,27596,44213,36589,36612,55360,68861,36743,138047
16796,14310,13517,13590,14806,15749,15903,40412,29740,44031,35739,37729,52005,43175,37704,52727
16715,15253,19542,14246,15144,14056,16270,39132,36770,44956,36375,38295,44935,47024,37254,51540
16724,14828,14026,14491,14619,14523,16327,38286,35057,44702,36288,37977,52416,37943,36591,73503
16461,14879,13518,15147,15055,15650,16292,35804,41056,44315,35606,40089,56018,38617,36916,50809
16805,14644,13503,14892,15365,14206,16367,46068,38042,43481,37044,36828,47843,39297,36596,141851
16683,14969,13765,14662,15201,14342,15002,50581,28963,45262,38140,39441,44274,37715,44531,50367
16014,14642,13970,33023,15240,14036,15190,40380,31339,42802,36647,40558,44105,37922,36992,60802
16333,14545,13753,15382,15354,14250,16369,39218,37677,45133,37545,37746,51054,41019,35050,61868
15993,14863,13858,14341,24025,15444,16139,40607,44341,44568,37837,38508,43282,38285,33465,52299
16365,14809,13390,14810,15074,14232,16431,40093,48934,42191,38450,39715,39067,38074,35941,249328
16270,14293,13708,14993,14944,14075,16098,39398,28728,47166,36771,38107,38934,39841,36613,44266
16263,14718,13533,15206,15554,14117,14655,38880,28119,43265,38185,37364,39588,38064,42633,45222
16123,14583,13384,14072,15282,13850,16364,40844,28957,43194,38518,41306,39523,40406,36768,46082
16072,14696,13607,14353,16286,13741,25155,39959,41342,46116,37804,38613,39884,44335,36635,596995
16344,14704,18383,14553,15146,13418,16853,37633,34104,43151,38499,37619,37605,44498,36157,42538
16126,15191,14181,14364,15463,13643,22183,40064,30507,43779,37214,38221,39944,45026,37217,48303
16891,15991,13864,14541,15883,12584,16082,42448,30588,44109,37123,36826,41018,43529,37305,42835
16370,15427,13592,14297,16466,12331,16101,38547,29445,43351,36622,41278,38249,45941,47753,44158
16480,15097,13185,14060,15088,13579,16272,39864,29353,47105,44500,36838,40466,39450,36257,51148
15563,15627,13586,15081,15384,13580,16187,38756,37668,43595,37148,38561,39293,43213,43910,49134
15801,14847,13843,14255,15165,12386,16403,39927,34132,42920,37279,40544,38472,48727,41807,89641
15437,15599,13895,14310,15663,13661,16704,50057,29842,43957,36778,39699,37861,46784,37456,42899
15872,15763,13231,15154,15144,13892,14452,37923,38780,42934,36693,39015,38574,41878,33818,52656
15381,15227,13348,14162,15418,13082,15352,35706,43208,41745,36216,38150,39882,38432,37431,63148
15853,16036,13231,13532,15462,12362,16484,27434,41775,42900,35942,38592,40129,39438,36594,97996
15456,15894,13795,16615,15313,12232,16251,41443,42273,46644,46204,39171,39635,38188,79545,45987
15477,20769,13260,16714,14535,12705,16303,30625,57041,44181,35925,38288,39343,42061,38590,48791
15917,15860,13522,16386,15228,13340,16730,33527,43216,47083,35931,38715,39666,37863,35816,59617
15474,15074,13257,16659,15353,12424,16173,33109,43652,44853,39211,39251,40390,60927,36886,65127
15767,15822,13739,16602,15212,12047,16212,27425,43183,44768,38374,37659,38517,40755,37128,106389
15777,14933,13375,16531,15677,12275,15960,32325,42546,42150,35722,36257,38197,36723,36565,52599
15917,14789,13667,15822,14864,19351,16433,28233,38695,41160,36868,40075,71796,47849,36949,58839
15731,14211,13218,16066,15128,12388,16233,30248,40074,42328,44812,39444,58200,43028,38111,97434
15525,14893,16616,17052,15198,12796,15757,30861,41561,45494,36803,40315,60805,38237,36041,65924
15590,14701,13335,16146,15285,12313,14705,32671,40538,45007,36100,38061,53523,52100,36229,42760
16185,14818,13529,16262,14571,13791,27368,34462,42236,44570,39251,38152,55075,41499,36344,48631
15562,14615,13783,16236,15676,13728,16413,27314,40974,44499,36545,37475,54079,56767,43321,482381
