FP32 inductor b16,FP32 inductor b32,FP32 inductor b64,FP32 inductor b128,FP32 inductor b256,FP32 inductor b512,FP32 inductor b1024,FP32 inductor b2048,FP32 inductor b4096,FP32 inductor b8192,FP32 inductor b16384,FP32 inductor b32768,FP32 inductor b65536,FP32 inductor b131072,FP32 inductor b262144,FP32 inductor b524288
450187,514020,552234,444063,650136,720123,1855574,4117296,10555343,17935206,33780715,61339984,111269236,196784957,344860920,628087454
459564,509098,551810,430137,626347,712150,1747416,4617499,9450372,18553789,33815144,61532002,112326172,200551565,330638375,620698189
465522,518130,559416,443406,616570,698384,1650019,3846724,9276286,18602446,33719704,60784185,112689168,198411437,334276637,597808501
462518,509902,558302,437019,610438,700572,1585380,3988544,10376659,18703551,33654667,61540889,112222838,201209531,329630751,600716083
460910,518137,568345,475403,607196,705682,1491905,4527152,9307046,18714100,33466225,60416073,111013036,194517815,343870483,626261099
463820,513628,570049,457825,597937,700964,1464891,3905994,10991694,18640541,32890659,61435291,110135601,198197825,331781271,550400498
457086,511815,554706,464834,591367,691703,1462552,4508508,9286751,18795917,33510825,61120949,111068174,196451682,324440985,627969085
468792,510464,556908,463375,581771,700838,1457184,3925134,9347661,18721391,32816308,62199598,110084012,194289386,354470722,588365566
460327,514306,569607,475541,594340,698530,1461765,3873564,10323513,18730668,33441535,61552447,112756288,196765449,311884279,616583663
456302,509901,571268,461508,595304,693495,1442580,4436483,9173214,18716998,33251469,62090953,109119984,199817664,346345334,563500117
456754,530265,566270,458700,583591,695605,1394679,3794011,10738228,18757839,33515976,61211717,109820444,200479081,311761824,595464158
463531,526817,565009,446270,576031,752861,1623247,4457515,9205343,18798444,33248307,62174597,111822671,195908897,319289956,596736597
468554,528063,565463,440898,566115,776343,1331797,3838803,9130431,18831009,33785342,60499148,110493507,199470143,310629107,572519188
481536,525947,557136,445910,553575,763551,1335747,3862601,10382709,18573533,33110489,61202540,109857138,198531381,331234254,572568019
463775,525470,562724,452217,572466,756315,1320618,4324560,8441133,18658576,34604763,60532199,109670520,198372766,348804414,566054934
462033,520739,556101,460763,563899,711396,1459776,3755054,7724713,17716210,33277815,61959264,111832245,199183968,345717677,557092601
453889,524172,550802,436902,544532,703215,1346008,4355140,8196317,18607450,34495037,61276667,109763509,192879668,348207234,586177127
465016,517401,545025,441143,553380,700690,1217474,3699957,7397626,18531284,33376948,61950885,111774531,200077230,351476349,578196115
454823,519955,552090,540903,556732,711053,1298092,3777890,10528923,18611882,33753371,61304051,109587635,203675747,326166675,599131415
464432,516337,556777,427664,560682,695982,1245680,4354854,8210990,18578506,32629779,61059169,108259176,195586209,327795784,572686423
459024,515828,551924,444981,553564,712985,1277862,3664093,7596624,17803428,33382530,60834582,110012276,188705502,340966637,583623504
458455,520014,548330,433314,551472,696438,1344098,4273205,7179924,18654518,32788780,61123413,106883315,199830101,343859199,577699887
451377,510474,556354,440397,549530,702234,1266292,3777685,6888037,18598072,33369754,60397465,109478788,199843288,318542327,566476772
445942,507996,541679,452670,552420,698470,1317520,3739519,6431444,18609554,33090496,61181828,109253571,195823048,322878177,556008537
458777,504393,551512,430933,550070,699191,1257399,4414471,7912165,18541206,35430171,60455320,110209078,199036461,325516393,624139774
467169,510112,554235,454602,542562,700927,1269498,4836514,9041111,18641602,32811954,61938564,108720845,195448423,320360384,599883667
459098,506803,553066,491430,550481,705778,1262099,5610529,8122374,18442646,36439018,61181545,111895400,200042713,327724599,562912665
461524,510894,553192,495571,553651,688060,1277863,4792349,8001240,18368175,32805590,61987745,108329973,195647082,346887808,557018974
458959,506442,551631,473345,546342,934307,1268402,4531817,7156251,18551953,36988978,61228094,112573356,201633376,318547229,614098445
466415,524820,543392,473185,542128,892828,1274207,4966964,9230582,18625327,33336615,61923982,109868930,194241229,321341378,591935180
462568,515726,543798,469151,546841,907995,1256078,4231424,8195273,18696261,35217726,61283218,112005875,198997905,350196557,555934910
461330,508585,552981,479269,544809,760918,1270245,4747956,7690140,17672670,35002964,61583120,109239777,199537349,328378601,614690772
466944,498212,557107,435779,548205,768281,1264441,4216410,7452123,18305874,35397855,61615652,111474222,197943433,331248840,581767304
453953,512460,565304,434898,550200,754964,1270314,3819531,8220133,18567694,34972244,61863662,110292582,199512437,327712352,615880318
454292,503194,548616,434063,548858,751770,1226757,4383885,6583118,17758302,35625160,60273323,112499613,197835922,345536443,575792555
454310,516589,557177,455763,544522,759296,1286453,4004026,7746878,18648893,35151692,62224975,109434820,196797076,344208562,592704898
467333,513139,554446,434316,563282,746497,1262447,4424015,6116642,18541082,35591666,61630753,110067523,198049440,350851733,628273668
465793,506407,558041,429591,551503,711022,1283377,3701916,7989477,18401931,35033750,61864990,109662037,200255719,346043731,609230624
508037,509086,561144,440296,546172,731673,1316428,3887785,9179630,18432546,35637723,61503488,112761221,196454641,343821267,579089673
568633,496961,561835,442585,558473,707586,1298070,4253189,7603592,18540083,34907433,62139031,108788408,198966525,338314620,576044328
513921,511456,562396,438066,549211,718109,1317041,4247613,10600072,18424857,35572814,61210274,109841172,200331481,347861784,634541048
500149,513427,564492,439972,545997,711328,1287023,4684751,9272274,18449948,34919559,63459927,107983512,194456750,323930676,558718605
469358,506704,545049,429159,545896,693201,1275333,4214147,9304268,18509820,35679280,61247385,110133838,197039037,327842599,584533530
469052,500544,556029,435708,551534,758308,1301183,4404626,10496616,17745346,35003791,62174931,108676260,197125497,330913442,607253483
468747,519384,554957,450951,552805,795749,1276269,4895324,9323336,18611839,35805853,61528436,109482226,200624946,341334177,619730448
473161,534283,561172,440506,566135,762883,1266848,4305646,9173633,18431913,35104599,62278018,109328349,196839082,337751862,588142782
458563,511216,547389,432798,551267,772676,1281607,4848168,9378009,18550657,35558594,61464890,112118569,195751042,340013388,557210227
459784,506275,565392,402870,578212,766432,1278314,4439954,9105492,18436312,34905124,62723806,108454729,196600163,347924922,575138146
473385,518503,555390,412815,644012,759440,1287285,4359462,9322522,18608292,34677556,61177874,111124304,198171566,329070789,603608875
483863,509651,557445,415626,557023,777418,1272274,4837867,9216422,18239219,33183599,62444780,108829443,199775835,306910134,643246140
471676,513926,554784,418603,569957,806042,1249913,4335551,9353587,18557875,33752601,61651105,109988956,199760629,313825433,616272016
460253,507675,540817,420587,554935,712685,1288251,4970339,9197399,18402567,32982367,61850691,108543793,194993246,310828971,621303386
469426,510768,541015,403342,553468,717841,1263846,4438816,10594248,18576368,33462713,61459898,109849989,196226162,306004586,612618242
473315,502328,554192,410997,572093,709381,1266120,4348462,9176044,18548327,33058758,62471502,109001438,201325787,316844086,574932965
381081,508029,556376,404688,552382,705542,1291385,4776581,9068315,17780228,33560365,61717759,107924282,199160700,309284024,594203347
360207,513861,555756,411077,543662,715380,1299237,4383915,9140384,18529266,33219195,62463056,108914362,195021229,328256407,584807914
416474,518595,557226,414310,552173,709851,1278805,5000182,9171532,18356213,33975930,60463502,110459681,199574259,320058128,609329080
384892,516930,546507,416433,553707,711528,1271415,4375049,9215398,17800303,33225481,61514261,109063583,203648504,339990580,569526452
360431,499614,554352,408329,552218,734336,1299618,4435200,9176855,18611671,36165111,61343156,110275979,200633312,327043073,613351055
358946,500742,546522,405183,560313,795904,1271582,4877601,9205800,18514449,32930618,61744873,109272212,197770563,335250744,570679276
362646,512463,558883,402465,540569,785398,1292329,6190440,10821159,18585122,33330820,61326997,109789566,197160042,352301552,603965433
359399,497296,561223,406002,547017,773785,1307126,5825527,9225140,18560364,32840561,61680213,109541753,199964092,321850665,577574787
374735,500994,546439,400235,553978,780300,1271511,5073018,9168462,18464145,33125906,61040946,110291667,200272676,342112657,579072006
424643,488264,550984,414021,564346,761818,1365994,4715118,9306524,18533305,33084948,61675218,108561773,200871533,339971289,567016412
369272,495283,623755,431799,557623,770493,1260894,5161491,9252038,18470022,34478830,60876834,110460487,201344514,335339521,605589275
361587,490910,570507,409782,551320,756074,1283385,4522704,9293684,18559240,32840123,61390033,109778462,196311780,338978714,562642901
366669,498001,560297,421318,551618,713834,1285586,4901209,9264023,17825097,33255298,60924748,110328242,202126062,318869336,592282572
360266,492124,553083,413192,556908,701062,1276247,4315735,10548733,18538736,33089298,61509453,108975491,197340943,337885202,551412530
367897,490734,549253,492787,558801,702439,1320090,5575562,9263874,18557280,33209902,61037043,110437470,201563946,314436878,570993513
359349,506074,562061,484303,549703,713077,1270375,5452147,10780884,18463079,33032838,61535850,109679933,199454648,332950527,624469083
360622,508772,553401,470039,556277,704955,1295985,4597367,9138993,18573711,33056795,60457871,110310895,195447056,316092087,610978846
368939,506377,558553,457306,576461,702839,1318794,4986474,8358774,18305723,32757095,61278580,109367748,198346008,343392497,556273597
356152,500256,539982,477771,566383,694345,1274563,4310011,9153936,18533225,33088114,60684420,110149218,198275089,323530855,572767701
408526,501905,550272,475241,556284,700017,1267022,4410281,8938293,18381549,32734147,61470616,109244963,199809511,310509586,572484020
387586,511934,547421,488345,551465,873398,1296261,4869598,9736998,18596937,33149148,60688886,110383415,198821812,332807353,619508236
359797,495276,549784,475650,552124,801797,1290400,4231537,7813374,17734299,32766313,61132190,109354137,197160514,340257342,559215372
357921,501807,552137,454366,549437,798584,1261394,4864504,8152666,18663091,33191803,60450239,110383079,196762187,307040052,556247554
367947,489621,554141,460225,561177,757774,1275830,4257957,10601156,18537495,32920585,61117643,109661660,194787521,300495478,551737545
355649,490962,560312,475418,545528,772428,1305527,4339484,8061736,18497379,33115887,60715261,110136826,196258125,309862369,576067988
370963,491273,546379,470622,547164,739354,1305156,4867520,9777605,18518500,32877830,61190132,109383530,194803429,341616625,580851184
356414,498843,563556,466104,560020,751630,1255058,4177867,9314704,17838950,33042775,60536263,110023068,196807611,350832824,601976025
437288,494991,556885,462943,552026,715841,1285524,4830425,9265582,18547610,33037318,61639045,108284574,197354262,327938495,601885966
393197,488952,559370,459713,555385,741750,1249611,4280598,9356663,18471566,33059763,61120455,110301125,191826614,327997913,568937648
416280,496282,543477,463193,557413,791517,1363066,4241274,7778308,18464856,32750171,61838439,109592718,196551758,334448855,614028191
375800,496457,543088,472262,555015,720738,1261967,4807773,10753903,18518325,33012200,61235731,110251064,197394696,335452066,566092927
362194,490947,546259,454302,558287,713922,1313132,4234773,8029659,17774142,32940000,61977296,109147420,193870154,349516322,570246769
350613,513679,561472,454874,549657,699063,1269659,4789665,7522387,18444474,33042057,61091472,110537410,196279191,336888883,601638038
352641,501673,543998,464161,549739,717042,1335390,4216981,8173076,18553329,32789948,61973182,109380591,196154212,353633796,566868239
368722,503265,568283,520789,550465,696054,1267579,4252850,7524359,18560616,33058306,61276504,110502465,197924951,335470380,532100061
357813,507471,555249,545471,551072,723812,1309513,4840738,8307617,18485815,32888063,62044648,108126725,201528025,312800985,588898824
347055,498929,556434,499865,574984,695598,1278960,4237211,6731419,18372349,33013266,61070593,110769754,199183576,327148886,622889893
352355,500063,544936,476830,547836,721353,1305381,4851609,6507026,18350426,32885790,61788586,109767574,201185922,339100762,629631893
349515,494076,550889,475863,543448,715105,1291602,4215417,9876369,18590970,33117056,61274776,110662433,200886037,344303385,566109296
410490,509754,624519,488793,550966,708550,1364395,4305654,8286385,18425099,32705597,62116826,108568976,197059372,306961896,597037081
379630,495433,548499,478178,544941,717855,1263053,4827172,7716254,18326293,33105628,60793696,108753852,200059317,323655765,550663943
355507,523867,552778,482360,547139,726130,1366701,5873969,8895884,18624937,33024134,61420439,108260111,198984088,323224517,619141833
363779,498131,543707,493452,545100,715939,1294336,5274579,8400367,18491998,33141717,61423377,109968344,199391014,307414698,575711248
352063,512250,556137,459478,556119,708803,1287385,5291181,9409364,18354923,32896876,61485143,107511877,197936652,337228709,554975523
351112,512002,565918,482973,556733,716165,1280540,5176359,9175396,18457610,33106971,61771751,109933258,197353991,334181284,615704584
359859,488829,560726,493924,565209,751441,1290982,5029185,10508576,18615712,32881367,60422764,107951685,194292357,311702785,620086041
347075,504743,545965,488286,554603,881366,1285347,4927519,9278997,18615192,33252737,62416124,110734944,196380467,340400941,628279408
326248,497404,546613,476894,553681,789996,1311934,4763250,9314326,18591462,32915572,61776737,107789305,197796767,336369294,566144276
315946,499479,555802,479604,550306,838754,1323840,4708645,9266880,18536129,33105720,61809532,109908791,200783016,296292273,563228583
321215,494792,557903,467229,548634,745798,1315106,4641498,9446041,18638903,33014502,61321457,108282314,198580422,346983675,568036350
315864,502260,561221,482210,567164,788361,1281366,4494595,9213852,18607601,33297360,60489605,110380791,198158950,330370412,545889046
317881,489133,543503,482676,567809,754681,1305415,4463555,9418568,18583988,32899206,61901084,107923101,199648000,338646190,557313447
